experiment_id,temperature_C,concentration_mM,catalyst,replicate,yield_percent,reaction_time_min,purity_percent
45,20,0.5,None,5,42.21,52.8,85.9
46,20,0.5,None,6,39.17,55.6,89.6
47,20,0.5,None,7,49.25,54.1,92.7
48,20,0.5,None,8,43.02,44.0,90.9
49,20,0.5,None,9,41.96,30.7,89.5
50,20,0.5,TypeA,1,53.34,34.1,86.0
51,20,0.5,TypeA,2,49.96,62.5,99.3
52,20,0.5,TypeA,3,54.22,39.4,97.2
53,20,0.5,TypeA,4,46.71,52.5,92.7
54,20,0.5,TypeA,5,59.49,51.8,89.8
55,20,0.5,TypeA,6,53.05,37.4,94.3
56,20,0.5,TypeA,7,50.9,52.9,97.1
57,20,0.5,TypeA,8,48.72,60.0,77.7
58,20,0.5,TypeA,9,48.23,53.2,96.1
59,20,0.5,TypeA,10,58.34,42.7,91.6
60,20,0.5,TypeA,11,54.88,38.9,94.8
61,20,0.5,TypeB,1,54.94,54.1,95.0
62,20,0.5,TypeB,2,53.51,59.4,84.5
63,20,0.5,TypeB,3,57.59,53.0,89.6
64,20,0.5,TypeB,4,52.41,34.5,93.1
65,20,0.5,TypeB,5,61.88,42.5,82.2
66,20,0.5,TypeB,6,54.57,27.0,98.8
67,20,0.5,TypeB,7,58.0,50.1,81.0
68,20,0.5,TypeB,8,51.13,32.0,90.6
69,20,0.5,TypeC,1,48.45,38.7,97.0
70,20,0.5,TypeC,2,45.73,56.6,94.9
71,20,0.5,TypeC,3,46.28,40.5,99.9
72,20,0.5,TypeC,4,50.47,32.0,91.2
73,20,0.5,TypeC,5,48.08,52.0,88.4
74,20,0.5,TypeC,6,51.79,41.5,88.7
75,20,0.5,TypeC,7,52.5,48.5,82.8
76,20,0.5,TypeC,8,49.73,44.7,93.7
77,20,0.5,TypeC,9,52.91,29.4,95.2
78,20,0.5,TypeC,10,48.07,53.5,87.3
79,20,1.0,None,1,54.86,44.7,
80,20,1.0,None,2,42.04,32.9,86.5
81,20,1.0,None,3,49.16,42.3,95.5
82,20,1.0,None,4,46.53,65.0,99.9
83,20,1.0,None,5,48.04,52.8,99.9
84,20,1.0,None,6,49.14,47.8,97.9
85,20,1.0,None,7,53.96,48.2,91.8
86,20,1.0,None,8,51.95,44.6,98.1
87,20,1.0,None,9,49.68,41.7,
88,20,1.0,None,10,55.76,40.9,85.7
89,20,1.0,TypeA,1,61.96,39.7,95.4
90,20,1.0,TypeA,2,59.83,45.9,92.2
91,20,1.0,TypeA,3,61.16,43.5,87.6
92,20,1.0,TypeA,4,60.95,50.2,83.5
93,20,1.0,TypeA,5,58.84,48.1,96.0
94,20,1.0,TypeA,6,65.44,54.8,95.8
95,20,1.0,TypeA,7,60.43,48.9,91.8
96,20,1.0,TypeA,8,62.05,24.2,91.4
97,20,1.0,TypeA,9,65.32,39.1,84.9
98,20,1.0,TypeA,10,58.32,43.7,97.3
99,20,1.0,TypeA,11,54.07,42.3,98.4
100,20,1.0,TypeB,1,61.55,58.2,92.5
101,20,1.0,TypeB,2,63.8,45.8,89.5
102,20,1.0,TypeB,3,67.1,56.7,93.3
103,20,1.0,TypeB,4,66.43,45.8,90.5
104,20,1.0,TypeB,5,64.59,41.8,91.9
105,20,1.0,TypeB,6,63.8,60.3,83.8
106,20,1.0,TypeB,7,62.88,52.7,88.5
107,20,1.0,TypeB,8,63.55,45.2,91.4
108,20,1.0,TypeB,9,64.54,37.1,89.6
109,20,1.0,TypeB,10,60.81,40.8,87.7
110,20,1.0,TypeC,1,52.09,43.2,92.1
111,20,1.0,TypeC,2,57.58,45.3,95.6
112,20,1.0,TypeC,3,57.91,46.1,97.3
113,20,1.0,TypeC,4,57.35,36.4,95.8
114,20,1.0,TypeC,5,57.33,28.5,89.7
115,20,1.0,TypeC,6,53.81,48.3,90.4
116,20,1.0,TypeC,7,51.07,33.1,97.8
117,20,1.0,TypeC,8,56.83,45.4,90.0
118,20,1.0,TypeC,9,57.01,55.4,93.3
119,20,1.0,TypeC,10,55.68,44.5,99.1
120,20,1.0,TypeC,11,58.48,42.5,
121,20,5.0,None,1,58.93,41.3,92.5
122,20,5.0,None,2,66.85,29.6,91.4
123,20,5.0,None,3,64.56,55.1,96.7
124,20,5.0,None,4,66.33,35.0,93.9
125,20,5.0,None,5,66.18,44.4,92.8
126,20,5.0,None,6,69.13,35.6,85.1
127,20,5.0,None,7,66.7,50.1,92.2
128,20,5.0,None,8,60.8,42.3,88.8
129,20,5.0,TypeA,1,83.9,45.7,86.2
130,20,5.0,TypeA,2,82.25,35.1,90.1
131,20,5.0,TypeA,3,86.77,32.9,93.5
132,20,5.0,TypeA,4,84.63,34.8,95.9
133,20,5.0,TypeA,5,76.34,62.2,97.9
134,20,5.0,TypeA,6,83.01,33.6,
135,20,5.0,TypeA,7,80.31,61.8,85.4
136,20,5.0,TypeA,8,84.94,29.1,91.7
137,20,5.0,TypeA,9,85.34,40.2,97.4
138,20,5.0,TypeB,1,89.91,43.1,86.5
139,20,5.0,TypeB,2,87.37,48.8,95.9
140,20,5.0,TypeB,3,86.35,34.9,90.4
141,20,5.0,TypeB,4,85.92,43.0,89.4
142,20,5.0,TypeB,5,88.82,50.3,86.5
143,20,5.0,TypeB,6,88.5,38.6,96.3
144,20,5.0,TypeB,7,85.51,34.8,85.0
145,20,5.0,TypeB,8,86.82,43.8,87.1
146,20,5.0,TypeB,9,87.77,18.7,92.0
147,20,5.0,TypeC,1,80.64,22.6,98.3
148,20,5.0,TypeC,2,82.15,49.8,97.0
149,20,5.0,TypeC,3,78.98,31.5,99.9
150,20,5.0,TypeC,4,78.89,24.9,81.6
151,20,5.0,TypeC,5,87.24,45.3,93.3
152,20,5.0,TypeC,6,81.52,49.0,99.9
153,20,5.0,TypeC,7,79.53,54.9,92.6
154,20,5.0,TypeC,8,79.44,36.2,91.3
155,20,5.0,TypeC,9,79.12,54.6,99.9
156,20,5.0,TypeC,10,82.59,39.3,85.1
157,30,0.1,None,1,35.6,52.1,98.5
158,30,0.1,None,2,29.95,44.3,98.2
159,30,0.1,None,3,33.85,34.1,87.5
160,30,0.1,None,4,28.19,31.4,98.9
161,30,0.1,None,5,29.41,59.1,97.4
162,30,0.1,None,6,34.11,36.8,99.9
163,30,0.1,None,7,35.56,56.0,92.2
164,30,0.1,None,8,28.4,50.4,95.6
165,30,0.1,None,9,28.69,44.7,93.0
166,30,0.1,TypeA,1,37.28,46.3,91.9
167,30,0.1,TypeA,2,42.43,44.0,89.9
168,30,0.1,TypeA,3,40.49,39.6,99.2
169,30,0.1,TypeA,4,42.35,37.5,91.1
170,30,0.1,TypeA,5,44.18,57.6,88.0
171,30,0.1,TypeA,6,43.59,51.5,94.9
172,30,0.1,TypeA,7,38.66,57.8,89.9
173,30,0.1,TypeA,8,37.94,68.3,94.3
174,30,0.1,TypeB,1,52.37,27.7,88.3
175,30,0.1,TypeB,2,39.27,40.8,99.9
176,30,0.1,TypeB,3,46.77,52.8,88.6
177,30,0.1,TypeB,4,42.78,36.4,99.9
178,30,0.1,TypeB,5,45.58,52.5,82.6
179,30,0.1,TypeB,6,46.94,29.7,91.0
180,30,0.1,TypeB,7,47.18,49.6,95.6
181,30,0.1,TypeB,8,42.93,36.3,94.3
182,30,0.1,TypeB,9,49.1,44.5,92.4
183,30,0.1,TypeB,10,45.61,41.8,92.9
184,30,0.1,TypeB,11,43.46,42.7,
185,30,0.1,TypeC,1,34.62,43.3,91.5
186,30,0.1,TypeC,2,38.24,38.5,92.4
187,30,0.1,TypeC,3,39.96,54.9,82.3
188,30,0.1,TypeC,4,39.19,40.4,98.8
189,30,0.1,TypeC,5,34.93,40.5,93.1
190,30,0.1,TypeC,6,31.98,62.9,96.2
191,30,0.1,TypeC,7,36.96,30.4,92.9
192,30,0.1,TypeC,8,39.94,50.8,94.9
193,30,0.5,None,1,51.01,14.6,99.9
194,30,0.5,None,2,51.62,39.0,92.2
195,30,0.5,None,3,50.93,31.7,99.9
196,30,0.5,None,4,47.07,45.2,87.1
197,30,0.5,None,5,48.93,61.7,98.5
198,30,0.5,None,6,47.71,23.7,90.3
199,30,0.5,None,7,45.84,44.3,85.7
200,30,0.5,None,8,52.63,49.9,90.5
201,30,0.5,None,9,47.37,46.2,96.2
202,30,0.5,TypeA,1,54.28,39.4,91.8
203,30,0.5,TypeA,2,56.87,52.7,
204,30,0.5,TypeA,3,61.05,38.2,86.0
205,30,0.5,TypeA,4,56.92,20.9,88.7
206,30,0.5,TypeA,5,60.02,59.4,85.5
207,30,0.5,TypeA,6,57.27,49.3,82.8
208,30,0.5,TypeA,7,60.34,51.5,97.3
209,30,0.5,TypeA,8,60.67,37.9,85.5
210,30,0.5,TypeA,9,58.48,48.7,99.9
211,30,0.5,TypeB,1,58.32,45.2,89.2
212,30,0.5,TypeB,2,57.37,36.2,97.2
213,30,0.5,TypeB,3,61.52,52.2,92.3
214,30,0.5,TypeB,4,68.99,39.8,
215,30,0.5,TypeB,5,60.12,36.1,86.7
216,30,0.5,TypeB,6,58.04,38.8,88.7
217,30,0.5,TypeB,7,58.21,36.3,94.0
218,30,0.5,TypeB,8,58.21,56.0,96.0
219,30,0.5,TypeB,9,61.95,42.4,98.7
220,30,0.5,TypeC,1,58.82,65.2,99.7
221,30,0.5,TypeC,2,55.34,33.8,89.6
222,30,0.5,TypeC,3,49.12,41.4,90.5
223,30,0.5,TypeC,4,56.55,38.5,96.8
224,30,0.5,TypeC,5,56.78,41.3,91.9
225,30,0.5,TypeC,6,53.69,43.2,89.3
226,30,0.5,TypeC,7,51.73,38.4,94.4
227,30,0.5,TypeC,8,51.69,35.2,91.0
228,30,0.5,TypeC,9,60.54,50.5,91.6
229,30,0.5,TypeC,10,57.3,48.7,78.7
230,30,1.0,None,1,57.12,55.3,95.9
231,30,1.0,None,2,57.49,28.0,89.4
232,30,1.0,None,3,55.35,62.6,88.4
233,30,1.0,None,4,57.76,55.8,99.9
234,30,1.0,None,5,57.5,60.0,93.8
235,30,1.0,None,6,52.17,31.5,95.3
236,30,1.0,None,7,51.49,63.0,97.1
237,30,1.0,None,8,56.39,42.2,92.1
238,30,1.0,None,9,58.02,49.1,
239,30,1.0,TypeA,1,70.94,44.2,89.7
240,30,1.0,TypeA,2,66.47,44.6,99.7
241,30,1.0,TypeA,3,66.77,41.8,92.3
242,30,1.0,TypeA,4,66.98,34.8,83.9
243,30,1.0,TypeA,5,64.32,45.4,83.6
244,30,1.0,TypeA,6,61.4,39.9,92.6
245,30,1.0,TypeA,7,67.48,34.7,95.8
246,30,1.0,TypeA,8,60.94,41.1,
247,30,1.0,TypeA,9,72.04,53.4,85.6
248,30,1.0,TypeB,1,69.13,45.0,97.3
249,30,1.0,TypeB,2,69.23,34.1,91.1
250,30,1.0,TypeB,3,70.89,44.2,87.6
251,30,1.0,TypeB,4,68.83,42.0,91.3
252,30,1.0,TypeB,5,72.2,55.9,90.2
253,30,1.0,TypeB,6,66.37,48.9,88.0
254,30,1.0,TypeB,7,74.0,47.9,94.9
255,30,1.0,TypeB,8,63.07,42.3,94.7
256,30,1.0,TypeB,9,65.51,42.5,97.3
257,30,1.0,TypeB,10,71.64,33.2,95.7
258,30,1.0,TypeC,1,64.87,50.8,93.0
259,30,1.0,TypeC,2,63.55,40.9,88.2
260,30,1.0,TypeC,3,57.52,48.3,92.9
261,30,1.0,TypeC,4,62.47,48.1,94.2
262,30,1.0,TypeC,5,60.28,43.3,94.0
263,30,1.0,TypeC,6,67.41,41.0,92.6
264,30,1.0,TypeC,7,61.04,38.1,98.1
265,30,1.0,TypeC,8,55.77,54.3,88.2
266,30,1.0,TypeC,9,61.54,44.7,92.4
267,30,1.0,TypeC,10,65.0,54.4,97.1
268,30,5.0,None,1,70.95,47.9,
269,30,5.0,None,2,66.61,59.3,96.4
270,30,5.0,None,3,70.73,73.9,86.4
271,30,5.0,None,4,70.11,42.6,94.7
272,30,5.0,None,5,68.96,38.1,97.5
273,30,5.0,None,6,70.37,54.3,98.8
274,30,5.0,None,7,70.25,35.6,89.6
275,30,5.0,None,8,72.62,56.2,93.6
276,30,5.0,None,9,67.47,47.7,99.9
277,30,5.0,TypeA,1,98.9,38.4,93.4
278,30,5.0,TypeA,2,95.35,29.5,94.1
279,30,5.0,TypeA,3,88.93,29.0,87.6
280,30,5.0,TypeA,4,89.56,45.7,93.6
281,30,5.0,TypeA,5,92.1,41.2,95.5
282,30,5.0,TypeA,6,94.85,65.2,98.6
283,30,5.0,TypeA,7,88.61,41.6,87.6
284,30,5.0,TypeA,8,89.92,55.3,91.8
285,30,5.0,TypeB,1,102.66,59.9,90.7
286,30,5.0,TypeB,2,99.86,39.4,91.8
287,30,5.0,TypeB,3,93.38,41.1,93.0
288,30,5.0,TypeB,4,95.66,59.4,86.8
289,30,5.0,TypeB,5,98.91,47.2,83.9
290,30,5.0,TypeB,6,101.61,46.7,97.2
291,30,5.0,TypeB,7,98.63,48.4,99.9
292,30,5.0,TypeB,8,98.12,48.3,89.2
293,30,5.0,TypeB,9,98.89,43.4,91.8
294,30,5.0,TypeC,1,94.94,39.7,92.1
295,30,5.0,TypeC,2,89.91,69.3,91.7
296,30,5.0,TypeC,3,89.98,46.2,84.3
297,30,5.0,TypeC,4,95.66,35.1,87.5
298,30,5.0,TypeC,5,92.89,32.9,99.0
299,30,5.0,TypeC,6,91.77,58.9,82.8
300,30,5.0,TypeC,7,90.43,49.9,88.2
301,30,5.0,TypeC,8,96.18,47.1,90.7
302,30,5.0,TypeC,9,91.85,54.1,
303,30,5.0,TypeC,10,91.27,42.2,94.7
304,30,5.0,TypeC,11,91.31,44.5,98.1
305,40,0.1,None,1,34.81,42.8,89.2
306,40,0.1,None,2,35.37,51.7,92.0
307,40,0.1,None,3,38.24,59.2,95.3
308,40,0.1,None,4,38.69,41.2,97.0
309,40,0.1,None,5,36.75,59.1,97.6
310,40,0.1,None,6,37.23,51.5,95.8
311,40,0.1,None,7,38.03,49.5,98.7
312,40,0.1,None,8,32.89,48.0,94.5
313,40,0.1,TypeA,1,47.64,38.2,90.5
314,40,0.1,TypeA,2,45.89,63.7,88.5
315,40,0.1,TypeA,3,48.83,56.4,92.0
316,40,0.1,TypeA,4,52.39,43.4,88.2
317,40,0.1,TypeA,5,45.1,47.8,96.9
318,40,0.1,TypeA,6,43.14,35.6,97.7
319,40,0.1,TypeA,7,48.28,38.9,85.9
320,40,0.1,TypeA,8,41.08,35.3,96.1
321,40,0.1,TypeA,9,44.56,57.6,92.7
322,40,0.1,TypeA,10,42.57,55.4,92.8
323,40,0.1,TypeB,1,52.83,40.0,99.9
324,40,0.1,TypeB,2,48.73,44.6,92.4
325,40,0.1,TypeB,3,56.28,49.7,87.6
326,40,0.1,TypeB,4,53.74,43.8,91.9
327,40,0.1,TypeB,5,48.45,58.8,94.8
328,40,0.1,TypeB,6,48.88,42.7,97.3
329,40,0.1,TypeB,7,46.42,56.2,82.7
330,40,0.1,TypeB,8,51.95,42.0,94.7
331,40,0.1,TypeB,9,50.14,65.9,90.8
332,40,0.1,TypeB,10,48.73,45.9,87.2
333,40,0.1,TypeC,1,38.49,39.9,91.1
334,40,0.1,TypeC,2,39.87,48.8,89.5
335,40,0.1,TypeC,3,46.62,50.6,79.7
336,40,0.1,TypeC,4,43.51,45.6,84.1
337,40,0.1,TypeC,5,45.3,29.9,89.8
338,40,0.1,TypeC,6,41.92,60.3,86.9
339,40,0.1,TypeC,7,45.08,43.4,91.3
340,40,0.1,TypeC,8,38.73,75.7,82.9
341,40,0.1,TypeC,9,41.66,56.6,90.3
342,40,0.1,TypeC,10,44.08,37.2,95.1
343,40,0.5,None,1,54.91,38.6,89.0
344,40,0.5,None,2,51.71,17.5,89.2
345,40,0.5,None,3,57.78,31.7,96.1
346,40,0.5,None,4,52.86,42.5,84.0
347,40,0.5,None,5,56.74,36.3,92.2
348,40,0.5,None,6,54.98,55.8,93.1
349,40,0.5,None,7,53.49,42.4,98.3
350,40,0.5,None,8,48.93,41.6,89.9
351,40,0.5,None,9,54.13,46.6,94.3
352,40,0.5,None,10,50.8,39.2,95.9
353,40,0.5,None,11,58.81,42.9,88.5
354,40,0.5,TypeA,1,65.37,45.1,83.5
355,40,0.5,TypeA,2,66.95,43.0,95.8
356,40,0.5,TypeA,3,60.98,28.3,92.5
357,40,0.5,TypeA,4,63.86,50.2,94.0
358,40,0.5,TypeA,5,68.68,56.0,94.5
359,40,0.5,TypeA,6,62.14,33.2,95.1
360,40,0.5,TypeA,7,63.21,47.3,89.3
361,40,0.5,TypeA,8,63.83,47.9,92.7
362,40,0.5,TypeA,9,63.01,39.6,95.5
363,40,0.5,TypeB,1,63.8,37.5,88.3
364,40,0.5,TypeB,2,65.41,38.4,86.9
365,40,0.5,TypeB,3,61.96,57.0,88.4
366,40,0.5,TypeB,4,66.63,57.4,94.8
367,40,0.5,TypeB,5,71.22,37.4,92.6
368,40,0.5,TypeB,6,70.52,44.0,88.5
369,40,0.5,TypeB,7,68.6,58.2,84.1
370,40,0.5,TypeB,8,70.06,51.0,86.6
371,40,0.5,TypeB,9,65.73,49.7,81.9
372,40,0.5,TypeB,10,66.67,46.8,90.1
373,40,0.5,TypeC,1,59.32,22.7,84.1
374,40,0.5,TypeC,2,58.96,70.0,92.2
375,40,0.5,TypeC,3,61.5,45.8,95.5
376,40,0.5,TypeC,4,56.83,67.8,89.1
377,40,0.5,TypeC,5,55.55,41.4,93.1
378,40,0.5,TypeC,6,60.87,31.4,94.1
379,40,0.5,TypeC,7,59.23,61.7,91.0
380,40,0.5,TypeC,8,65.33,30.2,93.2
381,40,0.5,TypeC,9,65.81,57.1,96.3
382,40,0.5,TypeC,10,60.97,51.9,97.4
383,40,1.0,None,1,62.61,53.6,88.6
384,40,1.0,None,2,62.51,36.7,89.6
385,40,1.0,None,3,62.31,20.2,
386,40,1.0,None,4,56.02,38.7,85.6
387,40,1.0,None,5,58.26,44.6,
388,40,1.0,None,6,61.52,58.5,97.6
389,40,1.0,None,7,63.25,40.8,92.1
390,40,1.0,None,8,62.25,28.9,89.3
391,40,1.0,None,9,59.52,40.9,92.1
392,40,1.0,None,10,60.02,61.7,89.8
393,40,1.0,TypeA,1,67.1,31.1,86.4
394,40,1.0,TypeA,2,72.28,53.7,94.2
395,40,1.0,TypeA,3,69.33,50.1,99.9
396,40,1.0,TypeA,4,71.02,42.8,96.1
397,40,1.0,TypeA,5,73.57,33.9,78.3
398,40,1.0,TypeA,6,67.56,57.5,84.6
399,40,1.0,TypeA,7,72.2,43.6,88.5
400,40,1.0,TypeA,8,67.99,39.5,88.7
401,40,1.0,TypeB,1,76.39,70.8,97.9
402,40,1.0,TypeB,2,77.14,29.1,91.4
403,40,1.0,TypeB,3,73.97,46.0,88.4
404,40,1.0,TypeB,4,74.12,63.1,91.3
405,40,1.0,TypeB,5,76.53,40.1,92.8
406,40,1.0,TypeB,6,81.5,32.9,92.1
407,40,1.0,TypeB,7,74.81,52.1,84.8
408,40,1.0,TypeB,8,80.49,50.9,93.3
409,40,1.0,TypeB,9,73.03,46.1,99.9
410,40,1.0,TypeB,10,78.19,36.8,87.2
411,40,1.0,TypeC,1,65.15,57.6,87.8
412,40,1.0,TypeC,2,67.31,47.5,82.5
413,40,1.0,TypeC,3,68.61,54.3,99.4
414,40,1.0,TypeC,4,70.83,37.8,94.7
415,40,1.0,TypeC,5,68.87,45.0,95.5
416,40,1.0,TypeC,6,64.47,32.1,99.9
417,40,1.0,TypeC,7,65.85,45.0,83.5
418,40,1.0,TypeC,8,69.4,49.1,84.3
419,40,5.0,None,1,75.35,65.7,87.1
420,40,5.0,None,2,77.26,60.6,
421,40,5.0,None,3,80.57,54.5,92.7
422,40,5.0,None,4,78.78,49.9,89.3
423,40,5.0,None,5,78.06,56.1,96.2
424,40,5.0,None,6,68.11,45.1,92.1
425,40,5.0,None,7,77.02,52.9,97.5
426,40,5.0,None,8,79.44,48.8,
427,40,5.0,None,9,73.91,49.1,99.9
428,40,5.0,None,10,77.82,37.1,92.8
429,40,5.0,None,11,75.95,34.7,92.4
430,40,5.0,TypeA,1,106.07,34.8,95.3
431,40,5.0,TypeA,2,96.86,38.4,93.8
432,40,5.0,TypeA,3,105.31,54.1,90.8
433,40,5.0,TypeA,4,102.4,23.2,88.7
434,40,5.0,TypeA,5,101.05,55.4,95.5
435,40,5.0,TypeA,6,104.81,56.2,99.9
436,40,5.0,TypeA,7,106.8,41.3,88.4
437,40,5.0,TypeA,8,106.97,68.1,95.4
438,40,5.0,TypeB,1,110.0,37.3,83.8
439,40,5.0,TypeB,2,109.22,39.7,99.5
440,40,5.0,TypeB,3,99.54,39.9,92.9
441,40,5.0,TypeB,4,107.04,44.7,98.6
442,40,5.0,TypeB,5,103.92,32.9,85.9
443,40,5.0,TypeB,6,111.3,40.7,92.5
444,40,5.0,TypeB,7,103.55,33.0,90.8
445,40,5.0,TypeB,8,117.0,37.9,86.7
446,40,5.0,TypeB,9,110.68,49.4,
447,40,5.0,TypeC,1,102.15,37.2,
448,40,5.0,TypeC,2,100.78,59.4,92.3
449,40,5.0,TypeC,3,98.71,50.7,84.8
450,40,5.0,TypeC,4,95.82,47.0,85.7
451,40,5.0,TypeC,5,102.93,48.0,92.2
452,40,5.0,TypeC,6,104.25,53.3,94.3
453,40,5.0,TypeC,7,103.06,50.5,93.8
454,40,5.0,TypeC,8,97.52,16.7,83.0
455,40,5.0,TypeC,9,98.31,50.7,83.5
456,40,5.0,TypeC,10,100.11,43.0,93.2
457,40,5.0,TypeC,11,103.12,44.5,
458,50,0.1,None,1,41.47,40.1,99.9
459,50,0.1,None,2,47.32,58.3,92.7
460,50,0.1,None,3,42.44,36.6,90.2
461,50,0.1,None,4,37.78,37.7,87.5
462,50,0.1,None,5,42.15,81.9,99.8
463,50,0.1,None,6,40.0,59.4,88.3
464,50,0.1,None,7,39.26,44.9,88.9
465,50,0.1,None,8,39.31,39.5,91.0
466,50,0.1,None,9,49.25,34.5,89.6
467,50,0.1,TypeA,1,55.28,37.3,
468,50,0.1,TypeA,2,48.13,42.0,92.8
469,50,0.1,TypeA,3,48.65,59.1,84.5
470,50,0.1,TypeA,4,49.77,38.7,90.4
471,50,0.1,TypeA,5,46.43,34.8,90.2
472,50,0.1,TypeA,6,53.56,48.6,90.7
473,50,0.1,TypeA,7,50.44,60.9,90.8
474,50,0.1,TypeA,8,51.66,45.2,93.1
475,50,0.1,TypeA,9,52.42,43.1,96.9
476,50,0.1,TypeA,10,53.66,47.3,99.9
477,50,0.1,TypeB,1,55.77,52.2,
478,50,0.1,TypeB,2,56.93,42.5,86.2
479,50,0.1,TypeB,3,57.41,35.1,88.7
480,50,0.1,TypeB,4,54.55,38.4,88.4
481,50,0.1,TypeB,5,54.27,39.3,97.3
482,50,0.1,TypeB,6,54.96,59.2,90.1
483,50,0.1,TypeB,7,58.48,37.6,84.2
484,50,0.1,TypeB,8,54.92,25.3,97.4
485,50,0.1,TypeC,1,49.88,47.6,89.9
486,50,0.1,TypeC,2,48.42,41.2,99.9
487,50,0.1,TypeC,3,49.6,38.8,87.9
488,50,0.1,TypeC,4,51.03,44.7,97.2
489,50,0.1,TypeC,5,48.86,53.4,80.4
490,50,0.1,TypeC,6,49.78,37.2,96.2
491,50,0.1,TypeC,7,51.17,50.4,92.0
492,50,0.1,TypeC,8,48.56,46.1,92.6
493,50,0.5,None,1,59.72,46.4,89.6
494,50,0.5,None,2,61.93,41.4,95.0
495,50,0.5,None,3,61.55,65.3,
496,50,0.5,None,4,60.41,28.9,91.6
497,50,0.5,None,5,56.77,48.0,83.7
498,50,0.5,None,6,60.44,50.0,98.0
499,50,0.5,None,7,58.47,44.5,92.3
500,50,0.5,None,8,60.15,30.7,98.0
501,50,0.5,None,9,57.2,26.9,93.9
502,50,0.5,None,10,64.2,38.9,86.8
503,50,0.5,TypeA,1,60.73,27.4,93.6
504,50,0.5,TypeA,2,66.58,50.2,88.7
505,50,0.5,TypeA,3,70.63,37.3,98.4
506,50,0.5,TypeA,4,66.99,66.9,89.6
507,50,0.5,TypeA,5,67.39,58.2,99.9
508,50,0.5,TypeA,6,65.64,28.5,98.3
509,50,0.5,TypeA,7,67.33,32.7,98.4
510,50,0.5,TypeA,8,64.11,45.2,94.7
511,50,0.5,TypeA,9,71.42,55.7,87.4
512,50,0.5,TypeA,10,70.11,49.3,99.9
513,50,0.5,TypeB,1,69.47,32.2,
514,50,0.5,TypeB,2,79.85,43.8,87.0
515,50,0.5,TypeB,3,73.36,55.3,94.0
516,50,0.5,TypeB,4,72.05,62.4,97.6
517,50,0.5,TypeB,5,76.44,35.2,88.3
518,50,0.5,TypeB,6,70.75,44.2,92.6
519,50,0.5,TypeB,7,68.35,34.2,92.9
520,50,0.5,TypeB,8,73.94,63.2,92.3
521,50,0.5,TypeB,9,75.84,25.5,94.1
522,50,0.5,TypeB,10,68.16,36.1,92.6
523,50,0.5,TypeB,11,73.13,38.3,95.5
524,50,0.5,TypeC,1,60.5,39.8,93.0
525,50,0.5,TypeC,2,64.25,47.1,99.9
526,50,0.5,TypeC,3,64.12,43.8,87.3
527,50,0.5,TypeC,4,61.93,42.9,96.8
528,50,0.5,TypeC,5,63.26,56.0,93.4
529,50,0.5,TypeC,6,62.17,30.7,
530,50,0.5,TypeC,7,66.78,42.2,97.8
531,50,0.5,TypeC,8,65.2,47.5,96.2
532,50,0.5,TypeC,9,71.72,30.4,97.6
