campaign_id,date,platform,ad_format,target_audience,budget_usd,impressions,clicks,ctr,conversions,cost_per_click,cost_per_conversion,revenue,roas
43,2024-07-07,Facebook,video,55+,204.61,17198,338,0.0197,3,0.61,68.2,156.3,0.76
44,2024-07-07,Facebook,search,25-34,122.71,3538,5,0.0016,0,24.54,,0.0,0.0
45,2024-07-07,Instagram,carousel,25-34,20,1181,12,0.0105,0,1.67,,0.0,0.0
46,2024-07-07,Instagram,display,35-44,134.88,2629,48,0.0184,1,2.81,134.88,23.69,0.18
47,2024-07-07,Instagram,display,35-44,353.25,16327,139,0.0085,3,2.54,117.75,97.65,0.28
48,2024-07-07,TikTok,video,35-44,285.69,21829,284,0.013,9,1.01,31.74,478.0,1.67
49,2024-07-07,LinkedIn,video,18-24,20,410,3,0.0076,0,6.67,,0.0,0.0
50,2024-07-07,LinkedIn,search,45-54,53.74,2199,19,0.009,1,2.83,53.74,96.57,1.8
51,2024-07-07,LinkedIn,carousel,18-24,174.44,7108,39,0.0055,1,4.47,174.44,48.14,0.28
52,2024-07-08,Google,carousel,45-54,135.45,11968,492,0.0411,0,0.28,,0.0,0.0
53,2024-07-08,Google,search,35-44,213.67,8713,385,0.0442,15,0.55,14.24,607.05,2.84
54,2024-07-08,Google,display,18-24,174.31,13322,455,0.0342,12,0.38,14.53,120,0.69
55,2024-07-08,Facebook,carousel,45-54,247.0,19231,200,0.0104,1,1.24,247.0,67.99,0.28
56,2024-07-08,Facebook,story,18-24,390.53,37581,581,0.0155,9,0.67,43.39,575.32,1.47
57,2024-07-08,TikTok,display,35-44,156.35,12736,164,0.0129,6,0.95,26.06,203.57,1.3
58,2024-07-09,Google,display,25-34,208.07,13366,446,0.0334,18,0.47,11.56,1756.61,8.44
59,2024-07-09,Google,carousel,25-34,94.28,7426,271,0.0366,8,0.35,11.79,752.78,7.98
60,2024-07-09,Facebook,video,18-24,38.76,3999,62,0.0156,1,0.63,38.76,112.63,2.91
61,2024-07-09,Facebook,story,18-24,120.66,8680,132,0.0153,1,0.91,120.66,49.37,0.41
62,2024-07-09,LinkedIn,carousel,55+,217.12,9092,168,0.0186,5,1.29,43.42,196.67,0.91
63,2024-07-09,LinkedIn,story,25-34,106.54,8276,54,0.0066,1,1.97,106.54,49.34,0.46
64,2024-07-10,Google,video,55+,84.93,8872,266,0.03,4,0.32,21.23,152.54,1.8
65,2024-07-10,Google,search,25-34,148.66,8868,239,0.027,4,0.62,37.16,512.46,3.45
66,2024-07-10,Google,search,45-54,20,1898,64,0.034,0,0.31,,0.0,0.0
67,2024-07-10,Facebook,video,25-34,75.49,5367,84,0.0157,2,0.9,37.74,160.4,2.12
68,2024-07-10,Facebook,display,18-24,74.84,7460,113,0.0153,2,0.66,37.42,29.11,0.39
69,2024-07-10,Facebook,video,45-54,168.83,19555,196,0.0101,3,0.86,56.28,122.15,0.72
70,2024-07-10,Instagram,carousel,45-54,153.04,10371,184,0.0178,8,0.83,19.13,674.82,4.41
71,2024-07-10,Instagram,carousel,45-54,114.66,5157,76,0.0148,2,1.51,57.33,82.99,0.72
72,2024-07-10,TikTok,video,18-24,53.05,3929,50,0.0129,0,1.06,,0.0,0.0
73,2024-07-11,Google,video,35-44,59.83,4589,176,0.0385,5,0.34,11.97,346.45,5.79
74,2024-07-11,Google,carousel,55+,126.73,6939,280,0.0405,12,0.45,10.56,389.69,3.07
75,2024-07-11,TikTok,video,18-24,193.24,3279,59,0.0182,2,3.28,96.62,155.45,0.8
76,2024-07-11,TikTok,story,55+,189.98,12497,230,0.0184,8,0.83,23.75,1016.13,5.35
77,2024-07-12,Facebook,carousel,25-34,184.01,5065,76,0.0151,2,2.42,92.0,123.14,0.67
78,2024-07-12,Instagram,search,55+,98.57,6914,82,0.0119,1,1.2,98.57,91.17,0.92
79,2024-07-12,Instagram,search,55+,148.85,10827,209,0.0194,5,0.71,29.77,287.05,1.93
80,2024-07-12,Instagram,story,45-54,97.06,4975,80,0.0162,2,1.21,48.53,20,0.21
81,2024-07-12,TikTok,carousel,55+,96.37,5493,105,0.0192,2,0.92,48.19,173.54,1.8
82,2024-07-12,TikTok,carousel,18-24,59.73,5227,107,0.0206,1,0.56,59.73,42.43,0.71
83,2024-07-12,LinkedIn,story,55+,99.19,3181,15,0.0048,0,6.61,,0.0,0.0
84,2024-07-12,LinkedIn,story,35-44,20,1489,5,0.004,0,4.0,,0.0,0.0
85,2024-07-12,LinkedIn,carousel,45-54,242.42,18414,280,0.0152,11,0.87,22.04,964.67,3.98
86,2024-07-13,Google,display,45-54,292.73,9968,406,0.0408,2,0.72,146.37,182.86,0.62
87,2024-07-13,Facebook,carousel,45-54,59.18,1037,11,0.0106,0,5.38,,0.0,0.0
88,2024-07-13,Facebook,display,25-34,154.29,9521,93,0.0099,2,1.66,77.14,174.8,1.13
89,2024-07-13,Facebook,video,35-44,147.1,4952,39,0.0081,0,3.77,,0.0,0.0
90,2024-07-13,TikTok,video,25-34,69.29,3114,44,0.0142,1,1.57,69.29,17.86,0.26
91,2024-07-13,LinkedIn,story,25-34,177.5,4561,56,0.0124,2,3.17,88.75,111.24,0.63
92,2024-07-14,Instagram,search,18-24,53.31,3169,42,0.0134,1,1.27,53.31,29.05,0.54
93,2024-07-14,TikTok,story,25-34,151.58,8316,120,0.0144,2,1.26,75.79,95.32,0.63
94,2024-07-14,TikTok,story,55+,115.3,3888,82,0.0212,1,1.41,115.3,10,0.09
95,2024-07-14,TikTok,video,25-34,78.8,2626,37,0.0144,0,2.13,,0.0,0.0
96,2024-07-14,LinkedIn,video,25-34,55.57,5256,49,0.0094,1,1.13,55.57,55.03,0.99
97,2024-07-14,LinkedIn,carousel,25-34,134.25,5904,96,0.0164,0,1.4,,0.0,0.0
98,2024-07-14,LinkedIn,story,45-54,102.81,8367,90,0.0108,3,1.14,34.27,146.48,1.42
99,2024-07-15,Google,display,25-34,116.43,10818,368,0.0341,18,0.32,6.47,1223.4,10.51
100,2024-07-16,Google,display,18-24,256.55,11040,414,0.0375,10,0.62,25.66,102.4,0.4
101,2024-07-16,Google,story,45-54,163.99,5697,183,0.0322,2,0.9,82.0,,1.24
102,2024-07-16,Instagram,search,18-24,95.34,7233,28,0.004,0,3.41,,0.0,0.0
103,2024-07-16,Instagram,display,35-44,201.04,9558,109,0.0115,6,1.84,33.51,575.31,2.86
104,2024-07-16,TikTok,story,55+,297.28,16325,352,0.0216,7,0.84,42.47,405.08,1.36
105,2024-07-16,TikTok,carousel,45-54,206.17,16492,232,0.0141,6,0.89,34.36,750.22,3.64
106,2024-07-16,LinkedIn,display,45-54,26.67,2827,30,0.0107,0,0.89,,0.0,0.0
107,2024-07-17,Google,search,35-44,267.36,9229,358,0.0389,2,0.75,133.68,59.06,0.22
108,2024-07-17,Google,story,35-44,302.58,28824,948,0.0329,9,0.32,33.62,,1.58
109,2024-07-17,Google,search,45-54,66.17,5026,200,0.0399,4,0.33,16.54,146.08,2.21
110,2024-07-17,Instagram,video,25-34,100.85,2392,23,0.0097,0,4.38,,0.0,0.0
111,2024-07-17,Instagram,story,45-54,112.02,5275,54,0.0103,1,2.07,112.02,69.78,0.62
112,2024-07-17,Instagram,display,45-54,142.3,5718,63,0.0111,2,2.26,71.15,180.28,1.27
113,2024-07-17,LinkedIn,video,25-34,232.2,14956,41,0.0027,0,5.66,,0.0,0.0
114,2024-07-18,Facebook,story,55+,256.94,21499,340,0.0158,14,0.76,18.35,1219.9,4.75
115,2024-07-18,Facebook,display,55+,237.72,15718,388,0.0247,8,0.61,29.71,316.75,1.33
116,2024-07-18,Facebook,video,25-34,175.24,11997,152,0.0127,7,1.15,25.03,331.01,1.89
117,2024-07-18,Instagram,story,18-24,194.76,15971,250,0.0157,8,0.78,24.34,368.75,1.89
118,2024-07-18,Instagram,display,18-24,165.07,9724,208,0.0214,10,0.79,16.51,1336.64,8.1
119,2024-07-18,Instagram,search,45-54,137.87,5820,116,0.02,4,1.19,34.47,420.72,3.05
120,2024-07-18,TikTok,video,35-44,112.86,9507,104,0.011,5,1.09,22.57,330.39,2.93
121,2024-07-18,LinkedIn,video,55+,182.88,11845,51,0.0044,3,3.59,60.96,227.99,1.25
122,2024-07-19,Google,carousel,25-34,58.07,3772,111,0.0296,1,0.52,58.07,50.37,0.87
123,2024-07-19,Google,search,55+,83.61,5082,192,0.0379,1,0.44,83.61,82.67,0.99
124,2024-07-19,Google,carousel,45-54,130.64,14173,338,0.0239,9,0.39,14.52,157.44,1.21
125,2024-07-19,Facebook,video,25-34,138.95,9069,43,0.0048,1,3.23,138.95,74.65,0.54
126,2024-07-19,Facebook,video,25-34,125.71,11438,155,0.0136,3,0.81,41.9,123.74,0.98
127,2024-07-19,LinkedIn,video,45-54,44.08,1188,5,0.0044,0,8.82,,0.0,0.0
128,2024-07-19,LinkedIn,search,18-24,91.29,9374,86,0.0092,2,1.06,45.65,193.15,2.12
129,2024-07-20,Facebook,video,45-54,211.18,7268,125,0.0173,3,1.69,70.39,198.49,0.94
130,2024-07-20,Instagram,carousel,45-54,20,767,3,0.0051,0,6.67,,0,0.0
131,2024-07-20,Instagram,carousel,18-24,153.19,9384,146,0.0156,0,1.05,,0.0,0.0
132,2024-07-20,TikTok,display,45-54,121.92,1951,29,0.0149,0,4.2,,0.0,0.0
133,2024-07-20,LinkedIn,display,35-44,231.15,12608,73,0.0058,1,3.17,231.15,,0.28
134,2024-07-20,LinkedIn,carousel,55+,188.44,11816,105,0.0089,1,1.79,188.44,25.94,0.14
135,2024-07-20,LinkedIn,display,18-24,139.9,6545,97,0.0149,1,1.44,139.9,63.33,0.45
136,2024-07-21,Google,carousel,35-44,62.78,2328,81,0.0349,2,0.78,31.39,228.78,3.64
137,2024-07-21,Facebook,search,45-54,107.63,7840,95,0.0121,0,1.13,,0.0,0.0
138,2024-07-21,Facebook,story,35-44,117.46,7104,50,0.0071,0,2.35,,0.0,0.0
139,2024-07-21,Facebook,story,25-34,329.98,15060,137,0.0091,6,2.41,55.0,424.94,1.29
140,2024-07-21,TikTok,display,55+,76.65,4105,75,0.0184,2,1.02,38.33,169.89,2.22
141,2024-07-21,TikTok,story,55+,20,948,18,0.0193,0,1.11,,0.0,0.0
142,2024-07-21,TikTok,video,35-44,189.47,7745,122,0.0158,3,1.55,63.16,30,0.16
143,2024-07-21,LinkedIn,carousel,45-54,239.04,12971,170,0.0132,5,1.41,47.81,50,0.21
144,2024-07-21,LinkedIn,search,45-54,144.51,4073,13,0.0034,0,11.12,,0.0,0.0
145,2024-07-22,Google,video,35-44,59.77,4585,121,0.0264,5,0.49,11.95,187.16,3.13
146,2024-07-22,Instagram,search,25-34,20,1319,30,0.0234,0,0.67,,0.0,0.0
147,2024-07-22,TikTok,carousel,55+,181.99,16061,179,0.0112,8,1.02,22.75,80,0.44
148,2024-07-22,TikTok,video,18-24,164.64,9032,226,0.0251,6,0.73,27.44,311.17,1.89
149,2024-07-22,TikTok,video,18-24,222.75,10457,283,0.0271,6,0.79,37.12,215.98,0.97
150,2024-07-22,LinkedIn,display,45-54,141.96,10927,46,0.0043,0,3.09,,0.0,0.0
151,2024-07-22,LinkedIn,video,35-44,234.49,15647,118,0.0076,5,1.99,46.9,429.68,1.83
152,2024-07-23,Facebook,carousel,35-44,144.07,7520,33,0.0045,0,4.37,,0.0,0.0
153,2024-07-23,Instagram,video,45-54,108.28,10330,149,0.0145,6,0.73,18.05,535.26,4.94
154,2024-07-23,Instagram,display,55+,204.46,10949,89,0.0082,2,2.3,102.23,107.48,0.53
155,2024-07-23,TikTok,video,18-24,277.71,17782,363,0.0204,14,0.77,19.84,,5.73
156,2024-07-23,TikTok,search,25-34,129.6,5956,82,0.0139,0,1.58,,0.0,0.0
157,2024-07-23,TikTok,search,25-34,72.87,3206,44,0.0138,1,1.66,72.87,132.53,1.82
158,2024-07-24,Google,display,55+,20,1576,57,0.0366,1,0.35,20.0,74.12,3.71
159,2024-07-24,Google,video,45-54,285.65,25043,640,0.0256,5,0.45,57.13,50,0.18
160,2024-07-24,Facebook,carousel,18-24,109.71,4061,56,0.0138,2,1.96,54.85,147.25,1.34
161,2024-07-24,Facebook,carousel,55+,135.1,8753,83,0.0095,1,1.63,135.1,18.0,0.13
162,2024-07-24,Facebook,display,55+,235.92,9407,97,0.0104,4,2.43,58.98,379.3,1.61
163,2024-07-24,LinkedIn,carousel,35-44,221.82,21484,120,0.0056,4,1.85,55.45,339.06,1.53
164,2024-07-24,LinkedIn,carousel,25-34,93.23,3306,38,0.0116,0,2.45,,0,0.0
165,2024-07-24,LinkedIn,carousel,25-34,153.84,13140,138,0.0105,5,1.11,30.77,186.75,1.21
166,2024-07-25,Facebook,display,45-54,149.76,6065,50,0.0084,1,3.0,149.76,36.07,0.24
167,2024-07-25,Facebook,story,25-34,187.47,18251,124,0.0068,0,1.51,,0.0,0.0
168,2024-07-25,Facebook,story,25-34,179.33,9020,109,0.0121,6,1.65,29.89,490.72,2.74
169,2024-07-25,Instagram,search,25-34,301.08,22785,85,0.0038,2,3.54,150.54,165.63,0.55
170,2024-07-25,Instagram,story,18-24,178.16,14287,258,0.0181,7,0.69,25.45,70,0.39
171,2024-07-25,Instagram,search,45-54,40.7,3097,50,0.0163,2,0.81,20.35,188.53,4.63
172,2024-07-25,LinkedIn,search,55+,223.31,14038,14,0.001,0,15.95,,0.0,0.0
173,2024-07-25,LinkedIn,display,18-24,202.67,11074,142,0.0129,3,1.43,67.56,209.73,1.03
174,2024-07-26,Facebook,search,55+,130.93,4100,42,0.0103,1,3.12,130.93,98.21,0.75
175,2024-07-26,Facebook,story,55+,269.53,12650,238,0.0189,2,1.13,134.76,234.74,0.87
176,2024-07-26,Instagram,display,45-54,187.57,15174,341,0.0225,12,0.55,15.63,892.89,4.76
177,2024-07-26,Instagram,display,35-44,130.2,7713,54,0.007,1,2.41,130.2,102.09,0.78
178,2024-07-26,Instagram,video,45-54,177.47,17461,276,0.0158,11,0.64,16.13,531.44,2.99
179,2024-07-26,TikTok,display,25-34,97.05,8312,177,0.0214,11,0.55,8.82,1289.21,13.28
180,2024-07-26,TikTok,search,45-54,138.89,6621,201,0.0304,3,0.69,46.3,223.83,1.61
181,2024-07-26,TikTok,video,25-34,153.45,16928,383,0.0227,14,0.4,10.96,319.91,2.08
182,2024-07-26,LinkedIn,video,25-34,260.87,23906,155,0.0065,6,1.68,43.48,228.75,0.88
183,2024-07-27,Google,search,18-24,225.14,8597,284,0.0331,0,0.79,,0.0,0.0
184,2024-07-27,Facebook,story,25-34,150.07,5554,48,0.0087,0,3.13,,0.0,0.0
185,2024-07-27,Instagram,story,35-44,165.21,7622,72,0.0095,2,2.29,82.61,173.78,1.05
186,2024-07-27,LinkedIn,story,25-34,266.45,7887,90,0.0114,2,2.96,133.22,135.53,0.51
187,2024-07-27,LinkedIn,search,25-34,88.69,4995,22,0.0044,0,4.03,,0.0,0.0
188,2024-07-28,Google,search,18-24,141.87,5915,171,0.0291,7,0.83,20.27,824.82,5.81
189,2024-07-28,Google,carousel,25-34,131.5,12249,386,0.0316,9,0.34,14.61,640.4,4.87
190,2024-07-28,Google,display,25-34,187.23,8735,300,0.0344,2,0.62,93.61,238.38,1.27
191,2024-07-28,Facebook,story,18-24,277.96,19410,295,0.0152,7,0.94,39.71,461.75,1.66
192,2024-07-28,Facebook,story,45-54,68.79,3316,53,0.0161,2,1.3,34.4,79.37,1.15
193,2024-07-28,Instagram,search,25-34,157.03,11673,152,0.013,2,1.03,78.52,147.69,0.94
194,2024-07-28,Instagram,display,35-44,290.86,17647,293,0.0166,14,0.99,20.78,1376.44,4.73
195,2024-07-28,Instagram,video,25-34,157.69,8346,55,0.0067,1,2.87,157.69,81.31,0.52
196,2024-07-28,TikTok,carousel,18-24,73.52,2161,35,0.0164,1,2.1,73.52,87.14,1.19
197,2024-07-28,LinkedIn,carousel,25-34,168.35,6909,40,0.0059,1,4.21,168.35,88.08,0.52
198,2024-07-28,LinkedIn,search,55+,179.61,7904,102,0.013,3,1.76,59.87,176.31,0.98
199,2024-07-28,LinkedIn,search,45-54,43.61,1836,30,0.0169,0,1.45,,0.0,0.0
200,2024-07-29,Facebook,story,35-44,170.13,9800,172,0.0176,3,0.99,56.71,89.43,0.53
201,2024-07-29,Instagram,video,18-24,234.25,23828,304,0.0128,14,0.77,16.73,1127.7,4.81
202,2024-07-29,Instagram,video,45-54,332.85,18764,246,0.0131,9,1.35,36.98,530.78,1.59
203,2024-07-29,Instagram,video,35-44,108.91,6176,79,0.0129,2,1.38,54.45,100.57,0.92
204,2024-07-29,TikTok,video,55+,147.46,14531,303,0.0209,2,0.49,73.73,125.63,0.85
205,2024-07-29,TikTok,story,25-34,78.19,6485,81,0.0126,1,0.97,78.19,99.66,1.27
206,2024-07-29,TikTok,story,35-44,61.13,1584,32,0.0206,0,1.91,,0.0,0.0
207,2024-07-30,Google,video,18-24,187.8,15495,503,0.0325,17,0.37,11.05,1034.53,5.51
208,2024-07-30,Facebook,display,35-44,124.09,9534,58,0.0061,0,2.14,,0.0,0.0
209,2024-07-30,Facebook,carousel,35-44,216.75,23866,218,0.0092,4,0.99,54.19,294.39,1.36
210,2024-07-30,Facebook,story,35-44,250.04,23091,232,0.0101,13,1.08,19.23,977.91,3.91
211,2024-07-30,Instagram,story,55+,197.94,8321,150,0.0181,5,1.32,39.59,450.06,2.27
212,2024-07-30,Instagram,search,18-24,132.9,10113,210,0.0209,3,0.63,44.3,139.26,1.05
213,2024-07-30,Instagram,display,18-24,147.24,6649,139,0.0209,3,1.06,49.08,221.53,1.5
214,2024-07-30,TikTok,story,55+,54.58,4955,100,0.0203,1,0.55,54.58,77.67,1.42
215,2024-07-30,TikTok,search,18-24,160.71,13599,356,0.0262,14,0.45,11.48,431.07,2.68
216,2024-07-30,TikTok,search,35-44,69.58,5402,77,0.0144,2,0.9,34.79,180.51,2.59
217,2024-07-31,Google,search,55+,231.3,27761,942,0.0339,30,0.25,7.71,1301.82,5.63
218,2024-07-31,Google,search,18-24,20,243,9,0.0391,0,2.22,,0.0,0.0
219,2024-07-31,Facebook,carousel,18-24,190.8,18530,242,0.0131,4,0.79,47.7,294.17,1.54
220,2024-07-31,Facebook,display,45-54,110.31,4731,60,0.0129,2,1.84,55.16,120.62,1.09
221,2024-07-31,Facebook,video,25-34,274.63,20128,358,0.0178,7,0.77,39.23,282.16,1.03
222,2024-07-31,Instagram,display,35-44,143.04,7865,31,0.004,0,4.61,,0.0,0.0
223,2024-07-31,Instagram,search,18-24,344.74,22824,323,0.0142,0,1.07,,0.0,0.0
224,2024-07-31,Instagram,carousel,18-24,215.52,23989,445,0.0186,9,0.48,23.95,787.41,3.65
225,2024-07-31,TikTok,carousel,45-54,205.09,8715,60,0.0069,2,3.42,102.55,224.17,1.09
226,2024-08-01,Google,video,25-34,144.27,7449,200,0.0269,8,0.72,18.03,600.85,4.16
227,2024-08-01,Instagram,video,25-34,184.98,10640,148,0.014,4,1.25,46.24,124.66,0.67
228,2024-08-01,TikTok,display,35-44,114.03,9474,195,0.0207,12,0.58,9.5,778.48,6.83
229,2024-08-01,TikTok,display,45-54,22.96,1987,19,0.0101,0,1.21,,0.0,0.0
230,2024-08-02,Google,search,18-24,125.33,9426,357,0.0379,15,0.35,8.36,1334.74,10.65
231,2024-08-02,Google,search,25-34,301.08,13888,423,0.0305,0,0.71,,0.0,0.0
232,2024-08-02,Google,carousel,25-34,132.92,10239,422,0.0412,14,0.31,9.49,1465.81,11.03
233,2024-08-02,Instagram,video,55+,107.68,4328,58,0.0136,0,1.86,,0.0,0.0
234,2024-08-02,Instagram,display,45-54,168.7,10118,96,0.0096,2,1.76,84.35,111.24,0.66
235,2024-08-02,Instagram,story,45-54,123.5,4705,58,0.0125,0,2.13,,0.0,0.0
236,2024-08-03,Facebook,display,18-24,71.47,4054,47,0.0117,1,1.52,71.47,81.28,1.14
237,2024-08-03,Facebook,story,25-34,205.74,11504,72,0.0063,1,2.86,205.74,48.16,0.23
238,2024-08-03,Instagram,video,18-24,161.82,6895,104,0.0152,4,1.56,40.45,130.51,0.81
239,2024-08-03,Instagram,video,18-24,178.44,5404,98,0.0182,3,1.82,59.48,213.66,1.2
240,2024-08-03,TikTok,carousel,18-24,99.96,5989,146,0.0244,4,0.68,24.99,173.1,1.73
241,2024-08-03,TikTok,search,18-24,182.29,1252,15,0.0122,0,12.15,,0.0,0.0
242,2024-08-03,LinkedIn,display,45-54,130.75,9446,116,0.0123,4,1.13,32.69,270.35,2.07
243,2024-08-04,Facebook,story,25-34,48.76,1370,8,0.0059,0,6.09,,0.0,0.0
244,2024-08-04,Facebook,carousel,25-34,143.6,7353,65,0.0089,3,2.21,47.87,198.97,1.39
245,2024-08-04,Instagram,search,35-44,188.45,8857,142,0.0161,2,1.33,94.22,219.31,1.16
246,2024-08-04,TikTok,video,45-54,20,1206,21,0.0177,0,0.95,,0.0,0.0
247,2024-08-04,TikTok,story,25-34,168.37,9688,177,0.0183,7,0.95,24.05,70,0.42
248,2024-08-05,Google,display,45-54,228.77,17634,498,0.0283,11,0.46,20.8,1181.53,5.16
249,2024-08-05,Google,display,55+,185.25,10919,388,0.0356,11,0.48,16.84,856.44,4.62
250,2024-08-05,Facebook,display,35-44,226.07,5978,112,0.0189,4,2.02,56.52,206.83,0.91
251,2024-08-05,Facebook,search,25-34,123.38,7241,58,0.0081,2,2.13,61.69,131.7,1.07
252,2024-08-05,Instagram,search,45-54,116.41,5052,39,0.0078,2,2.98,58.2,177.58,1.53
253,2024-08-05,TikTok,carousel,18-24,212.47,17736,229,0.013,5,0.93,42.49,384.56,1.81
254,2024-08-05,TikTok,display,45-54,133.88,14186,225,0.0159,7,0.6,19.13,317.15,2.37
255,2024-08-06,Google,video,55+,54.47,4574,151,0.0331,0,0.36,,0.0,0.0
256,2024-08-06,Google,display,45-54,216.49,12096,465,0.0385,17,0.47,12.73,518.05,2.39
257,2024-08-06,Google,video,25-34,328.3,23471,682,0.0291,6,0.48,54.72,60,0.18
258,2024-08-06,Facebook,carousel,55+,104.06,7934,128,0.0162,3,0.81,34.69,,0.6
259,2024-08-06,LinkedIn,carousel,18-24,169.25,14516,84,0.0058,3,2.01,56.42,377.22,2.23
260,2024-08-07,Google,carousel,45-54,230.54,12900,479,0.0372,3,0.48,76.85,194.97,0.85
261,2024-08-07,Google,carousel,18-24,127.03,9862,446,0.0452,23,0.28,5.52,1550.88,12.21
262,2024-08-07,TikTok,story,55+,251.34,19285,288,0.015,10,0.87,25.13,402.31,1.6
263,2024-08-07,LinkedIn,display,55+,114.37,10118,49,0.0049,1,2.33,114.37,63.82,0.56
264,2024-08-08,Facebook,search,45-54,50.41,7166,100,0.014,2,0.5,25.2,81.76,1.62
265,2024-08-08,Facebook,carousel,55+,196.43,15629,173,0.0111,6,1.14,32.74,452.39,2.3
266,2024-08-08,Instagram,search,55+,193.18,11565,164,0.0142,1,1.18,193.18,10,0.05
267,2024-08-08,Instagram,display,18-24,168.96,12469,137,0.011,3,1.23,56.32,98.73,0.58
268,2024-08-08,Instagram,display,35-44,226.37,10884,230,0.0212,1,0.98,226.37,70.99,0.31
269,2024-08-08,TikTok,story,55+,20,1287,18,0.0142,0,1.11,,0.0,0.0
270,2024-08-08,LinkedIn,carousel,55+,20,1604,15,0.0096,0,1.33,,0.0,0.0
271,2024-08-09,Google,story,55+,260.8,14394,549,0.0382,15,0.48,17.39,1361.39,5.22
