session_id,user_id,timestamp,device,traffic_source,duration_seconds,pages_viewed,bounce,converted,cart_value
S000050,6073,2024-02-13 22:01,Desktop,Paid,418,9,0,0,0
S000051,5559,2024-05-07 17:57,Mobile,Paid,294,5,0,0,0
S000052,5934,2024-01-15 19:46,Mobile,Paid,99,1,1,0,0
S000053,2691,2024-05-11 21:51,Desktop,Organic,264,5,0,0,0
S000054,4742,2024-03-12 07:57,Desktop,Organic,25,1,1,0,0
S000055,4276,2024-05-20 15:52,Mobile,Organic,163,3,0,0,0
S000056,2687,2024-02-29 08:07,Mobile,Direct,139,3,0,0,0
S000057,6287,2024-03-04 15:35,Mobile,Organic,163,4,0,0,0
S000058,8952,2024-04-18 23:06,Desktop,Paid,169,2,0,0,0
S000059,2653,2024-01-04 03:49,Mobile,Email,269,6,0,0,0
S000060,8815,2024-06-16 23:16,Mobile,Organic,50,1,1,0,0
S000061,3931,2024-04-15 14:57,Desktop,Email,297,6,0,1,87.13
S000062,5509,2024-03-25 20:38,Desktop,Direct,139,4,0,0,0
S000063,1824,2024-06-13 06:38,Mobile,Referral,,2,0,0,0
S000064,7903,2024-05-26 17:41,Mobile,Email,47,1,1,0,0
S000065,5970,2024-06-10 00:35,Mobile,Email,199,3,0,0,0
S000066,6489,2024-01-11 10:11,Tablet,Email,389,11,0,1,80.79
S000067,5690,2024-05-24 14:27,Mobile,Social,88,2,0,0,0
S000068,5959,2024-06-11 01:45,Mobile,Direct,203,4,0,0,0
S000069,3550,2024-05-27 12:27,Desktop,Direct,32,1,1,0,0
S000070,7647,2024-05-06 22:51,Tablet,Paid,311,4,0,1,43.29
S000071,3224,2024-01-23 17:52,Mobile,Paid,229,4,0,1,
S000072,6188,2024-03-31 11:57,Mobile,Organic,228,4,0,0,0
S000073,5813,2024-05-21 16:08,Mobile,Direct,284,9,0,0,0
S000074,9714,2024-06-23 00:23,Desktop,Referral,174,4,0,0,0
S000075,4354,2024-02-17 11:23,Desktop,Social,336,6,0,0,0
S000076,5263,2024-03-10 17:34,Desktop,Direct,224,3,0,0,0
S000077,2568,2024-04-26 18:17,Mobile,Direct,128,2,0,1,99.17
S000078,9345,2024-06-27 04:55,Mobile,Referral,303,4,0,0,
S000079,8038,2024-02-11 14:21,Mobile,Email,263,5,0,0,0
S000080,2812,2024-03-30 05:42,Mobile,Direct,211,3,0,0,0
S000081,4824,2024-04-24 08:58,Mobile,Paid,80,1,1,0,0
S000082,9950,2024-05-21 21:36,Desktop,Social,297,6,0,0,0
S000083,6539,2024-02-26 02:33,Mobile,Organic,272,5,0,0,0
S000084,8524,2024-04-03 11:57,Desktop,Organic,360,11,0,0,0
S000085,7725,2024-06-06 01:29,Desktop,Social,236,5,0,0,0
S000086,1439,2024-02-16 08:44,Desktop,Social,255,8,0,0,0
S000087,2253,2024-01-14 12:37,Desktop,Social,422,7,0,0,0
S000088,3954,2024-06-04 05:05,Mobile,Social,194,4,0,0,0
S000089,5742,2024-04-04 13:33,Desktop,Organic,98,3,0,0,0
S000090,1909,2024-02-20 08:08,Desktop,Social,,3,0,0,0
S000091,1575,2024-02-10 00:33,Mobile,Email,3,1,1,0,0
S000092,9856,2024-06-04 07:21,Tablet,Paid,259,4,0,1,56.82
S000093,1926,2024-06-06 06:36,Mobile,Social,87,1,1,0,0
S000094,6895,2024-04-27 12:57,Mobile,Email,55,1,1,0,0
S000095,2335,2024-05-24 00:28,Mobile,Paid,,1,1,0,0
S000096,4014,2024-04-10 02:30,Desktop,Organic,386,9,0,1,7.72
S000097,7733,2024-06-12 12:11,Mobile,Direct,3,1,1,0,0
S000098,1442,2024-04-21 00:05,Mobile,Organic,160,3,0,0,0
S000099,2128,2024-01-01 10:13,Mobile,Social,212,7,0,0,0
S000100,9933,2024-05-25 22:34,Mobile,Social,272,9,0,0,0
S000101,1741,2024-05-16 23:14,Mobile,Direct,128,2,0,0,0
S000102,8707,2024-03-26 19:04,Desktop,Organic,322,19,0,0,0
S000103,4583,2024-06-26 02:20,Desktop,Organic,277,5,0,0,0
S000104,3683,2024-04-27 05:07,Mobile,Direct,190,3,0,0,0
S000105,4696,2024-06-21 19:38,Desktop,Social,444,6,0,0,0
S000106,8091,2024-05-05 02:44,Mobile,Email,278,6,0,0,0
S000107,7141,2024-03-12 00:11,Desktop,Social,85,1,1,0,0
S000108,5160,2024-03-29 08:27,Desktop,Organic,356,6,0,1,45.04
S000109,5729,2024-05-16 21:34,Desktop,Paid,297,8,0,0,0
S000110,7834,2024-06-04 17:13,Desktop,Paid,486,7,0,0,0
S000111,3637,2024-05-12 03:07,Mobile,Social,158,15,0,0,0
S000112,4464,2024-03-17 22:11,Tablet,Paid,96,1,1,0,0
S000113,4031,2024-03-09 06:15,Mobile,Email,197,6,0,0,0
S000114,1332,2024-03-27 11:56,Desktop,Organic,132,2,0,0,0
S000115,3898,2024-01-11 21:00,Desktop,Social,432,5,0,0,0
S000116,3492,2024-05-01 17:32,Mobile,Direct,258,5,0,0,0
S000117,6510,2024-03-10 11:36,Mobile,Paid,75,1,1,0,0
S000118,3138,2024-04-12 06:23,Mobile,Direct,195,4,0,0,0
S000119,1254,2024-01-03 09:35,Desktop,Paid,257,7,0,0,0
S000120,4748,2024-04-30 18:39,Tablet,Email,193,1,1,0,0
S000121,6930,2024-02-11 21:28,Mobile,Paid,246,3,0,0,0
S000122,3880,2024-03-16 00:30,Mobile,Social,190,4,0,0,0
S000123,1093,2024-03-17 06:25,Mobile,Email,122,2,0,0,0
S000124,2753,2024-04-14 00:20,Mobile,Social,21,1,1,0,0
S000125,2444,2024-06-15 02:06,Desktop,Direct,256,6,0,0,0
S000126,9808,2024-01-01 17:03,Mobile,Social,17,1,1,0,0
S000127,9793,2024-01-10 20:55,Tablet,Paid,170,2,0,0,0
S000128,2906,2024-02-29 14:05,Desktop,Organic,527,8,0,0,0
S000129,6840,2024-05-20 23:44,Mobile,Paid,287,4,0,0,0
S000130,6224,2024-06-18 06:57,Desktop,Paid,451,8,0,1,75.07
S000131,4860,2024-05-18 06:20,Mobile,Organic,100,1,1,0,0
S000132,4176,2024-02-11 22:24,Desktop,Direct,196,5,0,0,0
S000133,1990,2024-04-24 03:40,Mobile,Referral,224,5,0,0,0
S000134,7996,2024-04-19 17:25,Mobile,Paid,227,4,0,0,0
S000135,8053,2024-03-06 08:22,Desktop,Organic,324,6,0,0,0
S000136,4701,2024-02-29 04:26,Mobile,Social,230,3,0,0,0
S000137,3510,2024-03-13 02:04,Tablet,Email,337,9,0,1,69.22
S000138,9834,2024-05-05 15:56,Mobile,Organic,336,4,0,0,0
S000139,3239,2024-05-03 07:22,Desktop,Paid,208,2,0,0,0
S000140,3530,2024-03-02 20:18,Mobile,Direct,310,76,0,0,0
S000141,4739,2024-01-17 16:51,Desktop,Organic,212,4,0,0,0
S000142,7230,2024-05-22 14:52,Desktop,Referral,163,3,0,0,0
S000143,8030,2024-06-16 02:21,Mobile,Email,87,1,1,0,0
S000144,8984,2024-02-17 19:01,Mobile,Organic,204,4,0,0,0
S000145,1962,2024-03-15 07:07,Mobile,Organic,55,1,1,0,0
S000146,8732,2024-06-17 08:15,Tablet,Email,271,4,0,0,0
S000147,1813,2024-02-20 18:24,Mobile,Paid,,4,0,0,0
S000148,7820,2024-01-09 12:20,Mobile,Paid,88,1,1,0,0
S000149,7620,2024-05-04 11:57,Desktop,Paid,497,13,0,0,0
S000150,6560,2024-05-18 00:30,Desktop,Direct,372,7,0,0,0
S000151,7101,2024-06-23 05:23,Tablet,Social,175,3,0,0,0
S000152,1505,2024-05-24 05:43,Desktop,Direct,173,3,0,1,0
S000153,8541,2024-01-14 20:47,Desktop,Email,123,1,1,0,0
S000154,9150,2024-02-19 20:43,Mobile,Direct,200,3,0,0,0
S000155,4281,2024-02-28 09:13,Desktop,Organic,182,4,0,0,0
S000156,2532,2024-02-20 22:42,Mobile,Email,145,2,0,0,0
S000157,1994,2024-02-04 00:48,Mobile,Paid,257,6,0,1,66.66
S000158,6338,2024-05-04 09:48,Desktop,Organic,174,5,0,1,12.78
S000159,1939,2024-04-13 04:04,Mobile,Organic,195,5,0,0,0
S000160,3263,2024-01-21 07:25,Tablet,Organic,3,1,1,0,0
S000161,6288,2024-04-11 11:34,Desktop,Paid,311,11,0,0,0
S000162,1777,2024-01-24 05:09,Mobile,Social,270,5,0,0,0
S000163,8435,2024-06-26 16:33,Mobile,Direct,78,1,1,0,0
S000164,6333,2024-01-14 17:22,Mobile,Paid,128,2,0,0,0
S000165,1074,2024-04-17 04:57,Tablet,Organic,294,4,0,1,101.21
S000166,7612,2024-06-02 08:28,Mobile,Paid,162,3,0,0,0
S000167,6529,2024-06-24 02:13,Mobile,Email,201,3,0,0,0
S000168,1769,2024-04-14 00:35,Tablet,Direct,39,1,1,0,0
S000169,1744,2024-02-09 15:57,Mobile,Organic,5,1,1,0,0
S000170,6930,2024-04-16 15:20,Desktop,Organic,112,1,1,0,0
S000171,1043,2024-04-28 14:19,Mobile,Organic,101,1,1,0,0
S000172,1329,2024-06-20 07:34,Desktop,Organic,373,7,0,0,0
S000173,1042,2024-01-14 12:26,Desktop,Paid,92,3,0,0,0
S000174,3065,2024-03-18 09:15,Mobile,Direct,145,2,0,0,0
S000175,5538,2024-05-01 02:38,Mobile,Direct,118,4,0,0,0
S000176,5478,2024-01-01 04:26,Mobile,Organic,203,3,0,0,0
S000177,6188,2024-03-02 16:56,Mobile,Referral,320,4,0,0,0
S000178,5160,2024-04-23 06:47,Mobile,Organic,153,3,0,0,0
S000179,5827,2024-04-20 23:07,Tablet,Direct,152,1,1,0,0
S000180,7158,2024-01-08 18:01,Desktop,Social,103,1,1,0,0
S000181,9327,2024-02-29 19:59,Mobile,Organic,277,6,0,0,0
S000182,8973,2024-06-07 18:45,Desktop,Referral,10,1,1,0,0
S000183,1323,2024-05-08 21:05,Mobile,Referral,300,4,0,0,0
S000184,5732,2024-04-26 00:55,Mobile,Referral,3,1,1,0,0
S000185,2174,2024-04-08 07:59,Desktop,Organic,156,2,0,0,0
S000186,6534,2024-02-22 10:25,Mobile,Organic,66,2,0,0,0
S000187,7764,2024-01-02 16:41,Tablet,Organic,96,2,0,0,0
S000188,6900,2024-03-27 16:37,Mobile,Direct,268,8,0,1,66.91
S000189,2641,2024-06-07 21:04,Mobile,Direct,307,6,0,0,0
S000190,7328,2024-03-19 14:45,Mobile,Organic,3,1,1,0,0
S000191,9365,2024-03-18 06:22,Desktop,Paid,444,15,0,0,0
S000192,2986,2024-04-08 14:12,Desktop,Paid,323,8,0,0,0
S000193,5789,2024-05-11 02:24,Tablet,Paid,150,3,0,1,98.81
S000194,1003,2024-06-25 05:10,Mobile,Organic,3,1,1,0,0
S000195,1824,2024-01-03 07:42,Tablet,Paid,320,4,0,0,0
S000196,6797,2024-02-22 04:30,Tablet,Organic,55,3,0,0,0
S000197,2925,2024-05-21 08:40,Mobile,Direct,81,1,1,0,0
S000198,1797,2024-01-06 03:46,Desktop,Social,217,4,0,0,0
S000199,7159,2024-02-23 06:55,Tablet,Organic,432,12,0,0,0
S000200,3444,2024-04-09 19:43,Mobile,Paid,313,5,0,0,0
S000201,1631,2024-05-25 15:34,Mobile,Paid,171,4,0,1,52.81
S000202,7796,2024-01-26 07:07,Tablet,Social,108,1,1,0,0
S000203,1406,2024-03-03 07:36,Mobile,Direct,181,2,0,0,0
S000204,5669,2024-05-30 09:15,Tablet,Organic,182,3,0,0,0
S000205,8874,2024-06-23 11:59,Mobile,Paid,202,5,0,0,0
S000206,7155,2024-02-16 11:39,Mobile,Organic,169,4,0,0,0
S000207,8781,2024-02-21 16:40,Mobile,Paid,3,1,1,0,0
S000208,9013,2024-02-11 23:27,Mobile,Direct,161,2,0,0,0
S000209,7297,2024-03-02 05:38,Desktop,Direct,235,4,0,0,0
S000210,1290,2024-04-16 00:15,Mobile,Direct,308,5,0,0,0
S000211,4739,2024-03-10 08:54,Mobile,Social,199,3,0,0,0
S000212,6424,2024-04-12 07:01,Mobile,Organic,151,2,0,0,0
S000213,7302,2024-03-29 11:43,Mobile,Organic,3,1,1,0,0
S000214,6137,2024-02-05 21:06,Desktop,Organic,271,14,0,0,0
S000215,5874,2024-03-13 07:50,Tablet,Email,211,4,0,0,0
S000216,6040,2024-04-11 10:00,Tablet,Paid,234,7,0,0,0
S000217,6216,2024-03-25 09:46,Mobile,Social,279,6,0,0,0
S000218,3346,2024-06-27 15:50,Desktop,Organic,101,2,0,0,0
S000219,4272,2024-02-01 09:33,Mobile,Organic,3,1,1,0,0
S000220,9604,2024-02-13 01:33,Tablet,Social,190,3,0,0,0
S000221,3449,2024-04-08 22:30,Mobile,Direct,223,3,0,0,0
S000222,3985,2024-06-10 03:47,Desktop,Email,385,7,0,0,0
S000223,1243,2024-03-17 21:44,Desktop,Organic,24,1,1,0,0
S000224,3831,2024-02-26 23:22,Mobile,Referral,280,4,0,0,0
S000225,6433,2024-01-14 03:37,Mobile,Paid,185,3,0,0,0
S000226,7362,2024-06-20 21:30,Tablet,Paid,78,2,0,0,0
S000227,2008,2024-01-01 11:36,Mobile,Email,236,4,0,0,0
S000228,9971,2024-03-29 06:57,Mobile,Direct,29,1,1,0,0
S000229,7327,2024-06-03 11:08,Tablet,Email,44,1,1,0,0
S000230,6817,2024-01-06 13:49,Mobile,Organic,222,4,0,0,0
S000231,6536,2024-04-02 17:32,Desktop,Organic,37,1,1,0,
S000232,8399,2024-05-30 22:56,Desktop,Paid,371,9,0,0,0
S000233,1728,2024-05-28 10:05,Mobile,Organic,3,1,1,0,0
S000234,7920,2024-05-30 23:22,Tablet,Social,324,5,0,0,0
S000235,8056,2024-06-14 21:49,Desktop,Social,167,5,0,0,0
S000236,3102,2024-03-11 02:40,Desktop,Email,111,2,0,0,0
S000237,1893,2024-01-12 17:45,Tablet,Direct,63,1,1,0,0
S000238,1455,2024-02-21 12:13,Mobile,Email,166,3,0,0,0
S000239,6123,2024-01-04 00:52,Desktop,Paid,86,1,1,0,0
S000240,3322,2024-02-15 10:44,Mobile,Paid,117,1,1,0,0
S000241,8511,2024-03-27 20:02,Mobile,Paid,76,1,1,0,0
S000242,3284,2024-02-17 15:40,Desktop,Direct,154,2,0,0,0
S000243,1617,2024-03-03 05:23,Tablet,Direct,104,2,0,0,0
S000244,1533,2024-03-26 16:50,Desktop,Organic,264,7,0,0,0
S000245,3708,2024-04-02 21:45,Tablet,Organic,384,11,0,0,0
S000246,5198,2024-05-03 15:45,Desktop,Organic,173,5,0,0,0
S000247,4977,2024-05-08 03:42,Mobile,Organic,270,3,0,0,0
S000248,3907,2024-03-28 04:48,Mobile,Paid,258,6,0,0,
S000249,5822,2024-06-27 19:32,Tablet,Paid,293,5,0,1,40.49
S000250,5895,2024-02-26 08:18,Desktop,Paid,427,7,0,1,39.55
S000251,9466,2024-06-09 14:59,Tablet,Social,120,4,0,0,0
S000252,4450,2024-05-23 15:56,Mobile,Social,166,3,0,0,0
S000253,8546,2024-06-17 09:30,Tablet,Email,45,1,1,0,0
S000254,8426,2024-06-02 13:02,Mobile,Organic,,2,0,0,0
S000255,4625,2024-04-15 11:42,Mobile,Direct,88,1,1,0,0
S000256,1301,2024-01-09 12:21,Mobile,Social,171,10,0,0,0
S000257,5857,2024-02-15 11:38,Desktop,Organic,305,4,0,0,0
S000258,4285,2024-05-25 23:27,Mobile,Social,151,3,0,0,0
S000259,3433,2024-02-21 21:59,Mobile,Organic,173,4,0,0,0
S000260,3023,2024-05-06 19:06,Desktop,Direct,265,6,0,0,0
S000261,1047,2024-06-16 17:46,Tablet,Organic,338,8,0,0,0
S000262,1394,2024-04-16 03:01,Desktop,Organic,191,4,0,0,0
S000263,8604,2024-01-02 02:55,Desktop,Social,458,8,0,0,0
S000264,5920,2024-02-16 07:38,Mobile,Organic,136,6,0,0,0
S000265,5543,2024-06-13 09:25,Mobile,Organic,133,1,1,0,0
S000266,4870,2024-03-21 11:05,Tablet,Organic,285,12,0,0,0
S000267,2859,2024-06-10 04:36,Mobile,Organic,185,2,0,0,0
S000268,8507,2024-05-20 16:18,Tablet,Paid,246,3,0,0,0
S000269,3820,2024-05-25 19:58,Mobile,Organic,164,2,0,0,0
S000270,8234,2024-04-26 16:58,Mobile,Direct,160,3,0,0,0
S000271,1634,2024-03-16 00:14,Tablet,Email,420,6,0,0,0
S000272,4476,2024-05-28 11:34,Mobile,Organic,179,5,0,0,0
S000273,6126,2024-05-29 01:53,Mobile,Social,193,3,0,0,0
S000274,4583,2024-01-24 00:20,Desktop,Paid,167,3,0,0,0
S000275,3417,2024-03-27 03:00,Mobile,Organic,160,5,0,0,0
S000276,8546,2024-03-11 16:17,Desktop,Direct,521,7,0,0,0
S000277,1644,2024-06-22 08:00,Mobile,Organic,36,1,1,0,0
S000278,4799,2024-06-06 04:03,Tablet,Email,339,4,0,0,0
S000279,3416,2024-05-17 11:07,Mobile,Direct,,3,0,0,0
S000280,5150,2024-02-11 04:57,Mobile,Direct,18,1,1,0,0
S000281,5102,2024-05-06 19:34,Desktop,Direct,89,1,1,0,0
S000282,8389,2024-04-08 14:15,Desktop,Paid,103,2,0,0,0
S000283,9879,2024-05-29 12:12,Mobile,Email,169,2,0,0,0
S000284,7152,2024-02-04 00:57,Mobile,Organic,108,2,0,0,0
S000285,3787,2024-03-18 21:54,Mobile,Organic,219,4,0,0,0
S000286,1897,2024-04-28 21:37,Mobile,Direct,3,1,1,0,0
S000287,3677,2024-06-13 04:45,Tablet,Organic,245,4,0,0,0
S000288,7177,2024-03-09 01:18,Tablet,Social,42,1,1,0,0
S000289,1545,2024-05-30 22:21,Mobile,Direct,229,3,0,0,0
S000290,5762,2024-03-15 23:10,Mobile,Email,138,7,0,0,0
S000291,1119,2024-01-10 19:03,Desktop,Organic,274,4,0,0,0
S000292,8923,2024-03-15 06:09,Mobile,Organic,175,3,0,0,0
S000293,3280,2024-04-29 00:30,Desktop,Organic,178,2,0,0,0
S000294,6529,2024-04-13 01:28,Mobile,Social,198,3,0,0,0
S000295,9656,2024-03-11 13:49,Mobile,Social,231,3,0,0,0
S000296,5020,2024-06-04 17:08,Tablet,Organic,204,4,0,0,0
S000297,1576,2024-05-18 13:55,Desktop,Social,229,3,0,0,0
S000298,7933,2024-04-10 08:51,Mobile,Social,132,2,0,0,0
S000299,9382,2024-06-23 05:06,Mobile,Organic,137,2,0,0,0
S000300,5635,2024-06-06 05:21,Tablet,Paid,182,2,0,0,0
S000301,9890,2024-05-12 05:12,Mobile,Paid,236,3,0,0,0
S000302,4093,2024-01-08 12:53,Tablet,Direct,66,1,1,0,0
S000303,8068,2024-05-10 06:38,Mobile,Direct,147,3,0,0,0
S000304,7013,2024-03-10 20:35,Mobile,Paid,160,2,0,0,0
S000305,9713,2024-03-04 03:16,Desktop,Direct,372,9,0,0,0
S000306,6347,2024-03-29 06:37,Mobile,Organic,47,1,1,0,0
S000307,1042,2024-04-05 02:49,Desktop,Referral,137,1,1,0,0
S000308,6566,2024-03-22 23:04,Desktop,Organic,236,4,0,0,0
S000309,3697,2024-02-04 09:47,Desktop,Organic,370,5,0,0,0
S000310,1433,2024-03-11 02:15,Tablet,Organic,308,5,0,0,0
S000311,6264,2024-01-12 11:57,Desktop,Direct,46,1,1,0,0
S000312,3522,2024-04-05 18:24,Mobile,Organic,277,4,0,0,0
S000313,4143,2024-04-13 09:46,Mobile,Organic,193,3,0,0,0
S000314,5164,2024-03-10 10:06,Tablet,Organic,202,4,0,0,0
S000315,5964,2024-06-26 21:35,Mobile,Social,102,2,0,0,0
S000316,6843,2024-03-07 18:49,Mobile,Paid,154,4,0,0,0
S000317,7850,2024-01-16 05:03,Mobile,Paid,67,1,1,0,0
S000318,8516,2024-05-29 05:52,Desktop,Organic,294,3,0,0,0
S000319,9745,2024-04-21 14:19,Tablet,Paid,43,1,1,0,0
S000320,4334,2024-06-12 22:08,Desktop,Direct,299,7,0,0,0
S000321,2420,2024-06-14 02:14,Mobile,Direct,103,1,1,0,0
S000322,7833,2024-02-07 17:00,Desktop,Paid,259,4,0,0,0
S000323,3108,2024-03-19 12:39,Tablet,Direct,212,4,0,0,0
S000324,6007,2024-05-06 12:13,Tablet,Paid,,1,1,0,0
S000325,2888,2024-04-04 04:22,Desktop,Direct,48,1,1,0,0
S000326,5471,2024-03-31 03:36,Tablet,Paid,322,6,0,0,0
S000327,8082,2024-05-30 10:53,Mobile,Direct,93,1,1,0,0
S000328,6228,2024-05-29 18:59,Mobile,Direct,245,6,0,0,0
S000329,5469,2024-06-10 18:49,Mobile,Social,260,7,0,0,0
S000330,6318,2024-03-18 16:53,Tablet,Email,332,6,0,0,0
S000331,6115,2024-04-04 06:36,Desktop,Email,287,5,0,0,0
S000332,8599,2024-03-14 11:16,Mobile,Direct,3,1,1,0,0
S000333,6318,2024-02-20 06:08,Desktop,Direct,215,4,0,0,0
S000334,3484,2024-05-19 10:16,Tablet,Organic,328,7,0,0,0
S000335,9484,2024-02-02 16:43,Desktop,Direct,276,4,0,0,0
S000336,1904,2024-01-23 12:10,Mobile,Organic,232,5,0,0,0
S000337,2727,2024-06-05 02:36,Mobile,Paid,3,1,1,0,0
S000338,5225,2024-01-03 19:38,Mobile,Organic,96,1,1,0,0
S000339,8841,2024-03-02 06:00,Mobile,Organic,94,2,0,0,0
S000340,7953,2024-02-28 20:34,Desktop,Organic,250,9,0,1,84.81
S000341,4572,2024-05-15 16:33,Mobile,Paid,107,2,0,0,0
S000342,8788,2024-02-15 23:29,Mobile,Email,22,1,1,0,0
S000343,3358,2024-04-13 06:34,Desktop,Organic,,5,0,0,0
S000344,6242,2024-05-31 04:29,Desktop,Social,173,3,0,0,0
S000345,5881,2024-03-23 21:33,Mobile,Organic,101,2,0,0,0
S000346,2738,2024-02-26 18:29,Mobile,Direct,226,4,0,0,0
S000347,3313,2024-02-26 17:06,Desktop,Organic,92,1,1,0,0
S000348,9851,2024-01-03 15:47,Mobile,Organic,213,3,0,0,0
S000349,4204,2024-02-05 14:04,Tablet,Organic,36,1,1,0,0
S000350,6401,2024-03-13 04:13,Desktop,Organic,154,3,0,0,0
S000351,3512,2024-02-13 07:39,Mobile,Social,224,4,0,0,0
S000352,1000,2024-04-06 03:11,Mobile,Organic,178,2,0,0,0
S000353,1665,2024-02-24 04:37,Desktop,Organic,234,3,0,0,0
S000354,8706,2024-05-26 12:23,Mobile,Paid,217,2,0,0,0
S000355,3805,2024-02-18 10:30,Tablet,Organic,178,3,0,0,0
S000356,3737,2024-03-08 04:10,Tablet,Paid,107,2,0,0,0
S000357,1191,2024-05-26 14:02,Mobile,Direct,357,8,0,0,0
S000358,5281,2024-04-25 05:34,Mobile,Organic,152,3,0,0,0
S000359,1263,2024-05-15 18:28,Mobile,Organic,126,1,1,0,0
S000360,3178,2024-04-07 13:03,Mobile,Social,148,2,0,0,0
S000361,1469,2024-04-25 18:47,Mobile,Paid,239,4,0,0,0
S000362,8698,2024-02-22 16:16,Mobile,Paid,196,3,0,1,43.83
S000363,7550,2024-02-26 03:01,Desktop,Organic,304,8,0,0,0
S000364,1538,2024-06-22 19:27,Desktop,Organic,17,1,1,0,0
S000365,9299,2024-03-25 22:20,Tablet,Organic,304,5,0,0,0
S000366,8908,2024-01-27 00:19,Mobile,Social,240,4,0,0,0
S000367,2491,2024-04-03 14:27,Mobile,Paid,99,1,1,0,0
S000368,1405,2024-03-12 23:07,Tablet,Referral,347,6,0,0,0
S000369,8221,2024-02-15 10:01,Mobile,Organic,64,1,1,0,0
S000370,1509,2024-01-23 15:00,Desktop,Email,495,10,0,0,
S000371,7677,2024-06-06 07:26,Desktop,Email,3,1,1,0,0
S000372,8971,2024-01-15 16:25,Desktop,Organic,232,5,0,0,0
S000373,6381,2024-06-26 10:39,Desktop,Referral,321,5,0,0,0
S000374,6748,2024-06-18 11:57,Mobile,Paid,136,4,0,0,0
S000375,7075,2024-04-20 15:33,Mobile,Email,292,6,0,0,0
S000376,5677,2024-02-04 00:23,Mobile,Referral,168,3,0,0,0
S000377,4696,2024-01-23 22:31,Mobile,Organic,240,6,0,0,0
