customer_id,tenure_months,monthly_charges,total_charges,contract_type,payment_method,num_support_tickets,avg_monthly_usage_gb,num_products,has_premium,satisfaction_score,age_group,churned
21,49,70.53,3064.27,One-Year,Credit_Card,4,1.94,4,0,3,56+,0
22,1,67.76,73.11,Month-to-Month,Credit_Card,3,11.6,1,1,3,26-35,1
23,22,101.74,2367.26,Month-to-Month,Bank_Transfer,2,17.26,1,0,4,36-45,0
24,21,40.97,818.91,Month-to-Month,Auto_Debit,2,19.5,4,0,2,36-45,1
25,12,65.93,776.77,One-Year,Bank_Transfer,0,26.95,5,0,2,26-35,0
26,14,90.07,1284.65,Month-to-Month,Auto_Debit,6,12.22,5,0,3,26-35,1
27,39,60.79,2181.55,Two-Year,Credit_Card,5,17.85,4,0,3,26-35,0
28,42,20.12,842.81,Two-Year,E-Wallet,0,14.62,3,0,3,46-55,0
29,20,61.74,1256.46,Month-to-Month,E-Wallet,0,31.62,1,1,3,36-45,0
30,6,97.92,595.53,Month-to-Month,E-Wallet,0,26.77,3,1,3,18-25,0
31,48,78.2,3752.39,One-Year,Credit_Card,7,13.4,3,0,4,26-35,0
32,7,119.57,777.29,Month-to-Month,E-Wallet,0,16.23,3,1,4,18-25,0
33,23,89.79,2098.38,One-Year,Auto_Debit,1,20.05,5,0,2,56+,0
34,37,79.05,2959.12,One-Year,Bank_Transfer,0,9.14,2,0,3,46-55,0
35,15,105.29,1486.24,One-Year,Bank_Transfer,0,10.14,5,0,2,26-35,0
36,28,41.8,1151.84,One-Year,Auto_Debit,0,21.46,3,0,2,36-45,0
37,25,72.67,1929.58,One-Year,Bank_Transfer,0,25.73,3,0,5,46-55,0
38,16,59.88,1004.71,Month-to-Month,E-Wallet,3,10.03,2,0,3,56+,1
39,41,39.58,1609.48,One-Year,Bank_Transfer,0,9.34,2,0,4,46-55,1
40,32,35.6,,One-Year,Bank_Transfer,0,10.31,4,0,,36-45,0
41,53,68.6,3655.44,Two-Year,E-Wallet,5,3.84,5,0,2,36-45,0
42,28,60.28,1657.89,Month-to-Month,Auto_Debit,2,7.44,1,0,3,36-45,0
43,20,83.63,1621.21,Month-to-Month,Bank_Transfer,1,14.01,2,0,2,18-25,1
44,35,54.7,1973.4,Month-to-Month,Credit_Card,3,15.43,3,0,4,26-35,0
45,26,82.82,2313.52,Month-to-Month,E-Wallet,5,6.87,2,0,3,46-55,1
46,40,77.96,3042.7,Two-Year,Bank_Transfer,2,15.46,4,0,1,46-55,0
47,27,24.55,639.08,Month-to-Month,Bank_Transfer,3,22.45,3,0,4,36-45,0
48,43,65.91,2948.4,Two-Year,Auto_Debit,1,27.08,3,0,2,36-45,0
49,33,40.16,1303.43,One-Year,Auto_Debit,0,18.41,4,0,3,36-45,0
50,42,57.78,2676.85,Month-to-Month,Auto_Debit,0,18.1,3,1,3,46-55,0
51,7,78.91,537.47,Month-to-Month,E-Wallet,2,15.68,5,0,5,36-45,1
52,30,65.52,1944.18,Month-to-Month,Credit_Card,2,8.44,4,1,2,46-55,0
53,17,67.5,1105.74,Month-to-Month,Bank_Transfer,7,21.64,1,0,4,18-25,1
54,1,67.82,68.73,Month-to-Month,Credit_Card,0,11.55,5,1,3,26-35,0
55,14,52.04,747.48,Month-to-Month,Auto_Debit,0,6.76,2,1,5,56+,0
56,10,55.3,533.22,Month-to-Month,Credit_Card,3,11.14,2,0,3,46-55,0
57,8,36.62,264.45,Month-to-Month,E-Wallet,0,16.09,2,0,3,26-35,1
58,7,41.41,315.41,Month-to-Month,Auto_Debit,0,8.37,1,1,2,56+,0
59,36,60.33,2203.72,Month-to-Month,Bank_Transfer,9,22.38,1,0,2,18-25,0
60,1,82.59,81.17,Month-to-Month,Credit_Card,5,9.26,1,0,,56+,1
61,24,56.29,1333.28,Month-to-Month,Credit_Card,3,18.41,2,0,5,46-55,0
62,39,77.51,3026.83,One-Year,Bank_Transfer,2,16.95,1,1,3,46-55,0
63,16,21.15,372.5,Month-to-Month,E-Wallet,3,17.93,2,1,4,36-45,1
64,7,82.53,586.15,One-Year,Credit_Card,1,21.72,3,0,1,18-25,1
65,28,70.0,1872.76,Month-to-Month,Auto_Debit,3,21.67,1,0,3,36-45,1
66,17,65.73,1098.26,Month-to-Month,Credit_Card,0,13.82,1,1,2,46-55,1
67,51,74.86,3824.53,One-Year,Bank_Transfer,3,8.86,5,0,4,26-35,0
68,10,100.29,937.68,Month-to-Month,Bank_Transfer,2,10.18,2,0,4,46-55,0
69,24,70.85,1643.12,Month-to-Month,Credit_Card,3,13.44,1,0,2,18-25,1
70,19,46.51,858.65,Month-to-Month,Auto_Debit,2,12.07,1,0,2,46-55,0
71,58,96.31,5315.17,Two-Year,Credit_Card,1,17.49,3,0,4,18-25,0
72,16,104.64,1754.23,Month-to-Month,Auto_Debit,8,2.1,2,0,3,46-55,1
73,39,49.34,1945.27,One-Year,Auto_Debit,5,5.43,1,0,3,18-25,0
74,1,90.58,88.37,Month-to-Month,Credit_Card,0,8.92,2,1,1,46-55,1
75,73,68.92,4686.84,Two-Year,E-Wallet,2,5.02,4,0,1,56+,0
76,11,20,213.69,Month-to-Month,Auto_Debit,0,6.55,3,0,3,18-25,0
77,17,78.71,1328.59,Month-to-Month,Bank_Transfer,4,15.97,2,0,5,36-45,0
78,8,53.36,412.85,Month-to-Month,Credit_Card,0,7.38,4,0,4,56+,1
79,32,49.05,1546.87,One-Year,Credit_Card,13,10.85,5,0,5,18-25,0
80,29,59.05,1712.29,Month-to-Month,E-Wallet,1,26.51,4,1,4,56+,0
81,45,74.61,3579.87,One-Year,Auto_Debit,0,1.88,1,1,4,36-45,0
82,29,73.92,2303.79,Month-to-Month,Auto_Debit,1,27.93,5,0,2,26-35,0
83,42,52.47,2224.72,One-Year,Auto_Debit,1,24.97,4,0,3,56+,0
84,20,89.8,1885.32,Month-to-Month,Auto_Debit,3,20.55,2,1,2,26-35,1
85,30,60.86,1751.24,Month-to-Month,Bank_Transfer,0,14.13,2,0,3,26-35,0
86,54,83.23,4920.63,One-Year,E-Wallet,0,22.49,1,0,4,46-55,0
87,20,53.83,1087.18,One-Year,Bank_Transfer,5,20.25,5,0,4,56+,0
88,22,33.62,762.52,Month-to-Month,Credit_Card,0,17.32,3,1,4,18-25,0
89,47,60.27,2626.35,Two-Year,Bank_Transfer,1,19.18,5,0,5,56+,0
90,9,49.38,439.06,Month-to-Month,Bank_Transfer,1,11.03,1,0,4,26-35,0
91,72,71.9,4840.87,Two-Year,E-Wallet,6,12.78,4,0,4,46-55,1
92,1,76.95,79.88,Month-to-Month,Auto_Debit,0,14.29,1,0,2,46-55,0
93,1,80.52,84.79,Month-to-Month,Credit_Card,1,25.26,1,0,2,46-55,0
94,21,52.82,1212.41,Month-to-Month,Bank_Transfer,6,14.97,5,1,4,36-45,0
95,17,128.83,2113.6,One-Year,Auto_Debit,4,15.06,2,1,3,36-45,0
96,10,58.19,544.42,Month-to-Month,Credit_Card,4,20.5,1,1,2,46-55,0
97,11,92.94,1046.11,Month-to-Month,E-Wallet,0,23.35,4,1,,46-55,0
98,25,31.42,849.75,One-Year,Auto_Debit,6,8.95,4,0,3,46-55,1
99,66,94.07,5963.15,Two-Year,Auto_Debit,6,7.67,2,0,4,46-55,0
100,24,71.2,1601.7,Month-to-Month,Credit_Card,1,15.7,4,0,3,18-25,0
101,26,27.63,693.39,One-Year,Auto_Debit,1,19.74,5,0,3,46-55,0
102,1,94.72,91.75,Month-to-Month,E-Wallet,3,16.64,2,0,2,46-55,0
103,27,81.24,2146.95,One-Year,Auto_Debit,0,14.01,2,0,4,26-35,0
104,29,90.28,2438.24,One-Year,Auto_Debit,2,28.59,4,0,4,36-45,1
105,15,90.34,1406.64,Month-to-Month,Bank_Transfer,2,16.79,5,1,1,56+,1
106,39,78.19,3128.14,Two-Year,E-Wallet,5,12.68,5,0,4,56+,0
107,47,25.98,1206.95,One-Year,Credit_Card,0,3.31,4,1,3,18-25,0
108,46,57.98,2509.62,Two-Year,Credit_Card,0,22.75,1,0,4,36-45,0
109,1,110.07,110.09,Month-to-Month,E-Wallet,4,16.14,3,1,4,46-55,1
110,39,40.85,1528.05,Two-Year,E-Wallet,2,8.98,1,0,1,26-35,0
111,33,64.46,,Month-to-Month,Auto_Debit,9,23.01,2,1,4,56+,1
112,2,47.24,93.67,Month-to-Month,Credit_Card,0,12.39,2,0,4,26-35,1
113,51,84.03,4352.11,Two-Year,Credit_Card,5,17.0,3,0,3,56+,0
114,41,62.75,2590.89,Month-to-Month,Credit_Card,0,1.02,5,0,5,46-55,0
115,29,69.68,2079.33,One-Year,Auto_Debit,5,26.03,1,1,3,36-45,0
116,45,49.05,2260.17,One-Year,Auto_Debit,0,1.09,3,0,3,26-35,1
117,9,77.8,734.91,Month-to-Month,Credit_Card,1,25.13,4,1,4,56+,0
118,64,64.79,4317.52,Two-Year,E-Wallet,2,16.81,1,0,2,36-45,0
119,18,59.29,1096.58,One-Year,Auto_Debit,4,9.73,3,0,3,56+,0
120,43,44.5,1972.76,One-Year,Credit_Card,0,5.39,5,0,2,26-35,0
121,16,106.1,,One-Year,Auto_Debit,0,13.66,4,1,2,26-35,0
122,22,55.25,1213.38,Month-to-Month,E-Wallet,7,13.49,5,0,2,46-55,0
123,17,58.99,1076.59,Month-to-Month,Credit_Card,10,9.62,3,0,2,18-25,1
124,1,20,20.24,Month-to-Month,E-Wallet,0,14.77,4,0,2,46-55,0
125,16,80.53,1404.35,Month-to-Month,E-Wallet,3,25.89,4,1,2,36-45,0
126,36,49.18,1828.3,Two-Year,E-Wallet,0,1.63,4,0,4,46-55,0
127,19,86.39,1683.53,Month-to-Month,E-Wallet,11,19.84,5,1,4,26-35,1
128,41,65.99,3028.12,One-Year,Credit_Card,4,31.36,3,0,2,26-35,0
129,27,61.16,1543.94,One-Year,Credit_Card,0,20.36,3,0,3,26-35,0
130,23,38.3,890.05,One-Year,Credit_Card,0,7.08,5,0,2,18-25,0
131,17,55.79,953.36,Month-to-Month,E-Wallet,0,9.42,1,0,3,46-55,1
132,17,56.16,939.59,Month-to-Month,Credit_Card,2,25.28,4,0,3,56+,0
133,32,71.59,2409.97,One-Year,Bank_Transfer,3,7.76,4,0,5,46-55,0
134,3,91.25,274.52,Month-to-Month,Bank_Transfer,1,21.61,1,0,2,18-25,1
135,25,69.7,1828.44,One-Year,Credit_Card,3,18.49,5,1,2,26-35,1
136,24,31.59,805.07,One-Year,Credit_Card,4,2.78,1,1,1,18-25,1
137,27,67.8,1793.77,Month-to-Month,Credit_Card,3,7.34,1,0,4,56+,0
138,26,76.59,2011.8,One-Year,Bank_Transfer,7,16.59,3,1,4,36-45,0
139,19,66.16,1325.63,Two-Year,E-Wallet,3,13.58,5,1,4,26-35,0
140,9,77.15,679.25,Month-to-Month,Credit_Card,0,14.75,3,0,3,46-55,0
141,8,42.83,355.85,Month-to-Month,E-Wallet,0,16.79,2,1,4,18-25,0
142,23,77.54,1812.14,Month-to-Month,E-Wallet,2,14.29,3,0,4,26-35,0
143,23,59.77,1388.51,Month-to-Month,E-Wallet,4,28.92,4,0,3,46-55,1
144,34,59.89,2266.2,One-Year,E-Wallet,2,7.58,4,0,3,56+,0
145,25,63.84,1410.53,One-Year,Bank_Transfer,1,5.52,4,0,4,18-25,1
146,28,128.08,3561.06,One-Year,E-Wallet,3,23.41,2,0,4,56+,0
147,18,82.57,1533.56,Month-to-Month,Credit_Card,0,18.34,2,1,5,56+,1
148,58,25.19,1494.55,Two-Year,Credit_Card,0,21.55,5,0,2,56+,0
149,20,92.97,1773.92,Month-to-Month,Credit_Card,2,18.24,1,1,4,46-55,0
150,7,126.42,907.17,Month-to-Month,Credit_Card,1,5.73,4,1,3,36-45,0
151,26,115.72,2955.88,One-Year,Bank_Transfer,1,5.08,4,1,3,46-55,0
152,38,53.32,2033.61,Two-Year,Bank_Transfer,0,8.57,3,0,4,36-45,0
153,28,104.4,2660.26,One-Year,Credit_Card,2,6.7,2,0,3,56+,0
154,21,92.77,1908.62,Month-to-Month,Auto_Debit,3,8.92,2,0,2,36-45,0
155,8,57.13,485.13,Month-to-Month,Credit_Card,0,17.22,2,0,3,56+,1
156,34,40.94,1528.29,Two-Year,Credit_Card,6,12.09,1,0,3,36-45,0
157,46,140.58,6166.36,Month-to-Month,E-Wallet,4,6.54,3,0,4,26-35,0
158,18,75.04,1376.3,One-Year,E-Wallet,0,1.31,4,1,1,36-45,0
159,40,67.15,2611.35,Two-Year,Auto_Debit,3,19.93,4,0,3,46-55,0
160,23,80.08,1828.88,Month-to-Month,Bank_Transfer,5,33.04,4,0,4,18-25,1
161,35,65.42,2091.2,One-Year,E-Wallet,0,23.11,1,0,2,36-45,0
162,9,37.98,355.64,One-Year,Bank_Transfer,5,11.9,3,1,3,26-35,0
163,39,72.73,2746.67,Two-Year,Bank_Transfer,1,9.63,1,0,2,26-35,0
164,15,77.39,1228.56,Month-to-Month,E-Wallet,0,22.36,2,1,4,46-55,0
165,18,93.97,1843.72,Month-to-Month,Bank_Transfer,2,10.49,3,0,3,18-25,0
166,11,85.76,926.13,One-Year,Bank_Transfer,2,21.42,3,1,3,56+,1
167,18,32.85,566.83,Month-to-Month,Credit_Card,3,25.96,1,0,2,36-45,1
168,44,66.22,2789.36,One-Year,Auto_Debit,2,19.01,5,0,2,36-45,0
169,28,93.66,2615.57,One-Year,Auto_Debit,0,12.03,1,1,4,36-45,0
170,14,63.03,830.98,Month-to-Month,E-Wallet,3,18.11,1,0,3,36-45,0
171,26,72.91,1998.03,One-Year,Credit_Card,2,19.26,4,0,4,46-55,0
172,19,21.89,390.68,Month-to-Month,E-Wallet,2,7.89,2,1,2,46-55,0
173,6,56.09,341.98,Month-to-Month,Bank_Transfer,0,8.02,2,0,3,36-45,0
174,25,73.24,1781.67,One-Year,E-Wallet,0,8.63,5,0,4,18-25,0
175,2,80.9,177.33,Month-to-Month,E-Wallet,0,0.5,3,0,4,56+,1
176,57,70.63,3685.77,Two-Year,Credit_Card,1,10.99,1,1,4,36-45,0
177,49,60.47,2913.42,One-Year,Bank_Transfer,2,9.83,5,0,3,46-55,0
178,44,71.25,3253.89,Month-to-Month,Credit_Card,2,20.32,2,1,3,56+,1
179,31,56.84,1803.17,One-Year,Bank_Transfer,0,21.59,4,0,2,36-45,0
180,1,91.89,91.07,Month-to-Month,E-Wallet,0,6.19,2,0,4,18-25,0
181,36,104.05,3743.63,One-Year,E-Wallet,1,9.43,5,0,3,18-25,0
182,51,86.5,4421.33,One-Year,Credit_Card,7,9.56,3,0,2,26-35,0
183,1,46.23,42.04,Month-to-Month,E-Wallet,0,12.79,3,1,2,36-45,0
184,10,77.45,781.73,Month-to-Month,Bank_Transfer,4,2.88,2,1,1,26-35,1
185,55,74.5,3964.22,One-Year,Bank_Transfer,4,13.03,4,1,5,56+,0
186,20,90.56,1728.87,One-Year,E-Wallet,1,25.53,5,1,3,26-35,0
187,13,74.57,976.8,One-Year,E-Wallet,0,22.58,5,0,2,36-45,0
188,41,64.01,2680.63,Two-Year,E-Wallet,3,30.1,2,0,3,18-25,0
189,18,72.49,1257.25,Month-to-Month,E-Wallet,5,23.06,3,0,5,36-45,0
190,9,51.84,493.59,Month-to-Month,E-Wallet,0,3.14,3,0,2,18-25,1
191,22,61.66,1394.22,Month-to-Month,Auto_Debit,0,22.09,1,0,3,18-25,0
192,41,86.53,3575.8,Two-Year,E-Wallet,3,21.83,3,1,2,56+,0
193,6,24.55,,Month-to-Month,Bank_Transfer,4,13.55,1,0,4,46-55,1
194,3,74.93,221.09,Month-to-Month,Bank_Transfer,5,13.03,3,1,4,18-25,1
195,26,97.76,2564.24,Month-to-Month,Credit_Card,0,20.58,3,0,3,46-55,0
196,43,111.68,4521.91,Two-Year,Auto_Debit,0,16.63,5,0,3,26-35,0
197,20,133.66,2735.13,Two-Year,Bank_Transfer,2,16.38,2,0,2,36-45,0
198,1,67.75,63.64,Month-to-Month,Bank_Transfer,5,14.4,2,0,3,56+,1
199,33,43.96,1519.02,One-Year,E-Wallet,0,9.32,5,0,3,26-35,0
200,5,92.88,,Month-to-Month,Bank_Transfer,0,18.94,1,1,1,18-25,0
201,22,20,456.28,One-Year,Auto_Debit,0,2.31,1,0,5,18-25,0
202,6,37.11,205.07,Month-to-Month,Bank_Transfer,4,22.41,3,0,4,56+,1
203,12,53.27,608.27,Month-to-Month,E-Wallet,1,15.81,1,1,3,56+,0
204,35,131.42,4766.04,One-Year,Auto_Debit,0,0.5,2,1,4,26-35,0
205,84,70.82,5702.04,Two-Year,Bank_Transfer,2,25.52,5,0,3,56+,0
206,25,83.07,2099.14,One-Year,E-Wallet,0,2.49,3,0,4,18-25,0
207,4,59.71,225.31,Month-to-Month,Auto_Debit,1,12.2,3,0,4,46-55,0
208,14,54.84,799.9,Month-to-Month,Credit_Card,0,22.37,5,0,3,26-35,0
209,1,57.25,57.88,Month-to-Month,Bank_Transfer,3,13.4,3,0,2,36-45,1
210,45,108.38,4960.08,Two-Year,Auto_Debit,1,1.0,4,0,2,18-25,0
211,45,76.61,3704.15,Two-Year,E-Wallet,1,0.5,2,0,4,36-45,0
212,26,106.94,2704.05,Month-to-Month,Bank_Transfer,1,26.34,2,1,3,46-55,0
213,38,57.71,2197.49,Month-to-Month,Auto_Debit,0,18.92,1,1,3,56+,1
214,11,65.86,795.91,Month-to-Month,Bank_Transfer,0,11.29,3,0,2,46-55,1
215,21,86.08,1855.62,One-Year,Credit_Card,4,12.52,2,1,,56+,1
216,21,80.28,1653.86,One-Year,Auto_Debit,1,11.85,2,0,3,46-55,0
217,29,79.11,2250.76,One-Year,Auto_Debit,3,4.29,2,0,3,56+,0
218,36,74.69,2270.91,Two-Year,Bank_Transfer,4,8.19,4,0,5,26-35,0
219,43,56.35,2416.29,One-Year,Bank_Transfer,0,24.27,3,0,4,56+,0
220,25,35.48,760.72,Two-Year,E-Wallet,5,23.96,5,0,2,56+,0
221,6,96.34,608.15,Month-to-Month,Bank_Transfer,0,16.46,3,0,2,46-55,0
222,17,61.54,1096.22,Month-to-Month,Bank_Transfer,0,28.27,5,0,2,18-25,1
223,19,58.06,1090.67,Month-to-Month,Auto_Debit,2,10.47,4,0,3,46-55,1
224,6,60.96,377.78,Month-to-Month,Bank_Transfer,3,10.09,2,0,3,26-35,1
225,25,79.88,1923.35,Month-to-Month,Bank_Transfer,2,14.72,2,0,2,56+,0
226,41,76.48,3368.46,One-Year,Credit_Card,0,15.13,1,0,4,18-25,0
227,15,67.03,974.68,Month-to-Month,Credit_Card,0,5.2,1,0,3,56+,0
228,7,88.61,642.17,Month-to-Month,Auto_Debit,0,4.3,4,1,2,46-55,0
229,6,38.41,231.97,Month-to-Month,Auto_Debit,0,3.35,1,0,3,46-55,0
230,1,27.42,26.85,Month-to-Month,Credit_Card,2,10.3,2,0,3,18-25,1
231,55,68.87,3846.28,Two-Year,Bank_Transfer,2,0.5,3,0,3,26-35,0
232,19,125.4,2422.31,Month-to-Month,Credit_Card,0,12.75,2,0,2,36-45,0
233,20,42.08,844.23,One-Year,Bank_Transfer,4,4.52,2,0,3,18-25,0
234,50,68.08,3520.42,Two-Year,Auto_Debit,1,27.84,2,1,4,26-35,0
235,41,57.93,2405.52,One-Year,Bank_Transfer,1,20.82,2,1,3,18-25,0
236,1,63.14,62.51,Month-to-Month,Auto_Debit,0,29.81,4,0,2,18-25,1
237,34,106.34,3345.4,One-Year,Credit_Card,2,3.72,5,0,5,26-35,1
238,1,97.44,103.08,Month-to-Month,Bank_Transfer,0,14.55,1,0,4,56+,0
239,34,20,608.8,One-Year,Bank_Transfer,0,21.36,1,1,2,36-45,0
240,34,48.09,1745.92,Month-to-Month,E-Wallet,0,18.4,3,1,4,56+,0
241,19,45.86,785.23,Month-to-Month,Credit_Card,7,7.84,5,0,4,46-55,1
242,21,22.42,430.19,Month-to-Month,E-Wallet,0,21.02,4,0,3,36-45,0
243,29,77.1,2390.68,Month-to-Month,E-Wallet,0,19.44,1,0,3,36-45,0
244,2,84.02,166.4,Month-to-Month,Auto_Debit,0,12.22,5,0,3,18-25,0
245,1,84.73,86.84,Month-to-Month,E-Wallet,0,5.03,4,0,4,18-25,1
246,9,111.01,1003.62,Month-to-Month,Auto_Debit,3,4.37,2,0,,46-55,1
247,23,75.31,1684.78,Month-to-Month,E-Wallet,3,14.39,5,1,4,36-45,0
248,44,59.17,2715.36,Two-Year,Auto_Debit,0,22.79,2,0,2,36-45,0
249,28,95.17,2440.04,One-Year,Bank_Transfer,5,12.47,4,0,5,56+,0
250,17,65.19,1096.76,Two-Year,E-Wallet,2,15.08,1,0,1,56+,1
251,36,88.77,3171.85,One-Year,Auto_Debit,4,20.86,2,0,1,46-55,0
252,19,68.96,1225.66,Month-to-Month,Auto_Debit,2,16.36,2,0,5,46-55,0
253,57,70.44,3702.7,Two-Year,Credit_Card,4,11.47,3,0,5,18-25,0
254,1,46.38,43.4,Month-to-Month,Credit_Card,0,19.08,4,0,4,26-35,0
255,8,82.83,680.53,Month-to-Month,E-Wallet,0,5.91,1,0,4,56+,1
256,24,89.06,2068.53,Month-to-Month,Credit_Card,1,22.56,3,0,1,26-35,1
257,15,66.77,964.1,One-Year,Auto_Debit,3,9.88,3,0,3,26-35,0
258,18,136.7,2445.68,Month-to-Month,Bank_Transfer,2,17.35,1,0,3,46-55,0
259,25,46.67,1239.86,One-Year,E-Wallet,3,4.49,5,0,3,46-55,1
260,52,77.52,4165.07,Two-Year,Auto_Debit,9,11.32,3,0,3,18-25,0
261,24,74.64,1917.05,Month-to-Month,Credit_Card,6,3.37,2,0,4,18-25,0
262,31,79.95,2624.86,One-Year,Auto_Debit,0,16.74,3,0,3,56+,0
263,6,75.08,460.99,Month-to-Month,Auto_Debit,1,6.64,3,0,3,18-25,0
264,37,56.05,2146.69,One-Year,Credit_Card,2,0.5,5,0,2,36-45,0
265,13,85.42,989.59,Month-to-Month,Auto_Debit,4,10.84,5,0,,36-45,1
266,4,50.96,200.1,Month-to-Month,Bank_Transfer,4,5.26,1,1,5,46-55,1
267,36,88.74,2997.08,Month-to-Month,Credit_Card,0,4.08,4,0,3,46-55,0
268,63,74.42,4645.43,Two-Year,E-Wallet,6,30.63,2,0,3,56+,0
269,18,60.62,1090.03,One-Year,Auto_Debit,2,20.31,5,0,3,18-25,0
270,10,73.28,756.89,Month-to-Month,Credit_Card,6,9.07,1,0,4,56+,1
271,19,20,383.56,Month-to-Month,Bank_Transfer,3,12.51,4,1,3,46-55,0
272,48,61.55,2683.61,Two-Year,Auto_Debit,4,11.2,2,1,3,26-35,1
273,32,77.32,2639.2,Month-to-Month,E-Wallet,3,17.17,5,0,3,56+,0
274,65,91.46,6516.18,Two-Year,E-Wallet,0,23.06,4,1,3,56+,1
275,14,90.68,1258.64,One-Year,E-Wallet,3,16.03,2,0,4,46-55,1
276,16,45.51,750.83,One-Year,Credit_Card,7,24.84,5,1,3,56+,0
277,27,76.59,2001.01,Month-to-Month,Auto_Debit,0,2.51,2,0,,26-35,0
278,10,66.18,679.4,Month-to-Month,Bank_Transfer,1,17.63,3,0,1,56+,1
279,9,52.79,474.52,Month-to-Month,E-Wallet,3,0.5,3,0,5,18-25,0
280,12,71.91,907.17,Month-to-Month,E-Wallet,1,8.93,2,0,4,36-45,0
281,14,117.7,1652.85,Month-to-Month,Auto_Debit,8,13.13,5,0,5,18-25,1
282,44,37.93,1700.24,One-Year,Credit_Card,5,13.54,5,0,4,26-35,0
283,35,72.58,2713.62,Two-Year,E-Wallet,5,18.33,4,0,2,18-25,0
284,22,27.54,584.52,Month-to-Month,Credit_Card,5,19.25,1,0,4,18-25,1
285,12,88.66,989.57,Month-to-Month,Auto_Debit,4,13.54,3,1,3,46-55,0
286,28,148.19,4592.87,Month-to-Month,E-Wallet,3,4.65,2,0,3,36-45,1
287,20,79.38,1543.68,Month-to-Month,Credit_Card,3,32.92,1,0,3,56+,1
288,8,51.57,417.09,Month-to-Month,Bank_Transfer,2,23.54,5,0,4,36-45,0
289,1,69.01,64.13,Month-to-Month,Credit_Card,4,17.34,2,0,2,26-35,1
290,33,33.19,1097.54,One-Year,Bank_Transfer,0,13.85,5,0,3,46-55,0
291,18,81.04,1408.11,Month-to-Month,Bank_Transfer,6,15.06,4,0,4,18-25,1
292,7,98.43,707.04,Month-to-Month,E-Wallet,5,14.22,4,0,4,56+,0
293,19,51.84,1030.59,Month-to-Month,E-Wallet,3,15.6,5,0,3,56+,0
294,12,97.83,1119.5,Month-to-Month,Bank_Transfer,4,23.36,2,1,3,26-35,0
295,9,80.64,688.84,Month-to-Month,E-Wallet,0,18.16,1,1,2,26-35,0
296,23,89.21,2126.47,Month-to-Month,Auto_Debit,3,21.81,2,0,2,36-45,0
297,16,91.72,1431.98,Month-to-Month,E-Wallet,0,4.54,2,1,4,26-35,0
298,45,50.04,2147.27,Two-Year,Auto_Debit,1,22.78,5,0,4,36-45,0
299,24,95.68,2124.62,Month-to-Month,E-Wallet,4,7.87,5,0,3,26-35,1
300,4,88.93,354.46,Month-to-Month,E-Wallet,5,21.01,4,0,,36-45,1
301,12,49.83,628.47,Month-to-Month,Credit_Card,4,0.5,5,0,2,56+,0
302,10,84.48,778.37,Month-to-Month,Auto_Debit,0,15.32,5,1,3,56+,0
303,6,66.34,410.09,One-Year,Auto_Debit,3,0.5,2,0,4,46-55,0
304,23,63.76,1422.94,Month-to-Month,E-Wallet,0,30.86,1,0,3,36-45,1
305,4,52.95,207.46,Month-to-Month,Auto_Debit,0,32.71,1,0,4,56+,0
306,28,76.76,2150.62,One-Year,Auto_Debit,0,35.1,3,0,3,56+,0
307,25,74.85,1839.17,One-Year,Bank_Transfer,3,16.13,4,0,4,26-35,0
308,4,66.99,261.64,Month-to-Month,Auto_Debit,1,10.85,3,0,4,18-25,0
