review_id,product_id,category,rating,sentiment_score,review_length_chars,helpful_votes,verified_purchase,days_since_purchase
258,12,Electronics,2,0.351,39,1,1,94
259,10,Clothing,5,0.853,42,3,1,9
260,18,Books,5,1.0,10,5,1,170
261,38,Electronics,5,0.876,82,3,1,156
262,20,Books,5,1.0,80,2,1,68
263,45,Books,4,0.862,37,2,0,140
264,3,Books,5,1.0,232,2,1,115
265,49,Books,4,0.979,40,0,1,8
266,16,Electronics,5,1.0,11,2,1,36
267,15,Sports,1,-0.125,30,5,0,74
268,11,Electronics,2,0.523,167,4,1,36
269,12,Clothing,5,1.0,39,2,1,10
270,9,Books,4,0.721,13,3,1,111
271,5,Electronics,1,0.499,111,3,1,160
272,8,Home,4,0.608,20,1,1,139
273,42,Electronics,2,0.504,96,4,1,138
274,36,Sports,3,0.523,60,1,1,165
275,39,Clothing,5,1.0,43,3,1,166
276,24,Home,3,0.613,331,2,0,96
277,29,Sports,5,0.83,69,3,1,121
278,26,Books,4,0.735,174,1,1,88
279,42,Clothing,4,0.873,49,6,1,127
280,5,Clothing,3,0.63,18,3,1,127
281,22,Electronics,4,0.729,121,2,1,57
282,13,Clothing,1,0.231,26,2,1,122
283,1,Electronics,5,1.0,268,3,1,132
284,2,Electronics,4,0.961,14,0,1,166
285,47,Sports,5,0.894,11,4,1,3
286,8,Books,3,0.708,54,2,0,110
287,43,Electronics,5,0.896,41,0,1,173
288,15,Home,3,0.538,30,4,1,170
289,31,Electronics,5,0.793,44,3,1,77
290,18,Books,5,0.975,30,4,1,81
291,44,Home,3,0.762,63,4,1,86
292,27,Electronics,4,0.938,24,5,1,34
293,16,Clothing,2,0.661,51,3,1,111
294,41,Home,4,0.861,65,2,1,69
295,8,Clothing,5,0.879,37,1,0,69
296,1,Clothing,4,0.544,43,6,1,126
297,15,Books,5,0.847,40,3,1,147
298,1,Books,3,0.253,62,1,0,27
299,9,Clothing,5,0.781,108,2,1,147
300,30,Clothing,4,0.939,15,4,0,148
301,33,Sports,5,0.838,133,4,1,179
302,17,Clothing,4,0.939,44,3,1,173
303,41,Clothing,3,0.531,64,1,1,19
304,38,Clothing,4,0.849,69,4,1,43
305,40,Clothing,4,0.858,43,2,1,89
306,24,Books,5,0.703,44,1,1,92
307,49,Home,5,1.0,44,4,0,84
308,11,Home,5,0.921,69,2,1,107
309,12,Sports,2,0.313,156,1,1,142
310,37,Sports,5,1.0,25,2,1,7
311,14,Clothing,5,1.0,27,6,1,138
312,5,Clothing,5,1.0,30,2,0,156
313,20,Clothing,4,0.9,43,2,1,175
314,23,Electronics,4,0.835,27,3,1,21
315,2,Books,5,0.824,111,0,1,114
316,44,Electronics,5,0.702,49,2,1,52
317,49,Books,4,0.861,26,3,1,86
318,47,Electronics,5,1.0,29,5,1,127
319,30,Clothing,4,0.741,21,3,1,5
320,11,Clothing,4,0.639,50,4,1,138
321,18,Books,1,0.233,17,3,1,99
322,30,Home,1,0.241,18,5,1,172
323,41,Electronics,4,0.676,49,2,1,68
324,22,Books,4,0.99,10,3,1,172
325,14,Clothing,5,1.0,80,4,1,18
326,40,Clothing,5,0.703,105,1,1,93
327,48,Electronics,1,0.077,42,3,1,82
328,10,Clothing,5,0.908,101,4,1,54
329,43,Books,5,1.0,87,3,1,113
330,37,Electronics,5,1.0,25,5,0,129
331,39,Home,4,0.998,164,4,1,151
332,27,Books,3,0.635,80,0,1,5
333,14,Books,2,0.594,203,1,1,160
334,42,Books,5,0.809,34,1,0,165
335,26,Sports,5,0.878,17,2,1,151
336,17,Electronics,2,0.237,486,2,0,121
337,23,Clothing,4,0.648,101,4,1,22
338,40,Books,5,1.0,31,1,1,78
339,41,Sports,4,0.971,30,3,1,100
340,13,Electronics,4,0.851,41,5,0,60
341,37,Sports,4,0.622,52,6,1,168
342,42,Electronics,1,0.083,30,1,0,25
343,35,Clothing,5,1.0,18,5,0,9
344,41,Sports,4,0.645,151,2,1,165
345,50,Home,5,0.864,36,2,0,127
346,11,Home,3,0.656,66,2,1,108
347,40,Sports,3,0.761,103,3,1,13
348,29,Books,5,1.0,57,1,1,96
349,45,Electronics,4,0.922,17,2,0,58
350,48,Sports,5,1.0,89,2,1,68
351,30,Sports,4,0.615,37,1,1,28
352,35,Sports,4,0.878,15,1,1,146
353,17,Home,2,0.314,33,2,1,56
354,8,Clothing,4,0.788,103,1,1,57
355,38,Books,3,0.609,33,2,1,129
356,5,Home,5,1.0,30,1,1,131
357,26,Clothing,4,0.769,219,0,1,155
358,12,Clothing,5,1.0,154,1,1,39
359,17,Sports,5,0.947,56,4,1,47
360,46,Electronics,3,0.83,53,5,1,139
361,5,Sports,3,0.688,117,3,1,8
362,38,Home,5,0.967,31,3,1,34
363,19,Books,5,1.0,110,4,0,37
364,44,Electronics,4,0.7,33,5,1,36
365,28,Home,3,0.772,189,1,1,84
366,39,Home,3,0.757,113,2,1,80
367,49,Books,5,0.972,241,0,0,99
368,26,Home,1,0.231,23,4,0,167
369,26,Electronics,4,0.795,55,2,0,84
370,45,Sports,4,0.88,203,3,1,102
371,43,Home,4,1.0,38,5,1,20
372,18,Clothing,4,0.684,101,3,1,154
373,49,Books,4,0.855,357,7,0,167
374,14,Home,4,0.89,10,6,1,57
375,50,Sports,3,0.608,36,5,1,12
376,31,Clothing,4,0.743,165,1,1,47
377,1,Books,5,0.716,125,3,0,22
378,23,Electronics,5,0.929,19,1,0,45
379,19,Clothing,4,0.734,13,3,1,18
380,35,Books,4,0.694,54,1,1,99
381,49,Books,4,0.979,274,4,1,70
382,46,Books,5,0.596,76,0,1,69
383,38,Electronics,2,0.393,47,1,1,124
384,9,Clothing,3,0.484,195,2,1,36
385,48,Electronics,1,0.026,117,4,1,154
386,30,Books,2,0.215,73,2,1,140
387,35,Clothing,5,1.0,43,1,1,179
388,27,Home,5,0.941,85,2,0,54
389,29,Books,4,0.968,36,2,1,149
390,11,Clothing,4,0.758,17,5,1,174
391,32,Home,1,0.174,58,0,1,123
392,29,Clothing,3,0.474,22,6,1,55
393,37,Clothing,4,0.897,18,7,1,31
394,47,Books,5,0.863,22,1,1,139
395,38,Home,4,0.759,63,3,1,99
396,47,Clothing,1,0.179,76,4,1,165
397,26,Clothing,5,0.9,21,3,1,159
398,36,Electronics,3,0.568,119,3,1,139
399,46,Sports,3,0.5,33,4,1,28
400,27,Electronics,1,0.152,16,4,0,85
