experiment_id,drug_name,cell_line,concentration_uM,viability_percent,log_concentration,replicate,passage_number,treatment_hours,ic50_estimated
63,Doxorubicin,A549,0.1,87.15,-1.0,3,12,24,0.3634
64,Doxorubicin,A549,0.5,38.71,-0.301,1,12,48,0.3634
65,Doxorubicin,A549,0.5,43.21,-0.301,2,12,24,0.3634
66,Doxorubicin,A549,0.5,37.01,-0.301,3,12,24,0.3634
67,Doxorubicin,A549,1.0,20.57,0.0,1,12,72,0.3634
68,Doxorubicin,A549,1.0,21.26,0.0,2,12,72,0.3634
69,Doxorubicin,A549,1.0,25.6,0.0,3,12,72,0.3634
70,Doxorubicin,A549,5.0,6.31,0.699,1,12,48,0.3634
71,Doxorubicin,A549,5.0,2.54,0.699,2,12,48,0.3634
72,Doxorubicin,A549,5.0,7.64,0.699,3,12,48,0.3634
73,Doxorubicin,A549,10.0,0.24,1.0,1,12,24,0.3634
74,Doxorubicin,A549,10.0,0,1.0,2,12,48,0.3634
75,Doxorubicin,A549,10.0,0,1.0,3,12,24,0.3634
76,Doxorubicin,A549,50.0,1.73,1.699,1,12,24,0.3634
77,Doxorubicin,A549,50.0,1.71,1.699,2,12,48,0.3634
78,Doxorubicin,A549,50.0,0,1.699,3,12,24,0.3634
79,Doxorubicin,A549,100.0,3.47,2.0,1,12,48,0.3634
80,Doxorubicin,A549,100.0,3.45,2.0,2,12,48,0.3634
81,Doxorubicin,A549,100.0,2.87,2.0,3,12,72,0.3634
82,Doxorubicin,HCT116,0.001,103.88,-3.0,1,20,24,0.6418
83,Doxorubicin,HCT116,0.001,99.05,-3.0,2,20,24,0.6418
84,Doxorubicin,HCT116,0.001,97.91,-3.0,3,20,72,0.6418
85,Doxorubicin,HCT116,0.01,99.53,-2.0,1,20,72,0.6418
86,Doxorubicin,HCT116,0.01,100.55,-2.0,2,20,48,0.6418
87,Doxorubicin,HCT116,0.01,100.62,-2.0,3,20,48,0.6418
88,Doxorubicin,HCT116,0.1,88.83,-1.0,1,20,72,0.6418
89,Doxorubicin,HCT116,0.1,88.19,-1.0,2,20,72,0.6418
90,Doxorubicin,HCT116,0.1,84.56,-1.0,3,20,72,0.6418
91,Doxorubicin,HCT116,0.5,58.9,-0.301,1,20,24,0.6418
92,Doxorubicin,HCT116,0.5,59.17,-0.301,2,20,72,0.6418
93,Doxorubicin,HCT116,0.5,61.27,-0.301,3,20,24,0.6418
94,Doxorubicin,HCT116,1.0,32.77,0.0,1,20,24,0.6418
95,Doxorubicin,HCT116,1.0,45.17,0.0,2,20,72,0.6418
96,Doxorubicin,HCT116,1.0,39.12,0.0,3,20,24,0.6418
97,Doxorubicin,HCT116,5.0,0.85,0.699,1,20,72,0.6418
98,Doxorubicin,HCT116,5.0,6.94,0.699,2,20,24,0.6418
99,Doxorubicin,HCT116,5.0,3.96,0.699,3,20,72,0.6418
100,Doxorubicin,HCT116,10.0,7.09,1.0,1,20,24,0.6418
101,Doxorubicin,HCT116,10.0,3.57,1.0,2,20,48,0.6418
102,Doxorubicin,HCT116,10.0,0,1.0,3,20,24,0.6418
103,Doxorubicin,HCT116,50.0,,1.699,1,20,48,0.6418
104,Doxorubicin,HCT116,50.0,0,1.699,2,20,24,0.6418
105,Doxorubicin,HCT116,50.0,2.44,1.699,3,20,72,0.6418
106,Doxorubicin,HCT116,100.0,2.4,2.0,1,20,72,0.6418
107,Doxorubicin,HCT116,100.0,2.16,2.0,2,20,24,0.6418
108,Doxorubicin,HCT116,100.0,3.68,2.0,3,20,72,0.6418
109,Doxorubicin,PC-3,0.001,100.32,-3.0,1,24,48,0.6125
110,Doxorubicin,PC-3,0.001,95.13,-3.0,2,24,24,0.6125
111,Doxorubicin,PC-3,0.001,96.43,-3.0,3,24,72,0.6125
112,Doxorubicin,PC-3,0.01,101.48,-2.0,1,24,72,0.6125
113,Doxorubicin,PC-3,0.01,95.52,-2.0,2,24,48,0.6125
114,Doxorubicin,PC-3,0.01,97.57,-2.0,3,24,24,0.6125
115,Doxorubicin,PC-3,0.1,91.59,-1.0,1,24,24,0.6125
116,Doxorubicin,PC-3,0.1,95.34,-1.0,2,24,24,0.6125
117,Doxorubicin,PC-3,0.1,87.8,-1.0,3,24,24,0.6125
118,Doxorubicin,PC-3,0.5,58.61,-0.301,1,24,48,0.6125
119,Doxorubicin,PC-3,0.5,53.65,-0.301,2,24,48,0.6125
120,Doxorubicin,PC-3,0.5,56.27,-0.301,3,24,48,0.6125
121,Doxorubicin,PC-3,1.0,26.98,0.0,1,24,48,0.6125
122,Doxorubicin,PC-3,1.0,34.81,0.0,2,24,24,0.6125
123,Doxorubicin,PC-3,1.0,36.5,0.0,3,24,48,0.6125
124,Doxorubicin,PC-3,5.0,7.87,0.699,1,24,72,0.6125
125,Doxorubicin,PC-3,5.0,3.45,0.699,2,24,72,0.6125
126,Doxorubicin,PC-3,5.0,10.2,0.699,3,24,48,0.6125
127,Doxorubicin,PC-3,10.0,1.11,1.0,1,24,48,0.6125
128,Doxorubicin,PC-3,10.0,4.61,1.0,2,24,72,0.6125
129,Doxorubicin,PC-3,10.0,2.97,1.0,3,24,72,0.6125
130,Doxorubicin,PC-3,50.0,0,1.699,1,24,48,0.6125
131,Doxorubicin,PC-3,50.0,,1.699,2,24,48,0.6125
132,Doxorubicin,PC-3,50.0,3.27,1.699,3,24,48,0.6125
133,Doxorubicin,PC-3,100.0,0,2.0,1,24,72,0.6125
134,Doxorubicin,PC-3,100.0,0,2.0,2,24,24,0.6125
135,Doxorubicin,PC-3,100.0,3.95,2.0,3,24,72,0.6125
136,Paclitaxel,MCF-7,0.001,98.97,-3.0,1,30,72,0.0092
137,Paclitaxel,MCF-7,0.001,100.85,-3.0,2,30,72,0.0092
138,Paclitaxel,MCF-7,0.001,102.05,-3.0,3,30,48,0.0092
139,Paclitaxel,MCF-7,0.01,43.36,-2.0,1,30,24,0.0092
140,Paclitaxel,MCF-7,0.01,42.61,-2.0,2,30,24,0.0092
141,Paclitaxel,MCF-7,0.01,47.23,-2.0,3,30,24,0.0092
142,Paclitaxel,MCF-7,0.1,1.39,-1.0,1,30,48,0.0092
143,Paclitaxel,MCF-7,0.1,1.89,-1.0,2,30,72,0.0092
144,Paclitaxel,MCF-7,0.1,3.01,-1.0,3,30,24,0.0092
145,Paclitaxel,MCF-7,0.5,5.55,-0.301,1,30,48,0.0092
146,Paclitaxel,MCF-7,0.5,0,-0.301,2,30,72,0.0092
147,Paclitaxel,MCF-7,0.5,4.58,-0.301,3,30,72,0.0092
148,Paclitaxel,MCF-7,1.0,2.93,0.0,1,30,48,0.0092
149,Paclitaxel,MCF-7,1.0,0.02,0.0,2,30,48,0.0092
150,Paclitaxel,MCF-7,1.0,0,0.0,3,30,24,0.0092
151,Paclitaxel,MCF-7,5.0,0.09,0.699,1,30,24,0.0092
152,Paclitaxel,MCF-7,5.0,0,0.699,2,30,48,0.0092
153,Paclitaxel,MCF-7,5.0,0,0.699,3,30,24,0.0092
154,Paclitaxel,MCF-7,10.0,0,1.0,1,30,48,0.0092
155,Paclitaxel,MCF-7,10.0,0,1.0,2,30,24,0.0092
156,Paclitaxel,MCF-7,10.0,0,1.0,3,30,48,0.0092
157,Paclitaxel,MCF-7,50.0,0,1.699,1,30,72,0.0092
158,Paclitaxel,MCF-7,50.0,3.21,1.699,2,30,24,0.0092
159,Paclitaxel,MCF-7,50.0,0,1.699,3,30,48,0.0092
160,Paclitaxel,MCF-7,100.0,3.49,2.0,1,30,72,0.0092
161,Paclitaxel,MCF-7,100.0,0,2.0,2,30,72,0.0092
162,Paclitaxel,MCF-7,100.0,5.18,2.0,3,30,24,0.0092
163,Paclitaxel,HeLa,0.001,99.01,-3.0,1,24,72,0.0225
164,Paclitaxel,HeLa,0.001,99.09,-3.0,2,24,24,0.0225
165,Paclitaxel,HeLa,0.001,98.51,-3.0,3,24,72,0.0225
166,Paclitaxel,HeLa,0.01,79.53,-2.0,1,24,72,0.0225
167,Paclitaxel,HeLa,0.01,78.45,-2.0,2,24,24,0.0225
168,Paclitaxel,HeLa,0.01,82.3,-2.0,3,24,72,0.0225
169,Paclitaxel,HeLa,0.1,8.12,-1.0,1,24,48,0.0225
170,Paclitaxel,HeLa,0.1,13.6,-1.0,2,24,72,0.0225
171,Paclitaxel,HeLa,0.1,7.29,-1.0,3,24,24,0.0225
172,Paclitaxel,HeLa,0.5,0.03,-0.301,1,24,48,0.0225
173,Paclitaxel,HeLa,0.5,0,-0.301,2,24,72,0.0225
174,Paclitaxel,HeLa,0.5,1.77,-0.301,3,24,72,0.0225
175,Paclitaxel,HeLa,1.0,0,0.0,1,24,72,0.0225
176,Paclitaxel,HeLa,1.0,0,0.0,2,24,24,0.0225
177,Paclitaxel,HeLa,1.0,6.68,0.0,3,24,48,0.0225
178,Paclitaxel,HeLa,5.0,0,0.699,1,24,48,0.0225
179,Paclitaxel,HeLa,5.0,0.59,0.699,2,24,48,0.0225
180,Paclitaxel,HeLa,5.0,0,0.699,3,24,72,0.0225
181,Paclitaxel,HeLa,10.0,2.32,1.0,1,24,24,0.0225
182,Paclitaxel,HeLa,10.0,0.71,1.0,2,24,48,0.0225
183,Paclitaxel,HeLa,10.0,0,1.0,3,24,48,0.0225
184,Paclitaxel,HeLa,50.0,0,1.699,1,24,72,0.0225
185,Paclitaxel,HeLa,50.0,3.1,1.699,2,24,72,0.0225
186,Paclitaxel,HeLa,50.0,2.28,1.699,3,24,24,0.0225
187,Paclitaxel,HeLa,100.0,4.36,2.0,1,24,72,0.0225
188,Paclitaxel,HeLa,100.0,0.31,2.0,2,24,24,0.0225
189,Paclitaxel,HeLa,100.0,0,2.0,3,24,72,0.0225
190,Paclitaxel,A549,0.001,99.4,-3.0,1,27,24,0.0164
191,Paclitaxel,A549,0.001,99.44,-3.0,2,27,48,0.0164
192,Paclitaxel,A549,0.001,101.21,-3.0,3,27,72,0.0164
193,Paclitaxel,A549,0.01,63.94,-2.0,1,27,24,0.0164
194,Paclitaxel,A549,0.01,66.17,-2.0,2,27,72,0.0164
195,Paclitaxel,A549,0.01,62.87,-2.0,3,27,48,0.0164
196,Paclitaxel,A549,0.1,11.0,-1.0,1,27,48,0.0164
197,Paclitaxel,A549,0.1,11.82,-1.0,2,27,72,0.0164
198,Paclitaxel,A549,0.1,7.28,-1.0,3,27,48,0.0164
199,Paclitaxel,A549,0.5,0,-0.301,1,27,48,0.0164
200,Paclitaxel,A549,0.5,2.58,-0.301,2,27,24,0.0164
201,Paclitaxel,A549,0.5,1.75,-0.301,3,27,72,0.0164
202,Paclitaxel,A549,1.0,0,0.0,1,27,72,0.0164
203,Paclitaxel,A549,1.0,0,0.0,2,27,72,0.0164
204,Paclitaxel,A549,1.0,2.92,0.0,3,27,48,0.0164
205,Paclitaxel,A549,5.0,0,0.699,1,27,48,0.0164
206,Paclitaxel,A549,5.0,3.09,0.699,2,27,24,0.0164
207,Paclitaxel,A549,5.0,4.03,0.699,3,27,24,0.0164
208,Paclitaxel,A549,10.0,1.4,1.0,1,27,48,0.0164
209,Paclitaxel,A549,10.0,0.53,1.0,2,27,72,0.0164
210,Paclitaxel,A549,10.0,1.87,1.0,3,27,24,0.0164
211,Paclitaxel,A549,50.0,0,1.699,1,27,48,0.0164
212,Paclitaxel,A549,50.0,5.45,1.699,2,27,48,0.0164
213,Paclitaxel,A549,50.0,0,1.699,3,27,48,0.0164
214,Paclitaxel,A549,100.0,2.58,2.0,1,27,48,0.0164
215,Paclitaxel,A549,100.0,0,2.0,2,27,72,0.0164
216,Paclitaxel,A549,100.0,3.67,2.0,3,27,48,0.0164
217,Paclitaxel,HCT116,0.001,95.94,-3.0,1,23,72,0.0342
218,Paclitaxel,HCT116,0.001,98.0,-3.0,2,23,24,0.0342
219,Paclitaxel,HCT116,0.001,98.21,-3.0,3,23,48,0.0342
220,Paclitaxel,HCT116,0.01,84.41,-2.0,1,23,24,0.0342
221,Paclitaxel,HCT116,0.01,87.38,-2.0,2,23,48,0.0342
222,Paclitaxel,HCT116,0.01,85.52,-2.0,3,23,24,0.0342
223,Paclitaxel,HCT116,0.1,17.16,-1.0,1,23,72,0.0342
224,Paclitaxel,HCT116,0.1,16.48,-1.0,2,23,24,0.0342
225,Paclitaxel,HCT116,0.1,22.21,-1.0,3,23,72,0.0342
226,Paclitaxel,HCT116,0.5,2.51,-0.301,1,23,72,0.0342
227,Paclitaxel,HCT116,0.5,0,-0.301,2,23,72,0.0342
228,Paclitaxel,HCT116,0.5,0.18,-0.301,3,23,72,0.0342
229,Paclitaxel,HCT116,1.0,0.4,0.0,1,23,72,0.0342
230,Paclitaxel,HCT116,1.0,0,0.0,2,23,48,0.0342
231,Paclitaxel,HCT116,1.0,4.79,0.0,3,23,24,0.0342
232,Paclitaxel,HCT116,5.0,0,0.699,1,23,72,0.0342
233,Paclitaxel,HCT116,5.0,0,0.699,2,23,48,0.0342
234,Paclitaxel,HCT116,5.0,1.91,0.699,3,23,24,0.0342
235,Paclitaxel,HCT116,10.0,0.4,1.0,1,23,24,0.0342
236,Paclitaxel,HCT116,10.0,0,1.0,2,23,72,0.0342
237,Paclitaxel,HCT116,10.0,0.62,1.0,3,23,24,0.0342
238,Paclitaxel,HCT116,50.0,0,1.699,1,23,24,0.0342
239,Paclitaxel,HCT116,50.0,1.1,1.699,2,23,24,0.0342
240,Paclitaxel,HCT116,50.0,0,1.699,3,23,24,0.0342
241,Paclitaxel,HCT116,100.0,0.93,2.0,1,23,72,0.0342
242,Paclitaxel,HCT116,100.0,0,2.0,2,23,48,0.0342
243,Paclitaxel,HCT116,100.0,4.29,2.0,3,23,72,0.0342
244,Paclitaxel,PC-3,0.001,98.51,-3.0,1,13,48,0.0249
245,Paclitaxel,PC-3,0.001,93.49,-3.0,2,13,72,0.0249
246,Paclitaxel,PC-3,0.001,100.26,-3.0,3,13,24,0.0249
247,Paclitaxel,PC-3,0.01,79.94,-2.0,1,13,24,0.0249
248,Paclitaxel,PC-3,0.01,76.07,-2.0,2,13,48,0.0249
249,Paclitaxel,PC-3,0.01,83.29,-2.0,3,13,24,0.0249
250,Paclitaxel,PC-3,0.1,10.76,-1.0,1,13,48,0.0249
251,Paclitaxel,PC-3,0.1,8.0,-1.0,2,13,72,0.0249
252,Paclitaxel,PC-3,0.1,14.5,-1.0,3,13,48,0.0249
253,Paclitaxel,PC-3,0.5,0.27,-0.301,1,13,72,0.0249
254,Paclitaxel,PC-3,0.5,0.4,-0.301,2,13,72,0.0249
255,Paclitaxel,PC-3,0.5,7.31,-0.301,3,13,48,0.0249
256,Paclitaxel,PC-3,1.0,0.78,0.0,1,13,24,0.0249
257,Paclitaxel,PC-3,1.0,0,0.0,2,13,48,0.0249
258,Paclitaxel,PC-3,1.0,0.7,0.0,3,13,48,0.0249
259,Paclitaxel,PC-3,5.0,0,0.699,1,13,72,0.0249
260,Paclitaxel,PC-3,5.0,3.61,0.699,2,13,48,0.0249
261,Paclitaxel,PC-3,5.0,1.34,0.699,3,13,72,0.0249
262,Paclitaxel,PC-3,10.0,0.74,1.0,1,13,72,0.0249
263,Paclitaxel,PC-3,10.0,0,1.0,2,13,24,0.0249
264,Paclitaxel,PC-3,10.0,0,1.0,3,13,24,0.0249
265,Paclitaxel,PC-3,50.0,0.12,1.699,1,13,24,0.0249
266,Paclitaxel,PC-3,50.0,3.25,1.699,2,13,24,0.0249
267,Paclitaxel,PC-3,50.0,1.61,1.699,3,13,24,0.0249
268,Paclitaxel,PC-3,100.0,5.19,2.0,1,13,48,0.0249
269,Paclitaxel,PC-3,100.0,0,2.0,2,13,48,0.0249
270,Paclitaxel,PC-3,100.0,0,2.0,3,13,24,0.0249
271,Cisplatin,MCF-7,0.001,102.69,-3.0,1,15,48,6.0225
272,Cisplatin,MCF-7,0.001,95.72,-3.0,2,15,72,6.0225
273,Cisplatin,MCF-7,0.001,97.09,-3.0,3,15,24,6.0225
274,Cisplatin,MCF-7,0.01,105,-2.0,1,15,48,6.0225
275,Cisplatin,MCF-7,0.01,98.61,-2.0,2,15,72,6.0225
276,Cisplatin,MCF-7,0.01,98.96,-2.0,3,15,72,6.0225
277,Cisplatin,MCF-7,0.1,95.24,-1.0,1,15,72,6.0225
278,Cisplatin,MCF-7,0.1,94.89,-1.0,2,15,24,6.0225
279,Cisplatin,MCF-7,0.1,99.43,-1.0,3,15,24,6.0225
280,Cisplatin,MCF-7,0.5,92.24,-0.301,1,15,48,6.0225
281,Cisplatin,MCF-7,0.5,91.44,-0.301,2,15,48,6.0225
282,Cisplatin,MCF-7,0.5,86.62,-0.301,3,15,72,6.0225
283,Cisplatin,MCF-7,1.0,82.11,0.0,1,15,48,6.0225
284,Cisplatin,MCF-7,1.0,,0.0,2,15,72,6.0225
285,Cisplatin,MCF-7,1.0,79.45,0.0,3,15,48,6.0225
286,Cisplatin,MCF-7,5.0,53.71,0.699,1,15,72,6.0225
287,Cisplatin,MCF-7,5.0,56.22,0.699,2,15,72,6.0225
288,Cisplatin,MCF-7,5.0,53.78,0.699,3,15,48,6.0225
289,Cisplatin,MCF-7,10.0,37.6,1.0,1,15,24,6.0225
290,Cisplatin,MCF-7,10.0,42.87,1.0,2,15,72,6.0225
291,Cisplatin,MCF-7,10.0,43.05,1.0,3,15,24,6.0225
292,Cisplatin,MCF-7,50.0,16.12,1.699,1,15,72,6.0225
293,Cisplatin,MCF-7,50.0,14.3,1.699,2,15,24,6.0225
294,Cisplatin,MCF-7,50.0,12.35,1.699,3,15,48,6.0225
295,Cisplatin,MCF-7,100.0,14.44,2.0,1,15,48,6.0225
296,Cisplatin,MCF-7,100.0,9.31,2.0,2,15,24,6.0225
297,Cisplatin,MCF-7,100.0,7.3,2.0,3,15,24,6.0225
298,Cisplatin,HeLa,0.001,101.55,-3.0,1,29,72,8.3306
299,Cisplatin,HeLa,0.001,99.18,-3.0,2,29,48,8.3306
300,Cisplatin,HeLa,0.001,98.86,-3.0,3,29,24,8.3306
301,Cisplatin,HeLa,0.01,95.47,-2.0,1,29,24,8.3306
302,Cisplatin,HeLa,0.01,102.97,-2.0,2,29,48,8.3306
303,Cisplatin,HeLa,0.01,98.37,-2.0,3,29,48,8.3306
304,Cisplatin,HeLa,0.1,101.14,-1.0,1,29,48,8.3306
305,Cisplatin,HeLa,0.1,92.87,-1.0,2,29,48,8.3306
306,Cisplatin,HeLa,0.1,96.54,-1.0,3,29,48,8.3306
307,Cisplatin,HeLa,0.5,87.48,-0.301,1,29,24,8.3306
308,Cisplatin,HeLa,0.5,91.54,-0.301,2,29,24,8.3306
309,Cisplatin,HeLa,0.5,89.13,-0.301,3,29,48,8.3306
310,Cisplatin,HeLa,1.0,88.11,0.0,1,29,72,8.3306
311,Cisplatin,HeLa,1.0,82.48,0.0,2,29,24,8.3306
312,Cisplatin,HeLa,1.0,85.8,0.0,3,29,48,8.3306
313,Cisplatin,HeLa,5.0,58.43,0.699,1,29,24,8.3306
314,Cisplatin,HeLa,5.0,59.56,0.699,2,29,24,8.3306
315,Cisplatin,HeLa,5.0,59.74,0.699,3,29,24,8.3306
316,Cisplatin,HeLa,10.0,47.92,1.0,1,29,72,8.3306
317,Cisplatin,HeLa,10.0,47.32,1.0,2,29,72,8.3306
318,Cisplatin,HeLa,10.0,43.89,1.0,3,29,24,8.3306
319,Cisplatin,HeLa,50.0,17.35,1.699,1,29,24,8.3306
320,Cisplatin,HeLa,50.0,23.13,1.699,2,29,24,8.3306
321,Cisplatin,HeLa,50.0,20.16,1.699,3,29,24,8.3306
322,Cisplatin,HeLa,100.0,12.42,2.0,1,29,48,8.3306
323,Cisplatin,HeLa,100.0,12.34,2.0,2,29,24,8.3306
324,Cisplatin,HeLa,100.0,15.9,2.0,3,29,48,8.3306
325,Cisplatin,A549,0.001,98.73,-3.0,1,8,72,4.0137
326,Cisplatin,A549,0.001,103.6,-3.0,2,8,48,4.0137
327,Cisplatin,A549,0.001,98.98,-3.0,3,8,72,4.0137
328,Cisplatin,A549,0.01,103.57,-2.0,1,8,48,4.0137
329,Cisplatin,A549,0.01,102.55,-2.0,2,8,24,4.0137
330,Cisplatin,A549,0.01,98.85,-2.0,3,8,24,4.0137
331,Cisplatin,A549,0.1,96.14,-1.0,1,8,72,4.0137
332,Cisplatin,A549,0.1,101.71,-1.0,2,8,48,4.0137
333,Cisplatin,A549,0.1,94.37,-1.0,3,8,48,4.0137
334,Cisplatin,A549,0.5,88.16,-0.301,1,8,72,4.0137
335,Cisplatin,A549,0.5,82.59,-0.301,2,8,48,4.0137
336,Cisplatin,A549,0.5,84.15,-0.301,3,8,24,4.0137
337,Cisplatin,A549,1.0,74.86,0.0,1,8,72,4.0137
338,Cisplatin,A549,1.0,77.73,0.0,2,8,48,4.0137
339,Cisplatin,A549,1.0,72.5,0.0,3,8,72,4.0137
340,Cisplatin,A549,5.0,49.88,0.699,1,8,72,4.0137
341,Cisplatin,A549,5.0,44.56,0.699,2,8,48,4.0137
342,Cisplatin,A549,5.0,44.38,0.699,3,8,48,4.0137
343,Cisplatin,A549,10.0,29.54,1.0,1,8,24,4.0137
344,Cisplatin,A549,10.0,33.49,1.0,2,8,72,4.0137
345,Cisplatin,A549,10.0,34.65,1.0,3,8,48,4.0137
346,Cisplatin,A549,50.0,8.31,1.699,1,8,48,4.0137
347,Cisplatin,A549,50.0,14.71,1.699,2,8,72,4.0137
348,Cisplatin,A549,50.0,4.6,1.699,3,8,48,4.0137
349,Cisplatin,A549,100.0,6.51,2.0,1,8,72,4.0137
350,Cisplatin,A549,100.0,8.86,2.0,2,8,48,4.0137
351,Cisplatin,A549,100.0,2.92,2.0,3,8,72,4.0137
352,Cisplatin,HCT116,0.001,98.35,-3.0,1,19,72,5.2208
353,Cisplatin,HCT116,0.001,98.12,-3.0,2,19,72,5.2208
354,Cisplatin,HCT116,0.001,100.66,-3.0,3,19,24,5.2208
355,Cisplatin,HCT116,0.01,99.89,-2.0,1,19,72,5.2208
356,Cisplatin,HCT116,0.01,96.23,-2.0,2,19,48,5.2208
357,Cisplatin,HCT116,0.01,103.46,-2.0,3,19,24,5.2208
358,Cisplatin,HCT116,0.1,97.7,-1.0,1,19,48,5.2208
359,Cisplatin,HCT116,0.1,93.36,-1.0,2,19,48,5.2208
360,Cisplatin,HCT116,0.1,93.75,-1.0,3,19,72,5.2208
361,Cisplatin,HCT116,0.5,92.32,-0.301,1,19,72,5.2208
362,Cisplatin,HCT116,0.5,84.54,-0.301,2,19,48,5.2208
363,Cisplatin,HCT116,0.5,86.97,-0.301,3,19,48,5.2208
364,Cisplatin,HCT116,1.0,75.97,0.0,1,19,48,5.2208
365,Cisplatin,HCT116,1.0,81.98,0.0,2,19,48,5.2208
366,Cisplatin,HCT116,1.0,79.76,0.0,3,19,72,5.2208
367,Cisplatin,HCT116,5.0,48.96,0.699,1,19,48,5.2208
368,Cisplatin,HCT116,5.0,48.3,0.699,2,19,24,5.2208
