alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280_od315,proline,cultivar
13.02,2.86,2.31,25.07,87.33,1.81,1.38,0.22,1.19,4.43,0.64,3.1,776,ClassB
13.52,2.98,2.57,15.87,101.65,3.0,2.75,0.34,2.38,6.46,0.94,3.7,1116,ClassA
12.12,2.43,1.89,23.44,72.61,2.07,3.89,0.65,1.86,2.77,1.27,3.77,663,ClassB
12.93,2.01,2.27,16.96,125.48,2.8,2.97,0.3,1.55,5.74,1.28,2.51,1087,ClassA
12.58,4.58,2.46,19.88,80.16,1.58,0.76,0.44,0.84,6.4,0.66,2.35,909,ClassC
13.51,3.23,2.57,25.72,115.05,1.67,0.84,0.56,0.88,8.76,0.68,2.0,713,ClassC
11.99,2.39,2.24,21.22,78.86,1.93,2.66,0.06,2.15,3.06,1.09,2.82,602,ClassB
12.78,3.16,2.25,19.32,94.74,1.28,1.11,0.32,1.22,5.43,0.61,1.56,273,ClassC
12.07,1.32,2.33,18.44,110.58,2.82,2.35,0.62,2.12,2.86,1.33,2.83,676,ClassB
12.16,2.91,2.55,17.88,119.52,2.37,2.94,0.36,1.47,3.09,0.79,3.47,385,ClassB
13.57,1.43,2.45,13.47,94.35,3.23,3.12,0.18,2.52,6.89,0.85,3.14,897,ClassA
14.29,2.0,2.48,18.04,120.29,3.0,2.15,0.34,1.6,5.27,1.09,2.77,961,ClassA
13.34,1.45,2.18,13.67,99.31,2.68,3.79,0.29,2.83,4.71,1.21,2.86,1113,ClassA
13.39,2.08,2.59,17.86,88.71,1.44,0.28,0.51,1.27,7.42,0.61,1.4,738,ClassC
13.99,1.85,2.8,19.17,114.76,2.61,2.99,0.4,2.16,5.19,0.89,3.33,1141,ClassA
13.64,3.73,2.86,24.14,102.06,1.29,1.25,0.45,1.36,7.37,0.48,1.85,820,ClassC
13.44,1.41,2.68,20.29,105.33,3.27,2.59,0.34,1.61,5.23,1.09,2.91,933,ClassA
12.8,3.57,2.49,19.46,96.39,1.54,0.97,0.35,0.95,9.72,0.87,1.74,316,ClassC
13.62,2.41,2.14,19.08,112.44,3.17,3.03,0.29,1.92,4.93,1.24,3.59,1618,ClassA
13.77,1.76,2.21,20.16,105.23,2.63,3.29,0.17,1.94,5.58,0.93,2.8,1309,ClassA
13.81,1.26,2.49,15.96,130.94,2.35,3.05,0.32,2.26,4.33,1.21,3.12,1120,ClassA
13.94,1.9,2.77,16.44,84.32,3.02,2.51,0.2,2.31,7.51,1.03,3.08,858,ClassA
14.45,2.12,2.59,18.1,86.67,2.43,2.38,0.15,2.61,5.8,1.05,2.6,1180,ClassA
12.61,1.93,2.21,20.74,78.5,1.95,2.2,0.28,0.77,2.97,1.01,2.77,630,ClassB
11.72,1.8,1.95,22.54,85.06,2.48,4.18,0.54,1.51,1.25,1.03,2.12,562,ClassB
14.08,2.6,2.46,15.62,90.21,2.92,3.25,0.32,1.39,6.39,1.15,2.87,1427,ClassA
14.15,2.32,2.61,18.01,97.32,2.58,3.03,0.15,2.69,4.88,1.11,3.01,1104,ClassA
12.65,2.22,2.09,23.23,82.96,2.07,1.12,0.18,2.17,2.79,0.95,2.6,444,ClassB
12.42,2.61,2.48,15.35,105.27,2.66,1.98,0.29,2.43,1.99,1.28,2.25,667,ClassB
12.2,2.67,2.75,10.47,74.48,2.67,3.43,0.32,2.13,4.52,0.94,3.3,806,ClassA
14.26,4.94,2.32,20.14,92.61,1.7,1.14,0.47,1.13,9.89,0.68,2.05,899,ClassC
12.51,1.7,2.43,22.79,91.62,2.64,2.22,0.29,1.05,3.18,1.33,2.46,331,ClassB
11.36,2.52,2.44,18.83,90.75,2.28,1.72,0.26,1.15,2.45,1.02,3.17,754,ClassB
12.15,2.5,2.13,25.05,84.67,2.94,2.6,0.26,1.98,3.24,1.07,2.71,631,ClassB
12.67,3.84,2.55,22.09,104.68,1.56,0.96,0.36,1.14,8.64,0.58,2.0,352,ClassC
13.49,3.03,2.9,19.53,94.19,1.21,0.51,0.35,1.32,10.93,0.77,1.47,578,ClassC
12.71,3.1,2.35,21.89,102.45,2.3,1.94,0.3,1.78,2.83,0.82,2.84,496,ClassB
12.86,1.23,2.31,14.71,115.81,2.25,3.01,0.33,2.71,5.59,1.1,3.62,781,ClassA
13.03,2.52,2.54,16.83,100.01,2.92,3.42,0.35,1.97,6.02,0.93,2.94,1050,ClassA
13.33,2.07,2.31,16.58,115.2,1.79,2.15,0.47,1.24,2.65,1.07,2.9,522,ClassB
13.21,1.42,2.62,16.31,140.51,2.24,2.82,0.45,0.23,3.1,0.79,2.67,416,ClassB
14.01,1.81,2.49,13.54,105.69,2.11,3.12,0.22,2.21,6.67,1.22,3.68,1452,ClassA
14.18,1.56,1.95,12.84,104.7,3.29,2.67,0.28,1.69,4.83,1.24,3.06,1264,ClassA
13.99,2.89,2.71,18.22,100.31,2.08,0.96,0.56,1.36,5.22,0.7,1.76,877,ClassC
11.9,3.21,2.15,19.94,96.9,1.67,1.42,0.43,1.36,2.02,1.49,3.61,655,ClassB
13.8,1.32,2.46,20.92,105.65,2.78,2.78,0.21,2.44,5.36,1.02,3.07,1029,ClassA
14.09,2.15,2.19,20.1,90.45,2.49,3.37,0.27,1.95,6.21,1.12,3.87,1180,ClassA
11.84,2.1,1.96,18.52,113.29,3.46,2.52,0.4,2.57,1.86,1.02,3.41,339,ClassB
13.34,1.95,2.26,13.76,110.61,2.72,2.86,0.37,2.54,2.52,1.15,3.35,661,ClassA
13.6,,2.18,23.05,86.89,1.27,0.78,0.43,1.14,5.47,0.69,1.87,428,ClassC
13.63,2.3,2.51,17.35,108.38,3.07,2.94,0.33,1.68,6.43,1.31,2.66,1118,ClassA
12.42,2.86,2.13,20.87,91.89,0.82,0.11,0.45,1.04,7.85,0.42,1.39,529,ClassC
13.97,1.29,2.06,22.17,102.5,2.94,2.8,0.18,2.15,4.75,0.85,3.12,850,ClassA
13.42,2.16,2.46,22.54,101.93,1.24,1.1,0.51,0.68,6.17,0.5,2.39,643,ClassC
13.07,1.96,2.75,19.32,106.9,2.6,4.15,0.3,2.24,7.29,1.24,2.89,1044,ClassA
12.43,3.06,2.34,18.52,125.83,1.93,2.68,0.28,2.15,3.77,1.2,2.74,489,ClassB
13.6,1.56,2.42,12.47,102.5,3.26,3.02,0.27,1.68,2.48,1.42,3.04,1295,ClassA
14.67,1.63,2.85,20.61,109.23,3.29,3.4,0.19,1.89,4.74,1.02,2.9,1079,ClassA
14.36,1.34,2.22,14.91,110.66,3.26,3.0,0.21,1.54,6.19,0.99,3.01,1135,ClassA
12.08,1.65,2.37,24.16,94.83,2.33,1.51,0.4,2.43,4.87,1.0,1.6,560,ClassB
13.31,2.33,2.13,15.73,108.84,2.69,3.21,0.13,2.85,5.11,0.83,2.83,740,ClassA
14.03,1.99,2.51,19.34,110.89,2.12,2.92,0.32,2.2,5.18,0.85,3.17,1240,ClassA
12.45,1.9,2.12,21.29,,1.88,1.54,0.47,2.02,1.72,1.19,2.52,668,ClassB
13.36,2.46,2.38,13.86,115.15,2.59,2.7,0.23,1.53,4.66,1.09,3.32,440,ClassA
14.03,,2.08,18.13,100.61,2.65,3.21,0.31,2.0,4.35,1.22,2.36,1316,ClassA
12.11,1.77,1.79,28.15,105.11,1.5,3.72,0.35,1.84,3.64,1.33,2.98,398,ClassB
13.93,1.86,2.47,17.44,104.58,3.0,2.7,0.26,2.19,5.1,0.94,3.26,1089,ClassA
12.15,2.41,2.38,23.07,107.06,2.8,1.29,0.34,1.75,3.24,0.89,2.35,751,ClassB
13.14,2.46,2.81,20.42,93.1,1.71,-0.12,0.35,0.94,6.39,0.5,1.62,758,ClassC
12.6,1.47,2.2,20.19,75.79,2.45,0.19,0.49,1.27,2.11,1.45,2.91,490,ClassB
12.76,2.38,2.03,19.47,103.07,1.99,2.26,0.36,2.36,1.97,0.86,3.04,539,ClassB
13.73,2.15,2.51,18.56,96.52,2.27,3.27,0.19,2.96,5.07,0.81,3.46,1068,ClassA
12.06,2.12,2.07,18.96,124.06,1.86,1.89,0.38,0.71,3.58,1.06,3.86,405,ClassB
12.76,3.74,1.87,19.69,110.9,2.2,0.89,0.56,2.41,3.76,1.06,2.36,513,ClassB
12.29,1.94,1.95,20.92,85.33,2.68,1.52,0.27,1.94,2.19,1.27,2.82,258,ClassB
12.27,1.71,2.19,17.69,97.51,2.07,0.98,0.37,1.02,1.31,0.96,2.96,581,ClassB
12.02,2.02,2.41,18.75,94.88,2.53,3.14,0.23,1.49,2.27,1.0,2.89,419,ClassB
12.02,2.78,2.21,18.96,105.57,2.39,1.86,0.39,,1.51,1.65,2.69,281,ClassB
13.77,2.73,2.84,21.42,110.5,2.87,2.93,0.2,1.48,8.06,1.02,2.79,976,ClassA
12.83,2.57,2.47,12.33,115.6,2.76,2.53,0.25,1.41,4.16,1.07,2.64,880,ClassA
13.48,1.02,2.4,22.88,92.42,1.54,0.55,0.39,1.01,9.43,0.78,1.31,718,ClassC
12.6,1.85,1.87,20.48,94.74,1.62,1.26,0.41,3.0,3.25,1.07,3.45,424,ClassB
13.7,1.64,2.45,20.39,122.56,2.75,2.16,0.27,2.45,3.33,0.91,2.91,912,ClassA
12.85,2.18,2.43,15.06,95.72,2.99,2.8,0.27,1.55,6.94,1.05,2.6,1365,ClassA
13.68,1.51,2.83,12.23,125.99,2.8,2.64,0.2,2.49,3.97,0.99,2.79,880,ClassA
12.71,2.49,2.25,17.28,89.09,2.42,2.69,0.39,1.99,2.03,0.92,2.19,332,ClassB
12.23,4.28,2.54,16.74,98.33,1.85,0.59,0.48,0.95,9.1,0.59,1.58,632,ClassC
11.87,2.15,2.26,10.97,103.58,2.51,1.67,0.4,1.51,3.15,1.1,2.45,488,ClassB
13.41,3.57,2.53,22.56,80.85,1.81,0.83,0.3,1.86,8.46,0.77,1.37,861,ClassC
13.69,1.38,2.65,16.55,114.6,3.02,2.76,0.29,1.94,4.44,1.06,2.9,777,ClassA
11.38,0.27,2.5,17.39,102.13,2.12,1.6,0.31,1.31,3.18,1.24,3.36,383,ClassB
14.43,2.55,2.57,16.12,113.3,2.67,3.8,0.27,0.96,5.48,1.03,3.3,1234,ClassA
13.28,2.26,2.18,15.42,91.34,3.04,3.18,0.32,1.61,6.89,0.96,3.19,1063,ClassA
12.0,2.15,2.42,18.73,71.29,2.04,2.45,0.25,2.53,2.02,0.97,3.36,723,ClassB
12.99,0.95,2.36,20.14,114.21,1.89,0.76,0.59,1.23,7.07,0.71,2.01,367,ClassC
12.57,3.37,2.74,18.26,100.69,1.22,1.12,0.36,1.28,7.53,0.89,1.14,694,ClassC
13.47,4.41,2.4,25.31,81.24,1.76,0.72,0.6,1.56,5.35,0.67,2.0,692,ClassC
12.58,1.39,2.27,22.17,79.85,2.09,2.84,0.24,1.65,2.57,1.01,3.15,480,ClassB
14.33,2.38,2.14,18.49,89.3,3.4,2.62,0.25,1.66,7.55,1.18,3.64,739,ClassA
13.87,1.96,2.21,12.22,103.83,2.6,3.2,0.35,1.8,4.57,1.13,2.92,1210,ClassA
13.68,1.91,2.23,15.21,92.61,2.21,2.8,0.31,1.47,5.74,1.1,2.7,1231,ClassA
13.87,2.81,2.25,23.26,88.55,1.88,0.86,0.38,0.67,6.2,0.73,1.78,610,ClassC
12.89,2.74,2.2,25.92,113.07,1.78,0.66,0.47,0.94,4.44,0.76,1.5,648,ClassC
12.2,1.87,2.51,22.78,124.13,2.42,1.99,0.43,1.18,3.17,1.07,2.24,440,ClassB
13.58,1.59,2.5,13.97,119.28,2.56,2.55,0.45,0.84,5.48,1.25,3.11,1059,ClassA
12.67,1.42,2.34,18.22,70.74,2.22,1.52,0.38,1.39,2.92,1.06,2.54,553,ClassB
12.42,2.23,2.69,15.87,63.1,2.4,2.0,0.35,1.88,2.5,1.14,3.46,452,ClassB
14.11,2.78,2.6,20.46,96.79,2.63,2.63,0.23,2.37,5.9,0.95,2.86,1360,ClassA
11.87,2.11,2.24,16.28,92.2,2.32,2.41,0.46,1.07,2.6,1.0,1.28,822,ClassB
13.7,3.52,2.39,17.83,110.54,2.76,3.77,0.32,1.36,4.53,1.04,3.55,1266,ClassA
13.43,1.35,2.2,20.44,97.13,3.31,2.87,0.16,2.02,5.19,1.27,3.06,662,ClassA
13.39,0.89,2.79,22.27,132,1.18,1.0,0.31,1.32,5.32,0.69,2.0,740,ClassC
12.9,2.83,2.49,17.31,113.51,3.04,2.66,0.26,1.89,5.45,1.03,3.5,1113,ClassA
11.92,1.23,2.16,24.52,119.95,2.51,2.72,0.24,1.84,3.23,1.25,1.76,568,ClassB
12.97,2.51,2.69,18.6,89.02,1.88,0.28,0.33,1.27,7.54,0.53,1.33,649,ClassC
12.65,2.33,2.18,15.35,86.97,2.53,2.38,0.47,1.08,2.53,1.32,3.17,453,ClassB
14.15,1.2,2.45,18.05,92.03,2.65,2.94,0.21,1.43,4.67,1.23,2.66,1539,ClassA
14.66,1.8,2.7,18.25,91.08,3.14,3.91,0.34,2.38,4.66,1.12,3.47,1203,ClassA
12.99,1.87,2.23,15.27,111.34,2.75,2.9,0.2,1.58,6.58,0.94,3.23,1163,ClassA
13.71,4.78,2.64,20.94,100.54,1.85,1.23,0.39,0.77,8.08,0.56,1.71,804,ClassC
13.69,4.48,2.54,21.77,77.19,1.66,0.79,0.34,1.34,7.59,0.79,2.2,689,ClassC
13.6,2.78,2.42,11.97,107.39,2.32,3.55,0.3,2.22,4.66,1.06,2.96,1243,ClassA
13.7,2.49,2.57,21.01,99.15,3.29,2.56,0.38,2.29,4.19,0.82,3.37,1150,ClassA
13.32,2.53,2.07,23.29,102.54,2.02,0.47,0.46,1.41,8.16,0.47,1.62,509,ClassC
11.78,2.41,2.18,19.2,58.81,1.88,1.37,0.26,1.18,3.8,0.99,2.44,697,ClassB
11.86,1.28,2.69,12.14,91.32,2.16,2.57,0.32,0.2,2.39,0.67,3.0,560,ClassB
13.83,2.3,2.37,19.64,127.18,2.9,2.73,0.32,2.75,5.57,1.09,3.31,1201,ClassA
12.75,4.07,2.68,20.73,99.92,1.81,0.66,0.39,0.85,5.75,0.5,1.72,888,ClassC
13.82,2.0,2.29,15.83,117.77,2.91,3.13,0.32,1.46,6.65,0.9,2.98,1179,ClassA
11.96,1.67,2.42,22.1,93.85,2.35,2.79,0.23,1.85,4.45,0.63,2.39,469,ClassB
13.82,3.19,2.79,17.45,88.77,1.55,0.73,0.45,1.78,5.42,0.76,1.92,884,ClassC
12.07,2.85,2.11,17.0,58.56,2.46,2.76,0.47,,3.73,1.23,3.03,764,ClassB
13.32,2.1,2.32,13.4,116.87,2.96,2.79,0.38,1.17,4.53,1.19,3.26,1081,ClassA
13.32,2.23,2.34,23.02,91.14,1.43,1.1,0.48,0.9,1.4,0.91,1.89,275,ClassC
12.16,2.11,1.97,23.07,106.37,2.26,2.67,0.42,1.92,3.68,1.15,2.79,569,ClassB
13.48,2.77,2.23,20.94,,1.21,0.65,0.38,0.34,5.48,0.77,1.9,1088,ClassC
13.49,3.36,2.86,22.55,91.73,1.91,0.73,0.45,1.37,7.06,0.77,1.33,504,ClassC
12.81,3.97,2.33,21.62,85.16,1.37,1.09,0.37,1.49,8.18,0.65,1.51,575,ClassC
12.41,1.96,2.25,23.11,99.54,2.1,1.4,0.38,1.31,2.54,0.98,2.14,653,ClassB
14.57,2.0,2.48,19.24,113.39,3.06,2.93,0.17,1.69,5.9,1.15,3.15,1350,ClassA
12.35,3.75,1.81,27.72,104.29,2.31,2.55,0.44,1.59,1.62,0.9,2.28,387,ClassB
13.92,2.9,2.33,17.26,90.39,2.17,3.01,0.36,2.29,6.12,1.06,3.24,1093,ClassA
13.16,1.88,2.48,20.92,89.67,1.97,1.53,0.27,1.06,2.27,0.95,2.47,567,ClassB
12.61,2.06,2.6,15.06,98.19,3.01,2.91,0.2,2.57,4.87,1.24,2.29,1042,ClassA
12.68,1.65,1.98,16.45,114.09,3.13,1.16,0.45,1.39,1.38,0.8,3.43,445,ClassB
13.1,3.7,2.23,23.66,111.27,1.57,0.81,0.31,0.95,10.73,0.78,1.94,911,ClassC
13.72,1.7,2.62,17.29,94.75,2.52,3.16,0.31,1.61,8.13,1.08,2.48,824,ClassA
13.57,3.83,2.74,17.01,96.3,1.77,1.06,0.43,1.21,5.53,0.81,2.04,515,ClassC
11.72,0.61,2.32,17.58,119.91,1.9,2.96,0.36,1.16,2.78,1.09,3.12,454,ClassB
14.11,1.99,2.66,14.25,115.23,3.21,2.33,0.3,2.01,4.99,0.87,3.11,921,ClassA
11.96,2.2,2.23,23.19,106.16,2.62,2.47,0.36,2.9,4.12,1.25,2.82,566,ClassB
12.57,1.55,2.26,19.91,99.36,2.89,1.61,0.13,1.94,1.66,1.14,2.53,680,ClassB
12.99,2.95,2.43,19.92,86.95,1.64,0.66,0.32,0.75,13.22,0.79,1.75,704,ClassC
13.52,1.31,2.59,20.47,94.88,1.8,1.11,0.42,2.07,8.82,0.87,2.08,602,ClassC
13.9,,2.49,23.74,100.93,1.44,1.29,0.27,1.51,4.59,0.91,1.61,814,ClassC
14.04,2.6,2.27,15.29,127.72,2.26,2.89,0.32,2.28,4.82,1.06,3.36,1390,ClassA
13.47,1.34,2.63,14.34,131.87,3.36,3.29,0.25,2.06,3.87,1.13,3.32,979,ClassA
12.65,3.0,2.4,19.84,104.01,2.27,0.97,0.26,1.14,8.85,0.7,1.48,871,ClassC
13.86,2.9,2.89,12.62,106.02,3.45,2.92,0.26,1.72,3.98,1.03,3.01,578,ClassA
11.71,2.01,2.29,22.08,100.89,2.34,1.55,0.42,0.78,2.83,1.44,2.79,775,ClassB
12.18,0.58,2.64,20.26,83.31,2.06,0.74,0.39,1.72,3.79,0.91,2.44,652,ClassB
12.79,2.32,2.03,15.27,,1.63,1.93,0.28,0.24,4.16,1.3,2.96,730,ClassB
13.33,2.04,2.42,14.4,103.08,2.81,3.15,0.23,1.85,6.5,1.13,3.1,1019,ClassA
13.04,4.86,2.22,19.06,113.7,1.79,0.43,0.25,1.91,9.03,0.66,1.97,586,ClassC
13.06,4.65,2.25,24.59,96.96,1.74,1.09,0.57,0.8,10.36,0.69,1.43,375,ClassC
13.91,1.85,2.47,20.35,86.71,3.13,3.02,0.28,2.47,4.92,1.15,2.72,1365,ClassA
12.46,0.92,1.72,16.28,98.25,2.64,2.29,0.28,1.41,2.86,1.36,2.8,276,ClassB
12.6,2.76,2.35,20.67,111.7,1.95,0.4,0.5,1.22,7.64,0.74,2.03,603,ClassC
12.81,2.43,2.4,25.65,91.75,2.56,1.31,0.34,0.2,3.21,1.0,2.68,258,ClassB
12.41,2.11,2.34,14.89,108.03,2.82,1.59,0.33,2.61,1.97,0.87,3.8,320,ClassB
12.59,2.23,2.41,15.11,115.25,1.82,1.28,0.67,0.8,8.5,0.82,1.85,123,ClassC
14.21,2.43,2.12,18.62,89.96,2.42,2.98,0.3,1.24,4.28,0.85,3.11,1296,ClassA
13.74,2.87,2.28,25.31,112.56,1.89,0.65,0.44,1.14,5.67,0.62,1.72,302,ClassC
14.73,0.86,2.85,17.18,119.77,2.89,3.19,0.27,1.56,3.66,1.07,3.26,1139,ClassA
12.56,2.68,2.47,17.28,90.71,2.08,0.79,0.33,0.9,2.09,1.25,2.95,385,ClassB
13.16,3.95,2.43,23.95,125.08,1.62,0.54,0.14,1.39,7.26,0.66,1.14,535,ClassC
13.38,4.36,2.1,25.25,95.3,1.59,0.57,0.34,1.72,5.68,0.58,2.13,220,ClassC
12.47,1.12,2.21,21.91,98.55,2.02,1.21,0.25,1.54,4.08,1.32,2.66,379,ClassB
13.57,1.64,2.34,18.36,110.78,2.65,3.04,0.34,2.38,4.59,1.07,4.14,1093,ClassA
14.05,2.41,2.82,19.31,95.93,2.36,2.68,0.32,1.94,7.77,1.12,3.04,1289,ClassA
12.77,2.96,2.36,23.24,93.68,1.96,2.18,0.38,1.74,3.1,1.26,3.02,533,ClassB
13.22,2.8,2.49,15.1,113.84,2.8,2.96,0.26,1.76,6.77,1.01,3.26,1361,ClassA
12.56,3.28,2.09,14.71,80.47,1.72,0.88,0.25,1.58,4.43,0.88,2.89,492,ClassB
13.34,4.78,2.3,21.14,114.77,1.4,1.22,0.6,0.99,7.31,0.85,1.57,605,ClassC
13.85,3.07,2.44,22.64,91.29,2.23,0.69,0.3,1.03,7.79,0.81,1.74,523,ClassC
12.79,2.34,2.21,22.16,115.1,2.1,1.01,0.58,1.2,5.98,0.71,1.87,1078,ClassC
13.19,4.06,2.73,18.43,108.52,1.46,1.19,0.31,1.06,5.93,0.76,1.4,412,ClassC
12.36,1.26,2.15,21.91,103.44,2.73,0.59,0.23,2.31,3.3,0.82,2.23,380,ClassB
12.37,1.75,2.51,26.42,90.89,2.42,2.56,0.29,1.28,1.65,0.97,2.49,571,ClassB
13.91,2.28,2.53,16.24,103.73,3.44,2.69,0.24,,6.16,1.28,2.73,975,ClassA
13.39,1.11,2.56,16.07,95.92,2.92,2.89,0.18,2.47,5.89,1.02,3.68,924,ClassA
13.6,2.9,2.28,13.13,86.71,2.49,3.17,0.44,1.48,8.27,0.93,2.81,992,ClassA
14.02,1.56,2.79,15.7,104.46,2.48,3.55,0.35,1.97,5.78,1.02,3.03,1048,ClassA
13.72,3.84,2.45,19.28,110.99,1.81,1.22,0.47,1.09,7.41,0.8,1.5,513,ClassC
11.48,2.39,2.61,18.99,86.51,2.43,2.09,0.38,1.57,2.32,1.28,2.93,636,ClassB
13.7,1.84,2.64,18.79,94.45,1.86,0.44,0.25,1.21,3.34,0.83,0.87,428,ClassC
14.38,3.49,2.26,18.87,113.34,1.74,0.41,0.59,1.1,6.21,0.99,1.64,830,ClassC
12.61,3.71,2.81,24.55,108.2,2.06,0.93,0.33,0.69,9.73,0.9,1.26,372,ClassC
13.51,4.23,2.51,21.88,77.31,2.15,0.47,0.47,0.64,5.41,0.62,2.14,516,ClassC
13.04,3.03,2.71,14.45,103.08,3.13,3.23,0.22,,4.05,1.1,3.49,1289,ClassA
12.5,2.85,2.57,21.62,112.53,1.24,0.57,0.61,1.75,7.01,0.7,1.24,412,ClassC
13.61,4.16,2.56,22.18,108.77,2.1,0.95,0.48,1.29,10.5,0.75,1.97,859,ClassC
11.45,1.49,1.81,24.39,103.05,2.06,2.08,0.63,1.52,3.25,1.25,3.79,310,ClassB
13.7,2.45,2.4,20.93,110.04,3.28,3.29,0.3,1.96,5.36,0.9,2.86,808,ClassA
13.46,6.04,2.62,18.42,106.95,1.73,0.71,0.43,1.59,8.13,0.79,1.76,706,ClassC
14.93,2.11,2.27,15.26,112.92,2.49,2.81,0.16,1.33,4.58,1.2,3.75,1082,ClassA
11.97,1.39,1.61,17.92,109.28,2.56,2.1,0.44,1.87,5.43,1.17,2.53,670,ClassB
11.67,1.2,2.35,21.83,109.9,2.21,2.62,0.51,0.84,2.78,0.77,2.08,446,ClassB
12.76,,2.46,22.1,108.68,1.65,1.07,0.24,1.74,8.94,0.45,1.47,710,ClassC
13.53,1.99,2.28,20.44,107.23,2.84,3.24,0.35,2.03,6.52,1.11,3.53,771,ClassA
13.79,3.74,2.68,25.6,95.32,1.67,0.84,0.52,1.97,10.54,0.71,1.67,513,ClassC
13.85,2.74,2.83,18.48,102.49,3.0,3.6,0.22,2.0,5.51,0.95,3.47,1303,ClassA
13.68,4.93,2.21,16.74,101.01,1.31,0.85,0.51,1.62,7.81,0.75,1.7,413,ClassC
13.11,2.67,2.2,20.13,104.58,1.95,0.4,0.4,0.59,8.23,0.73,1.8,439,ClassC
12.39,1.2,2.62,21.32,76.01,1.64,3.07,0.56,1.28,3.01,1.19,2.8,484,ClassB
12.37,2.16,1.92,22.96,52.61,2.39,1.94,0.4,2.36,3.81,1.21,3.37,589,ClassB
13.51,3.48,2.68,19.77,100.21,1.89,0.6,0.27,-0.05,8.29,0.74,2.01,544,ClassC
12.65,2.18,2.05,22.02,112.19,3.1,2.54,0.34,2.09,3.79,0.93,2.6,482,ClassB
12.93,2.54,1.85,13.08,,1.74,3.89,0.26,,4.79,1.16,2.98,145,ClassB
11.87,0.33,2.62,19.88,86.97,2.55,2.3,0.13,1.53,3.51,1.05,2.57,372,ClassB
11.75,0.8,2.33,18.53,118.57,2.36,2.01,0.29,1.09,4.52,0.69,1.81,399,ClassB
11.69,2.56,2.3,19.29,122.96,2.45,0.89,0.35,1.74,1.36,1.19,2.45,266,ClassB
13.83,1.99,2.7,16.71,,3.68,2.85,0.32,1.96,5.59,0.81,2.81,775,ClassA
13.48,2.71,2.31,18.58,89.71,1.35,0.63,0.46,1.72,6.07,0.7,2.1,884,ClassC
13.42,4.16,2.65,17.68,110.77,1.59,0.48,0.37,0.85,9.13,0.66,1.61,483,ClassC
12.01,0.17,2.4,17.72,94.0,2.54,3.16,0.51,1.46,3.17,0.97,3.96,470,ClassB
12.26,1.24,2.22,23.47,84.32,2.18,3.22,0.12,0.94,3.11,1.32,2.12,552,ClassB
11.91,2.13,2.56,19.53,79.09,1.46,3.46,0.22,2.27,2.84,0.81,3.46,551,ClassB
13.47,3.81,2.49,19.48,98.79,0.85,0.75,0.19,1.54,5.97,0.63,1.45,873,ClassC
13.32,1.22,2.29,17.39,117.54,2.97,2.84,0.21,1.79,4.53,1.08,3.6,1016,ClassA
11.86,3.28,2.52,17.04,74.28,2.34,2.66,0.49,1.21,3.08,1.31,3.19,590,ClassB
12.53,1.91,2.43,22.57,108.21,2.13,2.99,0.31,2.71,4.14,1.11,3.07,437,ClassB
