experiment_id,temperature_C,concentration_mM,catalyst,ph_level,replicate,yield_percent,reaction_time_min,purity_percent,byproduct_mg
59,20,5.0,Nickel,7.4,2,50.9,88.1,85.5,10.89
60,20,5.0,Nickel,7.3,3,53.0,113.4,88.3,8.57
61,30,0.1,None,6.6,1,13.6,59.6,83.8,10.53
62,30,0.1,None,6.8,2,15.2,50.5,83.4,9.87
63,30,0.1,None,5.9,3,18.5,57.0,76.3,8.37
64,30,0.1,Platinum,7.4,1,45.3,52.2,89.1,4.25
65,30,0.1,Platinum,7.6,2,48.4,30.1,91.7,3.59
66,30,0.1,Platinum,7.5,3,41.6,61.6,90.0,5.68
67,30,0.1,Palladium,6.8,1,39.2,46.5,97.2,3.96
68,30,0.1,Palladium,7.3,2,35.4,62.4,88.4,9.1
69,30,0.1,Palladium,7.3,3,32.5,64.0,88.9,7.32
70,30,0.1,Nickel,7.6,1,25.5,42.3,95.4,8.4
71,30,0.1,Nickel,7.8,2,30.3,43.0,94.2,5.02
72,30,0.1,Nickel,6.3,3,23.6,41.6,95.3,10.01
73,30,0.5,None,7.1,1,25.6,58.5,90.7,16.51
74,30,0.5,None,6.4,2,25.6,72.9,87.3,7.32
75,30,0.5,None,6.7,3,23.0,29.7,88.5,8.34
76,30,0.5,Platinum,6.1,1,52.7,52.5,87.9,0
77,30,0.5,Platinum,7.2,2,55.4,69.6,97.9,9.95
78,30,0.5,Platinum,6.3,3,59.1,46.7,93.3,3.54
79,30,0.5,Palladium,7.1,1,48.8,53.4,81.1,9.63
80,30,0.5,Palladium,6.2,2,41.0,66.7,90.4,5.09
81,30,0.5,Palladium,8.5,3,43.4,43.2,,6.73
82,30,0.5,Nickel,7.6,1,32.9,59.9,90.5,9.96
83,30,0.5,Nickel,7.2,2,28.4,50.2,82.3,5.71
84,30,0.5,Nickel,6.7,3,39.9,63.1,87.3,6.52
85,30,1.0,None,6.5,1,32.6,72.4,88.0,13.95
86,30,1.0,None,7.2,2,22.9,67.8,80.1,9.0
87,30,1.0,None,6.9,3,31.5,42.5,87.4,10.25
88,30,1.0,Platinum,7.0,1,45.5,59.2,92.3,1.95
89,30,1.0,Platinum,6.9,2,63.6,65.7,93.9,1.32
90,30,1.0,Platinum,7.4,3,54.3,66.6,89.1,4.99
91,30,1.0,Palladium,7.2,1,44.1,55.2,89.1,5.42
92,30,1.0,Palladium,6.9,2,50.3,61.2,85.1,10.49
93,30,1.0,Palladium,7.0,3,50.5,51.6,95.8,8.05
94,30,1.0,Nickel,6.4,1,45.8,62.2,90.0,6.37
95,30,1.0,Nickel,6.5,2,36.8,38.1,91.9,8.52
96,30,1.0,Nickel,,3,43.0,63.8,80.3,4.4
97,30,2.0,None,7.0,1,37.0,70.0,84.9,16.96
98,30,2.0,None,7.3,2,37.0,75.2,80.5,8.11
99,30,2.0,None,6.3,3,37.7,74.2,87.6,10.35
100,30,2.0,Platinum,5.9,1,59.5,60.5,90.0,0
101,30,2.0,Platinum,6.8,2,62.9,53.5,92.4,6.62
102,30,2.0,Platinum,7.1,3,60.3,83.8,92.3,7.37
103,30,2.0,Palladium,7.5,1,59.4,55.3,89.1,8.0
104,30,2.0,Palladium,6.5,2,54.6,83.0,95.4,13.54
105,30,2.0,Palladium,7.3,3,56.8,79.1,91.8,8.19
106,30,2.0,Nickel,7.4,1,44.7,76.2,89.1,9.45
107,30,2.0,Nickel,7.4,2,41.0,57.5,85.2,9.47
108,30,2.0,Nickel,7.6,3,47.8,73.9,94.5,5.25
109,30,5.0,None,5.9,1,38.0,101.6,79.8,10.68
110,30,5.0,None,7.0,2,45.9,67.9,79.5,12.24
111,30,5.0,None,6.5,3,51.3,87.0,82.2,11.24
112,30,5.0,Platinum,6.4,1,62.3,97.6,93.9,11.88
113,30,5.0,Platinum,7.1,2,61.8,103.3,96.4,7.42
114,30,5.0,Platinum,6.8,3,68.1,110.2,95.1,6.89
115,30,5.0,Palladium,7.1,1,53.2,95.9,91.7,15.6
116,30,5.0,Palladium,6.9,2,61.0,109.4,91.6,4.98
117,30,5.0,Palladium,7.0,3,62.3,109.1,,9.41
118,30,5.0,Nickel,6.7,1,58.4,114.1,90.2,12.6
119,30,5.0,Nickel,7.5,2,40.7,114.2,82.9,3.79
120,30,5.0,Nickel,6.7,3,50.3,103.1,92.5,14.87
121,40,0.1,None,7.6,1,23.5,34.5,81.3,10.38
122,40,0.1,None,7.4,2,20.3,48.1,77.2,9.37
123,40,0.1,None,6.2,3,20.0,55.6,87.2,10.9
124,40,0.1,Platinum,6.6,1,39.9,51.0,95.4,5.17
125,40,0.1,Platinum,7.1,2,38.8,25.3,96.1,5.62
126,40,0.1,Platinum,7.1,3,38.3,42.7,93.2,10.29
127,40,0.1,Palladium,6.8,1,33.6,64.8,99.5,5.91
128,40,0.1,Palladium,7.6,2,30.1,39.6,89.0,6.54
129,40,0.1,Palladium,7.1,3,35.5,49.3,92.4,4.35
130,40,0.1,Nickel,6.1,1,23.4,50.5,93.8,8.79
131,40,0.1,Nickel,6.9,2,29.6,53.7,91.7,7.91
132,40,0.1,Nickel,7.1,3,25.9,44.8,93.6,8.59
133,40,0.5,None,6.3,1,27.1,55.3,92.7,7.38
134,40,0.5,None,6.9,2,31.6,52.5,84.6,8.92
135,40,0.5,None,7.2,3,36.2,64.7,80.7,8.24
136,40,0.5,Platinum,6.9,1,57.1,54.5,89.0,8.42
137,40,0.5,Platinum,7.1,2,55.0,45.5,89.7,1.28
138,40,0.5,Platinum,6.7,3,50.4,63.1,92.7,4.26
139,40,0.5,Palladium,7.6,1,42.8,48.9,88.1,4.0
140,40,0.5,Palladium,6.9,2,43.7,53.7,84.8,7.24
141,40,0.5,Palladium,6.5,3,43.1,56.7,99.2,8.22
142,40,0.5,Nickel,7.1,1,40.1,59.0,84.3,5.37
143,40,0.5,Nickel,7.2,2,48.0,59.5,81.2,9.64
144,40,0.5,Nickel,7.3,3,33.7,65.1,86.5,7.95
145,40,1.0,None,6.7,1,26.0,34.0,86.6,14.24
146,40,1.0,None,7.3,2,33.2,60.8,88.6,11.8
147,40,1.0,None,7.5,3,30.7,68.7,77.6,9.39
148,40,1.0,Platinum,7.1,1,61.1,61.0,95.7,8.34
149,40,1.0,Platinum,7.2,2,63.0,52.3,93.0,5.71
150,40,1.0,Platinum,7.1,3,54.4,58.1,91.0,3.12
151,40,1.0,Palladium,7.3,1,48.7,47.6,89.0,11.26
152,40,1.0,Palladium,6.9,2,44.8,52.4,89.7,6.8
153,40,1.0,Palladium,6.1,3,44.0,65.9,88.7,6.26
154,40,1.0,Nickel,6.5,1,45.0,58.5,85.0,9.96
155,40,1.0,Nickel,7.1,2,41.5,56.5,95.7,6.45
156,40,1.0,Nickel,7.0,3,55.5,63.0,91.9,8.93
157,40,2.0,None,7.1,1,35.0,62.0,83.3,9.75
158,40,2.0,None,6.5,2,37.9,71.9,81.9,5.75
159,40,2.0,None,8.0,3,35.1,64.5,90.7,14.52
160,40,2.0,Platinum,6.7,1,61.3,62.9,85.8,6.65
161,40,2.0,Platinum,6.9,2,64.2,63.8,98.2,12.14
162,40,2.0,Platinum,7.2,3,65.7,57.6,89.4,9.68
163,40,2.0,Palladium,6.4,1,53.7,67.7,91.5,7.53
164,40,2.0,Palladium,7.8,2,60.3,87.0,93.2,8.13
165,40,2.0,Palladium,7.0,3,47.1,45.9,85.5,9.32
166,40,2.0,Nickel,6.6,1,44.9,67.8,83.5,6.38
167,40,2.0,Nickel,7.4,2,50.1,66.0,91.7,17.09
168,40,2.0,Nickel,7.1,3,53.1,68.7,95.5,9.0
169,40,5.0,None,6.0,1,45.3,96.0,91.0,10.2
170,40,5.0,None,6.5,2,41.7,90.4,85.2,10.16
171,40,5.0,None,6.5,3,45.8,98.9,85.4,10.18
172,40,5.0,Platinum,7.4,1,61.7,110.4,97.0,9.09
173,40,5.0,Platinum,7.0,2,67.2,84.0,94.8,3.61
174,40,5.0,Platinum,6.6,3,59.4,114.9,92.2,9.48
175,40,5.0,Palladium,7.5,1,58.9,104.6,88.2,11.24
176,40,5.0,Palladium,8.3,2,58.2,82.0,93.5,8.88
177,40,5.0,Palladium,7.0,3,64.9,85.8,89.2,13.58
178,40,5.0,Nickel,7.3,1,51.6,105.2,81.8,9.77
179,40,5.0,Nickel,6.7,2,56.0,103.4,92.7,9.28
180,40,5.0,Nickel,7.5,3,58.0,107.5,86.5,11.09
181,50,0.1,None,7.5,1,21.8,46.5,86.4,11.27
182,50,0.1,None,7.1,2,16.6,51.9,85.3,15.51
183,50,0.1,None,7.3,3,14.8,53.4,89.7,12.93
184,50,0.1,Platinum,6.8,1,39.9,55.7,94.3,2.87
185,50,0.1,Platinum,7.7,2,45.5,35.9,91.6,5.2
186,50,0.1,Platinum,6.9,3,43.3,43.0,92.4,3.38
187,50,0.1,Palladium,7.6,1,39.3,53.0,93.0,8.51
188,50,0.1,Palladium,7.5,2,30.7,42.7,87.1,10.32
189,50,0.1,Palladium,6.6,3,33.3,51.0,89.3,7.62
190,50,0.1,Nickel,7.3,1,27.8,50.9,93.5,8.1
191,50,0.1,Nickel,6.5,2,28.3,47.6,89.3,9.69
192,50,0.1,Nickel,7.3,3,24.9,59.2,89.1,9.4
193,50,0.5,None,6.5,1,26.7,45.3,87.5,11.26
194,50,0.5,None,6.6,2,24.4,54.5,87.6,11.28
195,50,0.5,None,6.5,3,31.1,48.5,81.6,13.52
196,50,0.5,Platinum,7.2,1,48.3,25.8,97.1,7.24
197,50,0.5,Platinum,6.8,2,54.4,64.4,96.0,2.54
198,50,0.5,Platinum,7.4,3,56.0,47.5,99.0,7.26
199,50,0.5,Palladium,7.0,1,48.2,45.1,100,4.7
200,50,0.5,Palladium,7.1,2,39.4,61.8,94.9,13.21
201,50,0.5,Palladium,7.9,3,31.1,39.8,91.1,8.19
202,50,0.5,Nickel,8.0,1,39.8,44.5,91.2,9.71
203,50,0.5,Nickel,7.4,2,38.1,59.0,87.7,7.96
204,50,0.5,Nickel,7.2,3,38.5,65.5,86.2,6.97
205,50,1.0,None,6.7,1,28.2,73.2,78.8,16.91
206,50,1.0,None,7.1,2,35.6,49.6,88.3,15.91
207,50,1.0,None,6.8,3,32.2,52.2,84.9,12.68
208,50,1.0,Platinum,7.1,1,55.5,40.6,87.7,2.62
209,50,1.0,Platinum,6.5,2,61.3,43.1,87.7,1.52
210,50,1.0,Platinum,7.1,3,52.8,45.5,90.3,4.66
211,50,1.0,Palladium,7.1,1,56.1,47.3,96.8,7.07
212,50,1.0,Palladium,7.3,2,56.5,54.6,90.2,2.94
213,50,1.0,Palladium,7.2,3,51.7,62.4,87.2,10.92
214,50,1.0,Nickel,7.0,1,52.2,57.4,87.6,8.5
215,50,1.0,Nickel,6.8,2,35.3,74.6,85.7,3.57
216,50,1.0,Nickel,7.3,3,36.2,48.6,85.7,5.94
217,50,2.0,None,6.8,1,43.8,61.4,81.3,7.81
218,50,2.0,None,6.6,2,32.0,64.8,81.7,11.53
219,50,2.0,None,6.6,3,36.6,62.9,91.8,10.23
220,50,2.0,Platinum,6.8,1,63.2,56.1,95.3,9.36
221,50,2.0,Platinum,6.8,2,68.4,76.8,91.7,7.54
222,50,2.0,Platinum,6.5,3,58.7,75.6,89.5,6.36
223,50,2.0,Palladium,6.8,1,54.0,71.4,,4.31
224,50,2.0,Palladium,7.0,2,61.4,76.2,89.3,7.12
225,50,2.0,Palladium,7.0,3,64.4,70.8,90.8,5.89
226,50,2.0,Nickel,7.4,1,41.1,63.3,84.0,4.58
227,50,2.0,Nickel,6.2,2,55.6,64.5,87.5,2.67
228,50,2.0,Nickel,7.6,3,58.2,71.0,82.8,8.4
229,50,5.0,None,7.3,1,32.2,93.7,87.3,12.45
230,50,5.0,None,7.5,2,52.1,93.2,85.4,13.89
231,50,5.0,None,6.4,3,37.7,100.8,89.8,9.7
232,50,5.0,Platinum,7.0,1,75.1,86.6,83.4,5.28
233,50,5.0,Platinum,7.3,2,73.5,94.9,92.5,10.75
234,50,5.0,Platinum,7.2,3,77.4,95.2,93.4,6.18
235,50,5.0,Palladium,6.9,1,66.9,104.9,96.6,7.88
236,50,5.0,Palladium,7.5,2,64.6,91.9,88.4,10.94
237,50,5.0,Palladium,6.7,3,62.8,97.1,91.8,8.51
238,50,5.0,Nickel,7.2,1,56.8,112.2,90.7,13.49
239,50,5.0,Nickel,8.2,2,58.6,91.1,86.5,7.11
240,50,5.0,Nickel,6.3,3,50.8,101.6,90.2,6.82
241,60,0.1,None,7.5,1,17.9,37.6,85.2,10.15
242,60,0.1,None,7.8,2,21.0,47.4,90.9,14.52
243,60,0.1,None,7.0,3,23.5,50.7,81.3,7.11
244,60,0.1,Platinum,6.8,1,44.6,35.0,95.9,2.37
245,60,0.1,Platinum,7.7,2,49.3,43.9,93.2,3.15
246,60,0.1,Platinum,6.8,3,48.1,48.6,92.0,5.43
247,60,0.1,Palladium,6.7,1,32.3,55.0,84.3,2.48
248,60,0.1,Palladium,5.8,2,31.6,39.9,92.9,4.53
249,60,0.1,Palladium,6.3,3,39.5,52.3,91.8,9.8
250,60,0.1,Nickel,7.2,1,29.6,32.4,82.1,10.24
251,60,0.1,Nickel,7.1,2,27.4,44.0,88.1,10.58
252,60,0.1,Nickel,8.0,3,31.0,45.1,89.2,7.47
253,60,0.5,None,7.1,1,39.3,52.1,82.4,9.38
254,60,0.5,None,6.9,2,23.2,34.8,89.0,11.38
255,60,0.5,None,7.6,3,23.6,48.1,90.5,11.4
256,60,0.5,Platinum,6.1,1,55.6,37.7,90.8,12.12
257,60,0.5,Platinum,6.6,2,44.1,53.8,93.2,9.83
258,60,0.5,Platinum,7.2,3,62.9,53.7,97.4,7.59
259,60,0.5,Palladium,7.8,1,47.7,37.6,96.7,4.47
260,60,0.5,Palladium,7.3,2,43.4,31.7,93.2,3.25
261,60,0.5,Palladium,7.2,3,47.6,62.5,83.2,8.48
262,60,0.5,Nickel,6.9,1,38.2,39.4,90.9,10.14
263,60,0.5,Nickel,6.8,2,47.7,61.1,91.1,8.51
264,60,0.5,Nickel,7.2,3,37.3,48.5,87.5,4.63
265,60,1.0,None,6.6,1,39.3,61.8,82.0,6.55
266,60,1.0,None,7.0,2,31.1,36.6,81.8,11.61
267,60,1.0,None,6.5,3,37.1,41.1,90.9,10.18
268,60,1.0,Platinum,6.2,1,53.4,48.4,90.9,6.29
269,60,1.0,Platinum,6.9,2,65.7,55.8,90.0,8.39
270,60,1.0,Platinum,6.8,3,58.4,64.7,94.4,8.33
271,60,1.0,Palladium,6.0,1,48.0,55.0,87.6,7.43
272,60,1.0,Palladium,7.3,2,53.6,48.4,91.6,8.2
273,60,1.0,Palladium,6.9,3,62.4,52.7,91.3,4.3
274,60,1.0,Nickel,7.3,1,46.6,55.2,84.8,3.11
275,60,1.0,Nickel,6.8,2,48.6,54.0,80.1,10.91
276,60,1.0,Nickel,6.9,3,44.0,59.1,91.5,6.4
277,60,2.0,None,6.9,1,41.0,72.0,77.9,9.76
278,60,2.0,None,7.9,2,43.2,64.6,90.8,11.19
279,60,2.0,None,7.5,3,39.5,62.1,82.4,6.75
280,60,2.0,Platinum,7.0,1,68.0,64.6,86.2,7.53
281,60,2.0,Platinum,5.0,2,66.9,59.0,100,7.62
282,60,2.0,Platinum,7.7,3,64.3,61.8,92.9,8.21
283,60,2.0,Palladium,6.3,1,58.1,47.8,94.3,3.08
284,60,2.0,Palladium,7.5,2,52.4,61.7,90.0,7.24
285,60,2.0,Palladium,6.9,3,60.1,63.1,85.7,1.31
286,60,2.0,Nickel,6.6,1,54.5,52.0,85.8,9.14
287,60,2.0,Nickel,5.5,2,48.6,60.3,84.8,11.16
288,60,2.0,Nickel,7.2,3,51.2,71.8,83.3,13.53
289,60,5.0,None,7.6,1,51.1,89.9,80.9,14.94
290,60,5.0,None,7.3,2,42.9,77.5,81.1,6.18
291,60,5.0,None,7.7,3,49.4,88.7,89.7,15.78
292,60,5.0,Platinum,6.9,1,70.2,110.9,92.0,6.46
293,60,5.0,Platinum,6.5,2,69.0,77.4,94.5,5.55
294,60,5.0,Platinum,6.9,3,74.0,100.9,93.4,9.58
295,60,5.0,Palladium,6.6,1,64.1,80.7,90.9,10.37
296,60,5.0,Palladium,8.0,2,67.8,84.2,91.6,13.47
297,60,5.0,Palladium,6.7,3,69.9,94.6,88.5,11.96
298,60,5.0,Nickel,8.0,1,63.9,90.4,83.3,9.77
299,60,5.0,Nickel,6.7,2,60.3,88.4,83.0,4.33
300,60,5.0,Nickel,6.7,3,59.3,79.5,88.5,10.82
301,70,0.1,None,7.5,1,11.9,33.3,90.5,11.15
302,70,0.1,None,7.0,2,19.4,31.2,81.6,12.3
303,70,0.1,None,6.6,3,19.1,24.5,87.8,14.45
304,70,0.1,Platinum,,1,43.9,31.9,89.8,0
305,70,0.1,Platinum,6.7,2,47.4,46.3,92.1,0.35
306,70,0.1,Platinum,6.6,3,44.7,46.0,89.0,4.74
307,70,0.1,Palladium,7.1,1,42.6,49.6,91.7,7.18
308,70,0.1,Palladium,7.8,2,44.7,44.5,89.7,7.21
309,70,0.1,Palladium,,3,33.7,37.5,89.5,8.67
310,70,0.1,Nickel,6.5,1,28.9,54.8,91.7,8.49
311,70,0.1,Nickel,6.6,2,30.7,24.3,85.2,7.06
312,70,0.1,Nickel,6.2,3,31.1,43.3,91.2,5.64
313,70,0.5,None,7.5,1,36.9,52.5,85.7,8.95
314,70,0.5,None,7.0,2,35.7,31.8,83.4,15.3
315,70,0.5,None,6.9,3,39.9,46.1,84.0,7.26
316,70,0.5,Platinum,7.8,1,63.1,53.0,96.3,3.54
317,70,0.5,Platinum,7.3,2,49.8,30.0,92.9,6.94
318,70,0.5,Platinum,7.5,3,43.7,43.5,93.8,8.58
319,70,0.5,Palladium,6.6,1,55.4,29.9,90.2,7.7
320,70,0.5,Palladium,7.0,2,45.7,42.6,81.8,9.35
321,70,0.5,Palladium,6.8,3,44.5,43.9,86.6,6.16
322,70,0.5,Nickel,6.3,1,40.4,49.1,94.1,6.93
323,70,0.5,Nickel,7.2,2,39.8,43.4,87.2,11.99
324,70,0.5,Nickel,7.3,3,33.6,39.3,90.1,9.18
325,70,1.0,None,7.1,1,27.2,30.6,90.7,9.08
326,70,1.0,None,5.8,2,30.2,48.5,80.9,6.21
327,70,1.0,None,6.0,3,34.1,48.8,79.0,7.99
328,70,1.0,Platinum,7.0,1,65.1,41.8,84.0,4.1
329,70,1.0,Platinum,7.7,2,50.2,39.7,93.9,4.76
330,70,1.0,Platinum,6.9,3,61.3,51.7,89.1,3.74
331,70,1.0,Palladium,6.5,1,51.7,34.1,87.8,7.47
332,70,1.0,Palladium,6.3,2,50.3,59.9,92.1,2.8
333,70,1.0,Palladium,6.9,3,57.9,50.6,87.5,5.15
334,70,1.0,Nickel,7.3,1,41.2,45.1,84.1,2.83
335,70,1.0,Nickel,6.9,2,34.0,57.6,81.0,3.51
336,70,1.0,Nickel,7.5,3,49.2,70.0,89.9,10.31
337,70,2.0,None,7.7,1,28.8,75.9,88.7,11.26
338,70,2.0,None,7.2,2,37.3,56.8,77.8,12.78
339,70,2.0,None,7.1,3,41.1,78.0,92.6,11.29
340,70,2.0,Platinum,7.2,1,62.5,69.1,86.5,5.92
341,70,2.0,Platinum,7.2,2,49.8,72.3,91.2,9.33
342,70,2.0,Platinum,6.9,3,66.8,66.4,94.9,10.91
343,70,2.0,Palladium,7.3,1,58.8,69.8,88.4,7.08
344,70,2.0,Palladium,6.7,2,62.8,64.6,88.4,7.18
345,70,2.0,Palladium,7.3,3,53.6,53.4,88.3,1.67
346,70,2.0,Nickel,6.4,1,45.5,63.5,89.0,6.72
347,70,2.0,Nickel,7.8,2,46.9,68.0,91.6,14.69
348,70,2.0,Nickel,7.2,3,42.4,46.6,86.1,4.84
349,70,5.0,None,7.4,1,38.1,92.8,83.4,12.41
350,70,5.0,None,6.3,2,44.3,92.0,88.2,13.87
351,70,5.0,None,7.1,3,49.8,93.1,83.9,12.84
352,70,5.0,Platinum,,1,63.7,96.3,91.5,9.0
353,70,5.0,Platinum,6.4,2,80.3,96.6,90.6,7.65
354,70,5.0,Platinum,6.7,3,76.5,77.7,93.8,7.24
355,70,5.0,Palladium,6.5,1,58.1,99.9,87.7,10.43
356,70,5.0,Palladium,6.4,2,66.1,81.0,91.7,9.32
357,70,5.0,Palladium,7.3,3,58.9,99.2,89.5,16.09
358,70,5.0,Nickel,7.7,1,57.9,80.6,82.1,16.2
359,70,5.0,Nickel,7.3,2,62.7,101.4,92.6,12.87
360,70,5.0,Nickel,7.2,3,57.3,75.5,82.8,12.55
361,80,0.1,None,7.5,1,20.8,25.8,87.8,8.74
362,80,0.1,None,6.9,2,22.4,56.0,82.8,7.76
363,80,0.1,None,8.0,3,25.2,41.5,78.6,17.22
364,80,0.1,Platinum,7.3,1,51.4,48.7,92.8,6.88
365,80,0.1,Platinum,6.4,2,43.4,28.8,93.9,9.93
366,80,0.1,Platinum,7.1,3,49.4,33.6,82.0,5.18
367,80,0.1,Palladium,6.8,1,32.6,38.7,83.3,10.03
368,80,0.1,Palladium,7.5,2,35.9,51.2,82.7,5.07
369,80,0.1,Palladium,7.4,3,33.2,26.2,89.1,8.6
370,80,0.1,Nickel,7.3,1,33.4,26.3,88.5,4.99
371,80,0.1,Nickel,7.0,2,24.1,31.9,88.0,9.41
372,80,0.1,Nickel,7.4,3,24.4,29.7,84.8,7.16
373,80,0.5,None,7.3,1,24.7,46.9,87.1,8.51
374,80,0.5,None,7.3,2,24.2,43.0,89.7,15.6
375,80,0.5,None,7.5,3,26.7,21.5,81.7,8.36
376,80,0.5,Platinum,7.6,1,54.9,20.0,88.8,8.39
377,80,0.5,Platinum,7.7,2,53.9,43.2,92.0,3.39
378,80,0.5,Platinum,6.4,3,48.9,19.3,90.9,5.53
379,80,0.5,Palladium,7.7,1,49.7,34.9,86.0,5.17
380,80,0.5,Palladium,7.4,2,49.1,41.7,82.8,6.56
381,80,0.5,Palladium,7.0,3,48.2,49.3,90.7,11.25
382,80,0.5,Nickel,6.8,1,46.2,45.6,91.0,6.32
383,80,0.5,Nickel,6.6,2,39.2,55.4,87.9,7.14
384,80,0.5,Nickel,6.1,3,40.3,41.7,88.7,11.9
385,80,1.0,None,7.1,1,31.1,33.8,86.0,8.95
386,80,1.0,None,6.3,2,32.2,30.5,81.0,9.42
387,80,1.0,None,6.8,3,36.5,36.9,82.0,11.68
388,80,1.0,Platinum,7.6,1,59.1,24.1,94.3,5.01
389,80,1.0,Platinum,7.0,2,55.7,56.1,95.8,6.28
390,80,1.0,Platinum,6.9,3,46.3,42.1,92.6,5.92
391,80,1.0,Palladium,6.8,1,49.6,41.7,89.5,11.24
392,80,1.0,Palladium,7.1,2,51.6,32.4,90.5,6.06
393,80,1.0,Palladium,6.7,3,51.5,58.9,92.3,6.85
394,80,1.0,Nickel,7.0,1,42.9,32.8,87.5,4.2
395,80,1.0,Nickel,7.3,2,46.8,55.4,92.4,12.7
396,80,1.0,Nickel,7.4,3,46.8,53.5,90.9,11.09
397,80,2.0,None,6.6,1,36.0,58.1,,9.62
398,80,2.0,None,6.5,2,37.6,60.1,80.5,9.12
399,80,2.0,None,7.9,3,37.3,38.9,78.4,12.1
400,80,2.0,Platinum,7.4,1,56.2,60.8,99.1,4.01
401,80,2.0,Platinum,6.5,2,65.0,62.2,96.4,3.97
402,80,2.0,Platinum,7.0,3,64.1,48.7,94.1,9.71
403,80,2.0,Palladium,6.8,1,51.5,43.5,88.5,4.25
404,80,2.0,Palladium,7.2,2,45.5,70.2,95.4,12.06
405,80,2.0,Palladium,7.3,3,44.5,56.4,94.4,7.83
406,80,2.0,Nickel,6.8,1,61.0,40.8,85.6,9.41
