date,station,latitude,longitude,temp_celsius,precipitation_mm,humidity_percent,wind_speed_kmh,pressure_hpa,cloud_cover_pct
2020-01-10,STN_INLAND,36.7,-119.8,11.1,1.6,51.5,9.4,1015.3,52.0
2020-01-10,STN_COASTAL,32.7,-117.2,8.0,3.2,69.8,9.1,1014.7,50.0
2020-01-11,STN_NORTH,48.0,-122.3,4.2,0,95.2,,1015.3,73.0
2020-01-11,STN_CENTRAL,37.8,-122.4,0.6,0,55.6,16.3,1011.7,35.0
2020-01-11,STN_SOUTH,34.0,-118.2,2.3,0,50.3,8.6,1019.2,29.0
2020-01-11,STN_INLAND,36.7,-119.8,4.5,4.9,89.5,17.2,1014.7,35.0
2020-01-11,STN_COASTAL,32.7,-117.2,9.0,3.0,59.7,8.0,1010.5,62.0
2020-01-12,STN_NORTH,48.0,-122.3,1.7,0,71.7,4.4,1012.4,31.0
2020-01-12,STN_CENTRAL,37.8,-122.4,6.1,0,54.9,7.9,1002.7,18.0
2020-01-12,STN_SOUTH,34.0,-118.2,8.8,0,57.6,28.9,1018.5,58.0
2020-01-12,STN_INLAND,36.7,-119.8,8.5,0.4,75.4,9.4,1016.9,50.0
2020-01-12,STN_COASTAL,32.7,-117.2,7.3,4.6,76.7,13.7,1009.4,89.0
2020-01-13,STN_NORTH,48.0,-122.3,0.3,5.9,70.1,12.0,1010.5,83.0
2020-01-13,STN_CENTRAL,37.8,-122.4,7.1,0,73.4,6.7,1018.5,9.0
2020-01-13,STN_SOUTH,34.0,-118.2,17.3,3.6,73.7,1.0,1001.7,67.0
2020-01-13,STN_INLAND,36.7,-119.8,7.2,0,58.7,11.0,1008.8,47.0
2020-01-13,STN_COASTAL,32.7,-117.2,4.5,0.6,75.1,2.3,1017.9,78.0
2020-01-14,STN_NORTH,48.0,-122.3,-2.2,0,65.4,14.1,1011.7,7.0
2020-01-14,STN_CENTRAL,37.8,-122.4,7.4,1.2,87.5,11.8,1014.3,70.0
2020-01-14,STN_SOUTH,34.0,-118.2,6.5,0.4,76.2,16.5,1015.0,37.0
2020-01-14,STN_INLAND,36.7,-119.8,5.6,0.1,50.4,14.1,1003.6,100
2020-01-14,STN_COASTAL,32.7,-117.2,9.5,4.0,76.4,17.5,1010.0,94.0
2020-01-15,STN_NORTH,48.0,-122.3,-0.3,4.9,83.4,12.0,1010.5,42.0
2020-01-15,STN_CENTRAL,37.8,-122.4,1.4,0,70.3,14.8,1010.2,29.0
2020-01-15,STN_SOUTH,34.0,-118.2,12.3,3.2,96.6,17.7,1000.8,9.0
2020-01-15,STN_INLAND,36.7,-119.8,4.7,0,69.4,20.7,1009.5,37.0
2020-01-15,STN_COASTAL,32.7,-117.2,8.7,0,60.9,33.3,1006.2,48.0
2020-01-16,STN_NORTH,48.0,-122.3,-5.2,6.3,76.5,28.3,999.1,41.0
2020-01-16,STN_CENTRAL,37.8,-122.4,3.4,3.6,79.9,10.8,1005.3,100
2020-01-16,STN_SOUTH,34.0,-118.2,9.0,0,59.5,26.0,1016.1,39.0
2020-01-16,STN_INLAND,36.7,-119.8,3.5,0,53.4,8.6,1013.6,40.0
2020-01-16,STN_COASTAL,32.7,-117.2,9.3,0,54.5,5.9,1006.1,32.0
2020-01-17,STN_NORTH,48.0,-122.3,5.3,3.8,59.2,13.4,1013.9,59.0
2020-01-17,STN_CENTRAL,37.8,-122.4,7.5,0,55.4,10.5,1009.9,54.0
2020-01-17,STN_SOUTH,34.0,-118.2,12.5,0,40.3,12.9,1017.6,24.0
2020-01-17,STN_INLAND,36.7,-119.8,10.5,1.2,78.4,16.7,1009.5,76.0
2020-01-17,STN_COASTAL,32.7,-117.2,5.7,0,55.0,6.9,997.5,18.0
2020-01-18,STN_NORTH,48.0,-122.3,-2.0,7.4,68.0,15.4,995.7,0.0
2020-01-18,STN_CENTRAL,37.8,-122.4,4.0,0,61.7,18.2,1012.5,38.0
2020-01-18,STN_SOUTH,34.0,-118.2,9.8,0,64.3,10.7,1012.4,51.0
2020-01-18,STN_INLAND,36.7,-119.8,8.9,2.6,78.9,9.1,1013.6,56.0
2020-01-18,STN_COASTAL,32.7,-117.2,11.5,0,79.2,15.3,1013.7,21.0
2020-01-19,STN_NORTH,48.0,-122.3,2.6,0,66.5,13.1,1011.7,76.0
2020-01-19,STN_CENTRAL,37.8,-122.4,6.0,0,71.2,17.6,1010.6,32.0
2020-01-19,STN_SOUTH,34.0,-118.2,11.9,1.0,76.3,29.8,1013.7,40.0
2020-01-19,STN_INLAND,36.7,-119.8,8.2,2.9,59.5,19.8,1014.7,70.0
2020-01-19,STN_COASTAL,32.7,-117.2,8.7,0.9,67.1,15.5,1011.1,71.0
2020-01-20,STN_NORTH,48.0,-122.3,-4.2,4.6,84.8,14.9,1015.0,85.0
2020-01-20,STN_CENTRAL,37.8,-122.4,1.7,0,59.6,7.2,1006.1,39.0
2020-01-20,STN_SOUTH,34.0,-118.2,10.2,1.6,90.7,24.0,1014.6,51.0
2020-01-20,STN_INLAND,36.7,-119.8,8.2,0,51.6,15.3,1016.4,59.0
2020-01-20,STN_COASTAL,32.7,-117.2,11.5,0.0,51.5,14.3,1020.4,98.0
2020-01-21,STN_NORTH,48.0,-122.3,-10.0,,81.5,0.9,1015.5,81.0
2020-01-21,STN_CENTRAL,37.8,-122.4,7.1,0.6,66.6,21.9,1012.3,66.0
2020-01-21,STN_SOUTH,34.0,-118.2,9.3,0,79.2,7.8,1015.2,26.0
2020-01-21,STN_INLAND,36.7,-119.8,2.8,1.9,87.2,4.0,1007.6,74.0
2020-01-21,STN_COASTAL,32.7,-117.2,7.1,0,36.1,5.3,1013.0,53.0
2020-01-22,STN_NORTH,48.0,-122.3,-2.2,8.4,70.7,21.2,1005.7,38.0
2020-01-22,STN_CENTRAL,37.8,-122.4,7.9,0,56.7,0,1015.3,57.0
2020-01-22,STN_SOUTH,34.0,-118.2,7.0,0,36.0,11.9,1011.0,37.0
2020-01-22,STN_INLAND,36.7,-119.8,2.4,0,48.4,21.8,1016.4,23.0
2020-01-22,STN_COASTAL,32.7,-117.2,9.7,0,54.6,15.2,1020.3,43.0
2020-01-23,STN_NORTH,48.0,-122.3,-0.6,0,67.7,6.4,1017.4,8.0
2020-01-23,STN_CENTRAL,37.8,-122.4,2.1,0,38.3,13.6,1008.4,55.0
2020-01-23,STN_SOUTH,34.0,-118.2,13.1,3.0,65.7,29.3,1005.0,58.0
2020-01-23,STN_INLAND,36.7,-119.8,11.9,0,63.8,17.7,1012.7,45.0
2020-01-23,STN_COASTAL,32.7,-117.2,7.3,0,76.9,15.0,1004.9,36.0
2020-01-24,STN_NORTH,48.0,-122.3,-0.3,7.5,73.6,29.8,1015.5,53.0
2020-01-24,STN_CENTRAL,37.8,-122.4,6.2,4.4,58.2,4.1,1018.3,45.0
2020-01-24,STN_SOUTH,34.0,-118.2,9.5,0,73.1,12.0,1020.3,10.0
2020-01-24,STN_INLAND,36.7,-119.8,3.3,0,67.8,19.9,1008.8,39.0
2020-01-24,STN_COASTAL,32.7,-117.2,8.8,0,58.3,24.7,1015.8,12.0
2020-01-25,STN_NORTH,48.0,-122.3,0.2,3.4,72.7,20.1,1015.5,49.0
2020-01-25,STN_CENTRAL,37.8,-122.4,7.4,2.6,87.6,5.8,1017.4,61.0
2020-01-25,STN_SOUTH,34.0,-118.2,8.3,0,54.6,7.9,1014.8,47.0
2020-01-25,STN_INLAND,36.7,-119.8,4.9,0,57.4,18.2,1020.7,33.0
2020-01-25,STN_COASTAL,32.7,-117.2,9.8,0,62.8,24.7,1010.7,62.0
2020-01-26,STN_NORTH,48.0,-122.3,-1.9,0,60.2,11.5,1005.3,56.0
2020-01-26,STN_CENTRAL,37.8,-122.4,5.7,3.8,69.4,17.9,1009.3,54.0
2020-01-26,STN_SOUTH,34.0,-118.2,11.4,1.4,49.6,7.4,1016.4,78.0
2020-01-26,STN_INLAND,36.7,-119.8,6.4,2.2,74.8,16.9,1008.1,38.0
2020-01-26,STN_COASTAL,32.7,-117.2,10.8,1.6,72.5,16.9,1007.0,57.0
2020-01-27,STN_NORTH,48.0,-122.3,4.1,2.1,61.4,13.0,1018.2,56.0
2020-01-27,STN_CENTRAL,37.8,-122.4,9.1,6.9,88.8,3.4,1006.4,52.0
2020-01-27,STN_SOUTH,34.0,-118.2,13.8,0.8,77.1,14.7,1004.5,37.0
2020-01-27,STN_INLAND,36.7,-119.8,5.4,0,47.8,12.5,1019.6,29.0
2020-01-27,STN_COASTAL,32.7,-117.2,13.7,0,64.2,5.2,1018.1,58.0
2020-01-28,STN_NORTH,48.0,-122.3,6.2,2.8,42.1,4.9,999.7,83.0
2020-01-28,STN_CENTRAL,37.8,-122.4,12.8,0,84.3,16.7,1012.5,45.0
2020-01-28,STN_SOUTH,34.0,-118.2,7.3,3.7,59.6,7.5,1005.5,31.0
2020-01-28,STN_INLAND,36.7,-119.8,11.7,1.2,78.8,16.4,1012.2,68.0
2020-01-28,STN_COASTAL,32.7,-117.2,8.5,3.0,67.1,14.9,1005.2,51.0
2020-01-29,STN_NORTH,48.0,-122.3,1.2,0,74.0,22.7,1012.7,41.0
2020-01-29,STN_CENTRAL,37.8,-122.4,9.5,2.2,56.4,11.9,1004.6,75.0
2020-01-29,STN_SOUTH,34.0,-118.2,10.6,3.2,70.7,19.5,1009.6,57.0
2020-01-29,STN_INLAND,36.7,-119.8,12.8,0,70.4,10.6,1012.1,3.0
2020-01-29,STN_COASTAL,32.7,-117.2,15.4,0,66.6,4.7,1015.2,30.0
2020-01-30,STN_NORTH,48.0,-122.3,-2.9,0,60.2,18.2,1010.9,83.0
2020-01-30,STN_CENTRAL,37.8,-122.4,10.8,1.5,70.3,17.7,1011.8,64.0
2020-01-30,STN_SOUTH,34.0,-118.2,8.1,0,63.2,13.0,1012.1,24.0
2020-01-30,STN_INLAND,36.7,-119.8,6.9,,86.6,16.1,1008.3,40.0
2020-01-30,STN_COASTAL,32.7,-117.2,5.1,0,50.8,10.9,1004.9,37.0
2020-01-31,STN_NORTH,48.0,-122.3,0.2,8.3,68.2,20.9,1010.1,66.0
2020-01-31,STN_CENTRAL,37.8,-122.4,7.3,1.7,62.4,1.5,1007.2,44.0
2020-01-31,STN_SOUTH,34.0,-118.2,13.5,1.7,70.6,5.9,1012.5,58.0
2020-01-31,STN_INLAND,36.7,-119.8,9.4,0,73.8,17.3,1013.7,81.0
2020-01-31,STN_COASTAL,32.7,-117.2,1.8,0,75.6,6.9,1008.7,15.0
2020-02-01,STN_NORTH,48.0,-122.3,4.8,6.3,51.9,9.9,1014.1,70.0
2020-02-01,STN_CENTRAL,37.8,-122.4,8.7,0,52.8,18.4,1021.6,17.0
2020-02-01,STN_SOUTH,34.0,-118.2,13.6,0,62.7,8.0,1028.3,27.0
2020-02-01,STN_INLAND,36.7,-119.8,9.2,2.3,85.3,19.1,1020.0,99.0
2020-02-01,STN_COASTAL,32.7,-117.2,10.3,0,70.4,5.1,1011.1,0
2020-02-02,STN_NORTH,48.0,-122.3,2.7,4.2,100,2.4,1013.0,78.0
2020-02-02,STN_CENTRAL,37.8,-122.4,11.0,1.4,69.4,1.8,1004.6,76.0
2020-02-02,STN_SOUTH,34.0,-118.2,7.6,3.4,62.9,17.0,1001.5,47.0
2020-02-02,STN_INLAND,36.7,-119.8,10.9,0,70.2,10.5,1014.9,20.0
2020-02-02,STN_COASTAL,32.7,-117.2,4.9,1.2,41.1,13.8,1004.8,55.0
2020-02-03,STN_NORTH,48.0,-122.3,2.2,0,57.9,15.8,1007.3,32.0
2020-02-03,STN_CENTRAL,37.8,-122.4,7.3,0,64.0,4.0,1023.8,25.0
2020-02-03,STN_SOUTH,34.0,-118.2,7.9,1.5,67.3,19.0,1007.0,49.0
2020-02-03,STN_INLAND,36.7,-119.8,13.1,0,78.6,19.5,1006.3,26.0
2020-02-03,STN_COASTAL,32.7,-117.2,12.7,0,37.5,11.5,1010.8,47.0
2020-02-04,STN_NORTH,48.0,-122.3,2.3,4.2,97.6,7.8,1009.3,47.0
2020-02-04,STN_CENTRAL,37.8,-122.4,6.1,1.6,60.3,13.0,1011.7,55.0
2020-02-04,STN_SOUTH,34.0,-118.2,14.0,0,38.2,9.6,1012.9,45.0
2020-02-04,STN_INLAND,36.7,-119.8,9.7,0,54.1,24.0,1013.6,48.0
2020-02-04,STN_COASTAL,32.7,-117.2,9.2,0,55.7,14.7,1018.5,52.0
2020-02-05,STN_NORTH,48.0,-122.3,-0.3,6.5,86.9,9.5,1010.0,28.0
2020-02-05,STN_CENTRAL,37.8,-122.4,5.5,0.4,74.4,15.8,1013.0,20.0
2020-02-05,STN_SOUTH,34.0,-118.2,6.4,0,56.3,17.3,1018.4,20.0
2020-02-05,STN_INLAND,36.7,-119.8,10.0,,69.5,13.4,1003.2,59.0
2020-02-05,STN_COASTAL,32.7,-117.2,15.2,1.4,73.4,5.7,1013.4,54.0
2020-02-06,STN_NORTH,48.0,-122.3,0.9,0,79.4,11.2,1016.3,60.0
2020-02-06,STN_CENTRAL,37.8,-122.4,1.4,1.2,68.3,14.2,1003.8,50.0
2020-02-06,STN_SOUTH,34.0,-118.2,9.9,1.6,79.3,14.3,1015.2,52.0
2020-02-06,STN_INLAND,36.7,-119.8,10.9,3.4,59.6,16.6,1015.4,65.0
2020-02-06,STN_COASTAL,32.7,-117.2,7.5,0,87.1,24.2,1011.9,42.0
2020-02-07,STN_NORTH,48.0,-122.3,-0.4,0,60.6,15.4,1011.3,16.0
2020-02-07,STN_CENTRAL,37.8,-122.4,6.1,0,49.0,10.2,1012.0,52.0
2020-02-07,STN_SOUTH,34.0,-118.2,12.1,1.2,79.6,12.0,1007.3,44.0
2020-02-07,STN_INLAND,36.7,-119.8,4.0,0,68.0,12.5,1007.1,51.0
2020-02-07,STN_COASTAL,32.7,-117.2,13.7,0.4,85.7,11.5,1014.2,67.0
2020-02-08,STN_NORTH,48.0,-122.3,6.0,2.8,61.5,15.0,1012.0,69.0
2020-02-08,STN_CENTRAL,37.8,-122.4,8.4,0,71.2,6.9,1011.1,40.0
2020-02-08,STN_SOUTH,34.0,-118.2,14.5,2.6,72.3,6.6,1017.1,53.0
2020-02-08,STN_INLAND,36.7,-119.8,12.5,0.4,78.9,13.6,1028.4,82.0
2020-02-08,STN_COASTAL,32.7,-117.2,11.0,0,53.6,2.5,1010.0,24.0
2020-02-09,STN_NORTH,48.0,-122.3,-0.5,0,75.1,7.4,1014.7,8.0
2020-02-09,STN_CENTRAL,37.8,-122.4,10.3,4.8,91.8,25.4,1006.1,69.0
2020-02-09,STN_SOUTH,34.0,-118.2,10.7,0,63.1,12.3,1011.5,14.0
2020-02-09,STN_INLAND,36.7,-119.8,8.1,2.7,82.0,9.6,1004.8,74.0
2020-02-09,STN_COASTAL,32.7,-117.2,15.0,0,88.4,3.6,1010.4,48.0
2020-02-10,STN_NORTH,48.0,-122.3,3.8,3.2,100,9.0,1014.6,52.0
2020-02-10,STN_CENTRAL,37.8,-122.4,9.8,0.3,37.3,15.6,1016.6,51.0
2020-02-10,STN_SOUTH,34.0,-118.2,24.3,3.3,67.3,8.0,1014.1,52.0
2020-02-10,STN_INLAND,36.7,-119.8,7.2,0.9,91.2,13.1,1008.3,70.0
2020-02-10,STN_COASTAL,32.7,-117.2,12.7,0,82.9,11.2,1010.1,42.0
2020-02-11,STN_NORTH,48.0,-122.3,5.1,3.3,75.7,13.6,1010.5,39.0
2020-02-11,STN_CENTRAL,37.8,-122.4,8.8,1.7,64.1,2.5,1004.8,29.0
2020-02-11,STN_SOUTH,34.0,-118.2,11.8,0,39.3,18.2,1016.7,52.0
2020-02-11,STN_INLAND,36.7,-119.8,4.4,0,59.5,18.8,1020.9,0
2020-02-11,STN_COASTAL,32.7,-117.2,12.6,0,64.2,7.6,1014.4,70.0
2020-02-12,STN_NORTH,48.0,-122.3,3.3,4.5,69.0,14.6,1015.8,64.0
2020-02-12,STN_CENTRAL,37.8,-122.4,5.1,4.4,75.2,9.1,1014.6,78.0
2020-02-12,STN_SOUTH,34.0,-118.2,11.7,3.6,84.1,9.0,1016.7,66.0
2020-02-12,STN_INLAND,36.7,-119.8,16.9,,39.8,15.3,1014.6,13.0
2020-02-12,STN_COASTAL,32.7,-117.2,10.1,0,60.7,0.6,1027.5,19.0
2020-02-13,STN_NORTH,48.0,-122.3,1.4,0,91.3,18.4,1011.7,61.0
2020-02-13,STN_CENTRAL,37.8,-122.4,8.7,2.1,62.6,15.3,1006.8,79.0
2020-02-13,STN_SOUTH,34.0,-118.2,10.3,0,77.0,12.2,1024.4,1.0
2020-02-13,STN_INLAND,36.7,-119.8,7.6,0,66.6,4.6,1008.4,26.0
2020-02-13,STN_COASTAL,32.7,-117.2,8.9,4.3,83.4,11.4,1015.8,68.0
2020-02-14,STN_NORTH,48.0,-122.3,3.5,6.0,82.7,17.7,1018.9,68.0
2020-02-14,STN_CENTRAL,37.8,-122.4,11.4,0,53.2,18.6,1012.5,70.0
2020-02-14,STN_SOUTH,34.0,-118.2,12.0,1.9,63.9,13.4,1012.8,22.0
2020-02-14,STN_INLAND,36.7,-119.8,10.6,1.5,80.0,0.3,1015.6,41.0
2020-02-14,STN_COASTAL,32.7,-117.2,7.4,0,40.8,12.8,1016.0,28.0
2020-02-15,STN_NORTH,48.0,-122.3,4.3,6.3,71.0,6.3,1005.4,68.0
2020-02-15,STN_CENTRAL,37.8,-122.4,9.0,2.4,64.7,16.9,1010.4,62.0
2020-02-15,STN_SOUTH,34.0,-118.2,13.7,5.2,72.4,19.3,1016.9,43.0
2020-02-15,STN_INLAND,36.7,-119.8,12.1,0.5,36.6,10.0,1007.8,68.0
2020-02-15,STN_COASTAL,32.7,-117.2,8.5,4.4,77.2,18.5,1007.6,79.0
2020-02-16,STN_NORTH,48.0,-122.3,1.8,0,69.2,8.4,1022.6,17.0
2020-02-16,STN_CENTRAL,37.8,-122.4,7.4,4.5,83.6,7.9,1011.1,49.0
2020-02-16,STN_SOUTH,34.0,-118.2,13.1,0,100,10.0,1005.4,37.0
2020-02-16,STN_INLAND,36.7,-119.8,10.7,,74.2,18.5,1021.3,2.0
2020-02-16,STN_COASTAL,32.7,-117.2,13.5,0,70.3,9.4,1015.8,20.0
2020-02-17,STN_NORTH,48.0,-122.3,-0.8,4.2,78.1,12.7,1013.5,37.0
2020-02-17,STN_CENTRAL,37.8,-122.4,4.0,1.5,71.9,15.4,1014.9,24.0
2020-02-17,STN_SOUTH,34.0,-118.2,17.0,2.7,54.1,12.4,1016.4,23.0
2020-02-17,STN_INLAND,36.7,-119.8,11.5,0,66.8,9.3,1015.5,24.0
2020-02-17,STN_COASTAL,32.7,-117.2,18.1,3.5,66.2,8.7,1014.4,67.0
2020-02-18,STN_NORTH,48.0,-122.3,-0.6,3.5,85.0,12.9,1015.5,84.0
2020-02-18,STN_CENTRAL,37.8,-122.4,7.8,0,52.8,5.9,1007.6,24.0
2020-02-18,STN_SOUTH,34.0,-118.2,16.8,1.5,73.6,11.2,1016.9,66.0
2020-02-18,STN_INLAND,36.7,-119.8,12.8,0,79.2,4.0,1028.4,19.0
2020-02-18,STN_COASTAL,32.7,-117.2,15.3,0,41.4,13.7,1011.1,58.0
2020-02-19,STN_NORTH,48.0,-122.3,4.1,0,77.8,15.1,1019.8,47.0
2020-02-19,STN_CENTRAL,37.8,-122.4,8.0,0,80.1,14.7,1021.0,57.0
2020-02-19,STN_SOUTH,34.0,-118.2,13.2,0,82.4,19.7,1005.0,28.0
2020-02-19,STN_INLAND,36.7,-119.8,9.1,1.7,64.4,19.9,1011.6,51.0
2020-02-19,STN_COASTAL,32.7,-117.2,11.4,1.4,77.0,,1011.1,71.0
2020-02-20,STN_NORTH,48.0,-122.3,4.5,4.0,47.8,2.2,1005.2,42.0
2020-02-20,STN_CENTRAL,37.8,-122.4,5.7,0,71.1,4.9,1015.9,24.0
2020-02-20,STN_SOUTH,34.0,-118.2,14.0,0,56.4,8.9,1011.4,10.0
2020-02-20,STN_INLAND,36.7,-119.8,13.0,0,57.0,15.2,1013.5,48.0
2020-02-20,STN_COASTAL,32.7,-117.2,8.8,0.3,70.4,8.9,1018.7,74.0
2020-02-21,STN_NORTH,48.0,-122.3,0.7,0,64.9,17.6,1015.5,59.0
2020-02-21,STN_CENTRAL,37.8,-122.4,13.6,0,63.5,11.9,1005.7,29.0
2020-02-21,STN_SOUTH,34.0,-118.2,12.3,2.3,65.9,14.8,1014.8,60.0
2020-02-21,STN_INLAND,36.7,-119.8,8.8,0,63.4,14.5,1003.9,58.0
2020-02-21,STN_COASTAL,32.7,-117.2,12.2,2.8,75.0,17.9,1015.0,73.0
2020-02-22,STN_NORTH,48.0,-122.3,5.0,6.1,76.1,6.9,1007.0,49.0
2020-02-22,STN_CENTRAL,37.8,-122.4,7.3,0,72.4,5.9,1012.3,55.0
2020-02-22,STN_SOUTH,34.0,-118.2,16.3,0,63.2,14.0,1022.2,25.0
2020-02-22,STN_INLAND,36.7,-119.8,11.7,0,38.1,15.5,1013.5,15.0
2020-02-22,STN_COASTAL,32.7,-117.2,10.1,1.9,80.8,19.4,1014.3,47.0
2020-02-23,STN_NORTH,48.0,-122.3,2.4,0,70.9,8.8,1011.5,30.0
2020-02-23,STN_CENTRAL,37.8,-122.4,11.7,2.3,59.7,18.9,1008.0,53.0
2020-02-23,STN_SOUTH,34.0,-118.2,12.5,0,46.4,16.7,1004.2,67.0
2020-02-23,STN_INLAND,36.7,-119.8,12.3,0,62.8,13.7,1013.6,24.0
2020-02-23,STN_COASTAL,32.7,-117.2,14.8,0,54.7,20.8,1011.4,49.0
2020-02-24,STN_NORTH,48.0,-122.3,2.4,0,71.6,26.2,1011.3,61.0
2020-02-24,STN_CENTRAL,37.8,-122.4,10.0,0,56.7,13.7,1010.8,33.0
2020-02-24,STN_SOUTH,34.0,-118.2,12.2,0,46.0,13.8,1015.7,9.0
2020-02-24,STN_INLAND,36.7,-119.8,11.3,0,67.8,13.2,1012.0,51.0
2020-02-24,STN_COASTAL,32.7,-117.2,14.0,0.7,71.9,0,1008.5,38.0
2020-02-25,STN_NORTH,48.0,-122.3,3.6,3.4,81.9,5.1,1020.9,36.0
2020-02-25,STN_CENTRAL,37.8,-122.4,11.5,1.7,70.9,5.8,1026.1,73.0
2020-02-25,STN_SOUTH,34.0,-118.2,7.7,0,64.6,9.6,1010.9,39.0
2020-02-25,STN_INLAND,36.7,-119.8,10.6,0,50.1,14.2,1011.0,61.0
2020-02-25,STN_COASTAL,32.7,-117.2,13.4,0,65.4,11.2,1024.2,69.0
2020-02-26,STN_NORTH,48.0,-122.3,3.3,0,55.7,20.2,1020.4,21.0
2020-02-26,STN_CENTRAL,37.8,-122.4,16.5,2.9,75.8,1.7,1007.3,49.0
2020-02-26,STN_SOUTH,34.0,-118.2,13.4,1.5,64.8,7.1,1015.1,83.0
2020-02-26,STN_INLAND,36.7,-119.8,13.7,2.9,64.9,13.1,1011.1,42.0
