date,ticker,sector,open_price,close_price,daily_return,volume,market_cap_B,pe_ratio,dividend_yield,sp500_return
2024-01-04,MSFT,Technology,379.83,360.3,-0.051423,3981057,2900,28.72,0.0137,-0.025145
2024-01-04,JNJ,Healthcare,166.91,161.87,-0.030191,3378595,380,16.26,0.0089,-0.025145
2024-01-04,PFE,Healthcare,28.17,27.64,-0.018913,3910804,160,11.5,0.0045,-0.025145
2024-01-04,JPM,Financials,187.06,177.27,-0.052313,5909017,540,25.25,0.0284,-0.025145
2024-01-04,BAC,Financials,33.28,32.54,-0.022121,4247840,260,19.99,0.0165,-0.025145
2024-01-04,XOM,Energy,103.84,98.39,-0.052479,8568571,450,10.61,0.0168,-0.025145
2024-01-04,CVX,Energy,157.05,153.67,-0.021543,4762134,300,18.69,0.0144,-0.025145
2024-01-04,PG,Consumer,164.39,163.35,-0.006312,2808898,380,12.18,0.025,-0.025145
2024-01-04,KO,Consumer,61.15,61.35,0.003301,6113598,260,10.55,0.0349,-0.025145
2024-01-06,AAPL,Technology,170.81,172.48,0.009759,5153664,2800,17.1,0.0178,-0.00393
2024-01-06,MSFT,Technology,360.3,356.6,-0.010255,1585492,2900,10.71,0.0248,-0.00393
2024-01-06,JNJ,Healthcare,161.87,163.41,0.009506,7619713,380,18.08,0.0078,-0.00393
2024-01-06,PFE,Healthcare,27.64,27.0,-0.023056,4729469,160,18.35,0.036,-0.00393
2024-01-06,JPM,Financials,177.27,177.9,0.003529,4287815,540,17.8,0.0238,-0.00393
2024-01-06,BAC,Financials,32.54,31.87,-0.020449,3730885,260,29.32,0.0129,-0.00393
2024-01-06,XOM,Energy,98.39,100.0,0.01635,1144567,450,20.31,0.0311,-0.00393
2024-01-06,CVX,Energy,153.67,151.98,-0.011012,5591782,300,5.69,0.0105,-0.00393
2024-01-06,PG,Consumer,163.35,160.14,-0.019651,7016055,380,22.78,0.0257,-0.00393
2024-01-06,KO,Consumer,61.35,60.25,-0.017947,5355429,260,9.54,0.0274,-0.00393
2024-01-07,AAPL,Technology,172.48,174.96,0.014359,4823135,2800,19.22,0.0314,0.001719
2024-01-07,MSFT,Technology,356.6,371.93,0.042983,3684256,2900,22.03,0.0255,0.001719
2024-01-07,JNJ,Healthcare,163.41,160.37,-0.018632,2325846,380,44.11,0.0153,0.001719
2024-01-07,PFE,Healthcare,27.0,26.19,-0.03018,3954050,160,30.92,0.0337,0.001719
2024-01-07,JPM,Financials,177.9,174.77,-0.01762,4550021,540,24.05,0.0127,0.001719
2024-01-07,BAC,Financials,31.87,31.48,-0.012146,1416074,260,11.4,0.0346,0.001719
2024-01-07,XOM,Energy,100.0,99.35,-0.006533,7070787,450,30.06,0.0318,0.001719
2024-01-07,CVX,Energy,151.98,148.38,-0.023688,3552663,300,24.43,0.0295,0.001719
2024-01-07,PG,Consumer,160.14,157.38,-0.01723,6676110,380,28.68,0.0218,0.001719
2024-01-07,KO,Consumer,60.25,59.76,-0.008062,3725777,260,23.77,0.032,0.001719
2024-01-09,AAPL,Technology,174.96,179.6,0.026549,6297864,2800,15.62,0.0284,0.005306
2024-01-09,MSFT,Technology,371.93,374.2,0.006114,4873686,2900,33.86,0.0156,0.005306
2024-01-09,JNJ,Healthcare,160.37,162.45,0.012957,5805026,380,21.12,0.0105,0.005306
2024-01-09,PFE,Healthcare,26.19,26.15,-0.00159,6654300,160,23.34,0.0139,0.005306
2024-01-09,JPM,Financials,174.77,172.45,-0.013297,6881559,540,32.23,0.0301,0.005306
2024-01-09,BAC,Financials,31.48,31.98,0.01591,5114647,260,23.6,0.0155,0.005306
2024-01-09,XOM,Energy,99.35,103.13,0.038001,3004041,450,16.83,0.0205,0.005306
2024-01-09,CVX,Energy,148.38,151.4,0.020332,3757298,300,25.98,0.019,0.005306
2024-01-09,PG,Consumer,157.38,157.14,-0.001507,100000,380,21.81,0.0208,0.005306
2024-01-09,KO,Consumer,59.76,59.7,-0.001039,4298841,260,17.26,0.015,0.005306
2024-01-10,AAPL,Technology,179.6,178.51,-0.006048,6204166,2800,20.57,0.0005,-0.010658
2024-01-10,MSFT,Technology,374.2,375.51,0.003494,6028912,2900,16.41,0.0266,-0.010658
2024-01-10,JNJ,Healthcare,162.45,165.59,0.019318,4487627,380,19.5,0.0386,-0.010658
2024-01-10,PFE,Healthcare,26.15,26.04,-0.004361,2334526,160,24.13,0.0173,-0.010658
2024-01-10,JPM,Financials,172.45,167.86,-0.026624,4333161,540,24.49,0.0253,-0.010658
2024-01-10,BAC,Financials,31.98,31.64,-0.010609,3209665,260,23.17,0.0189,-0.010658
2024-01-10,XOM,Energy,103.13,100.26,-0.027833,6496432,450,12.98,0.0201,-0.010658
2024-01-10,CVX,Energy,151.4,149.97,-0.009435,5139712,300,24.22,0.0313,-0.010658
2024-01-10,PG,Consumer,157.14,152.23,-0.031226,3449431,380,20.92,0.0247,-0.010658
2024-01-10,KO,Consumer,59.7,60.27,0.009588,8576753,260,30.21,0.0217,-0.010658
2024-01-12,AAPL,Technology,178.51,181.33,0.015789,5800547,2800,30.51,0.0141,0.009102
2024-01-12,MSFT,Technology,375.51,386.05,0.028069,7077755,2900,14.77,0.0303,0.009102
2024-01-12,JNJ,Healthcare,165.59,167.32,0.010475,5084645,380,25.32,0.0131,0.009102
2024-01-12,PFE,Healthcare,26.04,27.01,0.037259,100000,160,23.16,0.0188,0.009102
2024-01-12,JPM,Financials,167.86,170.54,0.015959,2961210,540,27.5,0.0292,0.009102
2024-01-12,BAC,Financials,31.64,31.89,0.007934,5224156,260,26.6,0.0172,0.009102
2024-01-12,XOM,Energy,100.26,99.79,-0.004726,8357040,450,17.03,0.024,0.009102
2024-01-12,CVX,Energy,149.97,151.42,0.009664,1770887,300,28.5,0.0157,0.009102
2024-01-12,PG,Consumer,152.23,156.32,0.026836,4526649,380,24.29,0.0077,0.009102
2024-01-12,KO,Consumer,60.27,61.94,0.027663,4728228,260,22.1,0.0165,0.009102
2024-01-13,AAPL,Technology,181.33,184.35,0.016628,5812752,2800,25.26,0.0185,-0.000202
2024-01-13,MSFT,Technology,386.05,386.63,0.001507,7514388,2900,27.23,0.0239,-0.000202
2024-01-13,JNJ,Healthcare,167.32,168.45,0.006727,4868878,380,27.89,0.0281,-0.000202
2024-01-13,PFE,Healthcare,27.01,27.49,0.017828,2956526,160,38.11,0.0237,-0.000202
2024-01-13,JPM,Financials,170.54,170.78,0.001409,1513606,540,26.96,0.0257,-0.000202
2024-01-13,BAC,Financials,31.89,31.06,-0.025995,2273095,260,31.18,0.0305,-0.000202
2024-01-13,XOM,Energy,99.79,98.07,-0.01725,217840,450,19.95,0.0306,-0.000202
2024-01-13,CVX,Energy,151.42,154.61,0.021078,5003320,300,18.98,0.0385,-0.000202
2024-01-13,PG,Consumer,156.32,155.23,-0.006961,7850662,380,22.41,0.0188,-0.000202
2024-01-13,KO,Consumer,61.94,61.46,-0.007761,2756483,260,21.69,0.0134,-0.000202
2024-01-15,AAPL,Technology,184.35,182.77,-0.00856,2505905,2800,29.47,0.0152,0.01082
2024-01-15,MSFT,Technology,386.63,388.75,0.005479,2875015,2900,9.48,0.0163,0.01082
2024-01-15,JNJ,Healthcare,168.45,169.61,0.006908,6080859,380,19.03,0.0127,0.01082
2024-01-15,PFE,Healthcare,27.49,27.77,0.010042,3247942,160,12.31,0.0247,0.01082
2024-01-15,JPM,Financials,170.78,170.29,-0.002858,3785591,540,22.79,0.0264,0.01082
2024-01-15,BAC,Financials,31.06,31.93,0.027951,8086294,260,21.64,0.0224,0.01082
2024-01-15,XOM,Energy,98.07,99.98,0.019519,5654693,450,12.23,0.0228,0.01082
2024-01-15,CVX,Energy,154.61,157.02,0.015582,6398096,300,35.84,0.0289,0.01082
2024-01-15,PG,Consumer,155.23,159.0,0.024265,7040615,380,16.92,0.0043,0.01082
2024-01-15,KO,Consumer,61.46,63.08,0.026382,2741554,260,24.13,0.0234,0.01082
2024-01-16,AAPL,Technology,182.77,179.94,-0.015466,5216157,2800,5,0.0285,-0.011925
2024-01-16,MSFT,Technology,388.75,373.2,-0.040009,7177543,2900,25.94,0.0356,-0.011925
2024-01-16,JNJ,Healthcare,169.61,165.61,-0.023567,8034053,380,12.63,0.0244,-0.011925
2024-01-16,PFE,Healthcare,27.77,27.53,-0.008591,6173244,160,11.22,0.018,-0.011925
2024-01-16,JPM,Financials,170.29,166.53,-0.022079,4782042,540,25.35,0.0059,-0.011925
2024-01-16,BAC,Financials,31.93,31.36,-0.01777,3425252,260,30.4,0.0153,-0.011925
2024-01-16,XOM,Energy,99.98,99.54,-0.004363,3024074,450,,0.0261,-0.011925
2024-01-16,CVX,Energy,157.02,155.72,-0.008296,6400073,300,21.31,0.0191,-0.011925
2024-01-16,PG,Consumer,159.0,159.37,0.002336,6728039,380,35.7,0.0082,-0.011925
2024-01-16,KO,Consumer,63.08,61.4,-0.02669,3831181,260,17.23,0.0144,-0.011925
2024-01-18,AAPL,Technology,179.94,184.99,0.028092,5451307,2800,32.62,0.0208,0.016483
2024-01-18,MSFT,Technology,373.2,378.93,0.015362,2140383,2900,16.77,0.0392,0.016483
2024-01-18,JNJ,Healthcare,165.61,164.24,-0.008296,3629691,380,17.12,0.0213,0.016483
2024-01-18,PFE,Healthcare,27.53,28.09,0.020318,7071928,160,16.19,0.0108,0.016483
2024-01-18,JPM,Financials,166.53,174.07,0.045251,3330588,540,24.18,0.0366,0.016483
2024-01-18,BAC,Financials,31.36,32.45,0.034816,2014802,260,21.71,0.0191,0.016483
2024-01-18,XOM,Energy,99.54,101.87,0.02336,3943160,450,8.55,0.0283,0.016483
2024-01-18,CVX,Energy,155.72,157.66,0.012457,8944119,300,38.33,0.0132,0.016483
2024-01-18,PG,Consumer,159.37,161.27,0.011914,5037413,380,19.67,0.0283,0.016483
2024-01-18,KO,Consumer,61.4,60.46,-0.015243,6588859,260,29.91,0.0437,0.016483
2024-01-19,AAPL,Technology,184.99,187.01,0.010925,1707960,2800,8.72,0.0215,0.000649
2024-01-19,MSFT,Technology,378.93,383.69,0.012565,4711272,2900,22.27,0.0212,0.000649
2024-01-19,JNJ,Healthcare,164.24,162.5,-0.010586,4339625,380,22.12,0.0078,0.000649
2024-01-19,PFE,Healthcare,28.09,28.52,0.015311,6676057,160,18.48,0.0294,0.000649
2024-01-19,JPM,Financials,174.07,171.97,-0.012086,8485712,540,13.22,0.0409,0.000649
2024-01-19,BAC,Financials,32.45,32.71,0.007986,100000,260,27.59,0.0071,0.000649
2024-01-19,XOM,Energy,101.87,102.06,0.001846,4566226,450,12.78,0.0121,0.000649
2024-01-19,CVX,Energy,157.66,158.28,0.003914,3042206,300,26.3,0.0207,0.000649
2024-01-19,PG,Consumer,161.27,159.65,-0.010047,6901645,380,19.0,0.0103,0.000649
2024-01-19,KO,Consumer,60.46,61.02,0.009321,5849401,260,14.24,0.0177,0.000649
2024-01-20,AAPL,Technology,187.01,185.06,-0.010438,6106235,2800,26.28,0.0188,-0.000738
2024-01-20,MSFT,Technology,383.69,379.52,-0.010859,10419743,2900,27.28,0.0134,-0.000738
2024-01-20,JNJ,Healthcare,162.5,161.12,-0.008518,3457725,380,30.21,0.0172,-0.000738
2024-01-20,PFE,Healthcare,28.52,28.3,-0.007631,6041806,160,8.51,0.0241,-0.000738
2024-01-20,JPM,Financials,171.97,171.73,-0.001388,5538994,540,32.34,0,-0.000738
2024-01-20,BAC,Financials,32.71,32.37,-0.01031,4447218,260,14.4,0.0342,-0.000738
2024-01-20,XOM,Energy,102.06,100.19,-0.018305,8111604,450,27.08,0.0264,-0.000738
2024-01-20,CVX,Energy,158.28,159.49,0.007672,3962930,300,18.41,0.0212,-0.000738
2024-01-20,PG,Consumer,159.65,159.96,0.001972,5867619,380,13.78,0.0402,-0.000738
2024-01-20,KO,Consumer,61.02,61.3,0.004662,5354682,260,25.22,0.013,-0.000738
2024-01-22,AAPL,Technology,185.06,183.73,-0.007175,7905119,2800,22.13,0.0207,-0.006348
2024-01-22,MSFT,Technology,379.52,395.34,0.041673,8696713,2900,12.94,0.0409,-0.006348
2024-01-22,JNJ,Healthcare,161.12,161.87,0.004634,6338303,380,8.05,0.0282,-0.006348
2024-01-22,PFE,Healthcare,28.3,28.87,0.02029,5981383,160,25.78,0.0046,-0.006348
2024-01-22,JPM,Financials,171.73,167.8,-0.022864,4171790,540,25.4,0.0164,-0.006348
2024-01-22,BAC,Financials,32.37,32.21,-0.005,4844748,260,17.26,0.0323,-0.006348
2024-01-22,XOM,Energy,100.19,100.0,-0.001927,8381235,450,17.87,0.0041,-0.006348
2024-01-22,CVX,Energy,159.49,158.38,-0.006961,3353432,300,5.26,0.0396,-0.006348
2024-01-22,PG,Consumer,159.96,160.38,0.002636,3920965,380,31.1,0.022,-0.006348
2024-01-22,KO,Consumer,61.3,60.8,-0.008133,5626996,260,21.81,0.0115,-0.006348
2024-01-23,AAPL,Technology,183.73,186.22,0.013574,3292780,2800,30.99,0.0138,0.007972
2024-01-23,MSFT,Technology,395.34,400.51,0.013076,6604183,2900,12.81,0.015,0.007972
2024-01-23,JNJ,Healthcare,161.87,163.89,0.012478,3716119,380,19.57,0.0341,0.007972
2024-01-23,PFE,Healthcare,28.87,28.44,-0.014787,3535081,160,28.34,0.0173,0.007972
2024-01-23,JPM,Financials,167.8,169.98,0.013003,7336177,540,16.88,0.0178,0.007972
2024-01-23,BAC,Financials,32.21,33.02,0.025114,2220360,260,14.67,0.0036,0.007972
2024-01-23,XOM,Energy,100.0,101.5,0.015014,7089566,450,18.84,0.0265,0.007972
2024-01-23,CVX,Energy,158.38,164.2,0.036764,4743006,300,5,0.0256,0.007972
2024-01-23,PG,Consumer,160.38,155.89,-0.028021,3941018,380,18.0,0.0188,0.007972
2024-01-23,KO,Consumer,60.8,63.1,0.037823,8141886,260,18.32,0.03,0.007972
2024-01-25,AAPL,Technology,186.22,185.58,-0.003447,4409246,2800,20.05,0.0085,-0.002913
2024-01-25,MSFT,Technology,400.51,398.58,-0.004818,5006820,2900,18.35,0.0142,-0.002913
2024-01-25,JNJ,Healthcare,163.89,164.76,0.00529,5609261,380,22.58,0.0224,-0.002913
2024-01-25,PFE,Healthcare,28.44,27.76,-0.02379,4521103,160,30.71,0.0364,-0.002913
2024-01-25,JPM,Financials,169.98,164.87,-0.030064,10236984,540,21.54,0.0147,-0.002913
2024-01-25,BAC,Financials,33.02,32.75,-0.008079,1883646,260,12.71,0.0254,-0.002913
2024-01-25,XOM,Energy,101.5,102.5,0.009896,8360944,450,7.67,0.0119,-0.002913
2024-01-25,CVX,Energy,164.2,166.52,0.014118,6108749,300,19.06,0.0249,-0.002913
2024-01-25,PG,Consumer,155.89,153.1,-0.017902,5128843,380,38.52,0.0236,-0.002913
2024-01-25,KO,Consumer,63.1,62.27,-0.013186,2656625,260,17.22,0.0249,-0.002913
2024-01-26,AAPL,Technology,185.58,190.94,0.028859,5515161,2800,16.39,0.0226,0.0086
2024-01-26,MSFT,Technology,398.58,398.66,0.000203,3504121,2900,31.15,0.0426,0.0086
2024-01-26,JNJ,Healthcare,164.76,166.61,0.011215,1964398,380,29.99,0.0143,0.0086
2024-01-26,PFE,Healthcare,27.76,27.95,0.0069,6606934,160,29.03,0.0149,0.0086
2024-01-26,JPM,Financials,164.87,170.26,0.032709,9324458,540,25.56,0.0373,0.0086
2024-01-26,BAC,Financials,32.75,33.48,0.022318,4703306,260,19.57,0.0089,0.0086
2024-01-26,XOM,Energy,102.5,106.17,0.035763,4951883,450,24.18,0.0125,0.0086
2024-01-26,CVX,Energy,166.52,171.28,0.028576,5891536,300,9.2,0.0271,0.0086
2024-01-26,PG,Consumer,153.1,150.98,-0.013839,4422080,380,20.74,0.0364,0.0086
2024-01-26,KO,Consumer,62.27,63.68,0.022657,4993603,260,10.01,,0.0086
2024-01-28,AAPL,Technology,190.94,196.81,0.030768,5291195,2800,15.72,0.028,0.012475
2024-01-28,MSFT,Technology,398.66,407.92,0.023239,3318498,2900,20.32,0.0123,0.012475
2024-01-28,JNJ,Healthcare,166.61,170.88,0.025603,4796855,380,13.8,0.0154,0.012475
2024-01-28,PFE,Healthcare,27.95,28.11,0.005787,5675108,160,22.91,0.015,0.012475
2024-01-28,JPM,Financials,170.26,169.77,-0.002868,5220918,540,31.09,0.0155,0.012475
2024-01-28,BAC,Financials,33.48,34.23,0.022374,6449752,260,27.33,0.0204,0.012475
2024-01-28,XOM,Energy,106.17,106.52,0.003294,5054092,450,17.77,0.0235,0.012475
2024-01-28,CVX,Energy,171.28,171.62,0.001986,4462320,300,20.5,0.0116,0.012475
2024-01-28,PG,Consumer,150.98,156.8,0.038552,8211788,380,30.23,0.0191,0.012475
2024-01-28,KO,Consumer,63.68,64.2,0.008136,7012065,260,14.1,0.0421,0.012475
2024-01-29,AAPL,Technology,196.81,200.8,0.020292,1899374,2800,23.07,0.0183,-0.006733
2024-01-29,MSFT,Technology,407.92,413.79,0.014392,4646587,2900,23.4,0.0297,-0.006733
2024-01-29,JNJ,Healthcare,170.88,168.18,-0.015805,5691485,380,,0.0115,-0.006733
2024-01-29,PFE,Healthcare,28.11,27.63,-0.017171,910902,160,22.8,0.022,-0.006733
2024-01-29,JPM,Financials,169.77,168.51,-0.007437,8894306,540,28.29,0.0211,-0.006733
2024-01-29,BAC,Financials,34.23,33.86,-0.010829,2690725,260,24.31,0.0219,-0.006733
2024-01-29,XOM,Energy,106.52,104.63,-0.017707,5289991,450,20.39,0.0217,-0.006733
2024-01-29,CVX,Energy,171.62,165.23,-0.03723,7345617,300,18.31,0.0175,-0.006733
2024-01-29,PG,Consumer,156.8,155.86,-0.005976,4179321,380,30.98,,-0.006733
2024-01-29,KO,Consumer,64.2,62.99,-0.018817,6838227,260,26.37,0.0195,-0.006733
2024-01-31,AAPL,Technology,200.8,199.83,-0.004848,6912583,2800,20.36,0.0341,-0.011277
2024-01-31,MSFT,Technology,413.79,415.53,0.004194,6372223,2900,42.04,0.0276,-0.011277
2024-01-31,JNJ,Healthcare,168.18,168.56,0.002238,4273539,380,6.6,0.0081,-0.011277
2024-01-31,PFE,Healthcare,27.63,27.69,0.002135,7100505,160,19.18,0.0182,-0.011277
2024-01-31,JPM,Financials,168.51,166.55,-0.011603,607034,540,5.48,0.0172,-0.011277
2024-01-31,BAC,Financials,33.86,34.64,0.023068,5128371,260,21.05,0.0241,-0.011277
2024-01-31,XOM,Energy,104.63,102.49,-0.020463,4391483,450,28.0,0.0044,-0.011277
2024-01-31,CVX,Energy,165.23,163.23,-0.012084,4152918,300,22.9,0.0247,-0.011277
2024-01-31,PG,Consumer,155.86,151.24,-0.029638,7504776,380,15.74,0.0159,-0.011277
2024-01-31,KO,Consumer,62.99,62.59,-0.006275,4770317,260,5,0.0174,-0.011277
2024-02-01,AAPL,Technology,199.83,203.91,0.020426,2090108,2800,27.27,0.0068,-0.001532
2024-02-01,MSFT,Technology,415.53,392.43,-0.055596,7350917,2900,26.16,0.0161,-0.001532
2024-02-01,JNJ,Healthcare,168.56,166.76,-0.01067,5005007,380,23.84,0.0224,-0.001532
2024-02-01,PFE,Healthcare,27.69,26.95,-0.026863,4286200,160,20.67,0.0192,-0.001532
2024-02-01,JPM,Financials,166.55,163.91,-0.015852,3453433,540,15.63,0.0164,-0.001532
2024-02-01,BAC,Financials,34.64,34.48,-0.004754,7189620,260,9.51,0.0347,-0.001532
2024-02-01,XOM,Energy,102.49,104.37,0.01833,1787569,450,18.82,0.0101,-0.001532
2024-02-01,CVX,Energy,163.23,164.12,0.005425,3116706,300,27.52,0.0057,-0.001532
2024-02-01,PG,Consumer,151.24,152.03,0.005255,5748527,380,22.86,0.0161,-0.001532
2024-02-01,KO,Consumer,62.59,61.34,-0.020023,6584068,260,15.52,0.0153,-0.001532
2024-02-03,AAPL,Technology,203.91,203.8,-0.000553,6794216,2800,5.53,0.0006,-0.003638
2024-02-03,MSFT,Technology,392.43,383.75,-0.022106,7531099,2900,20.77,0.0281,-0.003638
2024-02-03,JNJ,Healthcare,166.76,167.22,0.002755,6330007,380,19.91,0.0365,-0.003638
2024-02-03,PFE,Healthcare,26.95,26.4,-0.020315,2337721,160,14.14,0.0248,-0.003638
2024-02-03,JPM,Financials,163.91,166.24,0.014245,8486888,540,26.92,0.0018,-0.003638
2024-02-03,BAC,Financials,34.48,34.81,0.009634,3480357,260,26.93,0.0393,-0.003638
2024-02-03,XOM,Energy,104.37,106.24,0.017953,6284632,450,21.89,0.0126,-0.003638
2024-02-03,CVX,Energy,164.12,164.47,0.002158,5847117,300,12.29,0.0079,-0.003638
2024-02-03,PG,Consumer,152.03,151.61,-0.002795,5215339,380,30.59,0.0206,-0.003638
2024-02-03,KO,Consumer,61.34,61.36,0.000387,7962844,260,38.04,0.0117,-0.003638
2024-02-04,AAPL,Technology,203.8,205.89,0.01027,3908283,2800,16.81,0.0341,0.002897
2024-02-04,MSFT,Technology,383.75,394.82,0.028856,4197812,2900,23.15,0.0109,0.002897
2024-02-04,JNJ,Healthcare,167.22,165.84,-0.00823,4684908,380,31.94,0.0134,0.002897
2024-02-04,PFE,Healthcare,26.4,26.29,-0.004287,4813436,160,37.14,0.0066,0.002897
2024-02-04,JPM,Financials,166.24,163.98,-0.013618,4855092,540,40.1,0.0158,0.002897
2024-02-04,BAC,Financials,34.81,34.92,0.003218,5392128,260,13.98,0.0206,0.002897
2024-02-04,XOM,Energy,106.24,107.24,0.009434,3204786,450,14.77,0.0439,0.002897
2024-02-04,CVX,Energy,164.47,166.07,0.009752,3994088,300,19.06,0.0265,0.002897
2024-02-04,PG,Consumer,151.61,151.37,-0.001563,7050145,380,10.66,0.0224,0.002897
2024-02-04,KO,Consumer,61.36,62.09,0.011976,5598712,260,20.51,0.0178,0.002897
2024-02-06,AAPL,Technology,205.89,206.57,0.003322,6059122,2800,24.19,0.0246,0.008303
2024-02-06,MSFT,Technology,394.82,404.12,0.023563,6088967,2900,13.48,0.0147,0.008303
2024-02-06,JNJ,Healthcare,165.84,170.59,0.02865,2371321,380,32.28,0.0255,0.008303
2024-02-06,PFE,Healthcare,26.29,25.95,-0.013067,720340,160,16.54,0.016,0.008303
2024-02-06,JPM,Financials,163.98,167.71,0.022721,8294791,540,22.84,0.0213,0.008303
2024-02-06,BAC,Financials,34.92,34.63,-0.008275,2110206,260,23.34,0.0321,0.008303
2024-02-06,XOM,Energy,107.24,109.29,0.019093,7678595,450,5.57,0.0331,0.008303
2024-02-06,CVX,Energy,166.07,169.14,0.018505,6824526,300,33.18,,0.008303
2024-02-06,PG,Consumer,151.37,155.58,0.027825,6379463,380,29.5,0.0349,0.008303
2024-02-06,KO,Consumer,62.09,61.73,-0.00586,2485125,260,20.49,0.0067,0.008303
2024-02-07,AAPL,Technology,206.57,202.68,-0.018815,4671308,2800,13.56,0.0368,-0.003487
2024-02-07,MSFT,Technology,404.12,408.8,0.01157,6071766,2900,28.01,0.0192,-0.003487
2024-02-07,JNJ,Healthcare,170.59,165.65,-0.028976,3120407,380,10.1,0.0239,-0.003487
2024-02-07,PFE,Healthcare,25.95,26.36,0.015897,4455030,160,23.45,0.04,-0.003487
2024-02-07,JPM,Financials,167.71,166.92,-0.004704,3212529,540,15.33,0.0137,-0.003487
2024-02-07,BAC,Financials,34.63,34.78,0.004349,6724215,260,26.72,0.0118,-0.003487
2024-02-07,XOM,Energy,109.29,107.64,-0.015107,2831803,450,27.78,0.0238,-0.003487
2024-02-07,CVX,Energy,169.14,172.49,0.019803,7164787,300,10.28,0.0191,-0.003487
2024-02-07,PG,Consumer,155.58,155.75,0.001061,3978489,380,9.91,0.0134,-0.003487
2024-02-07,KO,Consumer,61.73,61.78,0.000842,1982303,260,14.84,0.0232,-0.003487
2024-02-08,AAPL,Technology,202.68,201.53,-0.005688,7079666,2800,11.39,0.0264,-0.005508
2024-02-08,MSFT,Technology,408.8,415.67,0.016793,4438050,2900,16.73,0.021,-0.005508
2024-02-08,JNJ,Healthcare,165.65,160.29,-0.032354,3651914,380,9.19,0.0193,-0.005508
2024-02-08,PFE,Healthcare,26.36,25.74,-0.02359,4138734,160,20.53,0.0208,-0.005508
2024-02-08,JPM,Financials,166.92,163.76,-0.018928,6228578,540,33.63,0.0193,-0.005508
2024-02-08,BAC,Financials,34.78,34.26,-0.014985,6664428,260,22.04,0.0242,-0.005508
2024-02-08,XOM,Energy,107.64,105.89,-0.01622,6253275,450,26.88,0.0199,-0.005508
2024-02-08,CVX,Energy,172.49,167.92,-0.026505,3549959,300,14.27,0.0198,-0.005508
2024-02-08,PG,Consumer,155.75,153.63,-0.013588,6461049,380,16.35,0.0316,-0.005508
2024-02-08,KO,Consumer,61.78,62.85,0.017354,9108737,260,16.39,0.0245,-0.005508
2024-02-10,AAPL,Technology,201.53,202.35,0.004051,1678891,2800,17.71,0.0307,-0.00045
2024-02-10,MSFT,Technology,415.67,419.86,0.01008,5686395,2900,18.36,0.0131,-0.00045
2024-02-10,JNJ,Healthcare,160.29,156.3,-0.024865,3962520,380,31.4,0.0461,-0.00045
2024-02-10,PFE,Healthcare,25.74,25.75,0.000457,5070111,160,23.75,0.0257,-0.00045
2024-02-10,JPM,Financials,163.76,164.86,0.006731,4267391,540,9.32,0.0113,-0.00045
2024-02-10,BAC,Financials,34.26,34.11,-0.004304,2663993,260,8.98,0.0111,-0.00045
2024-02-10,XOM,Energy,105.89,105.71,-0.001735,7775895,450,10.79,0.0274,-0.00045
2024-02-10,CVX,Energy,167.92,171.03,0.018523,3389682,300,20.92,0.0092,-0.00045
2024-02-10,PG,Consumer,153.63,149.51,-0.026812,3846132,380,13.3,0.0101,-0.00045
2024-02-10,KO,Consumer,62.85,62.91,0.000895,5810238,260,30.15,0.0189,-0.00045
