transaction_id,customer_id,date,hour,day_of_week,amount,category,merchant_type,is_international,is_fraud
54,1795,2024-05-04,8,5,56.41,Dining,POS,0,0
55,1930,2024-01-29,14,0,37.03,Dining,POS,0,0
56,1089,2024-06-04,6,1,276.76,Travel,POS,0,0
57,1878,2024-02-06,18,1,100.99,Entertainment,POS,0,0
58,1550,2024-02-23,9,4,87.41,Utilities,Online,0,0
59,1485,2024-06-13,19,3,9.36,Entertainment,Online,0,0
60,1020,2024-01-01,3,0,69.47,Retail,Online,0,0
61,1164,2024-05-01,19,2,443.35,Travel,POS,0,0
62,1037,2024-05-04,1,5,37.17,Dining,POS,1,0
63,1187,2024-03-11,19,0,24.48,Utilities,Online,0,0
64,1027,2024-03-02,13,5,474.19,Travel,POS,0,0
65,1884,2024-04-22,9,0,79.08,Electronics,Online,0,0
66,1954,2024-01-19,8,4,33.0,Dining,POS,0,0
67,1184,2024-04-10,19,2,179.79,Healthcare,Online,0,0
68,1260,2024-06-07,16,4,36.44,Retail,POS,0,0
69,1334,2024-02-07,20,2,53.18,Entertainment,POS,0,0
70,1159,2024-04-11,19,3,133.03,Healthcare,Online,0,0
71,1732,2024-04-05,6,4,94.19,Utilities,Online,0,0
72,1152,2024-01-08,4,0,35.1,Dining,POS,0,0
73,1328,2024-06-19,7,2,1,Retail,POS,0,0
74,1547,2024-01-05,15,4,28.6,Healthcare,POS,0,0
75,1938,2024-05-01,22,2,55.16,Retail,POS,0,0
76,1058,2024-06-18,12,1,26.28,Groceries,POS,0,0
77,1114,2024-04-11,18,3,39.27,Dining,Online,0,0
78,1958,2024-06-15,21,5,350.36,Travel,Online,0,0
79,1824,2024-06-08,19,5,,Dining,POS,0,0
80,1572,2024-03-16,11,5,49.75,Utilities,Online,0,0
81,1396,2024-02-23,12,4,125.05,Healthcare,POS,0,0
82,1181,2024-06-11,7,1,39.73,Entertainment,POS,0,0
83,1897,2024-03-27,20,2,49.36,Retail,POS,0,0
84,1316,2024-01-08,11,0,127.57,Healthcare,POS,0,0
85,1073,2024-01-24,23,2,113.4,Healthcare,POS,0,0
86,1460,2024-01-15,15,0,149.77,Healthcare,POS,0,0
87,1647,2024-01-18,19,3,10.18,Groceries,Online,0,0
88,1289,2024-02-19,20,0,33.47,Groceries,Online,1,0
89,1819,2024-04-05,11,4,55.49,Groceries,Online,0,0
90,1438,2024-05-22,14,2,41.78,Utilities,POS,0,0
91,1924,2024-04-19,19,4,57.71,Groceries,ATM,0,0
92,1447,2024-06-05,18,2,25.48,Healthcare,POS,1,0
93,1168,2024-03-29,9,4,194.17,Electronics,POS,0,0
94,1519,2024-04-14,17,6,31.88,Entertainment,POS,0,0
95,1326,2024-06-02,13,6,668.12,Travel,POS,1,0
96,1155,2024-05-28,17,1,37.42,Travel,ATM,0,0
97,1639,2024-05-29,1,2,39.52,Dining,POS,1,0
98,1004,2024-01-19,15,4,159.71,Healthcare,POS,0,0
99,1394,2024-05-14,8,1,41.42,Groceries,POS,0,0
100,1283,2024-03-05,12,1,85.88,Retail,POS,1,0
101,1167,2024-04-30,9,1,67.93,Healthcare,POS,0,0
102,1233,2024-06-16,14,6,60.3,Healthcare,POS,0,0
103,1418,2024-05-13,11,0,78.85,Utilities,POS,0,0
104,1714,2024-05-21,8,1,1,Utilities,POS,0,0
105,1161,2024-02-14,20,2,18.76,Dining,POS,1,0
106,1228,2024-04-20,6,5,12.79,Entertainment,POS,1,0
107,1169,2024-02-09,8,4,1.09,Groceries,Online,0,0
108,1458,2024-03-12,22,1,10.92,Groceries,POS,0,0
109,1281,2024-05-13,11,0,8.11,Electronics,POS,1,0
110,1853,2024-03-23,11,5,331.25,Electronics,POS,0,0
111,1203,2024-04-23,19,1,472.05,Travel,ATM,0,0
112,1289,2024-02-28,2,2,73.45,Travel,POS,0,0
113,1292,2024-02-19,16,0,113.51,Utilities,Online,0,0
114,1155,2024-04-12,8,4,1,Healthcare,Online,0,0
115,1771,2024-05-19,8,6,155.4,Electronics,Online,0,0
116,1442,2024-01-23,2,1,92.09,Entertainment,POS,0,0
117,1336,2024-02-13,16,1,41.25,Dining,Online,0,0
118,1500,2024-04-27,8,5,1,Electronics,ATM,0,0
119,1666,2024-04-11,18,3,149.24,Healthcare,Online,0,0
120,1349,2024-04-24,8,2,25.26,Groceries,POS,1,0
121,1464,2024-06-02,12,6,13.08,Entertainment,POS,0,0
122,1670,2024-03-13,22,2,120.14,Electronics,Online,0,0
123,1447,2024-02-16,13,4,15.87,Entertainment,POS,1,0
124,1862,2024-03-25,7,0,82.72,Utilities,POS,1,0
125,1037,2024-02-27,12,1,189.06,Electronics,POS,0,0
126,1586,2024-06-26,9,2,123.07,Healthcare,Online,0,0
127,1079,2024-01-18,15,3,120.77,Electronics,Online,1,0
128,1870,2024-04-24,11,2,22.27,Dining,POS,0,0
129,1823,2024-06-16,8,6,29.39,Entertainment,POS,0,0
130,1844,2024-02-07,20,2,125.54,Retail,POS,0,0
131,1504,2024-01-27,7,5,77.5,Groceries,POS,0,0
132,1605,2024-03-04,11,0,32.75,Groceries,POS,0,0
133,1194,2024-02-14,1,2,220.32,Healthcare,ATM,0,0
134,1289,2024-04-07,17,6,491.49,Travel,POS,0,0
135,1075,2024-05-26,12,6,276.16,Electronics,POS,0,0
136,1338,2024-02-27,16,1,108.51,Entertainment,POS,0,0
137,1406,2024-06-05,9,2,190.28,Electronics,POS,0,0
138,1541,2024-05-03,16,4,47.14,Dining,Online,0,0
139,1783,2024-02-18,19,6,243.14,Electronics,Online,1,0
140,1168,2024-03-26,13,1,90.85,Groceries,Online,0,0
141,1520,2024-06-26,22,2,97.21,Groceries,POS,1,0
142,1358,2024-06-20,10,3,85.02,Retail,Online,0,0
143,1218,2024-01-20,17,5,179.52,Healthcare,POS,1,0
144,1952,2024-01-18,21,3,15.98,Retail,Online,0,0
145,1659,2024-02-24,7,5,577.33,Travel,Online,0,0
146,1683,2024-02-27,8,1,158.62,Utilities,ATM,0,0
147,1524,2024-03-29,3,4,36.25,Groceries,POS,0,0
148,1535,2024-03-15,15,4,152.86,Healthcare,POS,0,0
149,1974,2024-01-10,7,2,116.44,Utilities,Online,1,0
150,1099,2024-06-04,10,1,59.61,Utilities,Online,0,0
151,1204,2024-06-19,9,2,1,Entertainment,Online,0,0
152,1521,2024-04-28,16,6,86.44,Groceries,POS,1,0
153,1017,2024-05-19,14,6,287.75,Electronics,Online,0,0
154,1284,2024-02-07,2,2,52.05,Entertainment,POS,0,0
155,1802,2024-04-20,7,5,74.52,Utilities,POS,0,0
156,1887,2024-06-14,15,4,,Healthcare,POS,1,0
157,1571,2024-04-20,17,5,135.78,Healthcare,Online,0,0
158,1442,2024-06-19,17,2,91.85,Utilities,POS,0,0
159,1720,2024-01-24,19,2,126.9,Utilities,POS,0,0
160,1663,2024-06-02,18,6,136.21,Retail,Online,1,0
161,1647,2024-04-25,7,3,106.93,Travel,Online,0,0
162,1849,2024-06-21,14,4,1,Retail,Online,0,0
163,1582,2024-06-06,8,3,81.1,Utilities,POS,0,0
164,1646,2024-06-08,2,5,210.3,Travel,POS,0,0
165,1296,2024-01-15,19,0,153.92,Utilities,POS,0,0
166,1106,2024-03-14,6,3,184.24,Electronics,Online,1,0
167,1117,2024-06-03,7,0,36.56,Dining,ATM,0,0
168,1925,2024-05-08,21,2,58.02,Entertainment,POS,0,0
169,1970,2024-04-03,13,2,38.4,Dining,Online,1,0
170,1690,2024-01-13,12,5,60.03,Utilities,POS,0,0
171,1528,2024-05-02,8,3,75.1,Electronics,Online,0,0
172,1598,2024-03-06,11,2,131.18,Electronics,Online,0,0
173,1947,2024-05-28,19,1,115.74,Travel,ATM,1,0
174,1644,2024-04-05,19,4,104.67,Healthcare,ATM,0,0
175,1629,2024-03-20,13,2,60.17,Dining,POS,0,0
176,1154,2024-03-24,12,6,31.52,Entertainment,POS,0,0
177,1111,2024-02-18,19,6,47.42,Groceries,POS,0,0
178,1333,2024-02-22,20,3,7.53,Entertainment,ATM,0,0
179,1125,2024-06-24,13,0,295.87,Travel,Online,0,0
180,1352,2024-05-28,21,1,109.35,Utilities,ATM,0,0
181,1619,2024-02-06,14,1,25.3,Dining,Online,0,0
182,1364,2024-04-16,19,1,122.82,Electronics,POS,0,0
183,1306,2024-04-24,16,2,1,Entertainment,Online,0,0
184,1668,2024-02-04,13,6,98.04,Utilities,POS,0,0
185,1538,2024-05-25,16,5,55.61,Groceries,Online,0,0
186,1188,2024-01-15,8,0,96.23,Healthcare,Online,1,0
187,1557,2024-06-18,8,1,27.6,Groceries,POS,0,0
188,1167,2024-06-08,19,5,70.11,Travel,Online,0,0
189,1891,2024-04-24,13,2,57.64,Entertainment,POS,0,0
190,1869,2024-02-15,6,3,490.13,Travel,Online,0,0
191,1368,2024-06-28,17,4,3.59,Electronics,Online,0,0
192,1459,2024-01-02,18,1,505.1,Travel,Online,0,0
193,1767,2024-04-30,15,1,50.54,Dining,Online,1,0
194,1750,2024-04-20,7,5,124.84,Utilities,POS,0,0
195,1580,2024-02-22,7,3,10.96,Entertainment,ATM,0,0
196,1120,2024-04-06,14,5,55.61,Healthcare,POS,1,0
197,1686,2024-02-01,15,3,23.47,Retail,POS,0,0
198,1214,2024-03-13,19,2,17.08,Entertainment,ATM,0,0
199,1399,2024-06-28,11,4,47.5,Retail,Online,1,0
200,1809,2024-05-25,18,5,99.55,Electronics,POS,0,0
201,1935,2024-02-15,14,3,506.74,Travel,Online,0,1
202,1383,2024-03-18,20,0,34.49,Entertainment,Online,0,0
203,1552,2024-03-30,15,5,1,Retail,Online,0,0
204,1605,2024-04-16,8,1,12.28,Dining,Online,1,0
205,1980,2024-03-03,19,6,95.43,Utilities,Online,0,0
206,1816,2024-06-23,10,6,67.72,Groceries,POS,0,0
207,1001,2024-01-30,20,1,52.6,Utilities,POS,0,0
208,1377,2024-03-14,17,3,247.9,Healthcare,POS,0,0
209,1920,2024-02-06,9,1,89.69,Utilities,Online,0,0
210,1610,2024-01-26,16,4,14.52,Electronics,ATM,0,0
211,1807,2024-04-27,22,5,17.52,Dining,ATM,0,0
212,1363,2024-01-22,7,0,356.84,Travel,Online,0,0
213,1527,2024-02-25,17,6,23.6,Dining,POS,1,0
214,1175,2024-01-31,21,2,37.33,Entertainment,Online,0,0
215,1957,2024-06-09,19,6,364.25,Travel,Online,1,0
216,1297,2024-05-23,18,3,42.9,Retail,POS,0,0
217,1345,2024-01-14,13,6,32.54,Groceries,Online,1,0
218,1785,2024-02-07,8,2,1,Electronics,Online,0,0
219,1288,2024-01-23,12,1,82.05,Retail,POS,0,0
220,1280,2024-03-09,18,5,83.67,Utilities,POS,0,0
221,1274,2024-06-11,18,1,9.62,Entertainment,POS,0,0
222,1502,2024-01-31,10,2,51.77,Groceries,Online,1,0
223,1202,2024-06-08,14,5,70.94,Groceries,POS,1,0
224,1899,2024-05-17,19,4,234.32,Travel,Online,0,0
225,1447,2024-01-03,18,2,26.22,Retail,Online,0,0
226,1930,2024-05-28,19,1,22.14,Entertainment,POS,0,0
227,1632,2024-04-18,10,3,90.29,Utilities,Online,0,0
228,1626,2024-01-12,13,4,119.74,Utilities,POS,0,0
229,1761,2024-01-18,8,3,23.1,Dining,Online,0,0
230,1375,2024-01-23,16,1,90.07,Utilities,ATM,1,0
231,1490,2024-01-20,7,5,354.89,Travel,POS,0,0
232,1303,2024-04-21,11,6,54.87,Retail,POS,0,0
233,1561,2024-01-02,13,1,38.36,Dining,POS,0,0
234,1674,2024-06-13,9,3,153.33,Healthcare,POS,0,0
235,1195,2024-04-13,11,5,40.24,Entertainment,Online,0,0
236,1121,2024-04-04,9,3,42.45,Healthcare,Online,0,0
237,1613,2024-04-13,13,5,38.42,Groceries,POS,0,0
238,1691,2024-04-07,12,6,8.21,Electronics,POS,0,0
239,1101,2024-03-25,17,0,57.33,Groceries,POS,0,0
240,1274,2024-01-09,14,1,80.24,Retail,POS,0,0
241,1598,2024-03-10,16,6,127.76,Electronics,Online,0,0
242,1198,2024-05-26,14,6,51.78,Dining,POS,0,0
243,1392,2024-03-28,8,3,25.33,Healthcare,POS,0,0
244,1804,2024-01-08,18,0,1,Retail,POS,0,0
245,1548,2024-01-28,15,6,453.5,Travel,Online,0,0
246,1878,2024-02-28,19,2,97.67,Utilities,POS,0,0
247,1752,2024-03-14,13,3,98.39,Retail,Online,0,0
248,1029,2024-05-29,16,2,83.7,Retail,Online,0,0
249,1392,2024-06-03,17,0,27.64,Healthcare,Online,0,0
250,1688,2024-03-03,18,6,53.1,Groceries,Online,0,0
251,1038,2024-01-14,9,6,36.02,Utilities,Online,0,0
252,1037,2024-02-25,13,6,106.31,Utilities,POS,0,0
253,1710,2024-01-28,11,6,70.35,Utilities,Online,0,0
254,1024,2024-06-23,5,6,171.5,Travel,Online,0,0
255,1512,2024-05-09,10,3,69.13,Utilities,Online,0,0
256,1440,2024-04-08,9,0,328.46,Travel,Online,0,0
257,1212,2024-01-30,21,1,1,Retail,Online,0,0
258,1725,2024-04-28,11,6,3.89,Entertainment,ATM,0,0
259,1486,2024-06-05,20,2,103.8,Healthcare,ATM,0,0
260,1175,2024-01-14,7,6,64.66,Utilities,POS,0,0
261,1653,2024-03-06,11,2,107.31,Utilities,ATM,1,0
262,1782,2024-06-05,11,2,511.53,Travel,POS,0,0
263,1422,2024-06-09,1,6,68.25,Entertainment,POS,0,0
264,1348,2024-04-19,7,4,59.93,Entertainment,POS,0,0
265,1995,2024-01-20,8,5,107.19,Healthcare,ATM,0,0
266,1992,2024-04-12,9,4,51.98,Groceries,Online,0,0
267,1282,2024-02-25,8,6,48.65,Groceries,ATM,1,0
268,1890,2024-01-09,17,1,55.86,Healthcare,POS,0,0
269,1867,2024-02-06,17,1,57.48,Utilities,Online,0,0
270,1861,2024-01-03,11,2,179.45,Travel,POS,0,0
271,1379,2024-01-04,1,3,26.04,Utilities,POS,0,0
272,1310,2024-01-04,17,3,1,Retail,Online,0,1
273,1806,2024-01-16,12,1,111.1,Utilities,POS,0,0
274,1531,2024-01-11,5,3,118.87,Retail,POS,0,0
275,1572,2024-06-22,12,5,78.1,Retail,POS,1,0
276,1319,2024-02-18,16,6,273.65,Electronics,Online,0,0
277,1690,2024-01-20,6,5,43.77,Retail,Online,1,0
278,1097,2024-01-29,12,0,1,Electronics,POS,0,0
279,1118,2024-02-11,21,6,84.55,Groceries,POS,1,0
280,1664,2024-02-19,19,0,79.71,Retail,POS,0,0
281,1396,2024-03-15,7,4,1,Entertainment,Online,0,0
282,1567,2024-01-17,17,2,241.56,Electronics,Online,0,0
283,1247,2024-05-24,6,4,98.56,Utilities,Online,0,1
284,1113,2024-06-27,13,3,1,Electronics,POS,0,0
285,1406,2024-04-22,15,0,87.87,Healthcare,POS,0,0
286,1914,2024-03-16,6,5,55.94,Entertainment,POS,0,0
287,1395,2024-02-23,10,4,376.25,Travel,Online,0,0
288,1713,2024-04-03,21,2,198.96,Healthcare,Online,0,0
289,1763,2024-02-19,15,0,19.85,Dining,Online,0,0
290,1145,2024-01-31,9,2,187.81,Healthcare,POS,0,0
291,1915,2024-04-03,20,2,12.59,Groceries,POS,0,0
292,1442,2024-05-04,17,5,125.1,Utilities,POS,0,0
293,1988,2024-02-16,13,4,88.94,Utilities,POS,0,0
294,1903,2024-04-03,10,2,103.1,Healthcare,POS,0,0
295,1192,2024-06-18,13,1,56.21,Dining,POS,0,0
296,1017,2024-04-04,21,3,188.26,Electronics,ATM,0,0
297,1164,2024-02-08,13,3,141.25,Electronics,POS,0,0
298,1377,2024-04-24,12,2,,Healthcare,Online,0,0
299,1866,2024-06-27,14,3,1,Retail,POS,0,0
300,1446,2024-06-27,0,3,76.83,Healthcare,POS,1,0
301,1771,2024-02-08,16,3,23.83,Entertainment,ATM,0,0
302,1453,2024-01-22,20,0,,Utilities,POS,0,0
303,1355,2024-03-01,18,4,110.22,Electronics,POS,0,0
304,1802,2024-03-30,19,5,85.08,Electronics,POS,0,0
305,1096,2024-06-27,12,3,49.61,Healthcare,POS,0,0
306,1325,2024-06-27,6,3,60.41,Healthcare,POS,0,0
307,1956,2024-01-09,17,1,1,Healthcare,Online,0,0
308,1119,2024-05-17,15,4,70.89,Entertainment,POS,1,0
309,1297,2024-05-05,20,6,93.0,Utilities,ATM,0,0
310,1370,2024-02-25,14,6,8.75,Entertainment,POS,0,0
311,1220,2024-02-10,4,5,256.99,Electronics,POS,1,0
312,1256,2024-02-12,17,0,102.91,Healthcare,Online,0,0
313,1322,2024-05-20,1,0,45.37,Groceries,POS,0,0
314,1646,2024-05-19,8,6,474.96,Travel,POS,0,0
315,1988,2024-06-25,8,1,1,Entertainment,POS,0,0
316,1984,2024-03-22,23,4,75.61,Groceries,Online,0,0
317,1278,2024-02-19,18,0,111.78,Healthcare,Online,0,1
318,1794,2024-03-19,21,1,16.28,Groceries,POS,0,0
319,1575,2024-05-10,9,4,1,Electronics,Online,0,0
320,1699,2024-03-13,6,2,36.35,Dining,POS,0,0
321,1120,2024-03-17,8,6,347.36,Electronics,Online,0,0
322,1464,2024-02-05,17,0,21.71,Entertainment,ATM,0,0
323,1945,2024-02-02,12,4,363.16,Travel,POS,0,0
324,1874,2024-05-09,18,3,1,Healthcare,Online,0,0
325,1613,2024-06-26,21,2,113.46,Utilities,ATM,0,0
326,1733,2024-01-21,15,6,2.87,Groceries,POS,0,0
327,1877,2024-02-21,13,2,80.9,Retail,Online,0,0
328,1511,2024-05-16,10,3,102.41,Travel,POS,0,0
329,1903,2024-02-05,19,0,26.66,Entertainment,Online,1,0
330,1345,2024-03-12,15,1,287.35,Travel,Online,0,0
331,1806,2024-05-12,19,6,63.16,Retail,POS,0,0
332,1076,2024-03-01,15,4,174.91,Electronics,Online,0,0
333,1953,2024-06-05,22,2,45.97,Dining,POS,0,0
334,1593,2024-05-12,19,6,2.12,Healthcare,Online,0,0
335,1157,2024-03-03,12,6,6.25,Retail,POS,0,0
336,1430,2024-02-29,20,3,70.54,Entertainment,Online,0,0
337,1642,2024-01-12,11,4,91.69,Utilities,Online,0,0
338,1658,2024-02-03,18,5,80.93,Groceries,Online,0,0
339,1793,2024-03-30,16,5,454.82,Travel,Online,0,0
340,1586,2024-01-05,14,4,51.99,Entertainment,Online,1,0
341,1490,2024-02-08,10,3,149.12,Healthcare,Online,0,0
342,1028,2024-06-25,8,1,48.74,Groceries,Online,0,0
343,1472,2024-02-23,21,4,44.26,Entertainment,POS,0,0
344,1091,2024-01-27,19,5,29.08,Groceries,Online,1,0
345,1755,2024-05-15,5,2,27.55,Utilities,POS,0,0
346,1284,2024-02-08,10,3,102.2,Retail,Online,0,0
347,1730,2024-02-20,13,1,21.53,Dining,Online,0,0
348,1479,2024-04-05,16,4,79.71,Healthcare,Online,0,0
349,1613,2024-05-04,14,5,24.37,Entertainment,Online,0,0
350,1135,2024-01-01,11,0,43.72,Healthcare,POS,0,0
351,1546,2024-03-22,19,4,204.44,Electronics,POS,0,0
352,1948,2024-04-14,7,6,139.63,Utilities,POS,0,0
353,1456,2024-04-07,7,6,60.33,Entertainment,POS,0,0
354,1780,2024-01-29,6,0,16.3,Groceries,POS,1,0
355,1280,2024-01-20,9,5,79.78,Retail,POS,0,0
356,1329,2024-06-03,9,0,19.32,Entertainment,POS,0,0
357,1355,2024-05-18,13,5,216.85,Healthcare,POS,0,0
358,1595,2024-06-22,17,5,342.51,Travel,POS,0,0
359,1206,2024-03-11,21,0,23.92,Groceries,POS,0,0
360,1027,2024-05-02,11,3,1,Retail,POS,1,0
361,1381,2024-03-28,8,3,7.68,Healthcare,Online,0,0
362,1185,2024-04-13,20,5,44.88,Entertainment,Online,0,0
363,1360,2024-05-14,8,1,99.85,Healthcare,Online,0,0
364,1324,2024-05-26,19,6,22.87,Dining,POS,0,0
365,1086,2024-06-04,8,1,45.66,Entertainment,POS,0,0
366,1178,2024-03-15,15,4,338.21,Electronics,POS,0,0
367,1027,2024-04-04,8,3,76.84,Groceries,POS,0,0
368,1693,2024-03-27,9,2,94.63,Groceries,Online,0,0
369,1822,2024-03-12,10,1,129.04,Electronics,POS,0,0
370,1724,2024-01-23,8,1,12.71,Dining,Online,0,0
371,1802,2024-04-06,14,5,95.28,Retail,Online,0,0
372,1878,2024-03-05,18,1,46.26,Entertainment,POS,0,0
373,1299,2024-05-22,14,2,18.73,Dining,POS,0,0
374,1805,2024-06-23,16,6,41.05,Healthcare,POS,1,0
375,1468,2024-03-07,7,3,35.79,Healthcare,Online,1,0
376,1835,2024-03-01,13,4,98.69,Electronics,POS,0,0
377,1584,2024-06-25,15,1,57.65,Groceries,POS,1,0
378,1131,2024-03-19,18,1,96.25,Retail,POS,0,0
379,1072,2024-03-07,7,3,108.08,Utilities,Online,0,0
380,1686,2024-06-14,18,4,54.57,Entertainment,Online,0,0
381,1429,2024-03-08,12,4,264.77,Travel,Online,0,0
382,1000,2024-06-02,18,6,35.28,Retail,Online,1,0
383,1366,2024-01-12,14,4,220.38,Electronics,POS,0,0
384,1084,2024-02-16,18,4,13.9,Groceries,POS,0,0
385,1841,2024-06-26,12,2,36.36,Groceries,POS,0,0
386,1755,2024-06-16,23,6,255.78,Travel,Online,0,0
387,1085,2024-03-26,13,1,103.05,Utilities,Online,0,0
388,1701,2024-03-03,19,6,126.18,Retail,Online,0,0
389,1857,2024-03-31,10,6,122.38,Electronics,POS,0,0
390,1949,2024-02-14,6,2,17.72,Dining,Online,0,0
391,1188,2024-06-25,15,1,231.31,Travel,Online,0,0
392,1689,2024-02-18,11,6,69.29,Utilities,POS,0,0
393,1353,2024-04-29,13,0,37.97,Entertainment,Online,0,0
394,1629,2024-03-30,19,5,84.04,Entertainment,POS,0,0
395,1146,2024-02-03,10,5,41.11,Groceries,Online,0,0
396,1526,2024-06-25,13,1,54.39,Dining,POS,0,0
397,1768,2024-02-06,7,1,12.76,Dining,POS,0,0
398,1730,2024-01-05,19,4,150.08,Healthcare,Online,0,0
399,1442,2024-04-10,9,2,95.29,Electronics,ATM,0,0
400,1144,2024-04-23,17,1,37.74,Dining,Online,0,0
401,1263,2024-04-04,11,3,86.0,Utilities,POS,0,0
402,1194,2024-01-29,19,0,33.15,Groceries,Online,0,0
403,1512,2024-02-15,16,3,11.77,Entertainment,Online,0,0
404,1207,2024-06-16,19,6,19.88,Dining,Online,0,0
405,1901,2024-04-23,18,1,1,Dining,POS,0,0
406,1609,2024-04-27,19,5,196.38,Electronics,Online,0,0
407,1081,2024-06-26,17,2,365.92,Travel,POS,0,0
408,1011,2024-03-17,17,6,44.95,Dining,Online,0,0
409,1047,2024-03-25,13,0,56.71,Entertainment,Online,0,0
410,1308,2024-02-06,9,1,16.98,Electronics,ATM,0,0
411,1328,2024-03-09,18,5,46.71,Utilities,POS,0,0
412,1890,2024-01-24,17,2,43.42,Entertainment,POS,0,0
413,1865,2024-06-24,8,0,145.99,Electronics,POS,1,0
414,1356,2024-05-25,13,5,21.0,Entertainment,POS,0,0
415,1363,2024-02-19,13,0,15.76,Dining,Online,1,0
416,1545,2024-04-28,18,6,21.45,Entertainment,Online,0,0
417,1019,2024-03-04,20,0,94.84,Entertainment,POS,0,0
418,1978,2024-05-30,19,3,322.5,Electronics,POS,1,0
419,1098,2024-04-25,4,3,63.51,Groceries,ATM,0,0
420,1940,2024-05-16,12,3,61.09,Retail,POS,0,0
421,1088,2024-01-31,17,2,76.45,Healthcare,POS,0,0
422,1236,2024-06-26,9,2,332.3,Travel,POS,0,0
423,1982,2024-02-16,10,4,1,Healthcare,POS,1,0
424,1357,2024-03-06,20,2,100.0,Utilities,POS,0,0
425,1643,2024-03-19,13,1,71.29,Entertainment,Online,0,0
426,1504,2024-02-02,19,4,35.78,Entertainment,Online,0,0
427,1545,2024-05-27,19,0,61.3,Entertainment,POS,0,0
428,1771,2024-06-03,8,0,42.63,Retail,Online,0,0
429,1239,2024-05-22,6,2,105.07,Retail,Online,0,0
430,1224,2024-03-29,9,4,46.17,Utilities,Online,0,0
431,1536,2024-01-15,18,0,67.0,Electronics,Online,0,0
432,1364,2024-02-27,11,1,1,Retail,POS,0,0
433,1805,2024-05-02,17,3,101.81,Travel,ATM,0,0
434,1478,2024-05-03,14,4,151.41,Electronics,Online,0,0
435,1188,2024-03-28,11,3,53.64,Healthcare,POS,0,0
436,1871,2024-03-04,19,0,50.6,Groceries,Online,0,0
