median_income,house_age,avg_rooms,avg_bedrooms,population,avg_occupancy,latitude,longitude,median_house_value
3.0852,30,4.385,0.676,215,3.734,32.7,-117.37,217262.4
0.5148,52,2.889,0.577,879,1,35.15,-120.69,15000
5.108,23,2.998,0.608,1979,4.052,34.01,-118.74,127499.6
1.986,21,4.837,0.859,2643,3.776,33.27,-118.07,151434.6
2.8988,42,7.985,1.593,1652,2.982,33.74,-118.26,220550.1
0.5492,8,7.088,1.184,4130,2.379,35.99,-120.93,36809.4
5.7259,29,6.545,1.357,2567,2.915,37.06,-121.83,333695.7
1.0058,7,5.412,1.048,3,2.185,36.65,-119.98,15000
6.1419,30,2.923,0.604,2495,3.027,33.17,-117.74,320775.0
4.2096,1,3.321,0.794,1984,1,33.8,-117.59,236370.7
3.6785,6,8.384,2.018,3239,2.697,35.05,-117.72,93065.2
3.9322,11,7.137,1.192,2584,3.934,37.83,-122.38,247137.8
7.0067,35,8.353,1.186,1525,3.733,32.61,-117.34,319666.8
4.8717,1,3.243,0.634,803,2.365,33.73,-117.13,315105.5
3.7773,21,3.809,0.82,3248,2.323,33.35,-118.11,159593.9
5.5636,22,4.777,0.959,906,,33.11,-117.69,272520.8
5.6971,31,5.515,0.799,3,2.804,36.58,-122.17,285010.7
6.2903,37,3.96,0.533,2250,2.87,32.92,-117.8,313488.6
2.7341,37,3.3,0.831,2769,4.167,35.24,-118.97,190287.4
4.0673,51,4.131,0.826,4598,3.529,39.87,-121.2,226760.2
4.4631,36,2.737,0.725,2069,3.842,36.93,-121.97,303453.2
0.5,45,5.72,1.05,835,1.524,39.59,-122.48,116580.3
6.5769,14,3.281,0.807,1308,3.092,36.84,-121.41,499328.5
1.7851,12,6.84,1.172,3,2.719,36.1,-120.24,83609.9
0.5,35,4.529,0.808,1116,4.712,34.44,-117.71,57883.8
4.5369,37,5.544,1.016,1418,2.691,37.61,-122.45,383958.4
0.5,42,4.802,1.013,1632,3.284,38.69,-122.16,172505.1
1.6906,33,6.869,1.914,2169,2.911,37.09,-121.62,245570.7
4.2593,21,6.135,1.559,1425,2.347,33.37,-117.98,197309.7
3.9372,41,4.979,0.536,789,1.973,33.81,-118.48,209441.6
1.2677,52,3.915,0.986,1131,3.725,35.57,-120.63,39577.6
4.8263,35,5.406,0.817,27,2.856,37.39,-121.3,358842.8
2.719,29,4.247,0.804,230,5.033,32.6,-118.3,181729.3
3.8648,46,8.582,1.28,3,3.491,33.29,-117.38,252639.7
5.6236,4,7.498,1.742,1957,3.964,37.14,-121.81,334489.5
0.5,34,4.101,0.677,963,4.008,39.27,-121.54,15000
4.2694,18,3.782,0.575,1850,4.097,34.6,-117.96,227413.5
3.3168,45,3.772,0.784,1127,5.606,38.09,-121.94,263519.1
4.8954,46,5.585,1.085,2854,2.26,34.09,-118.18,313069.2
1.7491,34,5.525,1.037,1953,2.372,35.58,-120.68,110868.5
5.9014,34,4.808,0.972,2087,2.594,33.91,-118.47,323472.9
7.3224,18,5.144,0.816,670,3.691,38.14,-121.31,409111.5
4.2443,39,6.134,1.379,2294,1.235,32.56,-118.28,241114.6
4.9463,37,6.242,1.442,3,3.993,38.55,-121.22,181288.7
4.9738,29,6.157,1.435,1406,4.102,39.06,-122.08,245705.2
6.8028,15,5.991,0.5,2527,2.976,35.23,-118.89,316170.7
7.5299,31,6.858,1.835,2240,4.009,32.68,-118.39,383347.7
7.4027,9,7.928,1.716,359,1.367,34.3,-117.79,434523.3
5.4827,23,7.009,1.342,3,3.024,38.18,-121.15,321840.8
5.3412,31,4.408,0.913,759,2.253,34.32,-117.52,336919.5
4.3349,13,3.583,0.898,2244,2.412,35.35,-118.76,105317.9
6.7787,7,7.755,1.569,37,3.169,35.09,-117.97,198564.0
2.1754,27,4.901,0.971,3109,2.713,33.76,-118.05,195154.8
2.8274,18,4.98,1.077,1933,3.754,35.39,-120.2,72336.6
1.7474,35,7.603,0.95,3,2.485,35.03,-117.89,173338.8
3.9977,13,6.159,1.359,955,2.253,34.39,-117.66,91085.3
5.7574,28,5.51,1.338,3054,1.305,32.91,-117.47,305976.1
5.6685,50,5.717,1.1,195,1.825,33.37,-118.37,302146.6
1.9699,30,5.732,1.404,1473,3.952,33.74,-117.74,205723.9
5.0657,33,5.304,1.237,1632,3.356,37.53,-122.2,340400.3
6.4219,41,5.426,1.429,1152,3.628,33.56,-117.61,334670.8
0.6934,28,7.291,0.885,1496,4.849,35.86,-120.44,119506.1
1.187,31,5.293,1.167,1853,3.998,35.03,-118.71,56896.6
3.6488,15,8.134,0.993,2103,1.258,34.75,-118.95,180671.6
4.6454,28,4.916,1.087,811,4.281,38.93,-122.18,185794.9
4.9301,39,5.104,1.032,356,2.331,33.69,-117.56,381509.6
2.4665,39,6.238,1.002,3717,1.534,34.3,-117.7,146380.8
1.7347,52,6.601,0.959,2746,3.038,38.64,-121.18,94058.6
4.2109,28,4.873,1.196,3,2.649,37.4,-122.23,286734.4
5.9477,26,7.708,1.561,695,4.187,33.29,-117.52,272881.5
0.5,34,4.786,0.913,2722,,34.29,-118.41,122004.7
3.7329,21,4.876,0.666,1064,3.629,35.46,-118.15,121301.6
2.6901,32,2.624,0.546,2087,3.534,38.84,-122.08,107871.2
3.0955,48,4.725,1.209,730,3.236,40.0,-122.09,145017.5
8.1892,15,7.3,1.698,741,4.364,33.59,-117.27,339204.9
3.609,40,1.713,0.5,660,1,37.65,-122.19,283497.4
5.7245,21,7.939,1.932,987,3.529,33.44,-117.55,308319.4
5.8651,7,6.925,1.339,1256,5.709,33.18,-118.34,373702.2
4.5321,25,4.893,0.753,1079,2.288,39.66,-121.7,244819.7
3.965,15,6.682,0.889,1216,1.275,35.43,-118.53,264082.6
5.3449,8,8.296,1.699,1100,4.151,33.59,-117.53,428845.0
3.1435,34,8.478,0.92,1541,2.631,34.88,-117.93,97099.3
5.3732,12,7.265,1.853,1992,2.89,38.22,-122.5,306401.0
4.1533,25,6.155,1.91,2230,1.188,32.64,-117.02,244388.6
5.4941,52,4.981,0.852,5,3.251,34.04,-117.6,328567.4
4.9798,19,5.906,0.731,3102,3.287,34.0,-117.69,246748.8
5.0304,41,3.428,0.679,1581,2.788,36.21,-119.61,162654.3
5.805,14,3.584,0.5,1410,,32.88,-117.49,284642.3
4.6544,52,5.825,1.378,899,1.746,39.62,-122.2,199553.1
2.1702,5,6.105,2.232,2668,3.583,39.41,-121.21,102581.4
5.1478,18,4.601,0.901,3,,32.61,-117.93,257376.3
4.3712,23,1.955,0.5,2652,3.971,33.5,-117.93,268318.8
2.3442,22,7.922,1.622,777,2.144,39.63,-121.78,175517.7
2.9834,30,6.406,1.296,2048,3.663,39.59,-121.78,114126.2
2.5679,15,5.291,1.161,1520,1.505,34.26,-118.59,133525.7
6.079,43,5.163,1.207,1885,3.13,38.5,-121.85,413775.9
5.0368,26,5.658,1.265,655,3.348,39.47,-121.26,197903.4
4.9232,1,4.074,1.013,1715,3.394,38.36,-122.36,358529.9
3.8096,16,3.099,0.725,2098,3.276,34.33,-117.82,135540.6
7.1967,33,6.258,1.745,2686,3.421,37.73,-121.06,410852.8
7.7207,36,4.572,1.46,2422,1.894,38.38,-122.16,463792.3
8.2753,14,6.332,1.264,1363,3.348,33.53,-117.58,500001
2.838,39,3.985,0.818,1248,4.403,38.94,-121.01,135615.3
3.3763,17,6.148,1.347,203,3.831,38.99,-122.23,80989.2
6.8158,36,7.26,1.039,410,4.73,34.37,-118.47,403406.3
1.8605,20,5.02,,1119,2.77,35.29,-118.98,69060.4
5.056,39,5.723,1.025,3,3.601,34.89,-117.69,156339.1
5.4136,28,6.799,1.624,3388,1.056,33.83,-117.35,247620.7
6.2216,10,5.316,1.486,1238,4.068,33.62,-118.37,238330.0
3.7791,32,3.428,0.806,1129,4.99,38.36,-121.27,349588.6
4.2725,28,3.935,1.128,2537,3.048,33.43,-118.45,225864.6
5.1129,18,7.62,1.942,752,5.551,38.15,-122.42,320707.4
4.2753,26,4.141,0.903,1801,4.606,36.93,-121.41,316078.7
5.5896,20,4.224,1.003,668,3.485,32.61,-117.09,338801.9
4.4048,23,6.746,0.694,2229,3.37,39.28,-122.18,204702.8
5.2209,32,2.457,0.608,4040,4.645,38.24,-122.17,317521.6
0.5,46,1.233,0.5,2336,2.153,33.29,-117.77,115392.8
4.2158,24,4.521,1.187,795,1.553,38.99,-121.77,220734.6
2.8878,11,3.998,0.851,450,2.899,34.51,-117.58,135144.7
5.2796,43,5.81,0.87,1814,3.735,36.83,-121.67,268102.6
1.9341,30,4.941,1.022,1842,2.8,35.12,-118.42,108754.3
5.0631,35,5.987,0.917,1799,3.774,37.43,-122.44,339882.9
6.6919,16,9.329,2.654,3235,1.42,36.72,-122.39,426391.2
3.4479,26,3.247,0.71,2040,3.445,39.11,-121.35,105322.9
1.3546,47,2.765,0.545,2770,1.839,36.92,-119.55,25982.5
5.4535,31,4.422,0.6,1721,2.771,39.02,-122.21,290772.7
6.3123,29,7.425,0.837,2566,2.323,33.77,-117.7,280784.3
9.2002,29,5.547,1.017,675,3.298,33.84,-118.28,374589.8
3.0938,33,4.614,0.9,528,3.348,34.33,-118.46,278074.7
4.7985,34,7.154,1.741,219,2.368,36.54,-121.78,267111.5
4.7049,27,6.755,0.976,3398,2.292,39.59,-121.34,204436.1
2.7869,17,9.378,1.131,2126,1.046,37.51,-121.36,276214.3
3.1619,17,5.3,1.0,1206,5.538,33.85,-118.18,316315.8
2.869,40,7.118,,3755,1.777,38.73,-122.14,120047.2
4.1913,16,5.717,0.97,544,1.135,36.49,-119.8,164076.9
2.7,52,5.461,0.553,3,2.866,32.56,-118.43,199325.5
3.7861,16,6.093,1.867,983,3.702,39.62,-121.73,169678.0
1.9696,30,7.07,1.249,1358,3.937,35.22,-118.73,161420.0
10.1381,38,6.939,1.796,2013,3.356,37.21,-122.4,500001
10.2702,33,5.95,1.019,734,3.859,36.53,-121.27,500001
7.9542,30,7.75,1.841,1346,3.438,37.42,-122.04,378282.1
8.7305,41,5.503,1.452,2678,4.751,33.98,-118.17,500001
3.4647,28,3.216,0.5,1953,3.69,34.63,-117.58,155722.4
4.4555,45,4.271,0.784,5,3.613,36.65,-121.67,304318.0
3.6276,30,4.277,0.575,3228,2.543,32.77,-117.58,248065.9
7.1474,31,3.352,0.668,3,,33.91,-118.04,425930.2
3.9546,7,3.704,0.5,2672,2.735,35.01,-119.26,164640.5
7.9951,26,5.358,1.364,1168,1,38.29,-121.42,373510.3
2.901,19,3.548,0.782,453,3.488,33.97,-117.79,181215.8
0.8338,21,2.052,0.5,1855,4.53,35.24,-119.77,64333.0
0.5,30,6.141,1.78,1428,,35.17,-119.22,15000
5.4078,25,4.082,1.166,1680,3.08,34.13,-118.31,323442.4
3.1308,19,6.026,1.064,1131,1.405,34.16,-118.46,195695.2
5.9146,21,1.598,0.5,1826,1.856,33.87,-117.8,361372.5
2.5589,12,8.121,1.214,1358,1.936,35.7,-119.13,28927.8
4.4793,26,7.015,1.754,1367,2.388,38.28,-122.3,369920.2
5.1895,41,7.655,1.682,704,1,36.43,-119.29,168457.0
3.5366,28,6.699,1.663,1721,2.062,33.66,-117.21,231016.8
0.696,33,8.494,2.364,3,1.749,33.32,-118.37,156850.3
5.4642,22,7.567,1.58,3,4.742,36.95,-121.06,441110.8
2.9804,23,4.834,0.95,3734,4.217,34.67,-118.14,176190.1
2.0369,22,7.331,1.575,1728,3.066,35.12,-120.78,90928.8
2.245,38,4.359,0.831,1324,2.899,39.33,-121.25,150504.6
6.174,40,5.048,0.938,2205,2.936,35.16,-118.66,254719.5
6.9884,36,4.008,0.702,1902,5.409,35.22,-119.0,330599.9
2.1238,21,5.878,0.971,1804,1,33.14,-117.62,181696.7
4.8677,30,5.806,1.362,912,2.683,35.48,-118.93,249239.7
4.5402,21,1.834,0.5,3,3.664,33.56,-117.52,285850.7
3.7723,40,5.581,1.1,1103,5.247,36.93,-119.32,205529.7
0.5,38,7.042,1.538,41,2.109,36.1,-119.65,15000
0.8316,37,3.548,0.76,1562,2.971,39.44,-122.49,156628.2
4.3292,46,4.132,0.926,2145,1.841,33.72,-118.37,393670.6
5.1875,7,6.468,0.5,1624,3.154,36.34,-120.04,247488.5
4.3768,20,5.184,1.25,2302,3.641,38.16,-122.47,320380.0
3.4894,14,7.002,0.859,978,3.317,34.16,-118.55,209734.1
6.7792,23,2.92,0.83,874,3.361,34.81,-118.58,345256.7
3.7109,31,6.939,1.364,1116,1.148,37.0,-119.84,142210.4
5.2119,38,4.987,0.904,1068,4.582,35.36,-118.13,262311.2
0.5,23,5.569,1.32,2505,3.004,35.74,-119.53,80024.5
3.408,33,4.72,1.097,948,4.908,33.24,-118.18,145007.3
3.657,28,5.833,1.229,2320,4.258,33.15,-118.25,170037.2
4.8909,49,2.044,0.5,2261,3.17,36.73,-121.8,285668.4
3.2875,35,5.84,1.012,226,2.743,33.59,-117.79,225289.2
2.7829,25,5.888,1.414,2704,4.354,34.85,-117.58,155149.1
6.8567,9,2.389,0.5,1326,3.67,32.94,-117.42,377675.8
2.822,49,2.811,0.5,2111,2.462,39.35,-122.07,170325.1
2.8033,19,3.942,0.594,256,2.333,37.65,-121.27,286695.6
7.8003,38,5.702,1.759,2044,2.687,37.88,-122.18,438107.9
4.7149,29,1,0.5,2594,1.673,33.39,-117.57,157276.5
4.8904,37,6.171,0.879,1099,1.902,34.29,-118.86,208012.7
7.8878,52,3.712,0.604,1616,4.324,36.55,-121.44,381817.0
2.1799,22,6.349,1.426,312,4.195,36.32,-119.84,41529.8
8.6716,41,5.34,0.908,792,2.345,33.9,-118.0,395039.7
5.9426,41,4.6,1.227,647,4.134,37.59,-121.42,317006.6
0.5,46,3.466,0.5,1605,3.706,34.97,-118.09,34961.2
3.0854,35,6.286,1.531,1819,3.717,34.43,-117.98,160659.5
0.5,23,5.538,0.982,295,2.46,33.78,-117.73,163077.7
2.6077,28,5.832,1.485,1516,4.41,32.72,-117.82,231441.9
7.2074,24,5.427,0.884,2483,1.827,34.03,-117.81,407788.6
5.1169,27,6.012,0.743,444,3.186,33.77,-118.05,460356.3
4.6866,23,7.951,1.734,1161,1,38.41,-122.01,340133.2
3.5018,31,3.893,0.95,942,2.24,36.86,-121.39,244915.0
7.5464,30,5.938,,971,4.474,32.65,-118.27,334957.5
1.5298,46,3.058,0.514,793,3.609,38.82,-122.25,65535.6
7.8805,30,3.33,0.603,2068,1.984,36.84,-121.91,349314.0
2.7328,3,4.449,1.255,471,3.818,36.58,-119.3,116681.1
1.8346,46,7.064,1.172,990,5.997,34.66,-118.16,149395.6
8.6523,17,4.565,1.075,1057,4.123,37.87,-121.03,395323.9
3.6077,13,6.773,0.783,1533,2.173,34.55,-117.56,193936.0
3.3763,6,1,0.5,469,3.524,36.05,-120.07,132851.5
4.3102,40,7.123,1.608,3383,3.742,37.07,-121.17,294452.5
2.5326,52,6.966,1.034,1322,1.94,34.67,-118.08,59933.1
5.4772,40,5.323,1.184,1923,1.937,37.41,-121.68,399797.2
2.0244,35,7.073,1.515,916,1.702,34.02,-118.38,247268.5
7.0136,45,5.556,1.079,1705,2.474,34.12,-118.41,434433.9
7.5974,18,6.321,0.755,12,3.532,33.57,-118.44,456896.1
0.5,43,8.261,1.627,1592,1,34.15,-118.56,153515.1
6.1925,16,2.712,0.5,1364,,35.4,-118.36,259488.7
2.0874,22,2.666,0.639,1060,2.178,32.63,-118.12,186959.7
4.2629,40,3.413,0.5,676,6.533,33.79,-117.7,269468.5
3.0405,12,4.713,1.071,746,3.272,34.42,-117.97,266122.9
4.4221,14,5.965,0.86,580,3.449,37.53,-121.75,304390.4
7.3025,52,8.946,2.115,1039,3.44,34.62,-118.5,316605.4
2.5191,15,6.067,1.773,1316,3.203,39.93,-122.35,114516.8
6.7355,26,5.432,0.935,960,2.018,33.86,-118.34,397491.5
2.6159,29,6.679,0.608,2934,2.906,34.99,-118.79,111664.9
0.5,42,8.47,1.053,2197,2.314,39.32,-121.87,63223.8
3.2067,39,3.738,0.783,1222,5.186,38.57,-121.39,192967.9
4.105,22,4.918,1.28,1225,3.707,38.21,-121.09,259189.8
8.5233,38,5.913,1.53,331,4.456,34.41,-117.87,493286.0
4.3414,33,6.645,1.483,1451,3.478,32.58,-117.43,177006.9
6.614,4,4.876,0.88,1863,5.83,38.48,-121.87,332251.4
1.7674,18,5.164,1.435,1111,3.366,39.14,-122.23,77403.1
8.1092,26,4.145,0.5,753,3.009,37.95,-122.46,417180.0
2.679,26,1.79,0.5,754,4.628,36.97,-122.43,263707.4
0.5,17,2.922,0.683,634,4.197,35.31,-117.56,49236.5
6.0794,19,5.765,0.775,1074,2.723,33.54,-117.76,486112.4
2.7511,37,6.047,1.182,1971,2.723,35.66,-120.24,153754.8
4.3869,52,5.565,0.723,1881,2.293,33.51,-118.19,268719.1
2.8571,20,5.376,1.624,3129,4.078,34.54,-117.79,103758.5
7.9787,43,5.444,0.798,2364,2.407,36.59,-122.22,364058.8
2.2808,10,4.119,0.619,2511,3.689,33.55,-118.47,204881.2
5.5399,18,8.393,1.751,2831,4.286,37.49,-121.49,323195.8
1.8081,21,2.805,0.739,3278,3.367,35.15,-118.95,131751.6
0.5,24,3.341,0.787,3,2.994,35.84,-120.9,60777.7
2.5484,52,5.88,0.953,2576,2.306,33.26,-117.74,144334.3
4.1798,28,4.008,1.08,3362,2.007,37.5,-121.67,300438.7
4.0063,35,2.285,0.5,1915,1,34.1,-118.06,181871.1
3.7051,19,8.534,2.42,2171,2.927,33.29,-117.12,210833.5
3.5578,8,5.26,0.904,637,1.303,33.26,-118.37,223770.7
6.4423,31,4.274,0.5,3650,1.804,34.09,-118.64,212631.8
4.7657,31,4.037,0.588,2368,1.114,33.0,-117.63,252410.6
4.8477,17,6.198,1.532,689,1.995,33.44,-117.37,275285.8
7.0871,17,5.512,1.193,1911,3.961,33.81,-118.1,436410.7
5.1611,18,6.315,1.22,1228,3.225,32.95,-117.86,256036.8
5.6868,48,1,0.5,337,1.988,36.85,-122.03,322940.7
2.3225,37,2.608,0.852,3,2.202,37.85,-121.54,225209.6
6.3686,23,6.315,1.345,874,4.122,33.08,-117.24,360404.0
5.6474,30,4.782,1.117,1101,3.464,34.19,-117.67,470004.5
6.9531,19,7.577,1.804,3237,3.102,38.44,-121.59,433191.7
1.0835,18,9.173,1.195,4159,2.319,38.76,-121.08,74948.9
2.1945,12,4.773,0.899,3302,3.35,36.75,-122.49,304168.2
6.6927,14,4.534,0.678,576,4.69,33.66,-118.49,350714.5
5.4947,11,6.475,1.053,411,3.496,33.71,-118.41,207315.2
6.9921,1,2.907,0.788,3,3.112,33.14,-117.24,305802.8
5.8248,15,5.336,1.098,1487,2.453,38.6,-122.17,180375.8
3.9817,25,5.885,1.43,2137,3.86,33.46,-117.57,281798.8
5.8281,44,6.554,1.499,834,2.616,33.34,-117.32,319783.3
3.7405,15,5.352,0.648,2424,4.217,38.93,-122.49,187650.2
6.1807,49,3.601,0.757,1236,2.37,36.86,-122.41,409880.8
7.3135,24,3.607,1.052,323,2.626,36.88,-122.39,334316.1
4.1719,13,1.848,0.5,529,1.988,37.71,-121.12,297533.9
3.0062,11,4.046,1.268,1824,2.56,39.93,-121.24,157862.0
4.4375,30,5.571,0.988,1354,4.423,37.66,-121.07,256047.7
1.7155,37,3.132,0.542,2134,2.401,39.22,-121.47,77920.4
6.726,48,4.081,1.31,3643,3.107,32.91,-117.51,286971.9
5.3691,41,4.085,0.795,849,3.081,33.94,-117.14,275283.7
6.6248,35,7.698,1.268,1076,2.811,36.88,-122.44,402199.0
1.1897,21,7.099,0.861,2723,2.712,35.3,-119.67,131860.0
5.1008,36,5.244,0.911,3,1,32.85,-118.48,186965.2
0.5,17,4.907,0.581,2678,3.585,39.76,-121.35,97370.3
7.8893,23,2.473,0.5,2296,3.305,34.32,-117.79,449124.6
6.1255,33,6.039,0.751,839,5.585,33.11,-117.03,335519.0
7.6208,24,5.502,0.934,2552,1,33.36,-117.99,407096.1
7.5005,33,4.19,0.669,1149,5.424,38.34,-122.08,455857.8
4.7389,28,4.341,0.524,1164,4.006,37.07,-121.73,399418.5
8.1222,3,5.04,0.968,2363,4.213,33.76,-117.69,398944.2
5.3974,16,4.164,,2086,3.423,33.47,-118.23,322471.8
6.6722,37,5.004,0.862,941,3.403,37.5,-121.89,367987.9
4.3195,29,9.338,2.58,33,3.292,32.96,-118.08,227198.1
5.9512,31,6.512,1.182,3,3.324,38.77,-121.93,205041.4
3.4213,21,2.812,0.5,2104,3.165,36.7,-122.26,293740.0
1.5975,24,5.871,,464,2.649,36.86,-119.62,80979.0
3.2293,25,5.833,1.274,3,1.52,36.26,-119.85,140383.8
5.2175,27,4.89,1.225,1973,3.904,37.94,-121.48,274736.7
0.5,22,4.279,0.78,906,1.102,39.63,-121.81,69310.8
6.5427,52,6.54,1.589,2121,4.234,34.22,-117.53,280451.0
4.7593,13,7.971,1.279,2617,3.212,37.69,-121.19,347602.2
6.5563,41,3.809,0.7,792,2.341,32.73,-117.67,258223.2
4.037,35,5.156,1.217,2338,3.806,36.26,-119.52,206313.0
8.2578,30,7.55,2.023,3,2.633,33.91,-117.59,395717.4
5.8123,35,6.728,1.953,2679,1.201,33.89,-117.75,474229.9
5.1823,1,4.394,1.196,1313,3.102,34.29,-118.21,310550.4
4.6163,22,3.284,0.5,1798,2.623,38.77,-122.43,192907.9
7.529,1,8.368,2.0,1612,2.677,33.71,-118.46,389662.4
6.3059,18,4.981,0.905,1103,3.116,33.59,-117.75,391502.2
4.4122,35,5.139,0.696,684,1.935,36.64,-122.35,272837.7
5.3511,35,4.801,0.714,3,,34.08,-117.91,274127.8
4.7367,52,7.391,1.287,1404,3.332,32.92,-117.3,251430.5
1.5432,18,1,0.5,1770,2.308,33.95,-118.48,125164.6
5.2399,50,6.085,1.2,481,2.116,33.79,-117.02,256601.1
8.4937,30,2.053,0.55,2048,4.582,36.67,-121.12,433925.7
6.9062,25,2.264,0.5,1490,3.395,36.52,-121.61,385447.6
3.6198,19,6.902,1.516,1563,2.105,33.13,-117.98,181528.0
5.0063,41,7.013,2.044,964,1.967,33.84,-117.73,370429.6
5.2319,12,6.409,1.41,1061,1.362,37.5,-121.81,322551.9
8.6783,22,2.317,0.51,1099,3.33,37.63,-121.72,422065.9
3.6887,23,6.034,1.382,1531,2.108,35.37,-118.47,164356.1
8.877,10,4.69,1.401,817,5.362,34.05,-117.61,459000.6
4.8463,42,3.518,0.69,924,1.133,32.54,-118.18,280074.0
6.9283,52,4.113,1.088,560,5.002,33.43,-117.39,287608.0
4.953,37,7.449,1.001,126,4.731,37.1,-121.78,357817.8
2.6122,28,5.199,0.85,3482,5.315,34.18,-118.69,179127.2
4.76,37,8.074,1.211,3,2.889,33.71,-118.16,358133.7
4.3234,5,4.543,0.876,743,3.242,33.95,-117.92,380608.3
1.81,1,6.485,1.226,2698,1.874,36.98,-120.49,57640.3
0.5,29,1.695,0.5,688,4.824,35.92,-120.62,49842.0
2.9609,27,8.469,1.569,1224,2.914,33.56,-117.93,191794.5
2.3542,29,4.965,1.198,1913,2.954,38.23,-121.2,313694.6
2.5342,25,4.423,0.776,357,5.778,33.72,-118.13,178028.9
2.6422,27,5.56,1.234,3,1.609,39.94,-122.37,136783.1
1.5819,18,9.857,2.196,3,4.008,35.79,-119.78,51477.6
5.1315,28,5.767,0.738,2028,4.987,33.36,-117.3,261331.8
6.3387,26,6.854,0.948,2274,2.373,36.5,-121.73,388202.5
3.1563,41,2.11,0.698,3306,2.547,34.34,-117.84,114602.2
0.8227,4,1,0.5,889,3.05,32.69,-118.38,162163.0
4.7943,32,4.96,0.986,322,2.952,37.86,-121.74,391246.1
2.6483,32,4.19,1.001,2124,4.117,35.29,-120.93,77465.6
6.9188,44,4.984,1.07,1089,3.93,38.17,-122.22,425958.0
0.6239,13,6.423,0.949,1222,2.632,35.22,-119.75,15000
3.5644,26,11.014,1.663,1643,3.619,35.14,-118.62,150685.6
3.2014,14,3.382,0.724,3313,2.759,36.14,-119.02,81655.9
5.146,41,6.336,0.84,1954,1.039,34.24,-118.25,217572.7
2.6306,2,6.716,1.281,550,2.764,39.88,-121.73,99597.7
0.5,7,8.73,,2919,3.868,34.32,-118.45,108144.1
5.7864,25,8.65,1.919,1131,3.206,37.82,-121.37,373088.7
4.0602,30,5.457,0.524,3451,1.883,34.47,-117.82,179833.2
5.0729,11,8.401,1.833,2795,3.056,34.85,-117.81,252090.3
2.9142,52,7.293,1.134,1560,3.809,38.96,-122.24,159868.2
2.576,19,7.678,1.414,2011,4.156,34.07,-118.04,105320.3
3.97,5,2.954,0.5,1492,3.289,33.92,-118.21,197254.7
6.5559,36,7.293,2.046,38,5.485,33.81,-118.26,409513.7
3.1196,32,6.98,1.298,2211,1,37.79,-121.25,276718.0
5.2148,12,4.813,0.953,1920,4.122,33.93,-118.4,266680.6
