MedInc,HouseAge,AveRooms,AveBedrms,Population,Latitude,median_house_value
2.625,36.0,5.3355263157894735,1.105263157894737,514.0,37.95,0.892
4.733,36.0,5.239130434782608,0.9809782608695652,1008.0,34.1,2.337
2.8167,35.0,,1.0526315789473684,783.0,38.0,1.621
2.8355,45.0,5.105978260869565,1.1127717391304348,1573.0,37.73,2.454
5.0953,39.0,,0.9861111111111112,1282.0,34.2,2.074
1.9405,36.0,4.925490196078432,1.0588235294117647,910.0,36.86,1.454
5.136,15.0,9.466666666666667,1.3777777777777778,133.0,33.52,4.474
3.053,50.0,5.12,1.5155555555555555,519.0,33.52,5.00001
1.5603,41.0,2.70926517571885,1.0319488817891374,1428.0,34.02,1.096
2.9706,17.0,5.2902892561983474,1.0506198347107438,1470.0,37.4,0.813
4.7328,45.0,5.573913043478261,1.0847826086956522,1056.0,37.78,3.511
4.2656,34.0,5.054945054945055,0.9428571428571428,1447.0,34.22,2.337
2.9191,52.0,4.742547425474255,1.008130081300813,764.0,38.56,1.118
5.7457,24.0,6.732793522267206,1.0182186234817814,1616.0,33.89,2.406
2.0673,27.0,4.039660056657223,1.0311614730878187,792.0,32.76,1.188
2.697,27.0,3.126746506986028,1.0189620758483033,2242.0,34.01,4.125
2.3783,28.0,5.023684210526316,1.0473684210526315,1140.0,37.68,0.814
4.0125,28.0,5.154676258992806,0.9712230215827338,1001.0,34.97,1.301
7.0895,18.0,6.939130434782609,1.0543478260869565,3486.0,37.91,3.069
4.8977,41.0,5.957792207792208,1.0097402597402598,683.0,34.28,3.582
2.5701,52.0,3.4194630872483223,1.0553691275167785,2007.0,37.76,2.667
2.2902,43.0,3.258964143426295,1.0079681274900398,1855.0,34.03,1.524
1.9907,17.0,4.341653666146646,1.0577223088923557,2566.0,35.2,0.512
5.6856,9.0,9.275720164609053,1.646090534979424,694.0,39.36,1.381
3.6827,34.0,5.197508896797153,1.1405693950177935,1541.0,34.12,2.641
3.1711,35.0,6.147388059701493,1.044776119402985,1454.0,38.59,1.019
2.9625,17.0,5.712887438825448,1.068515497553018,1763.0,39.66,1.012
1.5464,17.0,4.5,0.9935064935064936,2022.0,36.31,0.541
4.4236,38.0,5.78140703517588,1.0452261306532664,1079.0,34.1,2.336
4.108,36.0,5.405144694533762,1.0578778135048232,964.0,33.95,1.812
2.5875,28.0,4.236734693877551,1.0285714285714285,912.0,33.92,1.612
2.7778,19.0,4.616847826086956,,994.0,36.81,0.797
2.5893,8.0,28.615384615384617,5.487179487179487,27.0,39.75,0.83
2.1903,52.0,4.27683615819209,0.9830508474576272,767.0,38.62,1.6
3.0472,26.0,3.5754527162977867,1.1167002012072436,1966.0,37.47,2.11
4.6726,6.0,5.7303030303030305,1.0333333333333334,969.0,36.81,1.078
3.1768,31.0,,,1441.0,38.11,1.31
2.2788,38.0,4.429203539823009,1.008849557522124,597.0,38.67,0.734
2.9469,4.0,4.297247706422018,1.091743119266055,1518.0,33.19,2.161
4.9355,34.0,6.5625,1.0791666666666666,1392.0,34.25,3.369
5.766,30.0,6.608823529411764,0.9808823529411764,1883.0,32.64,1.861
2.9832,22.0,4.718978102189781,1.0197080291970804,2694.0,34.18,1.656
5.6392,18.0,,1.0348162475822051,3010.0,34.26,2.715
2.4348,44.0,4.868263473053892,1.1467065868263473,1063.0,34.07,2.207
2.4732,26.0,4.35673624288425,1.081593927893738,1415.0,33.86,1.658
2.4701,28.0,3.622262773722628,1.062043795620438,1092.0,34.44,2.909
4.3187,32.0,4.1708542713567835,0.9195979899497487,928.0,33.91,2.697
2.2788,47.0,3.7745664739884393,1.130057803468208,1499.0,34.04,1.396
4.2237,25.0,5.995226730310263,1.0513126491646778,1994.0,38.27,2.623
6.7921,25.0,6.984547461368654,0.9911699779249448,1517.0,33.6,2.66
3.6486,25.0,3.699513381995134,1.0723844282238444,2616.0,34.16,2.469
3.1635,34.0,5.767650834403081,1.0757381258023107,2335.0,34.52,0.743
2.5068,26.0,4.2406931964056485,1.0673940949935816,4066.0,33.86,1.563
4.5714,33.0,5.649289099526066,1.009478672985782,1066.0,32.8,0.686
3.3864,25.0,4.436055469953775,1.1140215716486903,2077.0,34.21,1.974
2.5872,15.0,5.041450777202073,1.0224525043177892,1130.0,33.23,1.556
2.1,41.0,3.4976076555023923,,2751.0,34.19,1.716
3.2171,16.0,4.871980676328502,1.0217391304347827,1177.0,39.44,1.162
2.2402,25.0,,,2203.0,38.7,0.895
4.0742,46.0,5.305439330543933,1.00418410041841,661.0,34.17,2.291
6.0224,38.0,5.1,1.2,41.0,33.8,1.875
2.2813,29.0,4.476340694006309,1.1451104100946372,1696.0,34.0,1.013
3.3958,39.0,5.0062111801242235,1.062111801242236,912.0,37.77,1.419
11.0124,19.0,8.291079812206572,0.9436619718309859,1200.0,33.76,5.00001
4.071,2.0,6.28139534883721,1.2325581395348837,1368.0,34.55,1.374
4.875,19.0,6.024137931034483,1.0034482758620689,848.0,32.8,1.872
2.8167,45.0,3.978165938864629,1.039301310043668,1005.0,34.04,1.14
2.256,26.0,4.404145077720207,1.0958549222797926,909.0,36.79,0.645
2.3542,40.0,3.8504273504273505,1.0598290598290598,2096.0,33.9,0.979
2.8528,25.0,3.8976744186046512,1.036046511627907,1815.0,34.17,4.25
2.3333,27.0,3.9377593360995853,0.9294605809128631,888.0,37.42,0.728
2.2017,32.0,,1.1090909090909091,1731.0,32.75,2.083
2.0179,11.0,4.140608604407135,,2814.0,37.36,0.873
4.556,23.0,6.115591397849462,1.0241935483870968,2301.0,34.27,2.053
2.983,45.0,5.633064516129032,1.0201612903225807,555.0,37.72,2.027
3.6875,34.0,4.419664268585132,1.0599520383693046,861.0,34.18,2.464
3.835,43.0,4.769087523277467,1.0130353817504656,1063.0,33.84,4.186
5.5224,23.0,5.3669950738916254,1.041871921182266,1338.0,34.19,2.407
0.7473,22.0,3.116650987770461,1.1618062088428975,2381.0,34.03,1.688
3.3889,10.0,4.472602739726027,,407.0,38.89,1.108
4.7813,35.0,6.470162748643761,1.0524412296564196,1568.0,32.79,1.886
4.0153,25.0,4.276595744680851,1.0653495440729484,1139.0,34.05,4.6
5.8491,36.0,6.671949286846276,1.0412044374009508,1911.0,33.79,2.473
2.375,35.0,4.440329218106996,1.0164609053497942,1055.0,33.9,0.936
4.1705,17.0,4.6669902912621355,1.0305825242718447,4684.0,38.09,2.098
7.3445,13.0,7.8977272727272725,1.106060606060606,852.0,37.89,3.667
2.1597,23.0,4.137345679012346,1.1064814814814814,1279.0,32.76,1.161
4.3816,35.0,6.126984126984127,1.0238095238095237,849.0,36.32,0.886
3.79,52.0,4.643867924528302,0.9174528301886793,877.0,32.74,1.634
3.9519,50.0,5.439330543933054,1.100418410041841,691.0,38.01,1.265
2.935,52.0,,1.1270983213429258,1211.0,34.09,1.894
4.7027,14.0,,1.037037037037037,2698.0,37.32,2.276
2.5985,34.0,4.110157367668097,1.0271816881258942,2758.0,34.06,1.686
8.8342,52.0,8.345205479452055,1.021917808219178,975.0,37.89,4.305
4.9044,24.0,,1.1653543307086613,513.0,33.72,4.85
5.0371,25.0,6.385656292286874,1.0081190798376185,1857.0,38.5,1.802
2.0417,24.0,6.979910714285714,1.5044642857142858,1015.0,39.08,0.788
4.9957,22.0,5.718222222222222,1.0435555555555556,2703.0,33.75,2.964
2.8942,39.0,4.333333333333333,1.0909090909090908,113.0,34.19,2.75
2.234,19.0,5.988352745424293,1.156405990016639,1572.0,41.86,0.586
3.8235,10.0,5.34593837535014,1.0070028011204482,1686.0,36.32,0.946
1.9464,36.0,,1.0530612244897959,639.0,37.12,0.57
4.6806,41.0,5.211805555555555,1.0381944444444444,629.0,37.68,2.094
6.5372,52.0,7.166666666666667,1.1124031007751938,695.0,37.75,3.94
3.0252,20.0,,1.0342465753424657,2898.0,33.86,1.78
3.9844,18.0,5.54983388704319,1.0149501661129567,1952.0,32.74,2.153
5.1365,14.0,6.7549194991055455,1.037567084078712,1877.0,33.82,2.15
2.8542,44.0,5.269230769230769,1.0631868131868132,1041.0,33.99,1.265
4.2708,35.0,5.3562753036437245,0.951417004048583,807.0,33.94,1.748
6.4211,17.0,7.0353535353535355,1.0,1228.0,33.03,2.207
5.4635,37.0,5.8108108108108105,1.0115830115830116,798.0,34.06,2.021
3.6304,22.0,4.850409836065574,1.0081967213114753,1333.0,34.42,3.122
3.7887,52.0,4.926724137931035,1.110632183908046,1584.0,37.78,5.00001
4.4233,14.0,5.191993464052287,1.0449346405228759,3704.0,37.02,2.286
1.6467,34.0,4.078431372549019,1.0823529411764705,1083.0,33.96,0.909
2.6803,52.0,4.278688524590164,0.9979508196721312,1082.0,37.76,4.9
7.0592,16.0,,1.0023364485981308,1663.0,33.87,2.882
8.7382,34.0,6.4421487603305785,1.0041322314049588,600.0,37.36,5.00001
3.0179,7.0,5.7924528301886795,1.0919811320754718,1350.0,36.71,0.916
3.338,19.0,5.07981220657277,0.9624413145539906,1309.0,36.8,1.853
1.4722,52.0,3.2254901960784315,1.0686274509803921,291.0,34.42,3.5
6.4588,35.0,5.586605080831409,0.9838337182448037,949.0,37.41,4.371
2.4054,38.0,6.100719424460432,1.0827338129496402,985.0,37.11,1.125
5.4216,25.0,6.428308823529412,0.9430147058823529,1839.0,33.81,2.63
4.6357,4.0,6.042193026781202,,10877.0,33.15,2.449
2.0,17.0,7.289156626506024,1.9156626506024097,416.0,37.31,0.875
1.5781,32.0,4.006578947368421,1.125,1292.0,34.0,1.029
3.4028,18.0,5.845132743362832,1.2035398230088497,754.0,35.55,0.675
2.2188,52.0,3.6040100250626566,1.1829573934837092,1018.0,33.74,3.067
4.3594,14.0,5.041095890410959,0.9965753424657534,876.0,37.52,3.66
5.021,23.0,5.4485981308411215,0.9906542056074766,1574.0,33.75,2.522
4.1118,35.0,6.208333333333333,1.0787037037037037,898.0,34.03,1.573
1.2841,43.0,4.644230769230769,1.2259615384615385,857.0,32.71,0.72
3.1679,21.0,5.080962800875273,1.1334792122538293,662.0,33.62,1.1
4.5417,21.0,5.9035087719298245,1.0460526315789473,1330.0,34.25,2.389
6.235,44.0,5.92972972972973,1.0054054054054054,513.0,33.97,3.614
2.1964,30.0,3.0766233766233766,0.977922077922078,3259.0,33.98,1.585
2.75,39.0,4.109489051094891,,682.0,34.04,1.5
2.865,38.0,4.55614973262032,0.9278074866310161,1384.0,34.29,1.555
1.4665,16.0,4.340106007067138,,2518.0,33.96,0.611
2.5677,16.0,4.326133909287257,1.1511879049676026,5110.0,34.07,1.289
7.5196,31.0,7.358600583090379,1.0174927113702623,1003.0,34.08,3.809
7.9125,12.0,6.845238095238095,0.9761904761904762,2042.0,33.7,3.449
3.6058,46.0,5.234649122807017,1.0701754385964912,1181.0,34.14,2.579
5.9378,15.0,7.572769953051643,0.9530516431924883,673.0,37.35,2.122
4.1111,36.0,6.103286384976526,1.0352112676056338,1246.0,34.19,2.156
4.0549,34.0,5.758853288364249,1.0252951096121417,1464.0,32.76,2.237
5.482,49.0,6.131696428571429,1.0535714285714286,1281.0,37.75,3.663
3.8456,51.0,4.667315175097277,1.0038910505836576,1160.0,33.83,3.189
2.6858,13.0,4.350364963503649,0.9854014598540146,1652.0,36.58,0.624
3.0057,32.0,4.212686567164179,0.9365671641791045,1378.0,34.05,0.969
1.869,43.0,5.966911764705882,1.0808823529411764,781.0,36.76,0.56
3.9712,16.0,4.624539877300614,1.0294478527607362,1986.0,37.95,1.875
4.5594,33.0,5.351548269581056,1.0218579234972678,1519.0,34.07,2.042
4.7731,34.0,5.837777777777778,1.04,1409.0,33.78,1.992
2.0077,20.0,4.305194805194805,1.0995670995670996,1452.0,32.75,1.183
2.7583,42.0,5.080536912751678,1.0246085011185682,1124.0,35.42,0.649
4.1538,36.0,5.764150943396227,1.0188679245283019,1199.0,33.84,2.188
4.125,33.0,4.0,0.5454545454545454,23.0,38.0,2.125
5.2713,7.0,6.8321167883211675,1.0894160583941606,4218.0,33.94,2.165
2.5083,41.0,4.268965517241379,0.9517241379310345,636.0,33.93,1.181
4.2813,52.0,5.4106280193236715,1.0434782608695652,1232.0,37.88,2.849
3.0212,31.0,3.984126984126984,,3176.0,34.03,2.082
4.0893,35.0,5.26775956284153,0.9836065573770492,1056.0,33.94,2.157
5.5798,33.0,6.4185733512786,1.0592193808882908,2019.0,34.17,3.382
1.7945,50.0,2.6533333333333333,0.9777777777777777,2183.0,34.08,1.667
2.25,32.0,4.851612903225806,1.0258064516129033,524.0,36.11,0.5
1.9152,44.0,2.7183811129848228,1.0961214165261384,2028.0,34.05,1.156
1.3348,21.0,4.176848874598071,1.0868167202572347,1494.0,39.12,2.25
5.2838,36.0,5.9,1.06,664.0,37.64,1.726
5.3428,14.0,6.326007326007326,1.1062271062271063,1116.0,37.59,2.436
2.1845,34.0,4.9879518072289155,0.9879518072289156,1110.0,37.23,0.599
2.8403,16.0,6.428571428571429,1.2007722007722008,1301.0,38.02,1.323
3.287,31.0,,1.050520059435364,1632.0,34.04,3.481
2.5769,30.0,6.3175675675675675,1.195945945945946,649.0,32.69,0.944
2.2308,34.0,4.235690235690235,1.0286195286195285,1317.0,32.75,1.259
3.9722,27.0,4.619271445358402,1.0963572267920094,1877.0,37.55,3.541
0.4999,23.0,6.054545454545455,1.6727272727272726,198.0,36.09,1.0
4.2672,47.0,4.650793650793651,0.9714285714285714,1119.0,37.72,2.194
2.1602,14.0,4.917627677100494,1.0,2250.0,36.34,0.652
3.9688,30.0,6.60431654676259,1.1079136690647482,469.0,37.61,1.75
2.4286,32.0,5.029824561403509,1.0789473684210527,1705.0,36.77,0.681
2.2596,40.0,3.6346604215456675,0.9812646370023419,1919.0,34.01,1.375
3.3375,32.0,4.053864168618267,0.9672131147540983,1569.0,32.79,1.543
3.668,19.0,4.544658493870402,1.0875656742556918,1728.0,33.47,2.438
4.9196,27.0,6.184782608695652,0.9065217391304348,1219.0,36.73,1.179
2.5172,24.0,5.367875647668394,1.0699481865284974,2127.0,34.03,0.96
3.8125,14.0,5.941838649155723,,1787.0,38.65,0.926
1.7542,31.0,3.1597222222222223,1.1430555555555555,2189.0,34.08,2.875
3.4605,49.0,4.044155844155844,1.051948051948052,1173.0,37.72,2.65
3.2426,26.0,5.489830508474577,1.0966101694915253,1529.0,34.24,2.369
2.5012,42.0,4.183729433272394,1.0475319926873858,2749.0,33.8,1.975
4.4567,27.0,5.626288659793815,0.9381443298969072,1458.0,34.17,1.911
7.8496,39.0,6.528888888888889,1.0044444444444445,553.0,33.63,4.908
3.5179,12.0,5.021396396396397,1.045045045045045,2471.0,33.04,2.527
4.4699,16.0,3.7302904564315353,1.1106500691562933,1369.0,37.36,3.674
4.5694,27.0,4.706214689265536,1.0310734463276836,995.0,33.95,2.043
8.003,18.0,7.812339331619537,1.069408740359897,3280.0,37.82,3.513
4.7176,35.0,6.703324808184143,1.0,1074.0,34.08,1.664
4.7813,30.0,5.95249406175772,0.9358669833729216,1255.0,33.94,1.982
5.606,32.0,5.365155131264917,1.097852028639618,1191.0,37.31,2.889
2.8462,39.0,3.861035422343324,0.9782016348773842,1450.0,33.79,1.72
2.8783,5.0,5.821086261980831,,798.0,33.95,1.052
4.1597,16.0,5.214592274678112,0.9570815450643777,787.0,38.47,0.959
15.0,39.0,9.29375,1.01875,414.0,34.05,5.00001
3.7188,37.0,6.237226277372263,1.0145985401459854,744.0,34.16,1.166
2.1413,38.0,4.679245283018868,1.0377358490566038,261.0,34.62,0.969
3.0833,34.0,5.764383561643836,1.063013698630137,1578.0,34.11,0.884
4.075,49.0,5.361305361305361,,1061.0,38.23,2.288
2.0062,19.0,5.65,1.171875,758.0,38.51,0.92
2.1139,40.0,4.34319526627219,1.0828402366863905,2024.0,34.07,0.709
4.6477,27.0,6.098214285714286,1.2410714285714286,1230.0,36.92,2.659
1.9432,39.0,5.565625,1.046875,841.0,34.14,0.89
3.2845,45.0,4.551546391752577,1.041237113402062,401.0,38.44,1.783
3.1838,32.0,5.689655172413793,1.1310344827586207,1124.0,34.09,0.986
4.9167,16.0,,1.0485312899106003,1505.0,34.13,2.511
3.3942,32.0,4.515037593984962,1.0357142857142858,1020.0,32.81,3.074
4.2037,23.0,6.1461318051575935,0.9742120343839542,1022.0,38.67,1.254
2.8058,47.0,3.5497237569060776,1.0814917127071824,3107.0,37.48,2.295
2.0819,10.0,3.9105839416058394,1.082116788321168,1167.0,34.65,1.033
6.822,41.0,4.982352941176471,1.0176470588235293,344.0,33.87,5.00001
3.6065,52.0,4.736964078794902,1.0961761297798378,1906.0,37.8,4.333
4.2448,10.0,4.823889739663094,1.1960183767228179,1582.0,34.26,1.573
4.9219,35.0,6.15406162464986,0.988795518207283,945.0,32.82,1.929
4.8981,18.0,5.845470692717584,1.0426287744227354,1640.0,33.81,1.663
2.375,36.0,,0.7777777777777778,21.0,34.03,1.75
6.617,14.0,7.108481262327416,,3097.0,33.08,2.852
4.4821,5.0,6.05506329113924,1.0943037974683545,4620.0,38.1,2.1
3.6905,21.0,4.058917197452229,1.036624203821656,1624.0,34.2,1.798
4.1719,5.0,6.625,,631.0,34.58,1.466
2.0885,36.0,3.964391691394659,1.0014836795252227,2883.0,34.05,1.428
5.5261,10.0,7.037225042301184,1.0287648054145515,2089.0,35.42,1.32
2.6458,41.0,4.710743801652892,1.115702479338843,466.0,33.93,0.913
2.8631,30.0,4.42713567839196,1.0452261306532664,940.0,34.16,1.886
1.6821,18.0,,1.0864745011086474,859.0,40.57,0.694
1.8783,45.0,4.445333333333333,1.064,928.0,34.02,1.182
8.1124,52.0,6.6231884057971016,1.0193236714975846,1153.0,34.11,5.00001
6.3303,14.0,6.028358208955224,0.9985074626865672,1905.0,33.92,3.03
2.0258,20.0,4.599231754161331,1.1113956466069141,1865.0,40.56,0.648
1.4464,30.0,,1.1064638783269962,1280.0,34.01,1.102
8.2159,22.0,7.599656357388316,1.0687285223367697,1995.0,34.3,3.762
1.8261,52.0,4.251612903225807,0.9935483870967742,1368.0,37.95,0.546
3.5114,41.0,4.401273885350318,1.124203821656051,704.0,37.68,1.975
4.475,33.0,5.170731707317073,1.016260162601626,1035.0,34.16,3.148
5.8964,36.0,5.932489451476793,0.9451476793248945,598.0,37.51,4.148
3.3608,5.0,5.00972590627763,1.0415561450044208,3139.0,38.47,1.089
5.1265,40.0,6.498194945848375,1.0469314079422383,761.0,38.02,1.961
6.4469,29.0,5.536585365853658,1.0975609756097562,112.0,36.99,2.714
3.25,52.0,4.324561403508772,1.0719298245614035,1433.0,34.13,2.142
2.234,32.0,4.892271662763466,1.0960187353629978,1765.0,36.87,0.617
6.0783,23.0,5.633986928104576,0.8660130718954249,934.0,34.27,2.292
3.0958,25.0,4.310618066561014,1.0776545166402536,1559.0,33.74,1.378
2.3851,25.0,5.001733102253033,1.0103986135181975,2327.0,33.92,1.137
5.069,33.0,,1.006993006993007,1197.0,33.68,2.642
3.2813,45.0,5.934579439252336,1.1308411214953271,598.0,36.8,1.054
3.1513,35.0,4.756207674943567,1.0835214446952597,2241.0,33.93,1.5
2.1553,37.0,,1.081570996978852,1341.0,36.98,2.554
2.5792,16.0,4.9147058823529415,1.0411764705882354,935.0,35.12,1.638
1.8431,25.0,,1.0168776371308017,1976.0,36.95,0.539
2.8558,13.0,4.562314540059347,0.9347181008902077,1843.0,33.25,0.971
6.8443,30.0,5.491582491582491,1.0437710437710437,665.0,33.0,4.925
5.8625,8.0,6.724310776942356,1.0426065162907268,1154.0,35.64,1.094
5.1508,15.0,5.3171728971962615,1.078855140186916,3333.0,33.77,3.673
3.0139,34.0,5.402631578947369,1.0052631578947369,1258.0,33.92,1.547
