col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020
Electronics,East,Online,456.39,522.17,0.2142,178.23,546.47,5.884,0.4582,0,56,3.0,0,1,0,6.431,2.802,5.944,2.194
Clothing,North,Partner,46.69,47.99,0.1443,171.73,494.43,10.976,0.2435,0,74,3.0,0,1,0,6.034,2.802,5.395,2.13
Home,West,Online,99.47,129.23,0.1642,188.88,582.0,9.158,0.081,0,83,8.0,1,1,0,5.318,2.974,4.017,1.609
Sports,South,Online,73.95,61.9,0.1155,126.36,436.98,6.795,0.115,0,26,2.0,0,0,0,5.641,3.423,3.495,1.114
Food,South,Retail,18.67,27.11,0.0578,143.61,471.82,7.642,0.1358,0,64,7.0,0,1,0,5.26,2.91,3.881,1.395
Sports,South,Online,61.28,69.64,0.3511,147.31,471.04,8.028,0.1577,0,68,2.0,1,0,0,6.717,2.652,5.943,2.37
Clothing,North,Online,48.39,50.4,0.323,129.2,451.32,6.885,0.3198,0,47,4.0,0,0,0,6.032,2.777,4.819,1.821
Electronics,West,Partner,197.33,178.18,0.2494,153.78,453.1,6.151,0.1146,0,40,5.0,0,0,0,6.121,2.475,4.747,1.661
Electronics,East,Online,299.6,350.61,0.2881,79.19,254.33,6.441,0.3971,0,30,4.0,0,1,1,7.017,2.363,6.316,2.47
Clothing,West,Online,58.11,47.85,0.1514,111.7,404.71,8.091,0.3507,0,65,3.0,0,0,0,5.821,3.25,4.383,1.646
Home,West,Online,79.27,75.7,0.2462,175.51,494.47,7.789,0.2065,0,75,1.0,0,1,0,6.37,2.925,5.38,2.107
Home,West,Online,69.0,79.4,0.1475,187.66,534.67,4.772,0.4439,0,31,5.0,0,0,0,7.041,2.81,7.114,2.863
Home,South,Online,70.36,48.79,0.1418,118.48,449.34,5.798,0.4883,0,79,5.0,0,0,0,7.117,3.439,6.673,2.582
Clothing,East,Retail,41.38,49.49,0.0797,198.17,599.85,6.871,0.3255,0,38,1.0,0,0,0,4.281,2.784,2.463,1.038
Books,North,Retail,24.68,26.52,0.1256,210.56,647.79,11.902,0.4415,0,33,6.0,0,1,0,5.468,2.797,3.872,1.755
Electronics,South,Partner,311.06,295.08,0.0738,240.01,731.93,4.353,0.2659,0,79,4.0,0,1,0,7.17,3.34,6.53,2.616
Clothing,East,Partner,44.8,53.98,0.1789,167.0,533.75,4.807,0.2577,0,74,5.0,0,1,0,6.371,3.56,5.635,2.166
Food,East,Retail,20.04,26.93,0.1047,182.29,544.63,8.227,0.4625,0,56,3.0,1,0,0,7.175,2.655,5.884,2.114
Electronics,South,Online,319.27,408.12,0.0249,169.96,538.45,8.687,0.4158,0,45,2.0,0,0,0,6.574,2.955,5.927,2.352
Sports,West,Online,67.66,100.55,0.1596,65.27,223.41,4.621,0.4562,0,52,9.0,0,0,0,7.094,3.342,6.715,2.544
Books,North,Retail,32.31,30.81,0.0525,167.7,607.23,4.394,0.1918,0,58,5.0,1,1,0,6.559,3.135,4.935,1.811
Clothing,South,Online,37.79,49.77,0.2484,166.47,485.48,6.024,0.3122,0,40,4.0,0,0,0,5.225,3.522,3.386,1.192
Clothing,East,Online,66.89,76.49,0.3084,183.19,465.7,16.43,0.2634,0,78,5.0,1,1,0,5.685,2.705,4.985,1.809
Electronics,North,Online,231.47,389.03,0.0943,254.63,773.99,8.066,0.2707,0,47,5.0,0,1,0,7.104,3.282,6.314,2.557
Clothing,West,Retail,56.91,74.37,0.0208,115.66,415.9,7.454,0.2679,0,72,1.0,0,0,0,4.79,2.897,3.726,1.487
Home,South,Partner,67.11,74.97,0.1991,144.58,508.36,7.326,0.1563,0,82,3.0,1,1,0,4.741,2.869,3.244,1.272
Clothing,South,Retail,53.17,74.97,0.0658,185.07,590.95,6.801,0.152,0,46,3.0,1,0,0,5.047,2.964,3.86,1.612
Books,East,Online,26.75,33.28,0.0656,233.45,673.91,17.178,0.1087,0,70,2.0,0,1,1,4.796,3.005,3.12,1.152
Home,North,Online,82.04,109.61,0.1122,165.44,489.04,9.819,0.3624,0,34,4.0,0,0,0,5.864,2.766,4.436,1.533
Sports,West,Retail,81.13,95.42,0.3209,116.23,327.06,4.122,0.3743,0,44,2.0,0,1,1,5.739,3.248,4.952,1.984
Books,East,Retail,20.17,27.64,0.074,127.39,394.3,2.396,0.4186,0,40,2.0,0,0,0,5.871,2.627,5.056,1.469
Sports,North,Retail,75.05,111.11,0.1262,173.5,647.6,6.976,0.2301,0,62,1.0,0,0,0,6.349,3.273,5.495,1.94
Electronics,North,Partner,322.99,219.96,0.0697,220.52,669.41,7.603,0.4422,0,28,2.0,0,1,0,5.142,2.628,4.139,1.549
Home,South,Online,91.91,125.59,0.1789,188.53,530.84,8.28,0.4444,1,51,4.0,0,1,0,5.201,2.622,3.747,1.454
Electronics,South,Online,255.51,298.94,0.1901,237.61,727.84,7.438,0.45,0,39,2.0,0,0,0,6.252,3.271,5.652,2.047
Electronics,West,Retail,338.94,450.9,0.1788,158.2,476.33,4.713,0.5054,1,43,6.0,0,0,1,5.517,3.142,4.12,1.544
Electronics,West,Partner,343.68,348.32,0.109,197.89,628.57,5.681,0.7055,1,63,5.0,0,1,0,5.529,3.015,4.487,1.772
Home,West,Online,81.99,89.97,0.1578,111.9,312.32,15.816,0.1165,0,34,4.0,0,0,0,5.398,3.223,4.133,1.359
Food,South,Retail,15.16,15.72,0.0933,122.52,396.1,7.336,0.4537,0,34,4.0,0,1,1,5.175,3.179,3.986,1.7
Food,South,Retail,17.84,17.45,0.2251,123.88,412.31,3.725,0.3169,0,43,7.0,0,0,0,6.58,3.52,5.566,1.971
Food,West,Partner,12.73,12.07,0.173,150.16,489.25,3.599,0.2956,0,54,3.0,0,1,0,5.093,3.575,4.08,1.482
Electronics,North,Online,350.05,337.74,0.124,236.07,750.07,6.09,0.586,0,53,4.0,1,1,0,5.956,2.944,4.823,2.025
Clothing,North,Online,38.37,24.95,0.012,177.7,585.35,4.727,0.0442,0,80,3.0,0,0,0,6.054,2.699,5.483,2.007
Books,South,Retail,25.45,28.91,0.0578,120.21,425.0,7.37,0.2612,0,47,2.0,0,0,0,5.64,3.328,4.493,1.465
Home,West,Retail,82.38,91.08,0.168,204.06,626.8,6.517,0.351,0,25,1.0,0,0,0,5.687,3.423,4.83,1.557
Home,East,Partner,77.72,60.1,0.0163,125.52,422.81,7.579,0.2701,0,43,6.0,1,1,1,4.744,2.864,3.249,1.127
Sports,West,Retail,79.82,96.6,0.1069,181.05,534.85,9.835,0.1309,0,69,3.0,1,1,0,5.626,3.299,4.629,1.697
Electronics,North,Online,343.25,454.03,0.1148,38.2,232.55,6.675,0.4101,0,58,2.0,0,0,0,5.833,3.049,4.942,2.023
Clothing,South,Retail,54.11,76.72,0.0414,129.99,428.76,7.139,0.3043,0,34,3.0,0,0,0,6.65,3.31,6.341,2.409
Books,West,Online,26.42,35.1,0.0182,144.04,484.01,2.511,0.0628,0,44,5.0,1,1,1,6.398,2.142,5.549,2.106
Clothing,West,Online,32.59,39.86,0.1804,118.83,379.45,8.334,0.5117,1,58,2.0,0,0,0,6.077,3.092,5.362,2.098
Clothing,West,Retail,56.44,53.89,0.1363,202.27,636.21,11.205,0.2567,0,46,2.0,0,1,0,4.365,3.739,2.665,1.098
Sports,North,Online,70.05,96.42,0.0684,218.66,710.32,5.215,0.1635,0,37,3.0,0,0,0,6.052,3.367,4.667,1.681
Food,South,Retail,13.97,19.89,0.3457,167.25,487.15,8.987,0.2553,0,57,1.0,1,0,0,6.82,2.508,5.962,1.947
Sports,North,Retail,63.16,64.3,0.0928,260.2,835.28,4.652,0.4249,0,61,5.0,1,0,1,5.642,2.447,4.932,1.838
Sports,North,Retail,63.79,56.8,0.0297,193.67,630.51,6.606,0.4431,0,51,4.0,1,0,0,5.429,3.292,4.529,1.985
Electronics,West,Online,263.29,258.48,0.047,90.06,337.0,4.253,0.3328,0,55,7.0,0,0,0,6.298,3.176,5.541,2.025
Books,North,Retail,20.65,24.48,0.0198,186.63,587.52,6.372,0.1088,0,24,4.0,0,0,0,5.467,2.7,4.159,1.391
Sports,East,Online,66.5,80.29,0.2872,82.34,254.94,7.738,0.73,1,76,6.0,1,1,0,5.819,3.183,4.783,1.711
Food,West,Online,15.06,16.08,0.1611,123.58,414.29,35.715,0.1405,0,77,1.0,0,1,0,5.046,3.018,3.916,1.455
Food,South,Partner,20.0,25.14,0.2259,85.34,216.72,10.103,0.0639,0,31,5.0,0,0,0,4.495,3.454,3.253,0.854
Clothing,East,Retail,36.85,38.77,0.1703,224.92,670.09,10.052,0.291,0,36,4.0,0,0,0,5.765,2.752,5.219,2.152
Books,South,Retail,29.41,27.85,0.221,218.7,625.46,7.84,0.6569,1,56,4.0,0,0,0,5.266,3.334,4.567,1.531
Electronics,South,Online,309.87,310.05,0.2124,143.64,486.11,8.875,0.6875,1,69,1.0,1,0,0,7.719,2.928,6.808,2.493
Sports,East,Retail,56.11,65.94,0.0685,190.29,631.04,3.878,0.3788,0,40,2.0,0,0,0,5.222,2.404,3.4,1.166
Sports,North,Online,63.07,73.07,0.059,185.98,580.13,5.763,0.3381,0,59,4.0,1,1,1,6.051,3.299,4.87,1.59
Food,East,Online,22.55,32.65,0.0131,163.78,560.44,7.944,0.2598,0,56,4.0,0,1,1,6.772,2.972,6.519,2.627
Food,West,Retail,20.43,19.72,0.0873,161.61,525.56,5.06,0.1725,0,70,6.0,0,1,1,4.456,3.072,2.881,1.017
Electronics,South,Retail,291.1,401.24,0.0734,229.72,674.78,5.24,0.5989,1,45,2.0,0,0,0,4.851,2.985,3.844,1.716
Books,East,Retail,24.94,29.29,0.0187,166.84,475.21,8.122,0.3673,0,36,5.0,0,1,0,5.829,2.588,4.544,1.782
Home,North,Partner,80.53,118.6,0.0662,183.66,545.27,4.589,0.2492,0,71,5.0,1,0,0,6.224,3.042,4.905,1.924
Home,East,Online,66.06,97.02,0.155,241.27,682.47,6.019,0.3167,0,49,5.0,0,0,0,5.645,3.329,4.476,1.842
Clothing,West,Retail,35.35,36.57,0.2578,226.34,690.89,6.777,0.3581,0,29,4.0,0,0,0,5.689,3.603,4.969,1.879
Electronics,East,Partner,339.55,457.1,0.1238,184.44,584.95,8.498,0.4985,0,82,6.0,0,1,0,6.511,3.451,5.916,2.145
Electronics,North,Partner,232.19,275.69,0.0332,137.56,489.12,5.601,0.4868,1,83,3.0,0,0,0,7.115,2.557,6.633,2.307
Food,East,Online,16.36,20.44,0.078,164.75,506.59,5.998,0.2588,0,28,2.0,0,0,0,5.042,3.01,4.026,1.504
Electronics,East,Partner,299.94,329.48,0.1771,114.37,354.62,5.999,0.4928,0,45,5.0,0,1,0,4.568,3.273,2.765,1.121
Books,East,Online,27.58,35.67,0.1415,193.5,596.8,11.758,0.4399,0,58,3.0,0,0,0,4.988,3.469,3.942,1.54
Home,West,Retail,67.26,44.14,0.2712,191.86,561.74,7.746,0.4051,0,45,3.0,0,0,0,7.293,2.946,7.21,2.514
Sports,West,Online,73.0,94.25,0.1369,150.94,485.27,8.918,0.2152,0,76,2.0,0,0,0,5.897,3.212,5.105,1.567
Sports,South,Online,70.7,76.62,0.1985,180.35,529.22,4.929,0.2417,0,27,6.0,0,0,1,5.714,2.971,5.211,1.719
Food,North,Retail,20.91,17.05,0.1578,160.4,468.55,9.525,0.2731,0,60,6.0,1,0,0,4.983,3.154,3.119,0.97
Food,East,Online,23.75,27.93,0.207,229.17,683.16,6.656,0.2769,0,55,4.0,1,1,0,5.833,3.101,4.994,1.887
Clothing,South,Retail,58.08,79.38,0.4352,157.62,482.43,9.169,0.2882,0,49,3.0,0,1,1,5.513,3.097,4.925,1.687
Home,East,Retail,64.47,74.23,0.1227,150.85,474.29,8.445,0.4592,0,60,3.0,0,0,0,5.997,2.718,4.91,1.889
Food,East,Retail,20.58,25.49,0.2581,161.55,467.96,15.881,0.1392,0,82,3.0,0,1,1,5.307,2.139,3.79,1.847
Sports,East,Online,76.16,54.64,0.1481,165.57,584.39,6.605,0.3892,0,62,4.0,0,0,0,5.271,2.33,4.372,1.722
Food,East,Online,19.66,22.21,0.1271,253.34,800.15,13.009,0.2351,0,41,3.0,0,0,1,6.061,2.909,5.066,2.069
Books,West,Retail,26.91,19.15,0.2334,165.59,504.64,7.244,0.6867,1,26,1.0,0,0,0,6.48,2.539,5.979,2.217
Electronics,West,Online,316.06,320.69,0.2163,121.72,364.09,4.407,0.443,0,48,2.0,0,0,0,5.878,2.598,4.811,1.839
Books,North,Partner,28.44,37.17,0.1565,144.87,431.04,7.542,0.1321,0,54,4.0,0,0,0,5.429,3.022,4.269,1.847
Food,South,Retail,21.9,17.37,0.4731,151.65,424.61,4.15,0.2495,0,66,10.0,0,1,0,5.528,3.317,4.885,1.885
Clothing,East,Retail,33.95,37.74,0.0699,182.06,575.77,5.355,0.5035,0,34,2.0,0,0,0,6.127,2.885,4.797,1.971
Sports,North,Online,85.95,82.18,0.0917,131.86,388.76,5.013,0.2464,0,49,12.0,1,0,0,5.596,3.025,4.342,1.561
Electronics,West,Retail,237.66,1746.32,0.1375,214.98,657.01,7.087,0.3988,0,72,6.0,1,1,0,5.109,2.64,3.948,1.598
Books,North,Online,17.87,18.47,0.1424,158.11,499.22,5.105,0.2336,0,65,5.0,1,1,0,5.661,3.392,4.346,1.911
Sports,West,Online,26.99,30.13,0.1731,179.85,512.1,11.564,0.1661,0,64,4.0,1,0,0,6.615,3.298,5.597,2.145
Electronics,West,Online,207.83,324.51,0.2322,114.82,385.77,7.436,0.5769,0,60,7.0,0,1,0,6.021,2.73,5.381,1.892
Food,West,Retail,24.88,30.0,0.0562,208.76,682.02,7.119,0.2299,0,70,3.0,0,0,0,6.553,3.071,5.706,2.391
Home,South,Online,95.65,120.56,0.0675,150.58,497.75,12.045,0.6445,1,63,7.0,0,0,0,3.652,2.767,2.028,0.91
Sports,South,Online,76.07,93.32,0.2421,202.46,663.7,9.947,0.6692,1,78,4.0,1,1,0,3.849,3.419,2.066,0.711
Sports,South,Partner,55.83,45.85,0.1645,90.12,274.68,12.434,0.1788,0,47,3.0,0,1,0,6.923,2.539,5.737,2.273
Food,South,Retail,14.64,15.93,0.0941,200.77,590.73,9.433,0.2077,0,82,4.0,0,1,0,5.245,2.919,4.371,1.525
Sports,West,Online,49.65,50.62,0.07,142.6,437.13,4.481,0.2941,0,54,5.0,0,0,0,5.188,3.231,3.509,1.354
Clothing,South,Retail,56.78,61.29,0.0733,192.59,506.26,7.497,0.5325,0,80,7.0,1,1,0,5.187,2.932,4.134,1.895
Clothing,East,Online,47.66,40.13,0.1055,70.35,310.51,6.825,0.3597,0,42,5.0,0,0,0,5.329,3.102,3.818,1.367
Clothing,West,Online,46.1,46.16,0.2089,167.16,467.44,4.76,0.067,0,48,6.0,1,1,0,6.022,3.022,4.475,1.727
Clothing,East,Retail,51.3,54.42,0.2303,172.04,575.24,14.267,0.2331,0,58,4.0,0,0,0,6.877,3.134,6.2,2.399
Books,East,Partner,28.85,196.93,0.1422,226.49,716.04,8.508,0.0578,0,54,3.0,0,0,1,6.013,3.373,5.001,1.886
Home,West,Retail,60.77,72.95,0.0654,134.39,359.29,6.378,0.2091,0,80,2.0,1,1,0,6.117,3.358,5.083,1.964
Sports,South,Partner,57.99,69.79,0.1383,123.03,410.44,6.356,0.3417,0,65,6.0,1,1,0,4.985,2.898,3.517,1.127
Electronics,West,Online,172.31,256.5,0.2018,234.69,698.52,7.353,0.1032,0,82,3.0,1,1,0,5.135,2.836,3.74,1.218
Sports,North,Online,60.47,71.41,0.0561,122.02,412.19,8.71,0.2867,0,59,10.0,1,0,1,6.645,2.728,6.106,2.347
Books,East,Retail,24.23,19.89,0.3548,159.42,505.6,9.847,0.3742,0,53,3.0,0,1,0,7.575,3.264,7.258,2.91
Electronics,East,Online,261.28,276.23,0.1316,135.4,452.58,7.131,0.1212,0,48,1.0,0,0,0,5.459,2.76,4.849,1.76
Food,South,Partner,15.44,17.57,0.1831,170.29,501.18,5.311,0.2048,0,77,6.0,1,1,0,7.057,3.264,6.164,2.43
Food,South,Retail,21.6,22.83,0.1494,149.43,439.65,7.326,0.0521,0,64,3.0,1,0,1,6.6,3.072,5.155,2.064
Clothing,East,Retail,52.58,75.44,0.1288,153.31,533.45,5.435,0.1677,0,42,2.0,0,0,1,5.729,3.263,4.588,1.966
Electronics,South,Partner,320.76,309.66,0.293,214.53,605.12,8.357,0.6198,0,50,3.0,0,1,0,5.382,2.826,4.509,1.765
Clothing,East,Partner,51.87,68.53,0.113,130.13,502.48,5.86,0.2988,0,59,6.0,0,0,0,5.329,2.984,4.051,1.502
Sports,South,Retail,50.31,62.03,0.0809,136.02,405.46,10.823,0.1948,0,56,7.0,0,1,0,5.861,3.374,4.69,2.028
Sports,North,Online,71.3,85.61,0.1523,165.42,508.68,20.692,0.0731,0,52,3.0,1,1,0,6.227,3.816,5.397,2.233
Food,South,Online,14.31,18.02,0.3183,212.11,632.65,7.792,0.1611,0,67,5.0,0,1,0,6.233,3.017,5.148,1.797
Home,East,Partner,105.42,114.89,0.2627,142.45,482.63,10.587,0.2771,0,24,2.0,0,0,0,6.352,3.1,5.578,2.2
Sports,North,Retail,65.29,97.87,0.065,88.53,344.89,9.649,0.2225,0,53,5.0,1,1,1,6.12,3.391,5.236,1.978
Books,West,Online,25.44,34.71,0.0567,140.91,445.71,8.817,0.37,0,72,9.0,0,1,0,6.335,2.811,5.623,1.906
