sample_id,group,batch,GENE_000,GENE_001,GENE_002,GENE_003,GENE_004,GENE_005,GENE_006,GENE_007,GENE_008,GENE_009,GENE_010,GENE_011,GENE_012,GENE_013,GENE_014,GENE_015,GENE_016,GENE_017,GENE_018,GENE_019,GENE_020,GENE_021,GENE_022,GENE_023,GENE_024,GENE_025,GENE_026,GENE_027,GENE_028,GENE_029,GENE_030,GENE_031,GENE_032,GENE_033,GENE_034,GENE_035,GENE_036,GENE_037,GENE_038,GENE_039,GENE_040,GENE_041,GENE_042,GENE_043,GENE_044,GENE_045,GENE_046,GENE_047,GENE_048,GENE_049
S0011,Treatment,Batch1,4.21,38.22,8.1,34.22,39.48,230.61,18.45,29.51,63.54,9.67,7.02,13.55,122.92,12.23,16.42,4.7,18.19,29.19,131.4,1.44,7.87,3.07,1.8,6.65,49.3,9.41,2.04,9.76,54.96,19.12,31.85,22.51,69.32,37.11,9.68,16.39,46.85,4.24,8.06,15.67,59.64,11.67,16.95,17.81,44.0,8.19,14.09,10.25,29.61,24.93
S0012,Treatment,Batch3,31.76,68.42,15.3,63.67,130.31,23.26,16.43,163.2,15.94,7.5,17.29,31.48,26.86,14.61,18.25,22.4,35.63,23.9,85.36,24.64,17.2,50.85,7.1,21.7,6.61,9.63,4.84,36.87,27.64,12.96,16.85,33.4,54.65,6.05,2.57,21.8,7.91,19.05,9.36,73.92,3.35,16.12,21.69,11.4,14.34,52.65,41.36,19.42,43.24,4.74
S0013,Treatment,Batch2,39.54,59.85,12.76,13.19,39.4,52.59,38.46,57.76,65.41,51.31,18.37,10.3,11.96,21.0,21.33,12.99,6.08,8.17,10.52,14.98,11.92,28.13,17.47,4.33,16.13,24.85,19.9,36.77,35.99,53.96,6.19,123.99,6.97,36.78,7.09,53.55,215.43,34.2,196.62,6.21,5.51,94.14,8.57,27.88,71.45,288.95,30.06,11.87,41.04,38.7
S0014,Treatment,Batch1,90.58,74.38,8.66,4.28,54.33,46.59,50.33,151.92,137.29,21.34,44.86,22.72,9.13,48.6,76.7,7.63,12.38,4.35,11.01,10.8,12.28,26.5,18.8,4.25,3.03,12.18,4.08,34.19,44.8,22.01,12.76,33.24,14.2,27.26,9.61,37.59,58.28,3.54,110.1,34.67,20.47,25.44,27.32,74.86,56.97,33.31,6.04,39.43,7.32,21.51
S0015,Treatment,Batch2,11.67,10.2,5.39,29.56,19.33,46.42,45.49,16.97,194.91,34.21,20.5,28.7,1.73,9.77,43.69,5.25,20.22,25.85,30.65,3.57,9.32,14.77,11.84,87.91,30.57,16.86,33.84,14.49,6.97,152.09,40.24,25.16,19.22,50.41,6.96,9.96,12.61,27.61,8.09,11.16,45.32,68.94,18.93,25.97,13.82,1.74,9.26,61.17,79.98,8.5
S0016,Control,Batch2,27.14,37.32,26.42,7.85,6.76,22.76,23.0,166.69,12.3,60.41,10.83,6.02,27.85,15.5,34.31,52.34,51.72,86.24,21.0,18.68,24.63,183.51,31.3,45.42,6.71,49.13,17.52,42.21,50.06,52.64,18.89,40.98,6.75,29.6,63.69,15.62,16.15,24.05,6.71,27.44,4.56,13.21,30.79,5.41,49.08,24.15,3.61,19.64,11.32,32.36
S0017,Control,Batch3,41.96,30.64,9.93,11.29,11.54,16.67,49.72,69.03,10.81,17.95,1.66,27.71,4.49,11.55,8.22,11.35,13.29,10.25,25.21,37.34,13.92,26.62,3.33,6.3,51.05,18.82,14.34,19.27,53.87,12.64,2.43,28.87,52.58,6.0,21.44,3.45,34.63,11.63,18.07,13.23,28.71,3.57,20.47,32.8,7.03,83.08,23.62,17.94,24.75,10.86
S0018,Treatment,Batch2,23.22,23.68,158.79,71.32,46.11,40.19,75.53,29.16,69.38,29.63,29.5,10.68,50.9,15.81,13.4,334.65,34.87,33.26,15.74,51.65,9.09,12.78,4.89,13.46,43.45,48.86,10.67,2.71,7.01,14.73,20.2,20.2,11.43,27.3,202.55,7.81,32.97,24.03,30.24,15.27,45.66,6.52,8.77,11.12,83.06,5.61,,35.64,4.14,5.36
S0019,Treatment,Batch1,17.9,9.25,46.85,119.46,31.66,28.73,19.42,6.26,37.53,22.37,11.6,10.68,5.13,5.75,27.75,10.75,38.97,5.23,9.56,12.64,24.84,9.42,4.81,17.69,12.57,32.43,124.97,73.89,141.79,3.93,56.1,19.53,66.59,9.29,12.3,9.19,24.79,61.33,3.99,19.83,9.48,104.26,42.77,745.68,3.56,18.71,25.39,13.76,94.59,2.66
S0020,Control,Batch3,15.54,77.77,47.65,16.29,56.39,5.06,88.62,64.39,59.22,35.63,12.0,54.63,10.91,19.68,16.77,57.24,16.44,10.81,77.49,50.22,84.2,9.16,7.92,34.63,31.33,19.18,7.06,64.72,45.17,45.83,6.64,66.24,6.02,33.87,54.25,18.13,23.88,5.23,92.39,11.95,2.06,32.12,39.44,31.27,21.35,7.94,3.49,11.99,25.19,52.57
S0021,Treatment,Batch2,28.26,123.41,42.04,137.05,38.11,32.38,71.58,12.74,15.15,97.93,110.16,4.77,65.76,4.88,6.38,31.72,250.25,83.78,14.19,41.44,131.29,76.94,8.97,6.59,16.23,47.26,6.86,14.83,23.6,24.37,41.79,6.56,30.68,29.17,29.31,12.76,43.17,6.28,28.7,12.73,30.01,6.49,95.04,72.52,14.15,55.38,21.32,4.94,9.7,19.64
S0022,Control,Batch2,28.92,4.98,14.9,7.76,27.45,28.71,22.37,14.97,26.64,40.43,27.08,21.41,6.84,67.35,10.29,64.26,39.54,5.53,42.67,25.84,37.98,15.65,9.88,19.62,17.76,33.23,30.6,16.68,25.39,19.46,28.7,26.15,46.33,4.46,18.9,28.71,13.11,475.63,5.14,5.45,160.14,38.57,21.45,11.02,154.26,10.07,6.88,19.94,42.92,22.12
S0023,Treatment,Batch1,87.67,17.44,26.66,43.51,46.89,10.11,12.11,28.91,18.51,20.74,112.46,31.31,8.35,6.53,268.37,104.02,13.65,18.35,26.28,29.84,48.97,18.98,26.55,101.94,17.65,8.36,18.98,40.1,35.54,9.4,5.82,15.57,48.27,17.04,66.79,9.12,78.46,25.12,6.29,19.59,49.1,23.84,6.49,8.94,7.48,25.08,122.01,12.55,35.82,33.23
S0024,Control,Batch2,4.36,18.13,10.12,2.8,42.23,49.11,13.91,23.19,13.41,16.55,9.99,275.42,39.72,11.03,29.96,31.45,51.6,29.42,7.68,18.85,25.45,13.17,15.4,23.8,58.48,154.57,28.34,21.79,1.14,4.23,267.75,35.16,16.83,634.09,27.34,43.22,4.01,78.36,9.62,8.17,59.44,106.53,13.88,24.83,10.4,17.55,40.68,65.84,6.71,94.06
S0025,Treatment,Batch2,45.46,107.11,33.85,13.92,113.47,210.94,47.26,9.25,10.68,28.97,46.62,7.13,11.17,77.63,10.81,74.29,18.92,2.03,3.64,29.48,56.29,19.44,72.44,56.66,45.2,34.77,42.75,27.52,22.52,34.54,5.6,24.22,62.37,4.98,4.25,8.46,11.58,26.89,17.68,23.89,33.9,361.92,167.25,9.37,9.48,122.04,47.63,8.36,5.38,10.0
S0026,Treatment,Batch2,165.37,21.09,17.28,55.2,11.04,3.9,28.72,81.73,84.6,28.4,14.98,32.91,41.51,30.24,36.01,10.43,40.39,11.45,15.33,48.03,19.79,19.86,5.59,34.85,44.24,9.2,48.78,45.8,20.13,10.89,22.56,7.16,50.74,21.28,16.61,10.77,2.89,59.44,10.49,16.77,95.28,73.74,5.26,14.08,18.68,16.06,31.16,23.65,11.77,6.8
S0027,Treatment,Batch1,109.51,88.51,37.25,11.29,16.95,26.26,9.42,55.4,27.0,25.05,26.49,10.21,26.6,108.89,58.84,20.71,18.6,27.76,9.49,29.51,10.84,96.54,175.93,17.48,11.95,2.83,5.45,19.17,14.75,34.91,167.67,22.94,61.45,70.98,35.27,77.21,11.15,16.24,24.75,56.27,141.78,11.66,30.06,9.9,8.76,6.55,10.44,22.98,47.71,20.7
S0028,Treatment,Batch3,25.11,18.94,21.2,5.26,180.75,99.86,8.32,25.53,9.78,44.7,23.15,81.35,11.65,12.78,85.81,19.64,14.49,7.35,20.0,2.48,9.12,29.82,11.29,40.96,64.96,74.79,51.91,29.23,86.58,10.36,7.3,68.42,26.75,46.03,54.06,50.85,6.17,16.72,17.03,27.73,135.02,15.43,69.18,52.03,9.83,15.78,25.01,18.68,5.5,31.18
S0029,Treatment,Batch1,28.85,17.05,10.98,21.26,98.66,59.45,23.17,147.46,29.87,17.99,25.74,27.45,13.83,9.88,12.68,49.04,99.96,15.47,13.3,13.05,74.45,17.52,28.87,11.58,19.68,15.0,7.02,37.54,30.11,36.94,33.41,23.41,58.63,,7.21,9.07,58.5,100.2,23.39,8.68,18.39,3.53,37.39,20.1,18.07,4.75,111.55,29.46,10.69,15.62
S0030,Treatment,Batch3,5.26,36.68,57.26,71.8,17.67,22.97,46.45,68.36,763.59,31.45,15.97,36.31,10.95,8.94,37.09,17.05,12.32,17.18,27.41,6.28,88.09,45.19,51.05,39.67,116.18,10.45,13.35,16.09,29.58,18.45,22.56,58.43,6.31,48.19,20.54,114.52,16.58,59.27,4.61,16.55,89.05,55.24,10.03,15.81,16.06,5.89,30.96,28.57,37.3,22.42
S0031,Treatment,Batch2,17.82,97.42,49.46,111.62,93.45,75.22,12.24,13.97,12.42,26.8,21.45,2.55,40.9,3.18,9.36,15.25,9.14,4.75,20.02,2.76,42.82,18.11,16.69,15.29,106.09,19.94,36.96,7.98,17.69,9.8,13.71,39.86,26.85,14.82,13.85,5.45,5.54,67.01,12.62,11.49,30.35,5.33,65.56,20.22,175.14,11.19,12.65,35.88,18.3,18.94
S0032,Control,Batch2,6.46,5.48,10.79,62.96,4.93,37.76,23.48,24.84,33.46,1.51,33.47,13.97,62.83,50.11,40.24,32.74,13.42,50.3,21.62,8.48,6.72,30.57,10.85,6.42,15.28,9.58,42.5,3.1,16.61,43.44,64.67,3.32,4.61,11.5,23.5,6.49,21.31,141.96,11.29,86.49,15.2,20.71,19.68,34.16,75.18,74.24,45.17,3.26,63.24,36.61
S0033,Control,Batch3,43.35,30.5,6.59,29.96,13.46,11.18,7.19,109.27,22.11,53.17,16.3,5.26,47.31,36.53,31.49,32.23,13.45,404.63,5.49,6.71,31.69,3.79,17.62,18.02,7.74,111.03,15.79,134.18,93.48,39.81,10.14,5.7,9.5,12.54,5.82,9.9,21.08,21.24,12.63,27.82,10.0,3.9,6.68,16.21,7.25,3.01,7.86,12.69,12.08,60.92
S0034,Treatment,Batch3,57.46,316.44,53.56,27.88,144.47,306.82,6.32,7.68,77.58,25.22,6.04,36.82,8.55,106.38,8.06,14.37,38.54,16.26,11.86,19.16,36.96,22.3,10.42,11.91,36.85,9.48,11.29,20.24,45.98,91.99,22.5,15.65,39.74,107.72,7.81,11.65,40.52,14.27,2.39,6.19,27.45,57.08,16.23,2.81,12.59,23.55,12.15,11.44,32.39,47.74
S0035,Treatment,Batch3,24.38,65.85,67.39,81.19,43.39,60.51,79.5,127.25,30.03,261.33,27.05,122.67,3.4,74.07,10.54,16.84,18.52,17.25,263.68,42.86,14.2,150.06,64.28,8.53,2.89,67.05,8.51,29.32,67.62,33.31,18.34,71.83,6.35,168.79,39.44,7.16,75.34,57.41,9.72,53.9,15.45,37.29,15.21,4.47,11.43,17.33,4.41,32.16,32.84,68.27
S0036,Treatment,Batch2,152.63,52.09,17.18,26.31,6.61,89.51,11.12,76.99,37.17,75.06,71.98,6.46,18.73,18.66,7.09,66.6,22.34,23.43,29.07,3.55,715.47,7.43,10.64,3.8,88.2,2.84,20.25,6.61,7.51,91.05,13.27,8.02,37.43,28.98,61.9,18.82,27.96,6.83,10.7,3.78,26.08,20.87,46.12,26.5,14.44,17.32,7.25,7.18,7.56,9.88
S0037,Treatment,Batch1,4.59,238.87,166.6,206.16,37.15,158.68,9.87,17.49,10.1,16.55,24.69,3.86,85.51,7.87,30.16,34.15,68.96,46.81,1.83,25.29,22.55,1.51,18.65,13.23,13.84,26.21,4.72,18.69,39.61,8.12,9.37,116.07,6.98,,10.37,17.64,33.02,38.54,2.89,72.17,3.73,5.65,2.83,17.11,1.76,38.54,3.65,46.9,27.6,14.09
S0038,Control,Batch3,36.45,9.32,163.22,16.62,24.23,45.79,144.07,221.31,18.63,22.98,40.95,12.89,16.6,8.16,18.75,37.12,4.76,41.3,25.43,14.22,7.66,66.3,10.26,80.59,6.15,13.41,18.49,168.56,9.97,19.35,8.6,10.66,43.68,2.66,126.77,23.53,14.87,46.13,47.9,67.55,8.83,8.87,14.94,13.71,54.78,10.95,30.03,12.54,39.55,16.29
S0039,Treatment,Batch2,59.92,152.25,35.54,31.73,245.96,5.45,210.53,100.86,101.19,167.48,9.24,20.88,172.68,27.8,10.26,23.1,30.53,11.53,45.84,18.68,42.81,42.9,9.68,9.61,12.1,288.9,15.97,69.51,22.54,74.12,20.92,19.46,38.74,16.91,5.75,57.66,49.14,15.99,11.91,28.48,90.23,35.93,5.38,18.53,6.92,19.34,21.58,18.83,38.38,52.5
S0040,Treatment,Batch3,66.86,35.54,44.66,37.34,44.01,78.11,76.42,31.77,131.84,120.92,9.13,23.91,402.98,21.96,8.22,14.38,5.02,3.44,90.08,72.48,14.12,6.32,149.51,6.85,3.61,17.66,8.97,41.21,22.36,45.79,22.71,6.87,68.86,2.37,12.59,22.84,3.99,5.4,4.42,13.88,6.3,23.52,39.04,15.79,13.35,239.52,68.93,13.58,17.35,6.39
S0041,Treatment,Batch1,46.55,32.89,49.98,16.13,180.74,16.31,10.65,9.44,13.5,26.97,4.92,34.52,18.83,47.68,1.76,37.82,0.95,26.2,8.98,39.54,19.64,91.1,2.22,8.48,18.59,18.29,20.21,87.76,59.69,14.38,8.11,71.26,13.24,12.18,18.45,13.69,43.33,12.41,41.59,30.51,27.52,46.49,36.17,29.35,24.86,60.42,6.53,192.05,18.97,15.06
S0042,Treatment,Batch1,229.43,206.3,47.72,103.36,155.29,65.47,323.4,108.92,63.51,170.25,7.54,50.67,58.54,3.68,22.44,27.95,8.88,49.9,14.73,37.48,31.52,37.87,30.52,16.44,37.52,85.01,4.32,13.3,14.03,1.34,65.74,14.79,20.88,7.35,9.23,42.92,42.37,31.11,10.19,16.96,9.01,15.36,77.67,33.38,11.92,31.17,4.88,10.16,30.62,33.15
S0043,Control,Batch2,15.16,53.37,68.19,28.37,30.88,23.66,7.13,8.43,12.85,64.24,15.51,36.37,8.39,21.8,16.23,12.45,94.22,8.06,67.08,17.71,7.23,12.31,21.95,5.33,8.88,21.23,4.07,4.03,85.02,7.73,9.2,223.69,18.65,28.36,24.59,22.61,99.09,25.54,3.83,19.25,8.88,12.06,42.99,4.42,114.75,11.27,10.42,73.47,16.08,35.3
S0044,Treatment,Batch3,297.87,116.29,39.08,68.06,88.45,15.7,33.98,19.26,82.9,23.19,69.54,5.01,32.21,69.77,8.04,2.32,34.97,74.26,30.22,14.63,19.58,64.46,0.77,75.98,23.37,25.59,42.14,46.48,6.3,62.03,3.3,27.23,11.29,6.76,20.73,1.12,344.35,16.25,9.01,10.13,30.64,20.85,29.03,28.33,28.28,5.82,13.32,20.21,4.12,7.74
S0045,Control,Batch3,7.6,138.57,75.58,33.51,11.46,81.24,18.79,20.31,8.7,18.26,21.66,5.77,14.21,107.33,27.54,24.13,1.88,39.57,12.72,4.42,4.63,134.17,18.53,36.19,29.5,39.1,13.38,37.35,5.36,3.08,101.52,9.9,7.73,9.97,41.94,56.41,2.22,4.32,14.71,22.32,42.84,133.0,9.27,105.69,13.39,96.31,9.77,2.17,84.21,13.24
S0046,Control,Batch1,27.01,27.59,81.57,11.48,121.12,21.72,4.11,7.46,32.74,147.4,11.47,4.06,15.17,144.6,83.26,26.68,17.15,10.62,16.52,8.18,9.28,79.0,2.65,57.39,15.45,16.75,27.38,47.23,28.39,15.25,11.75,74.45,64.01,27.21,51.89,31.11,11.34,88.12,79.64,17.67,13.21,189.41,3.63,2.89,4.13,21.19,57.66,57.6,19.06,18.42
S0047,Control,Batch2,16.82,12.81,11.29,18.37,67.73,5.98,49.66,28.24,93.99,8.51,108.24,18.29,4.63,18.9,14.35,10.19,32.99,14.3,150.23,31.41,6.58,15.37,616.32,38.19,41.49,78.22,31.17,14.64,22.15,25.44,6.2,20.44,38.78,13.13,5.75,34.92,8.42,1.94,33.86,31.62,4.87,4.48,22.87,33.74,33.63,42.83,1.47,13.71,62.78,4.67
S0048,Treatment,Batch3,187.55,43.32,57.97,18.66,39.42,86.78,78.33,69.81,33.27,29.38,143.42,15.05,7.92,19.53,20.7,27.39,22.02,7.25,11.96,7.23,22.34,5.9,45.65,91.92,51.91,87.54,36.29,10.87,111.45,13.53,39.0,31.81,24.88,17.5,46.38,5.99,10.05,2.09,13.88,46.25,13.44,2.25,9.59,60.65,13.19,89.76,13.77,35.31,10.82,0.69
S0049,Control,Batch1,6.93,42.79,3.72,6.32,40.93,21.27,5.2,18.56,18.87,115.14,16.65,109.93,18.26,6.65,53.01,8.23,11.73,57.55,5.22,9.37,5.05,39.4,3.87,15.92,35.45,18.23,20.13,22.4,29.39,8.09,8.38,12.13,8.43,8.87,13.94,6.49,78.02,38.26,10.58,9.75,8.5,11.11,3.81,4.22,4.53,10.06,5.01,7.37,47.14,17.65
S0050,Control,Batch2,42.33,5.96,56.17,40.21,20.99,21.86,57.39,41.8,1.48,2.54,6.24,9.29,18.5,4.78,450.21,55.55,104.32,21.17,38.32,31.83,12.15,76.43,49.93,34.53,211.59,48.22,13.62,21.9,80.79,4.6,51.47,3.55,69.86,162.46,24.65,14.81,5.31,110.13,91.1,20.06,6.31,3.47,36.44,10.61,30.67,90.57,24.64,111.58,172.98,12.14
S0051,Treatment,Batch1,21.45,10.65,79.14,17.34,22.38,29.04,103.26,149.34,90.62,101.1,4.01,15.98,10.54,33.12,51.21,3.64,15.01,6.5,13.41,18.49,24.87,11.83,17.06,21.41,27.72,13.9,29.24,35.84,29.73,18.99,66.73,132.71,6.59,24.26,13.49,14.11,13.7,12.85,35.05,33.75,16.92,53.75,23.26,8.54,44.97,22.18,31.41,9.48,87.83,55.55
S0052,Control,Batch3,4.33,19.21,6.86,1.51,11.68,15.25,5.88,87.25,12.41,46.99,16.68,11.37,10.84,27.8,11.3,21.75,15.14,241.64,16.29,8.04,34.1,8.66,22.8,6.56,2.35,6.46,10.89,12.8,14.79,14.23,76.6,71.58,7.89,44.43,4.74,23.66,41.35,22.42,27.61,19.52,13.12,9.07,18.63,17.57,6.29,34.33,23.51,6.96,13.53,11.0
S0053,Treatment,Batch1,17.13,12.04,8.91,15.19,286.05,680.65,11.64,31.67,32.32,100.99,5.36,16.73,8.12,20.23,15.16,38.4,11.73,31.69,7.04,1.84,11.58,12.35,6.39,13.63,19.88,11.39,9.55,4.8,29.77,5.02,49.56,8.42,125.74,29.98,7.6,5.91,49.35,4.44,221.0,9.31,27.4,35.6,5.33,19.38,19.7,13.7,7.95,18.06,6.44,15.07
S0054,Treatment,Batch1,56.19,54.27,14.16,10.92,52.59,17.1,18.59,37.52,74.53,51.39,15.79,90.46,13.67,5.03,19.13,24.37,32.03,5.81,29.7,121.17,63.58,48.38,37.6,10.0,15.43,10.69,28.37,13.39,17.18,16.48,46.18,33.47,8.84,10.7,24.45,7.21,6.95,6.19,10.04,33.45,13.94,60.36,64.73,16.27,26.44,26.34,8.49,16.6,29.77,14.57
S0055,Treatment,Batch1,18.61,81.87,27.34,30.75,92.19,32.02,32.36,119.61,19.65,6.69,146.04,50.52,32.61,2.67,9.88,4.77,12.41,5.31,14.68,24.08,14.76,26.4,3.0,233.54,91.15,12.84,10.31,13.36,12.64,83.8,91.32,14.09,22.78,19.11,30.69,13.79,99.51,3.78,49.79,16.99,17.65,17.0,42.75,10.15,25.62,9.05,7.18,22.37,11.18,33.69
S0056,Treatment,Batch1,26.31,14.13,72.35,13.25,28.58,153.27,61.51,138.02,54.17,17.58,15.72,17.2,7.15,9.42,18.97,5.14,33.04,17.21,48.98,0.94,12.81,28.73,7.59,21.2,16.55,24.52,112.02,15.72,21.3,10.13,5.19,16.07,21.78,12.02,7.32,72.58,5.55,6.95,6.22,3.81,36.43,6.85,22.21,9.29,3.79,16.95,31.7,26.27,11.5,4.04
S0057,Control,Batch1,29.23,49.89,14.1,110.0,5.54,28.55,30.67,4.99,13.4,15.18,10.51,22.88,4.92,13.02,19.25,2.05,4.4,53.49,91.69,13.94,26.03,7.92,26.78,118.08,1.53,103.63,35.36,6.06,43.38,10.0,17.97,2.69,71.48,8.87,4.71,15.72,43.46,7.13,8.29,21.17,14.54,11.67,13.17,66.3,98.77,10.56,5.63,39.24,6.31,18.42
S0058,Control,Batch1,6.53,8.45,8.67,15.42,3.82,13.28,15.09,28.65,42.78,17.69,62.42,64.89,28.58,14.24,76.79,6.45,145.45,17.06,51.78,4.58,6.39,241.26,19.64,41.83,6.19,28.29,36.41,29.48,12.53,20.6,15.84,8.15,29.1,26.25,43.82,21.28,3.85,14.27,4.6,21.78,10.36,19.33,21.54,10.01,18.33,60.03,32.39,9.97,26.99,19.52
S0059,Control,Batch2,29.47,41.61,5.21,26.89,4.39,8.59,29.62,42.27,15.14,2.06,10.29,27.35,39.96,35.42,38.92,22.27,4.8,96.66,45.49,31.28,23.68,3.0,37.33,117.18,21.54,41.68,30.79,76.93,6.34,12.25,7.59,7.66,45.32,14.9,14.22,11.07,22.44,9.16,19.37,81.39,30.53,13.14,31.56,36.38,15.88,16.76,5.94,150.61,43.85,3.45
S0060,Treatment,Batch1,6.29,494.74,82.87,17.6,104.37,24.23,130.12,148.98,15.49,5.02,11.42,42.62,67.56,88.85,49.16,20.67,9.19,29.09,14.36,24.72,25.85,8.76,7.83,8.96,3.5,22.62,8.66,129.63,41.37,4.1,1.85,3.86,5.32,25.11,14.5,48.16,10.15,39.88,14.56,7.7,42.82,21.37,92.52,7.54,49.41,18.97,68.33,23.53,18.81,5.54
S0061,Control,Batch2,48.73,5.35,36.08,29.1,6.59,9.53,9.06,29.04,93.55,13.81,16.38,73.74,7.64,24.87,32.57,7.16,60.56,38.47,27.65,39.33,140.69,202.42,49.77,9.54,53.23,7.56,28.6,9.75,74.11,56.93,45.78,44.91,32.61,125.18,50.05,15.83,4.32,7.72,12.93,5.91,17.25,94.33,5.56,18.0,14.94,3.72,,23.21,16.03,1.52
S0062,Control,Batch1,15.56,8.6,25.67,15.42,100.06,21.16,30.52,9.5,42.58,49.67,19.95,5.54,10.19,38.47,83.95,42.04,5.58,4.95,67.64,60.69,20.61,13.03,3.23,35.44,13.67,10.54,1.03,27.46,19.18,5.53,37.23,7.93,32.99,85.06,9.25,9.74,24.62,36.35,10.62,10.13,70.35,13.5,22.36,20.3,8.31,15.09,24.08,11.99,26.17,10.4
