col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020
Food,South,Online,12.67,16.3,0.0687,124.41,341.16,7.457,0.2676,0,72,3.0,0,1,0,5.913,3.176,4.288,1.361
Food,East,Retail,16.44,22.3,0.1018,159.41,516.87,5.664,0.2393,0,40,5.0,0,0,0,6.866,3.807,6.236,2.694
Sports,East,Online,63.32,61.58,0.0665,180.79,579.24,5.284,0.4301,0,31,3.0,0,1,0,4.46,2.58,2.41,0.753
Food,East,Retail,18.01,18.15,0.1044,192.27,605.98,9.938,0.2069,0,33,4.0,1,0,0,5.635,3.625,4.899,1.968
Electronics,North,Partner,271.43,276.98,0.1404,162.46,505.58,2.789,0.3144,0,49,2.0,0,0,0,4.998,3.223,2.819,1.175
Sports,West,Online,49.1,55.63,0.4161,237.27,638.02,5.355,0.5147,0,56,5.0,0,0,1,4.924,2.382,3.767,1.318
Books,East,Retail,31.05,49.08,0.279,149.17,445.02,6.056,0.152,0,60,4.0,0,1,0,7.53,3.543,6.988,2.847
Books,South,Retail,34.06,36.97,0.1721,133.05,390.15,6.206,0.5791,1,67,5.0,1,1,1,4.871,3.19,3.892,1.639
Home,West,Online,93.6,108.73,0.2867,258.94,749.9,6.911,0.2013,0,61,2.0,0,1,0,5.725,3.166,4.519,1.789
Clothing,East,Partner,36.05,31.66,0.1189,159.75,506.47,11.416,0.1803,0,65,6.0,0,0,0,5.297,3.36,4.161,1.553
Books,South,Partner,25.98,27.23,0.1985,185.86,535.02,10.689,0.2774,0,83,2.0,1,0,0,6.131,3.364,5.38,1.667
Clothing,West,Retail,54.2,75.44,0.1342,110.7,387.68,4.95,0.3536,0,40,5.0,1,1,0,6.797,2.449,5.919,2.414
Food,South,Retail,19.4,19.67,0.0848,136.12,436.75,6.656,0.4258,1,51,5.0,0,1,0,5.958,3.226,4.807,1.815
Food,West,Online,20.42,23.41,0.062,105.38,319.24,5.654,0.0812,0,77,8.0,1,1,0,6.158,3.676,5.4,2.366
Books,North,Online,30.92,40.33,0.3491,91.39,263.65,13.121,0.4975,1,67,4.0,0,1,1,7.421,3.063,6.746,2.664
Clothing,North,Online,41.65,52.18,0.2643,176.18,535.15,5.807,0.5373,1,62,3.0,0,0,0,5.464,3.282,3.892,1.463
Sports,North,Online,60.6,78.87,0.1658,149.12,502.97,6.542,0.169,0,35,1.0,0,0,0,5.297,2.796,3.909,1.513
Electronics,South,Partner,267.13,330.59,0.2358,132.99,451.19,7.307,0.5633,1,69,6.0,1,1,0,5.164,2.468,3.923,1.373
Clothing,West,Partner,42.64,41.8,0.3321,74.4,199.18,8.605,0.3454,0,56,3.0,0,1,0,5.999,3.303,4.913,1.706
Home,West,Online,82.18,108.97,0.1321,119.75,377.85,5.266,0.2912,0,46,3.0,0,0,0,6.104,2.674,5.176,1.809
Food,East,Online,15.99,15.07,0.0615,126.49,400.48,15.553,0.3968,0,26,4.0,0,0,0,6.282,2.78,5.394,2.216
Clothing,South,Online,32.88,28.86,0.0875,159.33,471.27,7.522,0.6671,1,73,2.0,0,0,0,5.68,2.993,4.206,1.472
Home,West,Online,120.95,132.08,0.125,132.5,413.45,6.185,0.3123,0,81,3.0,1,0,0,5.947,3.266,5.265,1.95
Food,East,Partner,20.14,20.0,0.044,250.41,779.71,6.491,0.1394,0,31,2.0,0,1,0,6.538,3.124,6.372,2.526
Home,South,Retail,65.37,78.14,0.0177,115.86,376.4,6.643,0.1255,0,72,3.0,1,0,0,6.004,3.048,5.277,1.93
Home,West,Retail,79.28,60.31,0.1341,113.05,379.89,11.374,0.0984,0,83,1.0,1,1,0,6.109,3.221,5.504,1.765
Sports,North,Retail,65.37,74.13,0.1953,164.9,516.56,6.323,0.3703,0,31,3.0,0,0,0,6.679,3.738,5.539,2.068
Clothing,West,Retail,31.91,35.62,0.1621,35.9,182.99,4.261,0.4163,0,46,1.0,0,0,0,5.786,3.408,4.724,1.897
Clothing,East,Partner,44.48,41.29,0.0877,105.49,326.87,4.668,0.2564,0,56,5.0,0,1,0,5.934,3.536,4.933,1.686
Sports,West,Retail,54.92,82.32,0.2118,126.98,339.76,7.47,0.2669,0,34,2.0,0,0,0,6.245,3.142,5.29,1.741
Books,South,Retail,20.8,19.39,0.1703,175.52,503.87,8.336,0.5668,0,35,5.0,0,0,1,6.306,3.103,5.294,2.073
Clothing,North,Online,49.28,52.02,0.1279,126.65,374.02,12.976,0.3043,0,48,2.0,0,0,0,5.5,3.678,4.136,1.503
Clothing,South,Retail,33.49,41.05,0.2001,139.59,462.3,3.175,0.179,0,81,3.0,1,1,0,5.098,2.838,4.061,1.688
Clothing,North,Online,34.32,42.04,0.0696,238.95,680.43,8.56,0.4361,0,65,6.0,1,1,1,5.387,2.618,4.335,1.463
Clothing,East,Retail,46.63,63.53,0.322,188.64,567.16,5.69,0.3405,0,45,4.0,0,0,0,5.812,3.415,5.34,2.391
Electronics,South,Retail,301.78,381.29,0.232,140.65,443.31,7.559,0.4773,1,54,4.0,0,0,0,5.515,2.549,4.337,1.742
Food,South,Retail,17.88,28.7,0.039,116.72,376.84,5.264,0.2672,0,28,3.0,0,0,0,7.125,3.506,6.045,2.1
Electronics,East,Online,289.67,323.18,0.2098,186.67,552.28,7.893,0.5643,0,73,5.0,0,1,0,5.667,3.807,4.318,1.537
Clothing,North,Partner,39.24,46.52,0.2516,176.44,529.16,8.128,0.5259,1,79,6.0,0,1,0,6.39,3.047,5.549,2.326
Food,South,Retail,18.68,23.7,0.1787,187.17,575.29,9.011,0.3439,0,25,3.0,0,0,0,6.829,2.999,6.042,2.109
Books,West,Partner,15.64,26.82,0.1018,136.67,465.25,7.879,0.1777,0,33,3.0,0,0,0,6.627,2.952,5.487,1.987
Food,South,Retail,24.62,18.32,0.2458,194.95,566.06,9.134,0.245,0,58,4.0,1,0,0,5.513,2.881,4.096,1.599
Clothing,East,Online,35.09,37.51,0.133,176.41,559.84,14.882,0.4085,0,54,7.0,1,1,1,5.668,3.197,4.735,1.641
Books,West,Retail,24.34,27.01,0.1461,160.46,506.44,11.552,0.3111,0,35,3.0,0,0,0,5.487,3.213,4.059,1.303
Books,West,Online,27.07,31.69,0.1797,99.82,311.82,6.419,0.1127,0,66,3.0,1,0,0,5.427,3.345,4.195,1.713
Sports,North,Retail,51.98,73.09,0.1935,116.49,362.58,5.462,0.1696,0,79,4.0,1,0,0,5.484,3.091,3.703,1.326
Books,East,Online,32.47,42.25,0.0534,232.55,702.67,3.219,0.2533,0,69,12.0,1,1,1,5.484,2.961,4.8,1.708
Food,West,Online,13.86,17.84,0.1837,177.43,566.21,5.83,0.4197,0,54,7.0,0,1,1,5.405,3.216,4.499,1.858
Sports,South,Online,69.01,54.86,0.0879,114.08,421.58,8.62,0.0413,0,66,5.0,0,0,0,6.317,2.934,4.771,1.998
Home,South,Partner,71.45,82.35,0.1451,190.48,565.93,11.179,0.2151,0,43,4.0,0,0,0,6.116,3.158,5.465,2.147
Home,North,Online,70.31,86.49,0.3054,183.87,596.47,4.938,0.2969,0,24,4.0,0,0,0,5.65,2.974,4.243,1.468
Books,North,Online,24.5,31.15,0.1548,239.89,724.14,8.879,0.2993,0,62,7.0,1,1,1,5.884,2.925,4.334,1.613
Books,South,Partner,29.52,37.95,0.5889,209.19,526.67,46.557,0.1653,0,69,6.0,0,1,0,6.684,3.623,6.303,2.432
Clothing,West,Partner,41.02,41.22,0.1895,63.93,242.12,10.927,0.2877,0,63,6.0,1,0,0,6.157,2.914,4.421,1.656
Food,South,Retail,18.03,16.85,0.0841,180.3,540.2,6.302,0.1619,0,79,4.0,1,1,1,7.47,2.921,6.629,2.526
Electronics,West,Online,364.83,396.13,0.0828,132.64,371.98,6.222,0.5441,1,70,2.0,0,1,0,6.532,2.601,6.127,2.477
Electronics,East,Online,268.84,373.45,0.1045,101.2,382.52,7.228,0.5996,1,27,5.0,0,0,0,6.697,3.299,5.438,2.016
Sports,South,Retail,71.02,89.58,0.1222,107.67,369.65,6.733,0.3132,0,66,3.0,1,0,0,6.039,2.857,5.391,2.142
Clothing,North,Online,33.76,41.05,0.079,178.49,610.02,30.026,0.2042,0,26,1.0,0,0,0,5.216,3.184,4.163,1.41
Electronics,West,Retail,386.84,328.72,0.085,150.08,475.04,9.006,0.3319,0,82,6.0,1,1,0,4.231,3.344,2.415,0.995
Sports,South,Retail,66.91,59.95,0.1921,145.84,515.43,5.979,0.4385,0,54,3.0,0,0,0,5.838,3.057,5.102,1.799
Food,East,Online,20.52,27.33,0.0277,183.26,587.07,10.965,0.5224,1,75,8.0,0,1,0,6.035,3.044,5.195,1.971
Electronics,East,Retail,369.01,416.74,0.2521,127.08,400.91,7.691,0.3086,0,52,3.0,0,0,0,5.022,3.102,4.065,1.516
Home,West,Retail,87.46,85.32,0.0861,156.84,510.42,11.436,0.0562,0,72,3.0,0,1,0,5.797,2.916,5.033,1.808
Food,West,Online,24.26,27.99,0.164,243.66,731.46,8.686,0.2676,0,64,2.0,0,0,0,6.298,3.227,5.566,2.282
Clothing,West,Partner,48.69,53.58,0.0968,107.33,411.84,5.853,0.3593,0,63,2.0,0,1,0,5.833,3.108,5.625,2.376
Sports,North,Online,72.33,312.1,0.1796,97.43,344.0,5.675,0.6654,1,50,2.0,0,0,0,6.853,3.574,6.151,2.302
Electronics,North,Online,341.19,343.53,0.3012,156.37,443.21,8.983,0.5711,1,42,7.0,1,1,0,4.599,2.892,3.19,1.075
Books,South,Online,21.98,29.73,0.2199,159.96,510.81,10.39,0.5105,1,29,4.0,1,0,0,6.13,3.051,5.4,2.131
Electronics,West,Partner,261.13,291.01,0.0732,216.86,726.88,11.688,0.092,0,72,5.0,0,1,0,5.718,2.934,4.494,1.869
Home,South,Retail,80.42,64.27,0.1807,175.98,504.82,6.123,0.2852,0,69,4.0,1,1,0,7.252,2.774,6.966,2.62
Electronics,South,Partner,292.54,315.66,0.0763,169.66,481.88,3.658,0.2409,0,69,3.0,0,1,0,6.643,3.127,5.497,1.884
Books,North,Retail,15.43,17.0,0.1538,212.94,705.58,7.492,0.2696,0,61,2.0,0,0,0,6.309,2.652,5.294,1.777
Home,East,Online,75.79,83.4,0.2835,207.59,562.88,7.182,0.3459,0,40,4.0,0,0,0,7.543,3.597,7.508,2.754
Electronics,West,Online,336.97,360.4,0.0948,169.16,491.75,8.215,0.4156,0,72,5.0,1,0,0,6.287,2.581,5.287,2.106
Clothing,West,Online,35.29,38.09,0.2367,155.54,477.76,2.934,0.1127,0,74,6.0,1,0,0,7.161,3.411,6.602,2.46
Food,East,Retail,15.99,21.56,0.2827,178.87,587.2,5.529,0.1538,0,57,8.0,1,1,0,6.188,2.485,4.84,1.73
Sports,West,Partner,59.87,81.31,0.0905,175.29,545.28,5.786,0.112,0,72,6.0,0,1,1,7.233,3.286,6.533,2.547
Food,East,Retail,18.4,15.45,0.0418,104.82,352.84,6.609,0.1889,0,39,2.0,0,0,0,6.702,3.018,5.59,1.956
Food,West,Partner,25.23,26.96,0.1164,219.0,649.53,11.267,0.2608,0,76,2.0,1,1,0,6.586,2.681,5.689,2.017
Books,South,Online,29.42,37.8,0.0965,156.54,479.6,14.476,0.2517,0,60,2.0,0,0,0,7.735,3.145,7.896,3.331
Clothing,South,Online,50.11,56.97,0.5783,214.06,547.8,9.419,0.5498,1,76,3.0,0,1,0,6.334,2.734,5.211,2.049
Clothing,South,Retail,53.18,67.76,0.0848,184.45,571.39,5.416,0.1986,0,80,2.0,0,0,0,5.26,3.232,3.677,1.416
Electronics,South,Online,256.72,213.63,0.1851,151.14,417.7,7.861,0.3317,0,81,5.0,0,1,0,6.572,3.141,5.593,2.277
Clothing,South,Retail,47.57,56.83,0.0246,129.84,432.36,5.278,0.4588,0,57,2.0,0,0,0,6.953,2.742,7.144,2.654
Clothing,East,Partner,59.98,50.69,0.0773,110.82,343.67,7.606,0.2387,0,68,5.0,0,1,1,6.692,3.506,5.68,1.752
Books,South,Online,19.87,24.97,0.2298,151.85,466.12,7.314,0.2911,0,42,4.0,0,0,0,6.234,2.595,5.392,2.183
Food,North,Retail,16.78,26.39,0.0552,90.92,342.03,7.133,0.3017,0,31,5.0,0,0,1,6.382,3.421,5.612,2.221
Clothing,South,Online,48.03,65.56,0.0461,192.55,558.12,5.723,0.1871,0,30,3.0,0,0,0,6.303,3.314,5.613,2.063
Food,West,Online,20.62,23.9,0.1002,120.23,377.18,7.438,0.4727,0,56,3.0,0,1,0,5.683,3.034,4.45,1.721
Food,East,Online,21.88,27.67,0.1459,158.51,568.96,11.573,0.1604,0,83,6.0,1,1,0,5.719,3.428,5.154,2.103
Electronics,South,Online,341.1,386.56,0.1402,128.1,434.87,12.441,0.2933,0,50,2.0,1,0,0,5.703,2.525,4.558,1.69
Home,North,Online,95.07,122.67,0.0721,91.62,354.35,5.68,0.384,0,59,3.0,0,0,0,6.9,2.667,6.4,2.368
Sports,South,Online,51.63,43.72,0.0511,132.6,453.02,10.019,0.3982,0,36,3.0,0,0,0,6.903,2.822,6.234,2.522
Books,North,Retail,30.24,36.19,0.1251,107.06,365.62,5.703,0.2669,0,80,3.0,0,0,0,5.732,2.926,4.322,1.606
Books,West,Online,18.64,21.15,0.1668,60.45,230.9,6.562,0.1179,0,39,2.0,0,0,0,5.097,3.263,3.835,1.544
Food,East,Online,26.94,29.65,0.2276,173.33,515.36,3.91,0.2112,0,51,3.0,0,0,0,4.249,2.889,2.823,1.159
Clothing,West,Online,33.77,26.41,0.0843,120.25,330.99,10.137,0.4484,0,66,3.0,1,1,1,6.93,2.924,6.057,2.35
Food,North,Online,23.98,27.86,0.1795,265.01,754.78,9.468,0.1345,0,28,2.0,0,0,0,6.195,2.506,4.914,1.848
Electronics,South,Online,194.45,164.84,0.0852,134.13,416.27,4.726,0.2512,0,72,3.0,1,0,0,3.671,2.825,1.352,0.368
Books,West,Online,31.46,31.77,0.08,106.26,312.89,4.123,0.2266,0,42,6.0,1,1,0,5.648,3.024,4.684,1.919
Books,East,Online,29.4,27.86,0.2048,205.02,647.5,6.115,0.148,0,46,5.0,0,1,0,6.567,2.427,5.83,2.086
Electronics,East,Online,280.89,310.56,0.1445,207.84,649.94,8.088,0.4371,0,47,6.0,0,0,1,5.908,3.636,4.283,1.836
Electronics,West,Partner,189.84,217.24,0.1893,109.53,357.58,11.229,0.5211,0,38,2.0,0,0,0,5.51,3.252,4.859,1.796
Books,West,Online,27.86,30.95,0.1587,204.06,612.52,12.57,0.4815,1,41,4.0,0,0,0,4.985,2.659,3.472,1.308
Electronics,West,Online,263.17,1339.45,0.4163,123.94,333.78,5.969,0.2832,0,41,5.0,0,0,0,5.639,3.018,4.155,1.578
Electronics,East,Partner,400.48,503.6,0.1576,153.38,480.02,16.531,0.6042,0,65,4.0,0,1,0,5.459,2.723,4.474,1.768
Clothing,East,Online,40.86,43.63,0.1242,184.78,548.36,4.518,0.3506,0,49,6.0,1,0,0,5.532,2.974,4.479,1.884
Books,South,Partner,29.79,31.88,0.0275,96.61,303.85,9.463,0.1899,0,24,5.0,0,0,0,5.641,2.914,4.835,1.945
Books,West,Retail,24.02,33.32,0.2099,120.0,367.23,5.372,0.2211,0,56,7.0,0,1,1,6.03,2.738,5.197,1.897
Electronics,East,Online,384.19,520.75,0.1863,123.68,390.55,3.617,0.3427,0,46,4.0,1,0,0,6.797,3.226,5.639,2.282
Electronics,South,Retail,289.35,419.44,0.1092,189.28,604.36,7.354,0.4084,0,36,3.0,0,0,0,4.874,2.911,3.192,1.211
Food,North,Retail,16.15,18.8,0.1209,196.0,566.27,8.931,0.1424,0,28,1.0,0,0,0,6.447,2.873,5.676,2.371
Home,South,Online,96.36,111.89,0.2472,130.63,300.32,11.947,0.5581,1,68,3.0,0,0,0,5.927,2.853,5.316,2.131
Food,East,Online,21.14,22.24,0.1396,188.52,605.34,43.767,0.4065,0,26,8.0,1,0,0,6.146,3.658,5.463,1.811
Food,East,Partner,18.76,28.14,0.0163,202.97,585.93,6.349,0.3332,0,27,2.0,0,0,0,6.143,2.741,5.196,1.903
Electronics,South,Partner,348.04,408.29,0.1918,222.62,620.3,4.993,0.3288,0,32,4.0,0,0,0,6.728,2.973,6.315,2.507
Clothing,South,Online,46.39,52.94,0.0889,188.19,598.54,6.529,0.4154,0,29,3.0,0,0,0,5.748,3.007,4.851,1.941
Food,South,Online,18.27,22.79,0.106,99.52,326.42,13.914,0.3379,0,74,4.0,1,1,1,4.628,3.423,3.59,1.233
Books,South,Online,24.11,28.87,0.2213,75.74,277.05,10.256,0.6272,1,63,4.0,0,1,0,6.705,3.36,5.806,2.291
Home,South,Online,96.93,72.11,0.3625,116.83,393.0,5.347,0.4892,0,54,3.0,1,1,0,6.236,3.24,4.019,1.386
Food,North,Online,11.36,13.26,0.1635,220.34,700.94,4.627,0.2532,0,72,6.0,0,0,1,5.794,2.428,4.558,1.775
Food,East,Online,12.97,11.51,0.2269,177.16,502.77,5.784,0.5247,0,74,4.0,0,1,0,5.217,3.528,3.976,1.36
Home,West,Online,75.06,75.43,0.2662,187.67,562.03,9.711,0.2989,0,47,6.0,0,1,0,6.425,3.252,5.543,2.525
Clothing,West,Partner,37.25,56.73,0.1562,236.35,699.99,7.609,0.1143,0,37,1.0,0,0,0,4.652,3.044,3.118,1.187
Electronics,West,Online,317.55,416.33,0.0549,119.75,342.55,16.024,0.5704,1,68,3.0,0,0,0,6.394,2.804,5.097,2.049
Sports,West,Online,62.45,72.55,0.0326,134.3,433.43,3.302,0.2511,0,66,2.0,0,0,0,5.316,3.39,3.778,1.855
Clothing,East,Retail,29.98,39.78,0.0296,169.61,574.41,6.179,0.6745,1,78,2.0,1,1,0,5.584,2.917,4.865,1.811
Home,East,Online,72.64,75.58,0.0472,248.14,765.97,5.8,0.1324,0,58,4.0,1,0,0,5.476,3.414,4.234,1.499
Electronics,North,Online,378.12,399.65,0.1264,92.42,305.91,7.852,0.3873,0,24,4.0,0,0,0,7.34,2.91,6.846,2.609
Books,East,Online,20.5,27.56,0.2085,145.65,440.82,7.902,0.2947,0,82,4.0,1,1,0,5.333,3.077,4.179,1.516
Clothing,South,Online,38.03,45.25,0.0102,100.52,389.69,5.659,0.1352,0,67,6.0,0,1,0,6.401,2.249,5.335,2.302
Books,West,Retail,23.9,26.29,0.2103,159.15,492.1,12.098,0.1353,0,30,3.0,0,0,0,6.74,2.489,5.586,1.863
Home,North,Retail,85.91,121.67,0.1791,127.26,390.08,7.109,0.3531,0,52,4.0,0,0,0,5.87,2.803,4.909,1.605
Home,North,Online,73.02,74.9,0.249,184.64,530.06,6.92,0.5318,1,43,2.0,0,0,0,5.658,2.695,4.934,2.016
Home,East,Online,65.1,77.4,0.1904,133.97,447.59,6.874,0.363,0,67,5.0,0,0,0,5.012,2.942,3.368,1.674
Books,South,Online,32.97,42.62,0.1641,194.82,493.53,4.43,0.5512,1,36,3.0,0,0,0,6.031,3.04,4.923,2.021
Clothing,South,Online,47.02,58.09,0.0353,182.68,593.02,6.523,0.242,0,71,1.0,1,1,0,6.567,2.845,5.819,2.321
Food,West,Online,19.43,22.27,0.2305,222.97,673.98,6.747,0.1025,0,31,2.0,0,0,0,5.253,2.59,4.093,1.373
Food,North,Online,18.47,21.1,0.0979,213.8,619.52,9.364,0.1973,0,25,4.0,0,1,0,5.008,2.95,2.935,1.075
Electronics,East,Online,339.0,383.54,0.4551,87.86,264.08,7.554,0.4967,1,53,3.0,0,0,0,7.022,2.931,6.287,2.232
Books,East,Online,19.63,23.2,0.3303,145.34,437.08,6.599,0.4714,0,44,2.0,0,1,0,5.1,2.712,3.839,1.42
Books,East,Partner,26.88,31.06,0.1462,127.93,392.72,11.388,0.513,0,33,1.0,0,0,0,5.626,3.259,3.946,1.302
Food,North,Retail,16.89,18.14,0.0219,159.4,466.57,9.158,0.4589,0,48,9.0,0,1,0,4.672,3.061,3.562,1.269
Books,East,Online,26.2,28.13,0.1368,166.96,483.34,5.236,0.4304,0,46,4.0,0,0,0,5.365,3.068,4.165,1.521
Clothing,East,Online,41.23,72.32,0.084,119.81,443.39,9.249,0.4552,0,76,5.0,1,1,0,5.887,2.71,4.591,1.588
Books,South,Online,27.49,31.12,0.095,151.47,489.29,8.548,0.1178,0,78,5.0,1,1,0,6.527,2.858,5.949,2.316
Clothing,South,Retail,46.05,62.16,0.373,64.75,229.79,9.799,0.0719,0,42,5.0,0,1,1,6.413,3.119,5.901,2.02
Electronics,North,Retail,295.87,319.24,0.3817,163.76,408.19,7.056,0.4008,0,55,3.0,0,1,0,5.269,3.87,3.698,1.385
Sports,West,Retail,64.32,80.68,0.1857,225.55,662.2,5.82,0.2591,0,78,2.0,0,1,0,5.62,2.88,4.679,1.599
Sports,North,Retail,46.73,58.46,0.0273,149.79,482.99,4.894,0.2489,0,71,4.0,1,1,1,7.421,3.273,7.021,2.595
Electronics,East,Retail,199.15,284.82,0.2001,170.04,534.6,15.764,0.0899,0,57,3.0,1,1,0,6.627,2.913,5.883,2.316
Books,South,Partner,28.3,25.56,0.0476,229.7,685.0,4.214,0.1922,0,38,2.0,0,0,0,7.43,3.238,7.198,2.51
Home,East,Online,36.9,53.95,0.044,156.09,462.53,8.172,0.3733,0,40,4.0,1,0,0,5.954,3.187,5.169,1.793
Home,North,Retail,86.1,79.15,0.1652,184.53,579.18,10.354,0.2139,0,35,4.0,0,0,0,5.69,2.845,4.917,2.019
Clothing,North,Online,59.07,50.82,0.139,183.37,518.3,9.122,0.5975,1,52,2.0,1,0,1,6.221,2.97,6.216,2.221
Electronics,South,Retail,329.3,355.32,0.184,133.51,395.33,11.474,0.3771,0,60,3.0,0,0,0,6.25,3.334,4.904,1.939
